ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT)
-2.503073,-1.1595719999999998,6.469484,1.384871,-1.926109,-2.043955,-0.259108,0.14865,0.146785,43.86,-9.9029,-5.1523
-2.503073,-1.1595719999999998,6.469484,1.384871,-1.926109,-2.043955,-0.567958,-0.174045,-0.047045,43.86,-9.9029,-5.1523
-2.503073,-1.1595719999999998,6.469484,1.384871,-1.926109,-2.043955,-0.567958,-0.174045,-0.047045,43.7957,-9.5556,-4.3646
-3.221723,-1.214668,8.110401,0.620715,-1.794386,-0.5959399999999999,-0.567958,-0.174045,-0.047045,43.7957,-9.5556,-4.3646
-3.221723,-1.214668,8.110401,0.620715,-1.794386,-0.5959399999999999,-0.481693,-0.393435,-0.204665,43.7957,-9.5556,-4.3646
-3.221723,-1.214668,8.110401,0.620715,-1.794386,-0.5959399999999999,-0.481693,-0.393435,-0.204665,43.7957,-9.5556,-4.3646
-4.841081,-1.384749,6.941397,-1.255048,-1.815668,-1.797712,-0.481693,-0.393435,-0.204665,43.2745,-9.7179,-4.579
-4.841081,-1.384749,6.941397,-1.255048,-1.815668,-1.797712,-0.715993,-0.516975,-0.29945,43.2745,-9.7179,-4.579
-4.841081,-1.384749,6.941397,-1.255048,-1.815668,-1.797712,-0.715993,-0.516975,-0.29945,43.2745,-9.7179,-4.579
-5.8687510000000005,-2.280666,7.7870089999999985,-2.293959,-2.443741,-1.090465,-0.715993,-0.516975,-0.29945,43.2745,-9.7179,-4.579
-5.8687510000000005,-2.280666,7.7870089999999985,-2.293959,-2.443741,-1.090465,-1.241038,-0.508455,0.170215,43.1864,-9.2872,-6.542999999999998
-5.8687510000000005,-2.280666,7.7870089999999985,-2.293959,-2.443741,-1.090465,-1.241038,-0.508455,0.170215,43.1864,-9.2872,-6.542999999999998
-4.570389,-1.758447,10.54902,-0.7710239999999999,-1.364891,2.127587,-1.241038,-0.508455,0.170215,43.1864,-9.2872,-6.542999999999998
-4.570389,-1.758447,10.54902,-0.7710239999999999,-1.364891,2.127587,-1.133473,-0.3519,0.515275,43.1815,-9.0032,-7.6905
-2.550983,0.416667,11.971947,-0.7710239999999999,-1.364891,2.127587,-1.133473,-0.3519,0.515275,43.1815,-9.0032,-7.6905
-2.550983,0.416667,11.971947,0.8586239999999999,0.586488,3.402804,-1.133473,-0.3519,0.515275,43.1815,-9.0032,-7.6905
-2.550983,0.416667,11.971947,0.8586239999999999,0.586488,3.402804,-1.210153,0.147585,0.163825,42.81800000000001,-8.9628,-8.5268
-3.3606620000000005,0.351989,11.804262,0.8586239999999999,0.586488,3.402804,-1.210153,0.147585,0.163825,42.81800000000001,-8.9628,-8.5268
-3.3606620000000005,0.351989,11.804262,-0.21255900000000005,0.65779,3.582743,-1.210153,0.147585,0.163825,42.81800000000001,-8.9628,-8.5268
-3.3606620000000005,0.351989,11.804262,-0.21255900000000005,0.65779,3.582743,-1.4817280000000002,0.268995,-0.123725,42.81800000000001,-8.9628,-8.5268
-4.266161,-0.481645,13.128974,-0.21255900000000005,0.65779,3.582743,-1.4817280000000002,0.268995,-0.123725,42.1963,-9.1491,-9.0515
-4.266161,-0.481645,13.128974,-0.448758,0.98452,4.477939,-1.4817280000000002,0.268995,-0.123725,42.1963,-9.1491,-9.0515
-3.509183,0.512487,13.617656,-0.448758,0.98452,4.477939,-1.152643,-0.65649,-0.19295,42.1963,-9.1491,-9.0515
-3.509183,0.512487,13.617656,-0.448758,0.98452,4.477939,-1.152643,-0.65649,-0.19295,42.1963,-9.1491,-9.0515
-3.509183,0.512487,13.617656,-0.07046000000000001,1.881709,4.881933999999998,-1.152643,-0.65649,-0.19295,42.1963,-9.1491,-9.0515
-3.418154,-0.024105,15.562801,-0.07046000000000001,1.881709,4.881933999999998,-1.333693,-0.791745,-0.58913,42.2119,-8.849,-9.4825
-3.418154,-0.024105,15.562801,-0.07046000000000001,1.881709,4.881933999999998,-1.333693,-0.791745,-0.58913,42.2119,-8.849,-9.4825
-5.301017,-1.875826,17.776243,-1.7180689999999998,0.536825,8.708393,-1.333693,-0.791745,-0.58913,42.2119,-8.849,-9.4825
-5.301017,-1.875826,17.776243,-1.7180689999999998,0.536825,8.708393,-1.333693,-0.791745,-0.58913,42.2119,-8.849,-9.4825
-5.301017,-1.875826,17.776243,-1.7180689999999998,0.536825,8.708393,-1.527523,0.268995,-0.6093649999999999,42.6264,-6.9061,-11.2548
-5.535776,-2.824444,17.412128,-1.7180689999999998,0.536825,8.708393,-1.527523,0.268995,-0.6093649999999999,42.6264,-6.9061,-11.2548
-5.535776,-2.824444,17.412128,-2.380424,-0.402526,8.648435000000001,-1.527523,0.268995,-0.6093649999999999,42.6264,-6.9061,-11.2548
-5.535776,-2.824444,17.412128,-2.380424,-0.402526,8.648435000000001,-0.8533780000000001,0.6342899999999999,-0.15141500000000002,42.6264,-6.9061,-11.2548
-5.080631,-2.450746,16.173655,-1.752595,0.196707,7.6710699999999985,-0.8533780000000001,0.6342899999999999,-0.15141500000000002,43.1364,-6.0015,-12.0988
-5.080631,-2.450746,16.173655,-1.752595,0.196707,7.6710699999999985,-0.8533780000000001,0.6342899999999999,-0.15141500000000002,43.1364,-6.0015,-12.0988
-4.742866,-2.268688,14.719585,-1.752595,0.196707,7.6710699999999985,-0.360283,0.4617600000000001,-0.01829,43.1364,-6.0015,-12.0988
-4.742866,-2.268688,14.719585,-0.818946,0.6076010000000001,4.903539,-0.360283,0.4617600000000001,-0.01829,42.9288,-5.5228,-12.031
-4.742866,-2.268688,14.719585,-0.818946,0.6076010000000001,4.903539,-0.360283,0.4617600000000001,-0.01829,42.9288,-5.5228,-12.031
-3.449296,-1.952482,12.455838,-0.818946,0.6076010000000001,4.903539,-0.075928,0.554415,0.09247,42.9288,-5.5228,-12.031
-3.449296,-1.952482,12.455838,-0.818946,0.6076010000000001,4.903539,-0.075928,0.554415,0.09247,43.3042,-5.0147,-11.9397
-3.449296,-1.952482,12.455838,0.5555680000000001,1.012451,3.10605,-0.075928,0.554415,0.09247,43.3042,-5.0147,-11.9397
-2.821675,-1.595553,10.302283,0.5555680000000001,1.012451,3.10605,-0.075928,0.554415,0.09247,43.3042,-5.0147,-11.9397
-2.821675,-1.595553,10.302283,0.5555680000000001,1.012451,3.10605,-0.115333,0.7620899999999999,-0.012965,43.3042,-5.0147,-11.9397
-2.821675,-1.595553,10.302283,0.5555680000000001,1.012451,3.10605,-0.115333,0.7620899999999999,-0.012965,43.9293,-5.058,-11.0819
-3.022897,-1.849476,9.085369,0.8382950000000001,1.167813,0.998377,-0.115333,0.7620899999999999,-0.012965,43.9293,-5.058,-11.0819
-3.022897,-1.849476,9.085369,0.8382950000000001,1.167813,0.998377,-0.187753,0.5842350000000001,-0.08006,43.9293,-5.058,-11.0819
-3.022897,-1.849476,9.085369,0.8382950000000001,1.167813,0.998377,-0.187753,0.5842350000000001,-0.08006,43.9293,-5.058,-11.0819
-2.883958,-2.342949,9.250659,1.085032,0.596379,0.743907,-0.187753,0.5842350000000001,-0.08006,44.2453,-4.5409,-9.8292
-2.883958,-2.342949,9.250659,1.085032,0.596379,0.743907,-0.115333,0.352065,-0.021485,44.2453,-4.5409,-9.8292
-1.959295,-2.417209,10.199277,1.085032,0.596379,0.743907,-0.115333,0.352065,-0.021485,44.2453,-4.5409,-9.8292
-1.959295,-2.417209,10.199277,2.088636,0.470538,1.6775,-0.115333,0.352065,-0.021485,44.1783,-3.9855,-8.7158
-1.959295,-2.417209,10.199277,2.088636,0.470538,1.6775,0.071042,0.36591,-0.057695,44.1783,-3.9855,-8.7158
-1.348442,-2.53938,10.350193,2.088636,0.470538,1.6775,0.071042,0.36591,-0.057695,44.1783,-3.9855,-8.7158
-1.348442,-2.53938,10.350193,2.8843970000000003,0.315612,1.775953,0.071042,0.36591,-0.057695,44.1783,-3.9855,-8.7158
-1.348442,-2.53938,10.350193,2.8843970000000003,0.315612,1.775953,0.071042,0.36591,-0.057695,44.4236,-4.2347,-8.3029
-1.250227,-2.515425,9.559678,2.8843970000000003,0.315612,1.775953,0.077432,0.5980800000000001,-0.228095,44.4236,-4.2347,-8.3029
-1.250227,-2.515425,9.559678,2.991997,0.273229,1.170249,0.077432,0.5980800000000001,-0.228095,44.4236,-4.2347,-8.3029
-1.494568,-2.903496,10.007637,2.991997,0.273229,1.170249,0.077432,0.5980800000000001,-0.228095,44.5616,-4.0093,-7.9377
-1.494568,-2.903496,10.007637,2.991997,0.273229,1.170249,-0.07699299999999999,0.684345,-0.38252,44.5616,-4.0093,-7.9377
-1.494568,-2.903496,10.007637,2.991997,0.273229,1.170249,-0.07699299999999999,0.684345,-0.38252,44.5616,-4.0093,-7.9377
-2.0455330000000003,-3.47602,10.59693,2.459886,-0.424608,2.058495,-0.07699299999999999,0.684345,-0.38252,44.5616,-4.0093,-7.9377
-2.0455330000000003,-3.47602,10.59693,2.459886,-0.424608,2.058495,0.13813699999999998,0.426615,-0.34631,45.4631,-3.65,-6.8714
-2.0455330000000003,-3.47602,10.59693,2.459886,-0.424608,2.058495,0.13813699999999998,0.426615,-0.34631,45.4631,-3.65,-6.8714
-2.021578,-3.420924,10.537043,2.416725,-0.467358,2.369304,0.13813699999999998,0.426615,-0.34631,45.4631,-3.65,-6.8714
-2.021578,-3.420924,10.537043,2.416725,-0.467358,2.369304,0.502367,0.136935,-0.30371,45.0765,-3.2804,-6.0866
-2.021578,-3.420924,10.537043,2.416725,-0.467358,2.369304,0.502367,0.136935,-0.30371,45.0765,-3.2804,-6.0866
-1.767655,-2.927451,9.348874,2.687895,-0.114464,1.114384,0.502367,0.136935,-0.30371,45.1567,-3.2352,-5.6606
-1.767655,-2.927451,9.348874,2.687895,-0.114464,1.114384,0.6131270000000001,-0.10482,-0.379325,45.1567,-3.2352,-5.6606
-1.767655,-2.927451,9.348874,2.687895,-0.114464,1.114384,0.6131270000000001,-0.10482,-0.379325,45.1567,-3.2352,-5.6606
-2.208427,-2.97057,9.003922,2.200829,-0.198356,0.679215,0.6131270000000001,-0.10482,-0.379325,45.1567,-3.2352,-5.6606
-2.208427,-2.97057,9.003922,2.200829,-0.198356,0.679215,0.619517,-0.30504000000000003,-0.411275,44.9668,-2.57,-5.4021
