ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT)
0.9498,-2.0109,-1.5271,0.8772,-7.904,-9.6997,2.4326,0.0969,0.1215,19.89,6.65,-33.98
0.605,-1.3813,-3.2522,0.5129,-7.6458,-11.2333,1.5303,-0.0075,0.0384,21.7,2.12,-34.14
0.605,-1.3813,-3.2522,0.5129,-7.6458,-11.2333,1.5303,-0.0075,0.0384,21.7,2.12,-34.14
0.3847,-0.6881,-4.2374,0.5129,-7.6458,-11.2333,1.5303,-0.0075,0.0384,21.7,2.12,-34.14
0.3847,-0.6881,-4.2374,0.5129,-7.6458,-11.2333,1.5303,-0.0075,0.0384,21.7,2.12,-34.14
0.3847,-0.6881,-4.2374,0.18899999999999997,-7.1143,-12.0674,0.5822,-0.2035,0.0789,15.86,2.03,-36.91
0.8372,-0.6127,-4.6276,0.18899999999999997,-7.1143,-12.0674,0.5822,-0.2035,0.0789,15.86,2.03,-36.91
0.8372,-0.6127,-4.6276,0.18899999999999997,-7.1143,-12.0674,0.5822,-0.2035,0.0789,15.86,2.03,-36.91
0.8372,-0.6127,-4.6276,1.318,-6.9538,-12.3122,-0.3584,-0.1726,0.0064,15.86,2.03,-36.91
1.577,-0.414,-4.6144,1.318,-6.9538,-12.3122,-0.3584,-0.1726,0.0064,16.39,17.77,-23.29
1.577,-0.414,-4.6144,1.318,-6.9538,-12.3122,-0.3584,-0.1726,0.0064,16.39,17.77,-23.29
1.577,-0.414,-4.6144,0.7034,-6.8771,-11.632,-1.3384,-0.309,-0.3355,16.39,17.77,-23.29
0.3716,-0.7695,-3.6592,0.7034,-6.8771,-11.632,-1.3384,-0.309,-0.3355,16.39,17.77,-23.29
0.3716,-0.7695,-3.6592,0.7034,-6.8771,-11.632,-1.3384,-0.309,-0.3355,17.23,17.11,-23.32
0.3716,-0.7695,-3.6592,-1.1368,-6.7634,-10.7393,-1.3384,-0.309,-0.3355,17.23,17.11,-23.32
-1.0338,-1.064,-2.8176,-1.1368,-6.7634,-10.7393,-1.7614,-0.6169,-0.1342,17.23,17.11,-23.32
-1.0338,-1.064,-2.8176,-1.1368,-6.7634,-10.7393,-1.7614,-0.6169,-0.1342,17.23,17.11,-23.32
-0.2952,-1.9223,-2.4393,-0.9119,-7.103,-10.4868,-1.7614,-0.6169,-0.1342,15.49,19.71,-23.93
-0.2952,-1.9223,-2.4393,-0.9119,-7.103,-10.4868,-2.3696,-0.3069,0.3345,15.49,19.71,-23.93
-0.2952,-1.9223,-2.4393,-0.9119,-7.103,-10.4868,-2.3696,-0.3069,0.3345,15.49,19.71,-23.93
0.4769,-2.5532,-1.6181,0.0491,-7.224,-9.8209,-2.3696,-0.3069,0.3345,15.49,19.71,-23.93
0.4769,-2.5532,-1.6181,0.0491,-7.224,-9.8209,-2.3696,-0.3069,0.3345,15.49,19.71,-23.93
0.4769,-2.5532,-1.6181,0.0491,-7.224,-9.8209,-3.2176,0.4431,0.2951,17.85,22.93,-23.13
