ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT)
-12.3213,-2.1199,8.4268,-8.1749,-6.1963,-0.4248,2.2954,1.0836,0.3507,-2.08,18.35,-32.25
-11.615,-2.2085,6.3546,-8.1749,-6.1963,-0.4248,2.2954,1.0836,0.3507,-2.08,18.35,-32.25
-11.615,-2.2085,6.3546,-6.6324,-6.8091,-2.5159,2.2954,1.0836,0.3507,-2.08,18.35,-32.25
-11.615,-2.2085,6.3546,-6.6324,-6.8091,-2.5159,2.0099,0.7875,1.9561,-2.08,18.35,-32.25
-9.483,-2.0899,3.9676,-6.6324,-6.8091,-2.5159,2.0099,0.7875,1.9561,1.28,16.35,-37.32
-9.483,-2.0899,3.9676,-4.6637,-7.3265,-4.11,2.0099,0.7875,1.9561,1.28,16.35,-37.32
-9.483,-2.0899,3.9676,-4.6637,-7.3265,-4.11,1.5647,0.2048,3.2632,1.28,16.35,-37.32
-7.7196,-1.8972,2.6484,-4.6637,-7.3265,-4.11,1.5647,0.2048,3.2632,1.28,16.35,-37.32
-7.7196,-1.8972,2.6484,-3.5355,-7.6629999999999985,-5.0428,1.5647,0.2048,3.2632,4.77,15.47,-36.46
-5.5445,-1.6877,1.2873,-3.5355,-7.6629999999999985,-5.0428,1.2824,-0.5036,4.6448,4.77,15.47,-36.46
-5.5445,-1.6877,1.2873,-3.5355,-7.6629999999999985,-5.0428,1.2824,-0.5036,4.6448,4.77,15.47,-36.46
-5.5445,-1.6877,1.2873,-1.1863,-8.3038,-6.4393,1.2824,-0.5036,4.6448,4.77,15.47,-36.46
-1.885,-1.5237,0.2781,-1.1863,-8.3038,-6.4393,1.2824,-0.5036,4.6448,7.38,11.57,-37.32
-1.885,-1.5237,0.2781,-1.1863,-8.3038,-6.4393,0.6081,-0.919,5.9988,7.38,11.57,-37.32
-1.885,-1.5237,0.2781,-1.1863,-8.3038,-6.4393,0.6081,-0.919,5.9988,7.38,11.57,-37.32
3.0423,-1.7141,0.3739,2.6782,-8.6585,-6.631,0.6081,-0.919,5.9988,7.38,11.57,-37.32
3.0423,-1.7141,0.3739,2.6782,-8.6585,-6.631,0.0413,-0.8690000000000001,6.4579,7.41,10.92,-38.05
3.0423,-1.7141,0.3739,2.6782,-8.6585,-6.631,0.0413,-0.8690000000000001,6.4579,7.41,10.92,-38.05
6.8646,-0.6151,1.1807,5.8693,-7.657,-5.6563,0.0413,-0.8690000000000001,6.4579,7.41,10.92,-38.05
6.8646,-0.6151,1.1807,5.8693,-7.657,-5.6563,-0.1845,-1.3398,6.2661,7.41,10.92,-38.05
6.8646,-0.6151,1.1807,5.8693,-7.657,-5.6563,-0.1845,-1.3398,6.2661,7.38,11.58,-35.9
12.5676,1.1949,2.1731,10.0357,-5.1996,-4.5289,-0.1845,-1.3398,6.2661,7.38,11.58,-35.9
12.5676,1.1949,2.1731,10.0357,-5.1996,-4.5289,-0.1845,-1.3398,6.2661,7.38,11.58,-35.9
12.5676,1.1949,2.1731,10.0357,-5.1996,-4.5289,-0.7001,-1.6914,5.0869,7.38,11.58,-35.9
16.2499,3.0349,3.4073,12.5755,-2.6272,-3.0813,-0.7001,-1.6914,5.0869,8.33,8.35,-35.3
16.2499,3.0349,3.4073,12.5755,-2.6272,-3.0813,-0.7001,-1.6914,5.0869,8.33,8.35,-35.3
18.0479,4.1146,4.7625,12.5755,-2.6272,-3.0813,-1.1933,-1.4218,3.309,8.33,8.35,-35.3
18.0479,4.1146,4.7625,12.5755,-2.6272,-3.0813,-1.1933,-1.4218,3.309,8.33,8.35,-35.3
18.0479,4.1146,4.7625,13.7575,-1.0337,-0.6924,-1.1933,-1.4218,3.309,5.76,10.93,-37.33
18.8249,4.2092,7.0082,13.7575,-1.0337,-0.6924,-1.1933,-1.4218,3.309,5.76,10.93,-37.33
18.8249,4.2092,7.0082,13.7575,-1.0337,-0.6924,-1.2753,-1.1129,1.5928,5.76,10.93,-37.33
18.8249,4.2092,7.0082,12.0264,0.4666,0.3846,-1.2753,-1.1129,1.5928,5.76,10.93,-37.33
18.2395,4.5755,7.8953,12.0264,0.4666,0.3846,-1.2753,-1.1129,1.5928,5.78,10.28,-38.06
18.2395,4.5755,7.8953,12.0264,0.4666,0.3846,-1.0037,-0.9435,0.241,5.78,10.28,-38.06
18.2167,4.1829,7.5361,12.0264,0.4666,0.3846,-1.0037,-0.9435,0.241,5.78,10.28,-38.06
18.2167,4.1829,7.5361,12.2279,-0.0341,0.9155,-1.0037,-0.9435,0.241,5.78,10.28,-38.06
18.2167,4.1829,7.5361,12.2279,-0.0341,0.9155,-0.9057,-0.3321,-1.1673,5.76,10.93,-37.33
16.4797,4.2475,7.5266,12.2279,-0.0341,0.9155,-0.9057,-0.3321,-1.1673,5.76,10.93,-37.33
16.4797,4.2475,7.5266,10.1213,-0.0877,0.8333,-0.9057,-0.3321,-1.1673,5.76,10.93,-37.33
16.4797,4.2475,7.5266,10.1213,-0.0877,0.8333,-0.8918,0.3486,-2.6991,5.76,10.93,-37.33
13.5361,3.1881,7.3841,10.1213,-0.0877,0.8333,-0.8918,0.3486,-2.6991,0.16,19.52,-29.84
13.5361,3.1881,7.3841,6.7684,-1.8662,0.104,-0.8918,0.3486,-2.6991,0.16,19.52,-29.84
13.5361,3.1881,7.3841,6.7684,-1.8662,0.104,-0.8151,0.8216,-3.8943,0.16,19.52,-29.84
10.4847,2.1717,6.7508,6.7684,-1.8662,0.104,-0.8151,0.8216,-3.8943,0.16,19.52,-29.84
10.4847,2.1717,6.7508,6.7684,-1.8662,0.104,-0.8151,0.8216,-3.8943,-1.06,17.2,-37.74
7.2872,0.5473,5.9416,4.3138,-3.7022,-0.7806,-0.7576,1.3019999999999998,-4.9511,-1.06,17.2,-37.74
7.2872,0.5473,5.9416,4.3138,-3.7022,-0.7806,-0.7576,1.3019999999999998,-4.9511,-1.06,17.2,-37.74
7.2872,0.5473,5.9416,4.3138,-3.7022,-0.7806,-0.7576,1.3019999999999998,-4.9511,-1.06,17.2,-37.74
3.3284,-0.7037,4.9396,0.8139,-6.0443,-2.4323,-0.8215,1.6962,-5.864,-3.58,18.52,-36.26
3.3284,-0.7037,4.9396,0.8139,-6.0443,-2.4323,-0.8215,1.6962,-5.864,-3.58,18.52,-36.26
3.3284,-0.7037,4.9396,0.8139,-6.0443,-2.4323,-0.8215,1.6962,-5.864,-3.58,18.52,-36.26
-0.0498,-1.5464,4.6667,-1.6985,-7.271,-3.0609,-1.0644,1.2168,-6.1708,-3.58,18.52,-36.26
-0.0498,-1.5464,4.6667,-1.6985,-7.271,-3.0609,-1.0644,1.2168,-6.1708,-3.6,19.15,-38.37
-0.0498,-1.5464,4.6667,-1.6985,-7.271,-3.0609,-1.0644,1.2168,-6.1708,-3.6,19.15,-38.37
-2.1926,-2.983,4.535,-2.5234,-8.5519,-3.4528,-1.0644,1.2168,-6.1708,-3.6,19.15,-38.37
-2.1926,-2.983,4.535,-2.5234,-8.5519,-3.4528,-1.2008,0.8866,-6.1548,-3.6,19.15,-38.37
-2.1926,-2.983,4.535,-2.5234,-8.5519,-3.4528,-1.2008,0.8866,-6.1548,-9.44,21.14,-36.13
-4.4444,-4.2699,4.4763,-3.7446,-9.5489,-3.7163,-1.2008,0.8866,-6.1548,-9.44,21.14,-36.13
-4.4444,-4.2699,4.4763,-3.7446,-9.5489,-3.7163,-1.2828,0.6725,-6.2848,-9.44,21.14,-36.13
-4.4444,-4.2699,4.4763,-3.7446,-9.5489,-3.7163,-1.2828,0.6725,-6.2848,-9.44,21.14,-36.13
-7.3031,-6.1218,4.6954,-5.5393,-10.933,-3.6224,-1.2828,0.6725,-6.2848,-12.78,22.44,-37.49
-7.3031,-6.1218,4.6954,-5.5393,-10.933,-3.6224,-1.6045,0.256,-5.9886,-12.78,22.44,-37.49
-11.5659,-6.5084,4.8977,-5.5393,-10.933,-3.6224,-1.6045,0.256,-5.9886,-12.78,22.44,-37.49
-11.5659,-6.5084,4.8977,-9.311,-10.4284,-3.6445,-1.6045,0.256,-5.9886,-12.78,22.44,-37.49
-11.5659,-6.5084,4.8977,-9.311,-10.4284,-3.6445,-1.6045,0.256,-5.9886,-16.03,21.19,-35.37
-14.7071,-6.5898,5.027,-9.311,-10.4284,-3.6445,-2.4556,-0.1499,-4.3141,-16.03,21.19,-35.37
-14.7071,-6.5898,5.027,-12.5368,-9.1249,-3.4129,-2.4556,-0.1499,-4.3141,-16.03,21.19,-35.37
-14.7071,-6.5898,5.027,-12.5368,-9.1249,-3.4129,-2.4556,-0.1499,-4.3141,-16.03,21.19,-35.37
-16.1664,-6.6162,7.4799,-12.5368,-9.1249,-3.4129,-3.8639,-0.2021,-1.5635,-18.55,22.5,-34.6
-16.1664,-6.6162,7.4799,-12.5368,-9.1249,-3.4129,-3.8639,-0.2021,-1.5635,-18.55,22.5,-34.6
-16.1664,-6.6162,7.4799,-12.3598,-8.6205,0.4819,-3.8639,-0.2021,-1.5635,-18.55,22.5,-34.6
-14.6006,-7.9378,11.1741,-12.3598,-8.6205,0.4819,-4.0802,-0.9105,0.8642,-18.55,22.5,-34.6
-14.6006,-7.9378,11.1741,-10.3294,-8.3281,2.8192,-4.0802,-0.9105,0.8642,-12.84,20.54,-28.75
