ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT)
-7.555,2.314,9.924,-8.077,-0.225,0.644,0.085,-0.28,-0.459,-1.9,-38.5,-15.6
-7.555,2.314,9.924,-8.077,-0.225,0.644,-0.112,0.049,-0.498,-1.6,-38.0,-17.1
-7.555,2.314,9.924,-9.234,-0.8590000000000001,1.345,-0.112,0.049,-0.498,-1.6,-38.0,-17.1
-8.665,2.072,10.769,-9.234,-0.8590000000000001,1.345,-0.112,0.049,-0.498,-1.6,-38.0,-17.1
-8.665,2.072,10.769,-9.234,-0.8590000000000001,1.345,-0.017,0.578,-0.429,0.2,-38.7,-15.9
-8.665,2.072,10.769,-9.234,-0.8590000000000001,1.345,-0.017,0.578,-0.429,0.2,-38.7,-15.9
-8.729,2.352,11.738,-9.181,-0.54,2.432,-0.017,0.578,-0.429,0.2,-38.7,-15.9
-8.729,2.352,11.738,-9.181,-0.54,2.432,0.227,0.643,0.01,0.2,-38.7,-15.9
-7.9060000000000015,2.67,11.08,-9.181,-0.54,2.432,0.227,0.643,0.01,-0.7,-38.2,-16.2
-7.9060000000000015,2.67,11.08,-7.902,-0.269,1.669,0.227,0.643,0.01,-0.7,-38.2,-16.2
-7.9060000000000015,2.67,11.08,-7.902,-0.269,1.669,0.227,0.643,0.01,-0.7,-38.2,-16.2
-6.614,3.065,10.704,-7.902,-0.269,1.669,0.221,0.35700000000000004,0.281,-0.1,-38.7,-15.3
-6.614,3.065,10.704,-5.943,0.054000000000000006,0.458,0.221,0.35700000000000004,0.281,-0.1,-38.7,-15.3
-6.614,3.065,10.704,-5.943,0.054000000000000006,0.458,0.221,0.35700000000000004,0.281,-0.1,-38.7,-15.3
-4.956,2.615,7.782999999999999,-5.943,0.054000000000000006,0.458,-0.27,0.254,0.8909999999999999,-0.7,-38.0,-15.9
-4.956,2.615,7.782999999999999,-5.943,0.054000000000000006,0.458,-0.27,0.254,0.8909999999999999,-0.7,-38.0,-15.9
-4.956,2.615,7.782999999999999,-3.466,-0.894,-0.669,-0.27,0.254,0.8909999999999999,-0.7,-38.0,-15.9
-0.809,1.828,11.504,-3.466,-0.894,-0.669,-0.97,0.621,1.301,-2.2,-38.7,-15.3
-0.809,1.828,11.504,-3.466,-0.894,-0.669,-0.97,0.621,1.301,-2.2,-38.7,-15.3
-0.809,1.828,11.504,1.369,-0.54,5.857,-0.97,0.621,1.301,-2.2,-38.7,-15.3
1.969,2.512,15.514,1.369,-0.54,5.857,-0.97,0.621,1.301,-2.2,-38.7,-15.3
1.969,2.512,15.514,1.369,-0.54,5.857,0.303,0.034,0.589,-3.1,-38.0,-16.5
2.713,3.237,11.286,2.424,0.399,2.707,0.303,0.034,0.589,-3.1,-38.0,-16.5
2.713,3.237,11.286,2.424,0.399,2.707,0.303,0.034,0.589,-3.1,-38.0,-16.5
2.713,3.237,11.286,2.424,0.399,2.707,1.202,-0.165,0.122,-2.5,-38.7,-15.9
4.625,4.498,7.0070000000000014,4.527,1.406,-2.327,1.202,-0.165,0.122,-2.5,-38.7,-15.9
4.625,4.498,7.0070000000000014,4.527,1.406,-2.327,1.202,-0.165,0.122,-2.5,-38.7,-15.9
4.625,4.498,7.0070000000000014,4.527,1.406,-2.327,0.612,0.011,0.142,-2.5,-38.7,-15.9
5.003,4.096,6.055,4.855,0.82,-3.197,0.612,0.011,0.142,-3.7,-38.7,-14.7
5.003,4.096,6.055,4.855,0.82,-3.197,0.612,0.011,0.142,-3.7,-38.7,-14.7
