ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT)
-0.749567,3.255335,11.770725,1.280309,2.06436,1.331923,1.057549,1.234185,-0.740073,34.2097,-7.5236,-27.1724
-0.749567,3.255335,11.770725,-0.938983,1.622542,2.397843,1.072459,0.5089199999999999,0.015012,35.72,-7.5343,-25.979
-0.749567,3.255335,11.770725,-0.938983,1.622542,2.397843,1.072459,0.5089199999999999,0.015012,35.72,-7.5343,-25.979
0.5990989999999999,3.236171,11.559921,-0.938983,1.622542,2.397843,1.072459,0.5089199999999999,0.015012,35.72,-7.5343,-25.979
0.5990989999999999,3.236171,11.559921,0.604518,1.237172,2.269867,1.158724,0.10209,0.305757,35.72,-7.5343,-25.979
0.5990989999999999,3.236171,11.559921,0.604518,1.237172,2.269867,1.158724,0.10209,0.305757,36.6348,-8.0842,-23.9677
0.855418,3.195447,9.871094,0.730251,0.881452,0.890833,1.158724,0.10209,0.305757,36.6348,-8.0842,-23.9677
0.855418,3.195447,9.871094,0.730251,0.881452,0.890833,0.8264440000000001,-0.09174,0.185412,36.6348,-8.0842,-23.9677
0.855418,3.195447,9.871094,0.730251,0.881452,0.890833,0.8264440000000001,-0.09174,0.185412,36.4986,-9.8264,-22.8357
0.706897,3.334386,9.681849,0.730251,0.881452,0.890833,0.8264440000000001,-0.09174,0.185412,36.4986,-9.8264,-22.8357
0.706897,3.334386,9.681849,0.654038,0.820584,0.482507,0.8264440000000001,-0.09174,0.185412,36.4986,-9.8264,-22.8357
0.706897,3.334386,9.681849,0.654038,0.820584,0.482507,0.545284,0.0318,0.102342,36.4986,-9.8264,-22.8357
-0.222557,3.200238,11.095194,0.654038,0.820584,0.482507,0.545284,0.0318,0.102342,36.2474,-10.5639,-22.5154
-0.222557,3.200238,11.095194,-0.458829,0.554675,2.1767,0.545284,0.0318,0.102342,36.2474,-10.5639,-22.5154
-3.154649,2.900801,8.934453,-0.458829,0.554675,2.1767,0.905254,0.5685600000000001,0.322797,36.2474,-10.5639,-22.5154
-3.154649,2.900801,8.934453,-0.458829,0.554675,2.1767,0.905254,0.5685600000000001,0.322797,36.2474,-10.5639,-22.5154
-3.154649,2.900801,8.934453,-12.383103,1.517343,-16.402002,0.905254,0.5685600000000001,0.322797,36.6395,-11.2523,-22.0747
-0.598651,-0.757128,23.285894,-12.383103,1.517343,-16.402002,0.905254,0.5685600000000001,0.322797,36.6395,-11.2523,-22.0747
-0.598651,-0.757128,23.285894,-12.383103,1.517343,-16.402002,1.119319,-2.838375,0.954342,36.6395,-11.2523,-22.0747
2.01484,2.548662,6.78569,-2.504693,-3.674792,12.075171,1.119319,-2.838375,0.954342,35.0995,-12.0343,-23.6424
2.01484,2.548662,6.78569,-2.504693,-3.674792,12.075171,1.119319,-2.838375,0.954342,35.0995,-12.0343,-23.6424
2.01484,2.548662,6.78569,-2.504693,-3.674792,12.075171,0.613444,-2.15358,0.674247,35.0995,-12.0343,-23.6424
2.01484,2.548662,6.78569,-2.504693,-3.674792,12.075171,0.613444,-2.15358,0.674247,35.0995,-12.0343,-23.6424
2.544245,2.000093,14.628556,-0.884654,-0.466696,5.326624,0.613444,-2.15358,0.674247,35.0995,-12.0343,-23.6424
2.544245,2.000093,14.628556,-0.884654,-0.466696,5.326624,0.473929,0.25332,0.239727,30.6184,-14.1754,-27.2828
2.544245,2.000093,14.628556,-0.884654,-0.466696,5.326624,0.473929,0.25332,0.239727,30.6184,-14.1754,-27.2828
3.71804,2.412119,7.26479,1.213652,-1.267749,0.316209,0.473929,0.25332,0.239727,30.6184,-14.1754,-27.2828
3.71804,2.412119,7.26479,1.213652,-1.267749,0.316209,-0.243881,0.7773,-0.6740430000000001,30.6184,-14.1754,-27.2828
3.71804,2.412119,7.26479,1.213652,-1.267749,0.316209,-0.243881,0.7773,-0.6740430000000001,29.3512,-15.6974,-27.5384
1.650724,2.65646,7.561832000000001,-0.04541,-0.502741,-1.810119,-0.243881,0.7773,-0.6740430000000001,29.3512,-15.6974,-27.5384
1.650724,2.65646,7.561832000000001,-0.04541,-0.502741,-1.810119,-1.084166,0.57495,-0.950943,29.3512,-15.6974,-27.5384
1.650724,2.65646,7.561832000000001,-0.04541,-0.502741,-1.810119,-1.084166,0.57495,-0.950943,29.7301,-15.4478,-27.5783
0.079276,3.181074,11.804262,-0.04541,-0.502741,-1.810119,-1.084166,0.57495,-0.950943,29.7301,-15.4478,-27.5783
0.079276,3.181074,11.804262,-1.688943,0.099912,2.882275,-1.084166,0.57495,-0.950943,29.7301,-15.4478,-27.5783
0.991961,3.27929,9.178794,-1.688943,0.099912,2.882275,-0.185306,0.793275,-0.334308,30.7665,-14.7085,-27.3695
0.991961,3.27929,9.178794,-1.688943,0.099912,2.882275,-0.185306,0.793275,-0.334308,30.7665,-14.7085,-27.3695
0.991961,3.27929,9.178794,-1.688943,0.099912,2.882275,-0.185306,0.793275,-0.334308,30.7665,-14.7085,-27.3695
1.689052,3.147537,8.706881,-0.170377,0.16266,-0.254429,0.173599,0.83268,-0.366258,32.0582,-13.5183,-27.2438
1.689052,3.147537,8.706881,-0.170377,0.16266,-0.254429,0.173599,0.83268,-0.366258,32.0582,-13.5183,-27.2438
1.689052,3.147537,8.706881,-0.170377,0.16266,-0.254429,0.173599,0.83268,-0.366258,32.0582,-13.5183,-27.2438
1.689052,3.147537,8.706881,-0.170377,0.16266,-0.254429,0.173599,0.83268,-0.366258,32.0582,-13.5183,-27.2438
1.2530709999999998,2.850495,8.347555,0.25696,-0.234584,-0.670362,0.26731900000000003,1.01799,-0.482343,32.3718,-12.8689,-26.5937
1.2530709999999998,2.850495,8.347555,0.25696,-0.234584,-0.670362,0.26731900000000003,1.01799,-0.482343,32.3718,-12.8689,-26.5937
0.30445300000000003,2.94392,8.522427,-0.393915,-0.32484,-0.576675,0.352519,1.106385,-0.424833,32.3718,-12.8689,-26.5937
0.30445300000000003,2.94392,8.522427,-0.393915,-0.32484,-0.576675,0.352519,1.106385,-0.424833,32.3718,-12.8689,-26.5937
0.30445300000000003,2.94392,8.522427,-0.393915,-0.32484,-0.576675,0.352519,1.106385,-0.424833,34.1698,-11.8157,-24.9897
0.30445300000000003,2.94392,8.522427,-0.393915,-0.32484,-0.576675,0.352519,1.106385,-0.424833,34.1698,-11.8157,-24.9897
-0.217766,2.819354,9.856721,-0.493167,-0.514019,0.48793,0.450499,0.882735,-0.459978,34.1698,-11.8157,-24.9897
-0.217766,2.819354,9.856721,-0.493167,-0.514019,0.48793,0.450499,0.882735,-0.459978,34.1698,-11.8157,-24.9897
