ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT)
-0.5203,3.3329,8.7668,-0.4917,-0.2338,-1.7504,-0.222,0.3195,0.424,29.0,14.94,-28.04
-0.46399999999999997,3.6597,10.972999999999999,-0.4306,-0.1411,1.5052,-0.1517,0.3824,0.3963,29.0,14.94,-28.04
-0.46399999999999997,3.6597,10.972999999999999,-0.4306,-0.1411,1.5052,-0.1517,0.3824,0.3963,29.0,14.94,-28.04
-0.46399999999999997,3.6597,10.972999999999999,-0.4306,-0.1411,1.5052,-0.1517,0.3824,0.3963,29.0,14.94,-28.04
0.2183,2.6542,8.4483,0.4734,-0.7549,-0.8638,0.0741,0.5858,0.2621,27.33,15.6,-27.29
0.2183,2.6542,8.4483,0.4734,-0.7549,-0.8638,0.0741,0.5858,0.2621,27.33,15.6,-27.29
-0.3694,2.5895,7.4595,0.4734,-0.7549,-0.8638,0.0741,0.5858,0.2621,27.33,15.6,-27.29
-0.3694,2.5895,7.4595,-0.0647,-0.8506,-2.0109,-0.0995,0.2194,0.3867,27.33,15.6,-27.29
-0.3694,2.5895,7.4595,-0.0647,-0.8506,-2.0109,-0.0995,0.2194,0.3867,28.94,14.42,-26.21
0.4865,2.1622,5.1647,-0.0647,-0.8506,-2.0109,-0.0995,0.2194,0.3867,28.94,14.42,-26.21
0.4865,2.1622,5.1647,1.0473,-1.1059,-4.5063,-0.2689,1.0386,0.6243,28.94,14.42,-26.21
0.4865,2.1622,5.1647,1.0473,-1.1059,-4.5063,-0.2689,1.0386,0.6243,28.94,14.42,-26.21
0.9209999999999999,1.8629,4.7493,1.0473,-1.1059,-4.5063,-0.2689,1.0386,0.6243,28.77,17.52,-25.54
0.9209999999999999,1.8629,4.7493,1.3527,-1.3335,-4.3688,-0.5331,1.0215,0.1033,28.77,17.52,-25.54
0.9209999999999999,1.8629,4.7493,1.3527,-1.3335,-4.3688,-0.5331,1.0215,0.1033,28.77,17.52,-25.54
0.253,1.2799,5.5094,1.3527,-1.3335,-4.3688,-0.5331,1.0215,0.1033,28.77,17.52,-25.54
