ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-1.861,4.2894,6.3749,-1.9784,4.4966,8.4875,0.2246,-0.1899,-2.0779,0.806,0.9992,-2.2449,-0.39,22.38,-36.65,13.11,-27.29,13.12,8,2020-06-13 23:38:29:485
-1.861,4.2894,6.3749,-1.9784,4.4966,8.4875,0.2246,-0.1899,-2.0779,0.806,0.9992,-2.2449,-0.39,22.38,-36.65,13.11,-27.29,13.12,18,2020-06-13 23:38:29:495
-2.9827,3.5197,6.0649,-2.469,4.5026,8.3547,-0.0065,-0.8081,-2.5065,0.806,0.9992,-2.2449,-0.39,22.38,-36.65,13.11,-27.29,13.12,28,2020-06-13 23:38:29:505
-2.9827,3.5197,6.0649,-2.469,4.5026,8.3547,-0.0065,-0.8081,-2.5065,0.1584,1.4349,-2.3407,-2.63,21.35,-41.33,13.11,-27.29,13.12,38,2020-06-13 23:38:29:515
-2.9827,3.5197,6.0649,-2.469,4.5026,8.3547,-0.0065,-0.8081,-2.5065,0.1584,1.4349,-2.3407,-2.63,21.35,-41.33,13.11,-27.29,13.12,49,2020-06-13 23:38:29:526
-5.2153,1.6714,6.2516,-3.3095,4.2967,8.1704,-1.6964,-2.6273,-2.0995,0.1584,1.4349,-2.3407,-2.63,21.35,-41.33,13.11,-27.29,13.12,58,2020-06-13 23:38:29:535
-5.2153,1.6714,6.2516,-3.3095,4.2967,8.1704,-1.6964,-2.6273,-2.0995,0.2478,1.8311,-2.4302,-2.63,21.35,-41.33,13.11,-27.29,13.12,68,2020-06-13 23:38:29:545
-5.2153,1.6714,6.2516,-3.3095,4.2967,8.1704,-1.6964,-2.6273,-2.0995,0.2478,1.8311,-2.4302,-2.63,21.36,-39.91,27.2,-25.99,22.05,79,2020-06-13 23:38:29:556
-7.5114,-1.0796,5.0497,-4.0582,4.1254,7.9172,-3.4352,-5.4364,-3.1648,0.2478,1.8311,-2.4302,-2.63,21.36,-39.91,27.2,-25.99,22.05,88,2020-06-13 23:38:29:565
-7.5114,-1.0796,5.0497,-4.0582,4.1254,7.9172,-3.4352,-5.4364,-3.1648,0.9232,1.3337,-2.2768,-2.63,21.36,-39.91,27.2,-25.99,22.05,98,2020-06-13 23:38:29:575
-9.1394,-3.2152,2.8543,-4.0582,4.1254,7.9172,-3.4352,-5.4364,-3.1648,0.9232,1.3337,-2.2768,-2.63,21.36,-39.91,27.2,-25.99,22.05,108,2020-06-13 23:38:29:585
-9.1394,-3.2152,2.8543,-4.5954,4.0743,7.6454,-4.9845,-8.0252,-5.8398,0.9232,1.3337,-2.2768,-2.53,18.77,-40.71,27.2,-25.99,22.05,118,2020-06-13 23:38:29:595
-9.1394,-3.2152,2.8543,-4.5954,4.0743,7.6454,-4.9845,-8.0252,-5.8398,1.1576,0.4111,-1.659,-2.53,18.77,-40.71,27.2,-25.99,22.05,128,2020-06-13 23:38:29:605
-11.3098,-5.0863,0.3439,-4.5954,4.0743,7.6454,-4.9845,-8.0252,-5.8398,1.1576,0.4111,-1.659,-2.53,18.77,-40.71,27.2,-25.99,22.05,138,2020-06-13 23:38:29:615
-11.3098,-5.0863,0.3439,-4.8483,4.0543,7.4985,-7.1501,-9.497,-7.6691,1.1576,0.4111,-1.659,-2.53,18.77,-40.71,27.2,-25.99,22.05,148,2020-06-13 23:38:29:625
-11.3098,-5.0863,0.3439,-4.8483,4.0543,7.4985,-7.1501,-9.497,-7.6691,0.349,-0.3654,-0.5159,-2.12,16.7,-39.69,38.98,-24.42,32.89,158,2020-06-13 23:38:29:635
-13.4286,-5.5579,-0.2522,-4.8483,4.0543,7.4985,-7.1501,-9.497,-7.6691,0.349,-0.3654,-0.5159,-2.12,16.7,-39.69,38.98,-24.42,32.89,168,2020-06-13 23:38:29:645
-13.4286,-5.5579,-0.2522,-4.8497,4.0081,7.5224,-8.8351,-9.5981,-7.5122,0.349,-0.3654,-0.5159,-2.12,16.7,-39.69,38.98,-24.42,32.89,178,2020-06-13 23:38:29:655
-13.4286,-5.5579,-0.2522,-4.8497,4.0081,7.5224,-8.8351,-9.5981,-7.5122,-0.8291,-0.7159,1.344,-2.12,16.7,-39.69,38.98,-24.42,32.89,188,2020-06-13 23:38:29:665
-13.188,-5.3413,0.7103,-4.8497,4.0081,7.5224,-8.8351,-9.5981,-7.5122,-0.8291,-0.7159,1.344,-2.19,18.64,-39.62,38.98,-24.42,32.89,198,2020-06-13 23:38:29:675
-13.188,-5.3413,0.7103,-4.5722,3.9616,7.7183,-6.6164,-9.2604,-5.9895,-0.8291,-0.7159,1.344,-2.19,18.64,-39.62,38.98,-24.42,32.89,208,2020-06-13 23:38:29:685
-9.125,-5.206,2.5861,-4.5722,3.9616,7.7183,-6.6164,-9.2604,-5.9895,-1.8678,-0.7478,3.4213,-2.19,18.64,-39.62,38.98,-24.42,32.89,218,2020-06-13 23:38:29:695
-9.125,-5.206,2.5861,-4.5722,3.9616,7.7183,-6.6164,-9.2604,-5.9895,-1.8678,-0.7478,3.4213,-2.19,18.64,-39.62,38.98,-24.42,32.89,228,2020-06-13 23:38:29:705
-9.125,-5.206,2.5861,-4.0429,3.907,8.035,-1.7054,-9.2065,-4.1261,-1.8678,-0.7478,3.4213,-2.31,21.88,-38.09,29.5,-23.48,26.71,238,2020-06-13 23:38:29:715
-4.7879,-5.3616,4.4081,-4.0429,3.907,8.035,-1.7054,-9.2065,-4.1261,-2.247,-0.7127,3.9816,-2.31,21.88,-38.09,29.5,-23.48,26.71,248,2020-06-13 23:38:29:725
-4.7879,-5.3616,4.4081,-4.0429,3.907,8.035,-1.7054,-9.2065,-4.1261,-2.247,-0.7127,3.9816,-2.31,21.88,-38.09,29.5,-23.48,26.71,258,2020-06-13 23:38:29:735
-3.1395,-4.5248,5.9188,-3.419,3.751,8.3911,0.0066,-8.3207,-2.6318,-2.247,-0.7127,3.9816,-2.31,21.88,-38.09,29.5,-23.48,26.71,268,2020-06-13 23:38:29:745
-3.1395,-4.5248,5.9188,-3.419,3.751,8.3911,0.0066,-8.3207,-2.6318,-2.2939,-1.1292,3.9497,0.04,25.11,-35.87,29.5,-23.48,26.71,278,2020-06-13 23:38:29:755
-3.1395,-4.5248,5.9188,-3.419,3.751,8.3911,0.0066,-8.3207,-2.6318,-2.2939,-1.1292,3.9497,0.04,25.11,-35.87,29.5,-23.48,26.71,288,2020-06-13 23:38:29:765
-0.7417,-4.1454,7.9862,-2.7117,3.4705,8.762,1.6896,-7.5398,-0.9718,-2.2939,-1.1292,3.9497,0.04,25.11,-35.87,29.5,-23.48,26.71,297,2020-06-13 23:38:29:774
