ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
1.9259,0.361,12.0443,3.1809,0.0596,2.0919,0.3628,0.0719,0.5914,-10.14,-31.15,-31.26,5,2020-06-13 12:21:58:935
1.9259,0.361,12.0443,3.1809,0.0596,2.0919,0.3628,0.0719,0.5914,-10.14,-31.15,-31.26,16,2020-06-13 12:21:58:946
1.9259,0.361,12.0443,3.1809,0.0596,2.0919,0.3628,0.0719,0.5914,-10.14,-31.15,-31.26,26,2020-06-13 12:21:58:956
1.8182,1.1052,11.7763,3.0445,0.6533,1.8124,0.5265,0.0255,0.2163,-10.14,-31.15,-31.26,39,2020-06-13 12:21:58:969
1.8182,1.1052,11.7763,3.0445,0.6533,1.8124,0.5265,0.0255,0.2163,-10.14,-31.32,-30.96,46,2020-06-13 12:21:58:976
1.8182,1.1052,11.7763,3.0445,0.6533,1.8124,0.5265,0.0255,0.2163,-10.14,-31.32,-30.96,56,2020-06-13 12:21:58:986
2.5552,1.1148,11.3863,3.0445,0.6533,1.8124,0.5265,0.0255,0.2163,-10.14,-31.32,-30.96,65,2020-06-13 12:21:58:995
2.5552,1.1148,11.3863,3.571,0.6228,0.9658,0.5338,0.0267,-0.1013,-10.14,-31.32,-30.96,75,2020-06-13 12:21:59:005
2.5552,1.1148,11.3863,3.571,0.6228,0.9658,0.5338,0.0267,-0.1013,-10.44,-33.23,-30.06,86,2020-06-13 12:21:59:016
2.4068,1.4617,11.482,3.571,0.6228,0.9658,0.5338,0.0267,-0.1013,-10.44,-33.23,-30.06,95,2020-06-13 12:21:59:025
2.4068,1.4617,11.482,3.571,0.6228,0.9658,0.5338,0.0267,-0.1013,-10.44,-33.23,-30.06,105,2020-06-13 12:21:59:035
1.2487,2.6749,10.264,2.9911,1.265,0.7804,0.2125,-0.0771,-0.3738,-10.14,-32.88,-29.46,115,2020-06-13 12:21:59:045
1.2487,2.6749,10.264,2.9911,1.265,0.7804,0.2125,-0.0771,-0.3738,-10.14,-32.88,-29.46,126,2020-06-13 12:21:59:056
1.2487,2.6749,10.264,2.9911,1.265,0.7804,0.2125,-0.0771,-0.3738,-10.14,-32.88,-29.46,135,2020-06-13 12:21:59:065
2.1292,1.8015,8.948,3.061,1.2925,-0.7334,0.2211,-0.3117,-0.4434,-10.14,-32.88,-29.46,145,2020-06-13 12:21:59:075
2.1292,1.8015,8.948,3.061,1.2925,-0.7334,0.2211,-0.3117,-0.4434,-8.64,-32.53,-28.86,157,2020-06-13 12:21:59:087
2.1292,1.8015,8.948,3.061,1.2925,-0.7334,0.2211,-0.3117,-0.4434,-8.64,-32.53,-28.86,165,2020-06-13 12:21:59:095
2.5911,0.4998,8.7613,3.5878,-0.4524,-1.194,0.5314,-0.2249,-0.4556,-8.64,-32.53,-28.86,175,2020-06-13 12:21:59:105
2.5911,0.4998,8.7613,3.5878,-0.4524,-1.194,0.5314,-0.2249,-0.4556,-8.64,-32.53,-28.86,186,2020-06-13 12:21:59:116
2.5911,0.4998,8.7613,3.5878,-0.4524,-1.194,0.5314,-0.2249,-0.4556,-9.54,-33.57,-27.06,195,2020-06-13 12:21:59:125
0.7175,0.3921,8.8283,3.5878,-0.4524,-1.194,0.5314,-0.2249,-0.4556,-9.54,-33.57,-27.06,206,2020-06-13 12:21:59:136
0.7175,0.3921,8.8283,1.3699,-0.7242,-1.0217,0.904,-0.0771,-0.5778,-9.54,-33.57,-27.06,215,2020-06-13 12:21:59:145
0.7175,0.3921,8.8283,1.3699,-0.7242,-1.0217,0.904,-0.0771,-0.5778,-7.44,-35.13,-26.76,225,2020-06-13 12:21:59:155
0.0284,0.7128,7.7588,1.3699,-0.7242,-1.0217,0.904,-0.0771,-0.5778,-7.44,-35.13,-26.76,235,2020-06-13 12:21:59:165
0.0284,0.7128,7.7588,0.9677,-1.0718,-2.3743,0.9224,-0.1931,-0.6682,-7.44,-35.13,-26.76,246,2020-06-13 12:21:59:176
-0.1224,0.093,7.2658,0.9677,-1.0718,-2.3743,0.9224,-0.1931,-0.6682,-7.74,-36.0,-26.46,255,2020-06-13 12:21:59:185
-0.1224,0.093,7.2658,0.9677,-1.0718,-2.3743,0.9224,-0.1931,-0.6682,-7.74,-36.0,-26.46,266,2020-06-13 12:21:59:196
-0.1224,0.093,7.2658,0.6339,-1.5097,-2.2926,0.7477,-0.2909,-0.7843,-7.74,-36.0,-26.46,275,2020-06-13 12:21:59:205
-0.4742,0.16,6.993,0.6339,-1.5097,-2.2926,0.7477,-0.2909,-0.7843,-7.74,-36.0,-26.46,285,2020-06-13 12:21:59:215
-0.4742,0.16,6.993,0.6339,-1.5097,-2.2926,0.7477,-0.2909,-0.7843,-7.14,-36.52,-26.16,295,2020-06-13 12:21:59:225
-0.4742,0.16,6.993,1.1631,-1.7317,-3.8524,0.3652,-0.4412,-0.8832,-7.14,-36.52,-26.16,305,2020-06-13 12:21:59:235
0.5643,0.1887,6.0096,1.1631,-1.7317,-3.8524,0.3652,-0.4412,-0.8832,-7.14,-36.52,-26.16,315,2020-06-13 12:21:59:245
0.5643,0.1887,6.0096,1.1631,-1.7317,-3.8524,0.3652,-0.4412,-0.8832,-6.24,-36.86,-26.16,326,2020-06-13 12:21:59:256
0.5643,0.1887,6.0096,1.2336,-1.1356,-3.9774,0.3652,-0.4412,-0.8832,-6.24,-36.86,-26.16,335,2020-06-13 12:21:59:265
0.4232,0.8898,5.9067,1.2336,-1.1356,-3.9774,0.0952,-0.6953,-1.0176,-6.24,-36.86,-26.16,345,2020-06-13 12:21:59:275
0.4232,0.8898,5.9067,1.2336,-1.1356,-3.9774,0.0952,-0.6953,-1.0176,-5.34,-36.86,-24.36,355,2020-06-13 12:21:59:285
0.4232,0.8898,5.9067,-0.1742,-0.5324,-4.0854,0.0952,-0.6953,-1.0176,-5.34,-36.86,-24.36,365,2020-06-13 12:21:59:295
-0.7158,1.3182,5.555,-0.1742,-0.5324,-4.0854,0.3604,-0.1259,-0.7159,-5.34,-36.86,-24.36,376,2020-06-13 12:21:59:306
