ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.5263,-7.3919,7.4535,0.3244,3.1329,9.2871,0.7653,-10.7707,3.037,6.0663,0.425,-1.5045,7.69,28.7,-32.06,346.38,-18.63,-2.0,9,2020-06-14 00:06:06:053
-0.5263,-7.3919,7.4535,1.0E-4,4.6793,8.6183,-0.6738,-12.1436,-2.2287,6.0663,0.425,-1.5045,7.69,28.7,-32.06,346.38,-18.63,-2.0,19,2020-06-14 00:06:06:063
-0.5263,-7.3919,7.4535,1.0E-4,4.6793,8.6183,-0.6738,-12.1436,-2.2287,5.3622,0.8117,-1.3713,7.69,28.7,-32.06,346.38,-18.63,-2.0,29,2020-06-14 00:06:06:073
-1.7258,-5.8644,3.4301,1.0E-4,4.6793,8.6183,-0.6738,-12.1436,-2.2287,5.3622,0.8117,-1.3713,7.69,28.7,-32.06,346.38,-18.63,-2.0,39,2020-06-14 00:06:06:083
-1.7258,-5.8644,3.4301,-0.4111,5.9179,7.809,-1.4346,-11.882,-5.5788,5.3622,0.8117,-1.3713,5.55,19.61,-39.45,346.38,-18.63,-2.0,49,2020-06-14 00:06:06:093
-1.7258,-5.8644,3.4301,-0.4111,5.9179,7.809,-1.4346,-11.882,-5.5788,4.6421,0.5315,-1.0017,5.55,19.61,-39.45,346.38,-18.63,-2.0,58,2020-06-14 00:06:06:102
-2.3447,-3.9407,-0.0044,-0.4111,5.9179,7.809,-1.4346,-11.882,-5.5788,4.6421,0.5315,-1.0017,5.55,19.61,-39.45,346.38,-18.63,-2.0,69,2020-06-14 00:06:06:113
-2.3447,-3.9407,-0.0044,-0.6858,6.8844,6.9502,-1.667,-10.6773,-8.3516,4.6421,0.5315,-1.0017,5.04,11.2,-42.56,358.87,-44.59,5.64,79,2020-06-14 00:06:06:123
-1.1943,-2.6227,-3.1648,-0.6858,6.8844,6.9502,-1.667,-10.6773,-8.3516,3.793,-0.1055,-0.3647,5.04,11.2,-42.56,358.87,-44.59,5.64,89,2020-06-14 00:06:06:133
-1.1943,-2.6227,-3.1648,-0.6858,6.8844,6.9502,-1.667,-10.6773,-8.3516,3.793,-0.1055,-0.3647,5.04,11.2,-42.56,358.87,-44.59,5.64,99,2020-06-14 00:06:06:143
-1.1943,-2.6227,-3.1648,-0.719,7.5748,6.1868,0.4079,-10.0838,-10.8348,3.793,-0.1055,-0.3647,5.04,11.2,-42.56,358.87,-44.59,5.64,109,2020-06-14 00:06:06:153
0.5487,-1.7188,-4.8383,-0.719,7.5748,6.1868,0.4079,-10.0838,-10.8348,2.3187,-0.6232,-0.3199,5.04,11.2,-42.56,358.87,-44.59,5.64,119,2020-06-14 00:06:06:163
0.5487,-1.7188,-4.8383,-0.719,7.5748,6.1868,0.4079,-10.0838,-10.8348,2.3187,-0.6232,-0.3199,6.92,4.71,-44.92,358.87,-44.59,5.64,129,2020-06-14 00:06:06:173
0.5487,-1.7188,-4.8383,-0.6996,7.9353,5.7194,1.8703,-9.7055,-10.6015,2.3187,-0.6232,-0.3199,6.92,4.71,-44.92,358.87,-44.59,5.64,139,2020-06-14 00:06:06:183
1.3687,-1.2807,-4.0159,-0.6996,7.9353,5.7194,1.8703,-9.7055,-10.6015,0.9019,-0.4581,-0.7524,6.92,4.71,-44.92,358.87,-44.59,5.64,150,2020-06-14 00:06:06:194
1.3687,-1.2807,-4.0159,-0.6996,7.9353,5.7194,1.8703,-9.7055,-10.6015,0.9019,-0.4581,-0.7524,6.92,4.71,-44.92,358.87,-44.59,5.64,159,2020-06-14 00:06:06:203
0.5344,-0.7384,-2.5638,-0.8278,8.0572,5.5287,1.8389,-9.1344,-8.56,0.9019,-0.4581,-0.7524,5.66,0.78,-45.75,359.44,-54.02,6.97,169,2020-06-14 00:06:06:213
0.5344,-0.7384,-2.5638,-0.8278,8.0572,5.5287,1.8389,-9.1344,-8.56,0.5152,-0.2355,-1.0667,5.66,0.78,-45.75,359.44,-54.02,6.97,179,2020-06-14 00:06:06:223
0.5344,-0.7384,-2.5638,-0.8278,8.0572,5.5287,1.8389,-9.1344,-8.56,0.5152,-0.2355,-1.0667,5.66,0.78,-45.75,359.44,-54.02,6.97,189,2020-06-14 00:06:06:233
-0.4449,-0.2991,-3.3455,-1.0362,8.1242,5.3938,0.7628,-8.6815,-8.5442,0.5152,-0.2355,-1.0667,7.36,-0.52,-45.8,359.44,-54.02,6.97,199,2020-06-14 00:06:06:243
-0.4449,-0.2991,-3.3455,-1.0362,8.1242,5.3938,0.7628,-8.6815,-8.5442,0.5333,-0.343,-0.7226,7.36,-0.52,-45.8,359.44,-54.02,6.97,209,2020-06-14 00:06:06:253
-0.4449,-0.2991,-3.3455,-1.0362,8.1242,5.3938,0.7628,-8.6815,-8.5442,0.5333,-0.343,-0.7226,7.36,-0.52,-45.8,359.44,-54.02,6.97,219,2020-06-14 00:06:06:263
-0.4449,-0.0441,-5.0035,-1.1232,8.1843,5.2846,0.66,-8.3211,-10.2707,0.5333,-0.343,-0.7226,7.36,-0.52,-45.8,359.44,-54.02,6.97,229,2020-06-14 00:06:06:273
-0.4449,-0.0441,-5.0035,-1.1232,8.1843,5.2846,0.66,-8.3211,-10.2707,0.0454,-0.8586,-0.2805,9.3,18.97,-22.38,351.97,-56.57,12.0,240,2020-06-14 00:06:06:284
-0.4449,-0.0441,-5.0035,-1.1232,8.1843,5.2846,0.66,-8.3211,-10.2707,0.0454,-0.8586,-0.2805,9.3,18.97,-22.38,351.97,-56.57,12.0,249,2020-06-14 00:06:06:293
-0.0438,0.3486,-6.5837,-1.0706,8.2028,5.2668,1.0241,-7.8994,-11.7758,0.0454,-0.8586,-0.2805,9.3,18.97,-22.38,351.97,-56.57,12.0,258,2020-06-14 00:06:06:302
