ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.323,-0.304,8.85,0.883,-1.085,-2.22,0.161,0.155,-0.011,-0.8,-38.4,-26.5,4,2020-06-14 09:45:26:735
0.323,-0.304,8.85,0.562,-1.967,-0.708,0.38,-0.139,-0.105,-0.5,-39.5,-27.1,14,2020-06-14 09:45:26:745
-0.297,-0.543,8.039,0.562,-1.967,-0.708,0.38,-0.139,-0.105,-0.5,-39.5,-27.1,24,2020-06-14 09:45:26:755
-0.297,-0.543,8.039,0.562,-1.967,-0.708,0.38,-0.139,-0.105,-0.5,-39.5,-27.1,34,2020-06-14 09:45:26:765
-0.297,-0.543,8.039,0.394,-1.856,-2.632,0.412,-0.468,-0.197,-0.5,-39.5,-27.1,44,2020-06-14 09:45:26:775
0.342,-0.685,7.082,0.394,-1.856,-2.632,0.412,-0.468,-0.197,-0.2,-39.5,-24.7,55,2020-06-14 09:45:26:786
0.342,-0.685,7.082,0.394,-1.856,-2.632,0.412,-0.468,-0.197,-0.2,-39.5,-24.7,64,2020-06-14 09:45:26:795
0.342,-0.685,7.082,0.189,-2.266,-3.341,0.412,-0.468,-0.197,-0.2,-39.5,-24.7,74,2020-06-14 09:45:26:805
0.572,-1.115,5.124,0.189,-2.266,-3.341,0.503,-0.526,-0.298,-0.8,-40.2,-24.1,84,2020-06-14 09:45:26:815
0.572,-1.115,5.124,0.189,-2.266,-3.341,0.503,-0.526,-0.298,-0.8,-40.2,-24.1,94,2020-06-14 09:45:26:825
0.572,-1.115,5.124,0.963,-2.952,-5.987,0.503,-0.526,-0.298,-0.8,-40.2,-24.1,104,2020-06-14 09:45:26:835
