ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
2.079518,-0.517578,4.802216,1.618095,-2.085879,-4.539995,0.562668,-0.318089,-1.30096,7.8865,33.135,-35.003,3,2020-06-13 21:37:41:097
2.079518,-0.517578,4.802216,0.979806,-2.219018,-5.06017,0.443388,-0.459734,-1.35847,5.838,32.8491,-35.1112,13,2020-06-13 21:37:41:107
1.506994,-0.611002,4.878872,0.979806,-2.219018,-5.06017,0.443388,-0.459734,-1.35847,5.838,32.8491,-35.1112,23,2020-06-13 21:37:41:117
1.506994,-0.611002,4.878872,0.979806,-2.219018,-5.06017,0.443388,-0.459734,-1.35847,5.838,32.8491,-35.1112,33,2020-06-13 21:37:41:127
1.506994,-0.611002,4.878872,-0.144532,-2.542957,-4.97542,0.444453,-0.476774,-1.206176,4.1171,32.107,-35.8288,43,2020-06-13 21:37:41:137
0.311639,-1.039797,4.905222,-0.144532,-2.542957,-4.97542,0.444453,-0.476774,-1.206176,4.1171,32.107,-35.8288,53,2020-06-13 21:37:41:147
0.311639,-1.039797,4.905222,-0.144532,-2.542957,-4.97542,0.426348,-0.293594,-0.643856,4.1171,32.107,-35.8288,64,2020-06-13 21:37:41:158
0.462556,-1.032611,5.336412,-0.864922,-3.14952,-4.59026,0.426348,-0.293594,-0.643856,2.8327,31.7848,-37.0924,80,2020-06-13 21:37:41:174
0.462556,-1.032611,5.336412,-0.864922,-3.14952,-4.59026,0.426348,-0.293594,-0.643856,2.8327,31.7848,-37.0924,83,2020-06-13 21:37:41:177
0.462556,-1.032611,5.336412,-0.864922,-3.14952,-4.59026,0.426348,-0.293594,-0.643856,2.8327,31.7848,-37.0924,93,2020-06-13 21:37:41:187
0.462556,-1.032611,5.336412,-0.864922,-3.14952,-4.59026,0.452973,-0.097634,-0.378671,2.8327,31.7848,-37.0924,103,2020-06-13 21:37:41:197
1.665097,0.014223,5.37474,0.110911,-2.362178,-4.028458,0.452973,-0.097634,-0.378671,1.2649,31.6306,-37.5476,113,2020-06-13 21:37:41:207
1.665097,0.014223,5.37474,0.110911,-2.362178,-4.028458,0.452973,-0.097634,-0.378671,1.2649,31.6306,-37.5476,123,2020-06-13 21:37:41:217
1.665097,0.014223,5.37474,0.110911,-2.362178,-4.028458,0.023778,-0.384119,-0.914365,1.2649,31.6306,-37.5476,133,2020-06-13 21:37:41:227
1.399196,0.816716,4.093147,-0.719361,-1.765393,-5.515727,0.023778,-0.384119,-0.914365,0.6003,31.673,-37.6697,143,2020-06-13 21:37:41:237
1.399196,0.816716,4.093147,-0.719361,-1.765393,-5.515727,0.023778,-0.384119,-0.914365,0.6003,31.673,-37.6697,153,2020-06-13 21:37:41:247
1.399196,0.816716,4.093147,-0.719361,-1.765393,-5.515727,-0.473577,-0.792014,-1.577861,0.6003,31.673,-37.6697,163,2020-06-13 21:37:41:257
0.304453,0.246587,6.136509,-0.762264,-1.791727,-3.717636,-0.473577,-0.792014,-1.577861,-0.665,31.4829,-37.9283,173,2020-06-13 21:37:41:267
0.304453,0.246587,6.136509,-0.762264,-1.791727,-3.717636,-0.473577,-0.792014,-1.577861,-0.665,31.4829,-37.9283,184,2020-06-13 21:37:41:278
0.304453,0.246587,6.136509,-0.762264,-1.791727,-3.717636,-0.481032,-0.797339,-1.71205,-0.665,31.4829,-37.9283,193,2020-06-13 21:37:41:287
-1.046609,-1.217064,8.136751,-2.497955,-3.118399,-1.701495,-0.481032,-0.797339,-1.71205,-2.17,31.1966,-37.7416,203,2020-06-13 21:37:41:297
-1.046609,-1.217064,8.136751,-2.497955,-3.118399,-1.701495,-0.481032,-0.797339,-1.71205,-2.17,31.1966,-37.7416,213,2020-06-13 21:37:41:307
-1.046609,-1.217064,8.136751,-2.497955,-3.118399,-1.701495,-0.119997,-0.351104,-1.53526,-2.17,31.1966,-37.7416,223,2020-06-13 21:37:41:317
-1.465822,-1.109266,7.159388,-3.026507,-3.275507,-2.223048,-0.119997,-0.351104,-1.53526,-2.17,31.1966,-37.7416,233,2020-06-13 21:37:41:327
-1.465822,-1.109266,7.159388,-3.026507,-3.275507,-2.223048,-0.119997,-0.351104,-1.53526,-2.17,31.1966,-37.7416,243,2020-06-13 21:37:41:337
-1.465822,-1.109266,7.159388,-3.026507,-3.275507,-2.223048,-0.119997,-0.351104,-1.53526,-2.17,31.1966,-37.7416,256,2020-06-13 21:37:41:350
-1.465822,-1.109266,7.159388,-3.026507,-3.275507,-2.223048,-0.119997,-0.351104,-1.53526,-2.17,31.1966,-37.7416,264,2020-06-13 21:37:41:358
