ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
1.2574,3.8549,15.4214,-0.284,2.7053,9.4218,1.9275,1.2331,4.6778,2.1675,-0.0101,0.3463,11.54,28.65,-34.83,343.22,-12.28,1.93,7,2020-06-13 20:20:13:436
1.9841,3.5233,13.633,-0.284,2.7053,9.4218,1.9275,1.2331,4.6778,2.1675,-0.0101,0.3463,11.54,28.65,-34.83,343.22,-12.28,1.93,16,2020-06-13 20:20:13:445
1.9841,3.5233,13.633,-0.284,2.7053,9.4218,2.7083,-0.333,3.0446,2.4583,-0.237,-0.0936,11.54,28.65,-34.83,343.22,-12.28,1.93,27,2020-06-13 20:20:13:456
2.5299,2.4459,11.7332,-0.2138,3.3772,9.2043,2.7083,-0.333,3.0446,2.4583,-0.237,-0.0936,13.32,24.74,-37.81,343.22,-12.28,1.93,37,2020-06-13 20:20:13:466
2.5299,2.4459,11.7332,-0.2138,3.3772,9.2043,2.7083,-0.333,3.0446,2.4583,-0.237,-0.0936,13.32,24.74,-37.81,343.22,-12.28,1.93,47,2020-06-13 20:20:13:476
2.5299,2.4459,11.7332,-0.2138,3.3772,9.2043,2.4426,-1.8539,1.0733,2.4583,-0.237,-0.0936,13.32,24.74,-37.81,343.22,-12.28,1.93,57,2020-06-13 20:20:13:486
2.0607,2.2711,9.4587,-0.1154,4.0539,8.9288,2.4426,-1.8539,1.0733,2.5371,-0.5598,-0.6252,13.32,24.74,-37.81,343.22,-12.28,1.93,66,2020-06-13 20:20:13:495
2.0607,2.2711,9.4587,-0.1154,4.0539,8.9288,2.4426,-1.8539,1.0733,2.5371,-0.5598,-0.6252,10.19,20.21,-40.78,344.95,-24.42,0.74,77,2020-06-13 20:20:13:506
2.0607,2.2711,9.4587,-0.1154,4.0539,8.9288,2.1375,-2.5724,-1.0543,2.5371,-0.5598,-0.6252,10.19,20.21,-40.78,344.95,-24.42,0.74,87,2020-06-13 20:20:13:516
2.2402,2.0293,7.4272,-0.0899,4.7012,8.6059,2.1375,-2.5724,-1.0543,2.4348,-0.3042,-0.7253,10.19,20.21,-40.78,344.95,-24.42,0.74,97,2020-06-13 20:20:13:526
