ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-3.3323,-2.7304,-1.8815,-4.1329,4.5492,7.6416,2.0289,-6.6284,-9.503,1.132,1.0567,-3.8374,0.63,17.49,-37.24,9.92,-28.63,16.48,11,2020-06-13 23:55:46:822
-3.3323,-2.7304,-1.8815,-4.1329,4.5492,7.6416,2.0289,-6.6284,-9.503,0.3448,-0.5305,-3.9812,0.63,17.49,-37.24,9.92,-28.63,16.48,21,2020-06-13 23:55:46:832
-3.3323,-2.7304,-1.8815,-4.1329,4.5492,7.6416,2.0289,-6.6284,-9.503,0.3448,-0.5305,-3.9812,0.63,17.49,-37.24,9.92,-28.63,16.48,31,2020-06-13 23:55:46:842
-5.7217,-4.2866,-1.2721,-4.6344,3.9776,7.6727,-0.5843,-7.7694,-9.1135,0.3448,-0.5305,-3.9812,-0.95,15.55,-39.42,36.94,-23.93,31.13,41,2020-06-13 23:55:46:852
-5.7217,-4.2866,-1.2721,-4.6344,3.9776,7.6727,-0.5843,-7.7694,-9.1135,-1.2733,-1.0738,-4.2998,-0.95,15.55,-39.42,36.94,-23.93,31.13,52,2020-06-13 23:55:46:863
-5.7217,-4.2866,-1.2721,-4.6344,3.9776,7.6727,-0.5843,-7.7694,-9.1135,-1.2733,-1.0738,-4.2998,-0.95,15.55,-39.42,36.94,-23.93,31.13,61,2020-06-13 23:55:46:872
-10.042,-6.7299,2.652,-4.8142,3.3879,7.8432,-2.7129,-8.7815,-7.639,-1.2733,-1.0738,-4.2998,-0.95,15.55,-39.42,36.94,-23.93,31.13,71,2020-06-13 23:55:46:882
-10.042,-6.7299,2.652,-4.8142,3.3879,7.8432,-2.7129,-8.7815,-7.639,-2.5037,-0.5497,-4.2465,-6.77,16.9,-36.49,36.94,-23.93,31.13,82,2020-06-13 23:55:46:893
-10.042,-6.7299,2.652,-4.8142,3.3879,7.8432,-2.7129,-8.7815,-7.639,-2.5037,-0.5497,-4.2465,-6.77,16.9,-36.49,36.94,-23.93,31.13,91,2020-06-13 23:55:46:902
-16.3903,-7.8552,7.6702,-5.1179,1.7088,8.1889,-11.6943,-9.4741,-0.2252,-2.5037,-0.5497,-4.2465,-6.77,16.9,-36.49,36.94,-23.93,31.13,102,2020-06-13 23:55:46:913
-16.3903,-7.8552,7.6702,-5.1179,1.7088,8.1889,-11.6943,-9.4741,-0.2252,-2.5037,-0.5497,-4.2465,-6.77,16.9,-36.49,36.94,-23.93,31.13,111,2020-06-13 23:55:46:922
