ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.6828,-2.163,12.4562,-0.1262,4.1942,8.8636,0.9106,-6.7558,2.6507,4.4695,-0.309,-0.1527,7.52,25.14,-35.1,348.72,-25.32,0.82,11,2020-06-14 00:04:22:991
1.8356,-3.6725,7.523,-0.1081,5.0899,8.3816,1.9334,-9.2145,-1.7207,4.4695,-0.309,-0.1527,7.52,25.14,-35.1,348.72,-25.32,0.82,21,2020-06-14 00:04:23:001
1.8356,-3.6725,7.523,-0.1081,5.0899,8.3816,1.9334,-9.2145,-1.7207,3.5012,0.4804,-1.0283,7.52,25.14,-35.1,348.72,-25.32,0.82,31,2020-06-14 00:04:23:011
1.8356,-3.6725,7.523,-0.1081,5.0899,8.3816,1.9334,-9.2145,-1.7207,3.5012,0.4804,-1.0283,4.62,19.32,-39.41,348.72,-25.32,0.82,41,2020-06-14 00:04:23:021
-0.4341,-4.441,3.0207,-0.5239,5.9853,7.7506,0.2088,-10.787,-5.1173,3.5012,0.4804,-1.0283,4.62,19.32,-39.41,348.72,-25.32,0.82,51,2020-06-14 00:04:23:031
-0.4341,-4.441,3.0207,-0.5239,5.9853,7.7506,0.2088,-10.787,-5.1173,2.8801,1.0407,-1.6494,4.62,19.32,-39.41,348.72,-25.32,0.82,61,2020-06-14 00:04:23:041
-0.4341,-4.441,3.0207,-0.5239,5.9853,7.7506,0.2088,-10.787,-5.1173,2.8801,1.0407,-1.6494,4.62,19.32,-39.41,348.72,-25.32,0.82,71,2020-06-14 00:04:23:051
-2.6404,-4.708,-0.0726,-0.952,6.473,7.3051,-1.5674,-11.6071,-7.6937,2.8801,1.0407,-1.6494,6.48,13.46,-43.88,359.61,-41.3,7.42,81,2020-06-14 00:04:23:061
-2.6404,-4.708,-0.0726,-0.952,6.473,7.3051,-1.5674,-11.6071,-7.6937,2.6607,-0.0853,-1.0709,6.48,13.46,-43.88,359.61,-41.3,7.42,91,2020-06-14 00:04:23:071
-2.6404,-4.708,-0.0726,-0.952,6.473,7.3051,-1.5674,-11.6071,-7.6937,2.6607,-0.0853,-1.0709,6.48,13.46,-43.88,359.61,-41.3,7.42,101,2020-06-14 00:04:23:081
-2.6882,-3.6857,-2.8894,-1.1663,6.9841,6.7847,-1.5674,-11.6071,-7.6937,2.6607,-0.0853,-1.0709,6.48,13.46,-43.88,359.61,-41.3,7.42,111,2020-06-14 00:04:23:091
-2.6882,-3.6857,-2.8894,-1.1663,6.9841,6.7847,-1.3634,-10.8739,-10.2915,1.8873,-0.5668,-0.354,5.87,7.65,-43.36,359.61,-41.3,7.42,121,2020-06-14 00:04:23:101
-2.6882,-3.6857,-2.8894,-1.1663,6.9841,6.7847,-1.3634,-10.8739,-10.2915,1.8873,-0.5668,-0.354,5.87,7.65,-43.36,359.61,-41.3,7.42,131,2020-06-14 00:04:23:111
-1.7341,-2.5245,-4.1069,-1.1649,7.2439,6.5069,-0.3369,-9.6219,-10.8242,1.8873,-0.5668,-0.354,5.87,7.65,-43.36,359.61,-41.3,7.42,141,2020-06-14 00:04:23:121
-1.7341,-2.5245,-4.1069,-1.1649,7.2439,6.5069,-0.3369,-9.6219,-10.8242,1.8873,-0.5668,-0.354,5.87,7.65,-43.36,359.61,-41.3,7.42,151,2020-06-14 00:04:23:131
-1.7341,-2.5245,-4.1069,-1.1649,7.2439,6.5069,-0.3369,-9.6219,-10.8242,1.1214,-0.3026,-0.2006,5.87,7.65,-43.36,359.61,-41.3,7.42,161,2020-06-14 00:04:23:141
-1.2278,-0.5493,-3.7142,-1.1718,7.479,6.2339,0.3217,-7.7563,-9.9506,1.1214,-0.3026,-0.2006,5.65,4.47,-44.23,2.98,-47.62,10.15,170,2020-06-14 00:04:23:150
-1.2278,-0.5493,-3.7142,-1.1718,7.479,6.2339,0.3217,-7.7563,-9.9506,1.1214,-0.3026,-0.2006,5.65,4.47,-44.23,2.98,-47.62,10.15,181,2020-06-14 00:04:23:161
-1.2278,-0.5493,-3.7142,-1.1718,7.479,6.2339,0.3217,-7.7563,-9.9506,0.3352,0.0032,0.0337,5.65,4.47,-44.23,2.98,-47.62,10.15,192,2020-06-14 00:04:23:172
0.0543,0.91,-3.9273,-1.175,7.5778,6.1129,1.4228,-6.4939,-10.135,0.3352,0.0032,0.0337,4.9,2.53,-45.0,2.98,-47.62,10.15,201,2020-06-14 00:04:23:181
0.0543,0.91,-3.9273,-1.175,7.5778,6.1129,1.4228,-6.4939,-10.135,0.3352,0.0032,0.0337,4.9,2.53,-45.0,2.98,-47.62,10.15,212,2020-06-14 00:04:23:192
-0.1815,2.7308,-4.4552,-1.175,7.5778,6.1129,1.4228,-6.4939,-10.135,0.1339,-0.2621,0.0029,4.9,2.53,-45.0,2.98,-47.62,10.15,221,2020-06-14 00:04:23:201
-0.1815,2.7308,-4.4552,-1.1282,7.6264,6.061,0.8614,-4.692,-10.7199,0.1339,-0.2621,0.0029,4.9,2.53,-45.0,2.98,-47.62,10.15,231,2020-06-14 00:04:23:211
-0.1815,2.7308,-4.4552,-1.1282,7.6264,6.061,0.8614,-4.692,-10.7199,0.1339,-0.2621,0.0029,6.5,3.82,-44.26,3.33,-51.05,10.54,241,2020-06-14 00:04:23:221
0.6624,3.2551,-5.9636,-1.1282,7.6264,6.061,0.8614,-4.692,-10.7199,0.0433,-0.5103,0.1605,6.5,3.82,-44.26,3.33,-51.05,10.54,251,2020-06-14 00:04:23:231
