ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-8.9682,0.1187,5.0964,-2.015,3.7176,8.8482,-6.44,-3.8678,-4.6866,1.3472,0.2716,0.7315,3.99,26.03,-32.08,5.06,-22.28,12.83,9,2020-06-14 00:12:18:776
-8.1949,0.0253,4.0119,-1.9956,4.0685,8.6969,-6.44,-3.8678,-4.6866,1.3472,0.2716,0.7315,3.99,26.03,-32.08,5.06,-22.28,12.83,18,2020-06-14 00:12:18:785
-8.1949,0.0253,4.0119,-1.9956,4.0685,8.6969,-6.44,-3.8678,-4.6866,0.9072,0.131,1.4527,3.99,26.03,-32.08,5.06,-22.28,12.83,29,2020-06-14 00:12:18:796
-8.1949,0.0253,4.0119,-1.9956,4.0685,8.6969,-4.8177,-4.5461,-5.2853,0.9072,0.131,1.4527,3.19,24.57,-30.45,5.06,-22.28,12.83,39,2020-06-14 00:12:18:806
-6.3801,-0.2811,3.5869,-1.8377,4.3478,8.5959,-4.8177,-4.5461,-5.2853,0.9072,0.131,1.4527,3.19,24.57,-30.45,5.06,-22.28,12.83,49,2020-06-14 00:12:18:816
-6.3801,-0.2811,3.5869,-1.8377,4.3478,8.5959,-4.8177,-4.5461,-5.2853,0.5973,0.0447,2.1206,3.19,24.57,-30.45,5.06,-22.28,12.83,59,2020-06-14 00:12:18:826
-4.4911,-0.4092,3.3678,-1.8377,4.3478,8.5959,-3.2366,-4.868,-5.25,0.5973,0.0447,2.1206,3.19,24.57,-30.45,5.06,-22.28,12.83,69,2020-06-14 00:12:18:836
-4.4911,-0.4092,3.3678,-1.5768,4.5916,8.5207,-3.2366,-4.868,-5.25,0.5973,0.0447,2.1206,3.96,25.85,-31.12,3.96,-26.32,12.07,79,2020-06-14 00:12:18:846
-4.4911,-0.4092,3.3678,-1.5768,4.5916,8.5207,-3.2366,-4.868,-5.25,0.4396,0.1619,2.6426,3.96,25.85,-31.12,3.96,-26.32,12.07,89,2020-06-14 00:12:18:856
-2.371,-0.42,3.5079,-1.5768,4.5916,8.5207,-1.0343,-5.1609,-5.0853,0.4396,0.1619,2.6426,3.96,25.85,-31.12,3.96,-26.32,12.07,99,2020-06-14 00:12:18:866
-2.371,-0.42,3.5079,-1.2594,4.8059,8.455,-1.0343,-5.1609,-5.0853,0.4396,0.1619,2.6426,3.96,25.85,-31.12,3.96,-26.32,12.07,109,2020-06-14 00:12:18:876
-2.371,-0.42,3.5079,-1.2594,4.8059,8.455,-1.0343,-5.1609,-5.0853,0.4364,0.3504,2.9206,6.48,24.55,-30.47,3.96,-26.32,12.07,119,2020-06-14 00:12:18:886
-0.0498,-0.2596,3.4061,-1.2594,4.8059,8.455,1.1648,-5.2044,-5.0939,0.4364,0.3504,2.9206,6.48,24.55,-30.47,3.96,-26.32,12.07,129,2020-06-14 00:12:18:896
-0.0498,-0.2596,3.4061,-1.2594,4.8059,8.455,1.1648,-5.2044,-5.0939,0.4364,0.3504,2.9206,6.48,24.55,-30.47,3.96,-26.32,12.07,139,2020-06-14 00:12:18:906
2.3659,-0.5098,3.0147,-0.9268,4.9915,8.3903,1.1648,-5.2044,-5.0939,0.1743,0.6689,3.0665,6.48,24.55,-30.47,3.96,-26.32,12.07,149,2020-06-14 00:12:18:916
2.3659,-0.5098,3.0147,-0.9268,4.9915,8.3903,3.4562,-5.6415,-5.3912,0.1743,0.6689,3.0665,12.37,21.28,-29.91,345.72,-30.6,6.3,159,2020-06-14 00:12:18:926
2.3659,-0.5098,3.0147,-0.9268,4.9915,8.3903,3.4562,-5.6415,-5.3912,0.1743,0.6689,3.0665,12.37,21.28,-29.91,345.72,-30.6,6.3,169,2020-06-14 00:12:18:936
4.1269,-0.335,2.9488,-0.6171,5.0637,8.3755,3.4562,-5.6415,-5.3912,-0.4904,0.8373,3.1294,12.37,21.28,-29.91,345.72,-30.6,6.3,179,2020-06-14 00:12:18:946
4.1269,-0.335,2.9488,-0.6171,5.0637,8.3755,5.5393,-5.4196,-5.3431,-0.4904,0.8373,3.1294,12.37,21.28,-29.91,345.72,-30.6,6.3,189,2020-06-14 00:12:18:956
4.1269,-0.335,2.9488,-0.6171,5.0637,8.3755,5.5393,-5.4196,-5.3431,-0.4904,0.8373,3.1294,12.1,24.99,-28.48,345.72,-30.6,6.3,199,2020-06-14 00:12:18:966
6.794,-0.8857,3.2074,-0.2992,4.8979,8.4907,5.5393,-5.4196,-5.3431,-1.0901,1.0727,2.8109,12.1,24.99,-28.48,345.72,-30.6,6.3,209,2020-06-14 00:12:18:976
6.794,-0.8857,3.2074,-0.2992,4.8979,8.4907,7.2717,-5.4662,-5.1095,-1.0901,1.0727,2.8109,12.1,24.99,-28.48,345.72,-30.6,6.3,219,2020-06-14 00:12:18:986
7.0897,-0.6115,3.448,-0.2992,4.8979,8.4907,7.2717,-5.4662,-5.1095,-1.0901,1.0727,2.8109,12.1,24.99,-28.48,345.72,-30.6,6.3,228,2020-06-14 00:12:18:995
7.0897,-0.6115,3.448,-0.1163,4.5674,8.6773,7.2717,-5.4662,-5.1095,-1.6558,0.6381,2.6117,12.1,24.99,-28.48,341.74,-27.76,0.77,239,2020-06-14 00:12:19:006
7.0897,-0.6115,3.448,-0.1163,4.5674,8.6773,7.4745,-4.9448,-4.8089,-1.6558,0.6381,2.6117,12.1,24.99,-28.48,341.74,-27.76,0.77,249,2020-06-14 00:12:19:016
8.1994,-0.3637,4.1819,-0.1163,4.5674,8.6773,7.4745,-4.9448,-4.8089,-1.6558,0.6381,2.6117,12.1,24.99,-28.48,341.74,-27.76,0.77,259,2020-06-14 00:12:19:026
8.1994,-0.3637,4.1819,0.2302,4.0584,8.9245,7.4745,-4.9448,-4.8089,-1.6558,0.6381,2.6117,12.1,24.99,-28.48,341.74,-27.76,0.77,269,2020-06-14 00:12:19:036
8.1994,-0.3637,4.1819,0.2302,4.0584,8.9245,10.0932,-4.0983,-4.1779,-2.1224,-0.4283,2.6415,17.9,24.33,-24.99,341.74,-27.76,0.77,279,2020-06-14 00:12:19:046
11.3083,-0.2105,4.9049,0.2302,4.0584,8.9245,10.0932,-4.0983,-4.1779,-2.1224,-0.4283,2.6415,17.9,24.33,-24.99,341.74,-27.76,0.77,288,2020-06-14 00:12:19:055
