ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.2964,1.3864,4.4165,-1.1803,3.5328,9.0717,0.9218,-2.1451,-4.6703,1.042,0.4389,-0.2661,5.14,26.39,-32.09,357.74,-19.4,6.42,11,2020-06-14 00:17:20:328
-0.2964,1.3864,4.4165,-1.1803,3.5328,9.0717,0.9218,-2.1451,-4.6703,1.0037,0.2067,-0.4823,5.14,26.39,-32.09,357.74,-19.4,6.42,21,2020-06-14 00:17:20:338
-0.6029,0.3737,1.6153,-1.1803,3.5328,9.0717,0.9218,-2.1451,-4.6703,1.0037,0.2067,-0.4823,5.14,26.39,-32.09,357.74,-19.4,6.42,31,2020-06-14 00:17:20:348
-0.6029,0.3737,1.6153,-1.2961,3.7833,8.9542,0.6462,-3.4778,-7.4927,1.0037,0.2067,-0.4823,3.49,26.4,-32.08,357.74,-19.4,6.42,40,2020-06-14 00:17:20:357
-0.6029,0.3737,1.6153,-1.2961,3.7833,8.9542,0.6462,-3.4778,-7.4927,0.683,0.0384,-0.5537,3.49,26.4,-32.08,357.74,-19.4,6.42,51,2020-06-14 00:17:20:368
-1.1512,-0.8725,-0.8711,-1.2961,3.7833,8.9542,0.6462,-3.4778,-7.4927,0.683,0.0384,-0.5537,3.49,26.4,-32.08,357.74,-19.4,6.42,61,2020-06-14 00:17:20:378
-1.1512,-0.8725,-0.8711,-1.3803,3.9411,8.8731,0.1551,-4.9915,-10.0051,0.683,0.0384,-0.5537,3.49,26.4,-32.08,357.74,-19.4,6.42,71,2020-06-14 00:17:20:388
-1.1512,-0.8725,-0.8711,-1.3803,3.9411,8.8731,0.1551,-4.9915,-10.0051,-0.0563,-0.0703,-0.3545,4.36,25.09,-32.84,1.77,-23.7,8.84,81,2020-06-14 00:17:20:398
-1.4277,-1.7775,-2.6727,-1.4193,3.9347,8.8698,0.1551,-4.9915,-10.0051,-0.0563,-0.0703,-0.3545,4.36,25.09,-32.84,1.77,-23.7,8.84,91,2020-06-14 00:17:20:408
-1.4277,-1.7775,-2.6727,-1.4193,3.9347,8.8698,0.0597,-5.8975,-11.727,-0.0563,-0.0703,-0.3545,4.36,25.09,-32.84,1.77,-23.7,8.84,101,2020-06-14 00:17:20:418
-1.2074,-2.5915,-3.7382,-1.4193,3.9347,8.8698,0.0597,-5.8975,-11.727,-0.8499,-0.0617,-0.0957,4.36,25.09,-32.84,1.77,-23.7,8.84,111,2020-06-14 00:17:20:428
-1.2074,-2.5915,-3.7382,-1.4276,3.705,8.9669,0.0597,-5.8975,-11.727,-0.8499,-0.0617,-0.0957,4.34,25.75,-32.11,1.77,-23.7,8.84,121,2020-06-14 00:17:20:438
-1.2074,-2.5915,-3.7382,-1.4276,3.705,8.9669,0.4242,-6.5381,-12.8711,-0.8499,-0.0617,-0.0957,4.34,25.75,-32.11,1.77,-23.7,8.84,131,2020-06-14 00:17:20:448
-0.2641,-3.7802,-3.9141,-1.4276,3.705,8.9669,0.4242,-6.5381,-12.8711,-2.0547,-0.3099,0.2229,4.34,25.75,-32.11,1.77,-23.7,8.84,141,2020-06-14 00:17:20:458
-0.2641,-3.7802,-3.9141,-1.359,3.1946,9.1716,0.4242,-6.5381,-12.8711,-2.0547,-0.3099,0.2229,4.34,25.75,-32.11,1.77,-23.7,8.84,151,2020-06-14 00:17:20:468
-0.2641,-3.7802,-3.9141,-1.359,3.1946,9.1716,1.4958,-7.1327,-12.6489,-2.0547,-0.3099,0.2229,2.59,28.34,-32.01,2.67,-19.01,8.43,161,2020-06-14 00:17:20:478
0.8145,-4.4339,-3.0175,-1.359,3.1946,9.1716,1.4958,-7.1327,-12.6489,-2.8782,-0.8735,0.3656,2.59,28.34,-32.01,2.67,-19.01,8.43,171,2020-06-14 00:17:20:488
0.8145,-4.4339,-3.0175,-1.1661,2.5682,9.3923,1.4958,-7.1327,-12.6489,-2.8782,-0.8735,0.3656,2.59,28.34,-32.01,2.67,-19.01,8.43,181,2020-06-14 00:17:20:498
