ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
4.1161,1.8246,7.2009,-2.2282,4.0426,8.6523,5.1822,-2.6463,0.3221,2.0657,0.6445,2.9702,11.1,23.45,-27.16,1.31,-18.71,13.65,2,2020-06-14 00:19:04:221
6.8359,2.3393,2.5442,-2.2282,4.0426,8.6523,8.6648,-2.3003,-5.1087,2.0657,0.6445,2.9702,11.1,23.45,-27.16,1.31,-18.71,13.65,12,2020-06-14 00:19:04:231
6.8359,2.3393,2.5442,-2.0268,4.7219,8.3526,8.6648,-2.3003,-5.1087,1.8676,0.7053,1.858,11.1,23.45,-27.16,1.31,-18.71,13.65,21,2020-06-14 00:19:04:240
6.8359,2.3393,2.5442,-2.0268,4.7219,8.3526,8.6648,-2.3003,-5.1087,1.8676,0.7053,1.858,15.36,19.53,-29.46,346.73,-28.78,13.64,32,2020-06-14 00:19:04:251
6.4313,2.5632,-1.0279,-2.0268,4.7219,8.3526,8.6043,-2.483,-9.1234,1.8676,0.7053,1.858,15.36,19.53,-29.46,346.73,-28.78,13.64,42,2020-06-14 00:19:04:261
6.4313,2.5632,-1.0279,-2.034,5.1283,8.1076,8.6043,-2.483,-9.1234,0.8641,1.093,0.9462,15.36,19.53,-29.46,346.73,-28.78,13.64,52,2020-06-14 00:19:04:271
6.4313,2.5632,-1.0279,-2.034,5.1283,8.1076,8.6043,-2.483,-9.1234,0.8641,1.093,0.9462,15.36,19.53,-29.46,346.73,-28.78,13.64,63,2020-06-14 00:19:04:282
5.3156,1.3553,-2.8463,-2.034,5.1283,8.1076,7.6213,-3.7493,-10.8616,0.8641,1.093,0.9462,18.72,17.57,-30.26,346.73,-28.78,13.64,72,2020-06-14 00:19:04:291
5.3156,1.3553,-2.8463,-2.148,5.2459,8.0023,7.6213,-3.7493,-10.8616,-0.0882,1.0089,0.3464,18.72,17.57,-30.26,346.73,-28.78,13.64,83,2020-06-14 00:19:04:302
5.3156,1.3553,-2.8463,-2.148,5.2459,8.0023,7.6213,-3.7493,-10.8616,-0.0882,1.0089,0.3464,18.72,17.57,-30.26,346.73,-28.78,13.64,92,2020-06-14 00:19:04:311
3.9988,-0.0261,-3.6221,-2.148,5.2459,8.0023,6.1887,-5.3533,-11.6903,-0.0882,1.0089,0.3464,18.72,17.57,-30.26,346.73,-28.78,13.64,102,2020-06-14 00:19:04:321
3.9988,-0.0261,-3.6221,-2.305,5.1597,8.0147,6.1887,-5.3533,-11.6903,-0.9894,0.636,0.029,18.77,16.27,-30.3,342.46,-31.75,16.04,112,2020-06-14 00:19:04:331
2.3611,-2.0863,-3.889,-2.305,5.1597,8.0147,6.1887,-5.3533,-11.6903,-0.9894,0.636,0.029,18.77,16.27,-30.3,342.46,-31.75,16.04,122,2020-06-14 00:19:04:341
2.3611,-2.0863,-3.889,-2.305,5.1597,8.0147,4.6781,-7.1339,-11.9749,-0.9894,0.636,0.029,18.77,16.27,-30.3,342.46,-31.75,16.04,132,2020-06-14 00:19:04:351
2.3611,-2.0863,-3.889,-2.3856,4.8497,8.1829,4.6781,-7.1339,-11.9749,-0.9894,0.636,0.029,18.77,16.27,-30.3,342.46,-31.75,16.04,142,2020-06-14 00:19:04:361
2.3611,-2.0863,-3.889,-2.3856,4.8497,8.1829,4.6781,-7.1339,-11.9749,-1.799,-0.0351,0.1717,18.77,16.27,-30.3,342.46,-31.75,16.04,152,2020-06-14 00:19:04:371
1.844,-3.6294,-3.1432,-2.3856,4.8497,8.1829,4.1289,-8.3981,-11.2048,-1.799,-0.0351,0.1717,22.7,17.84,-23.28,342.46,-31.75,16.04,163,2020-06-14 00:19:04:382
1.844,-3.6294,-3.1432,-2.2663,4.3408,8.4966,4.1289,-8.3981,-11.2048,-1.799,-0.0351,0.1717,22.7,17.84,-23.28,342.46,-31.75,16.04,172,2020-06-14 00:19:04:391
1.7087,-4.9714,-2.7075,-2.2663,4.3408,8.4966,4.1289,-8.3981,-11.2048,-2.5873,-0.6679,0.4029,22.7,17.84,-23.28,342.46,-31.75,16.04,182,2020-06-14 00:19:04:401
1.7087,-4.9714,-2.7075,-2.2663,4.3408,8.4966,4.1289,-8.3981,-11.2048,-2.5873,-0.6679,0.4029,22.56,21.71,-23.15,333.15,-26.27,14.94,192,2020-06-14 00:19:04:411
1.7087,-4.9714,-2.7075,-2.0286,3.604,8.892,3.5933,-9.3159,-11.4631,-2.5873,-0.6679,0.4029,22.56,21.71,-23.15,333.15,-26.27,14.94,202,2020-06-14 00:19:04:421
0.9737,-6.196,-2.0993,-2.0286,3.604,8.892,3.5933,-9.3159,-11.4631,-3.7858,-0.947,0.4689,22.56,21.71,-23.15,333.15,-26.27,14.94,212,2020-06-14 00:19:04:431
0.9737,-6.196,-2.0993,-2.0286,3.604,8.892,3.5933,-9.3159,-11.4631,-3.7858,-0.947,0.4689,22.56,21.71,-23.15,333.15,-26.27,14.94,222,2020-06-14 00:19:04:441
0.9737,-6.196,-2.0993,-1.6749,2.4795,9.339,2.5483,-9.1817,-9.4673,-3.7858,-0.947,0.4689,12.65,32.43,-18.32,333.15,-26.27,14.94,232,2020-06-14 00:19:04:451
