ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-18.9724,-7.7271,11.4722,-1.8339,2.3273,9.3483,-16.6157,-10.8951,1.6576,0.0652,1.1015,0.8855,-14.83,23.52,-36.84,34.96,-13.73,11.1,9,2020-06-14 00:20:58:592
-18.9161,-11.1292,11.7703,-2.1556,2.2881,9.2892,-16.6157,-10.8951,1.6576,0.0652,1.1015,0.8855,-14.83,23.52,-36.84,34.96,-13.73,11.1,20,2020-06-14 00:20:58:603
-18.9161,-11.1292,11.7703,-2.1556,2.2881,9.2892,-16.948,-13.6867,2.6736,-0.6635,1.3934,2.0477,-14.83,23.52,-36.84,34.96,-13.73,11.1,29,2020-06-14 00:20:58:612
-18.9161,-11.1292,11.7703,-2.1556,2.2881,9.2892,-16.948,-13.6867,2.6736,-0.6635,1.3934,2.0477,-12.39,24.14,-38.26,34.96,-13.73,11.1,39,2020-06-14 00:20:58:622
-18.7102,-11.7625,13.6222,-2.4715,2.187,9.2347,-16.948,-13.6867,2.6736,-0.6635,1.3934,2.0477,-12.39,24.14,-38.26,34.96,-13.73,11.1,49,2020-06-14 00:20:58:632
-18.7102,-11.7625,13.6222,-2.4715,2.187,9.2347,-16.948,-13.6867,2.6736,-0.2683,0.8512,5.3319,-12.39,24.14,-38.26,34.96,-13.73,11.1,59,2020-06-14 00:20:58:642
-18.7102,-11.7625,13.6222,-2.4715,2.187,9.2347,-9.7044,-13.6695,3.3551,-0.2683,0.8512,5.3319,-12.39,24.14,-38.26,34.96,-13.73,11.1,68,2020-06-14 00:20:58:651
1.9876,-10.0303,11.8206,-2.3921,2.4194,9.1975,-9.7044,-13.6695,3.3551,-0.2683,0.8512,5.3319,2.92,31.86,-33.45,7.87,-14.28,14.58,79,2020-06-14 00:20:58:662
1.9876,-10.0303,11.8206,-2.3921,2.4194,9.1975,-9.7044,-13.6695,3.3551,-0.8052,1.2198,8.3412,2.92,31.86,-33.45,7.87,-14.28,14.58,89,2020-06-14 00:20:58:672
1.9876,-10.0303,11.8206,-2.3921,2.4194,9.1975,14.1181,-12.0312,2.8564,-0.8052,1.2198,8.3412,2.92,31.86,-33.45,7.87,-14.28,14.58,98,2020-06-14 00:20:58:681
24.565,-3.9035,11.9846,-2.0202,2.6773,9.2153,14.1181,-12.0312,2.8564,-0.8052,1.2198,8.3412,2.92,31.86,-33.45,7.87,-14.28,14.58,109,2020-06-14 00:20:58:692
24.565,-3.9035,11.9846,-2.0202,2.6773,9.2153,14.1181,-12.0312,2.8564,-0.33,1.6576,6.3513,11.91,33.76,-31.32,7.87,-14.28,14.58,119,2020-06-14 00:20:58:702
24.565,-3.9035,11.9846,-2.0202,2.6773,9.2153,29.391,-1.2345,2.0163,-0.33,1.6576,6.3513,11.91,33.76,-31.32,7.87,-14.28,14.58,129,2020-06-14 00:20:58:712
26.9508,8.5774,10.6725,-1.7751,2.8841,9.2033,29.391,-1.2345,2.0163,-0.33,1.6576,6.3513,11.91,33.76,-31.32,7.87,-14.28,14.58,139,2020-06-14 00:20:58:722
26.9508,8.5774,10.6725,-1.7751,2.8841,9.2033,29.391,-1.2345,2.0163,0.2271,1.0589,2.8711,11.91,33.76,-31.32,7.87,-14.28,14.58,150,2020-06-14 00:20:58:733
26.9508,8.5774,10.6725,-1.6066,3.1476,9.1478,26.0025,6.4303,-0.4879,0.2271,1.0589,2.8711,22.63,33.7,-29.98,338.28,-17.1,10.92,159,2020-06-14 00:20:58:742
25.0091,9.0132,8.8673,-1.6066,3.1476,9.1478,26.0025,6.4303,-0.4879,0.2271,1.0589,2.8711,22.63,33.7,-29.98,338.28,-17.1,10.92,169,2020-06-14 00:20:58:752
25.0091,9.0132,8.8673,-1.6066,3.1476,9.1478,24.1993,5.1986,-1.2317,1.1603,-0.0458,-0.0115,22.63,33.7,-29.98,338.28,-17.1,10.92,179,2020-06-14 00:20:58:762
19.4701,8.4266,4.9719,-1.4158,3.4795,9.0586,24.1993,5.1986,-1.2317,1.1603,-0.0458,-0.0115,22.63,33.7,-29.98,338.28,-17.1,10.92,189,2020-06-14 00:20:58:772
19.4701,8.4266,4.9719,-1.4158,3.4795,9.0586,24.1993,5.1986,-1.2317,1.1603,-0.0458,-0.0115,23.59,29.81,-30.12,338.28,-17.1,10.92,199,2020-06-14 00:20:58:782
19.4701,8.4266,4.9719,-1.4158,3.4795,9.0586,24.1993,5.1986,-1.2317,1.1603,-0.0458,-0.0115,23.59,29.81,-30.12,338.28,-17.1,10.92,209,2020-06-14 00:20:58:792
14.7607,5.5739,3.5091,-1.2114,3.7457,8.9818,17.5366,2.7292,-5.5078,0.894,-1.2367,-2.0217,23.59,29.81,-30.12,338.28,-17.1,10.92,219,2020-06-14 00:20:58:802
14.7607,5.5739,3.5091,-1.2114,3.7457,8.9818,17.5366,2.7292,-5.5078,0.894,-1.2367,-2.0217,23.59,29.81,-30.12,338.28,-17.1,10.92,229,2020-06-14 00:20:58:812
14.7607,5.5739,3.5091,-1.2114,3.7457,8.9818,17.5366,2.7292,-5.5078,0.894,-1.2367,-2.0217,21.07,31.09,-34.32,339.1,-22.45,7.68,239,2020-06-14 00:20:58:822
9.8777,3.2779,4.0226,-0.9199,3.8092,8.9897,11.9368,0.0275,-5.2754,0.3102,-2.1795,-3.0837,21.07,31.09,-34.32,339.1,-22.45,7.68,249,2020-06-14 00:20:58:832
9.8777,3.2779,4.0226,-0.9199,3.8092,8.9897,11.9368,0.0275,-5.2754,0.3102,-2.1795,-3.0837,21.07,31.09,-34.32,339.1,-22.45,7.68,260,2020-06-14 00:20:58:843
9.8777,3.2779,4.0226,-0.9199,3.8092,8.9897,11.9368,0.0275,-5.2754,0.3102,-2.1795,-3.0837,21.07,31.09,-34.32,339.1,-22.45,7.68,269,2020-06-14 00:20:58:852
5.0115,0.8142,5.2964,-0.5905,3.6482,9.0836,6.4171,-2.7442,-4.0104,-0.6624,-2.5278,-3.8145,15.3,31.13,-34.28,339.1,-22.45,7.68,283,2020-06-14 00:20:58:866
5.0115,0.8142,5.2964,-0.5905,3.6482,9.0836,6.4171,-2.7442,-4.0104,-0.6624,-2.5278,-3.8145,15.3,31.13,-34.28,339.1,-22.45,7.68,289,2020-06-14 00:20:58:872
0.0735,-1.0042,8.7548,-0.5905,3.6482,9.0836,6.4171,-2.7442,-4.0104,-0.6624,-2.5278,-3.8145,15.3,31.13,-34.28,339.1,-22.45,7.68,300,2020-06-14 00:20:58:883
0.0735,-1.0042,8.7548,-0.2962,3.274,9.2393,0.606,-4.2278,-0.6393,-1.244,-2.6162,-3.9509,15.3,31.13,-34.28,339.1,-22.45,7.68,310,2020-06-14 00:20:58:893
0.0735,-1.0042,8.7548,-0.2962,3.274,9.2393,0.606,-4.2278,-0.6393,-1.244,-2.6162,-3.9509,6.82,32.92,-34.44,352.09,-19.5,1.84,319,2020-06-14 00:20:58:902
-4.2948,-3.1685,13.0548,-0.2962,3.274,9.2393,0.606,-4.2278,-0.6393,-1.244,-2.6162,-3.9509,6.82,32.92,-34.44,352.09,-19.5,1.84,329,2020-06-14 00:20:58:912
