ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-9.8349,-9.3863,5.5705,-3.7308,4.1997,8.0383,-7.5744,-13.5297,-2.6014,2.1158,2.8954,2.429,-11.02,15.43,-35.71,38.56,-12.88,10.63,2,2020-06-14 00:22:39:149
-9.8349,-9.3863,5.5705,-3.7308,4.1997,8.0383,-4.2613,-13.4174,-4.1629,2.1158,2.8954,2.429,-11.02,15.43,-35.71,38.56,-12.88,10.63,12,2020-06-14 00:22:39:159
-6.7141,-8.8212,2.725,-3.7308,4.1997,8.0383,-4.2613,-13.4174,-4.1629,1.8239,2.8571,3.6381,-4.34,12.79,-36.56,37.09,-25.36,24.9,23,2020-06-14 00:22:39:170
-6.7141,-8.8212,2.725,-3.9437,4.9802,7.471,-4.2613,-13.4174,-4.1629,1.8239,2.8571,3.6381,-4.34,12.79,-36.56,37.09,-25.36,24.9,32,2020-06-14 00:22:39:179
-3.9991,-8.923,0.3212,-3.9437,4.9802,7.471,-1.0204,-14.1214,-6.2741,1.8239,2.8571,3.6381,-4.34,12.79,-36.56,37.09,-25.36,24.9,42,2020-06-14 00:22:39:189
-3.9991,-8.923,0.3212,-3.9437,4.9802,7.471,-1.0204,-14.1214,-6.2741,1.3094,2.5322,4.4903,-4.34,12.79,-36.56,37.09,-25.36,24.9,52,2020-06-14 00:22:39:199
-3.9991,-8.923,0.3212,-3.8623,5.6183,7.0489,-1.0204,-14.1214,-6.2741,1.3094,2.5322,4.4903,4.0,10.13,-39.55,37.09,-25.36,24.9,62,2020-06-14 00:22:39:209
-1.7988,-8.4896,-1.7115,-3.8623,5.6183,7.0489,1.6656,-14.6323,-8.4709,1.3094,2.5322,4.4903,4.0,10.13,-39.55,37.09,-25.36,24.9,74,2020-06-14 00:22:39:221
-1.7988,-8.4896,-1.7115,-3.8623,5.6183,7.0489,1.6656,-14.6323,-8.4709,0.7821,1.2752,5.0826,4.0,10.13,-39.55,37.09,-25.36,24.9,82,2020-06-14 00:22:39:229
-1.7988,-8.4896,-1.7115,-3.3437,6.3133,6.7181,1.6656,-14.6323,-8.4709,0.7821,1.2752,5.0826,4.0,10.13,-39.55,37.09,-25.36,24.9,93,2020-06-14 00:22:39:240
