ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
1.1521,-3.1961,-5.2214,-1.5955,5.4049,8.0257,1.7278,-8.0699,-13.0108,-1.6595,0.0501,0.0098,12.83,16.06,-33.87,349.53,-33.45,11.24,9,2020-06-14 00:23:42:336
1.1521,-3.1961,-5.2214,-1.5803,4.9885,8.2939,3.2943,-8.0515,-13.0834,-1.6595,0.0501,0.0098,12.83,16.06,-33.87,349.53,-33.45,11.24,19,2020-06-14 00:23:42:346
1.1521,-3.1961,-5.2214,-1.5803,4.9885,8.2939,3.2943,-8.0515,-13.0834,-3.1093,-0.4527,0.1419,12.83,16.06,-33.87,349.53,-33.45,11.24,29,2020-06-14 00:23:42:356
4.0455,-5.2287,-4.3463,-1.5803,4.9885,8.2939,3.2943,-8.0515,-13.0834,-3.1093,-0.4527,0.1419,12.71,19.3,-33.06,349.53,-33.45,11.24,39,2020-06-14 00:23:42:366
4.0455,-5.2287,-4.3463,-1.4046,4.1397,8.7784,5.503,-9.0648,-12.3625,-3.1093,-0.4527,0.1419,12.71,19.3,-33.06,349.53,-33.45,11.24,49,2020-06-14 00:23:42:376
4.0455,-5.2287,-4.3463,-1.4046,4.1397,8.7784,5.503,-9.0648,-12.3625,-4.6028,-1.6469,-0.3524,12.71,19.3,-33.06,349.53,-33.45,11.24,60,2020-06-14 00:23:42:387
4.5279,-6.0894,-1.6313,-0.9419,2.8298,9.3421,5.503,-9.0648,-12.3625,-4.6028,-1.6469,-0.3524,12.71,19.3,-33.06,349.53,-33.45,11.24,69,2020-06-14 00:23:42:396
4.5279,-6.0894,-1.6313,-0.9419,2.8298,9.3421,5.2769,-8.7042,-9.8581,-4.6028,-1.6469,-0.3524,14.62,29.27,-25.37,340.66,-16.77,5.76,79,2020-06-14 00:23:42:406
4.5279,-6.0894,-1.6313,-0.9419,2.8298,9.3421,5.2769,-8.7042,-9.8581,-5.8066,-3.1872,-1.0086,14.62,29.27,-25.37,340.66,-16.77,5.76,89,2020-06-14 00:23:42:416
4.7912,-9.1205,3.4468,-0.0205,1.0422,9.7511,5.2769,-8.7042,-9.8581,-5.8066,-3.1872,-1.0086,14.62,29.27,-25.37,340.66,-16.77,5.76,99,2020-06-14 00:23:42:426
