ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
9.6622,5.8217,7.8773,0.2523,4.2455,8.8364,7.7507,0.0943,-0.1657,-2.0526,-0.8522,-5.6734,10.87,27.48,-28.56,342.17,-25.65,-1.64,5,2020-06-14 00:28:06:859
2.1086,-2.2444,14.095,-0.2535,3.6472,9.0997,7.7507,0.0943,-0.1657,-2.0526,-0.8522,-5.6734,10.87,27.48,-28.56,342.17,-25.65,-1.64,15,2020-06-14 00:28:06:869
2.1086,-2.2444,14.095,-0.2535,3.6472,9.0997,7.7507,0.0943,-0.1657,-2.0526,-0.8522,-5.6734,10.87,27.48,-28.56,342.17,-25.65,-1.64,25,2020-06-14 00:28:06:879
2.1086,-2.2444,14.095,-0.2535,3.6472,9.0997,-5.4361,-12.2978,12.901,-2.4925,0.816,-8.3791,4.11,32.06,-26.93,342.17,-25.65,-1.64,35,2020-06-14 00:28:06:889
-17.2977,-16.0661,28.9487,-1.3981,2.545,9.3669,-5.4361,-12.2978,12.901,-2.4925,0.816,-8.3791,4.11,32.06,-26.93,342.17,-25.65,-1.64,45,2020-06-14 00:28:06:899
-17.2977,-16.0661,28.9487,-1.3981,2.545,9.3669,-5.4361,-12.2978,12.901,-2.4925,0.816,-8.3791,4.11,32.06,-26.93,342.17,-25.65,-1.64,55,2020-06-14 00:28:06:909
-17.2977,-16.0661,28.9487,-1.3981,2.545,9.3669,-24.1654,-20.8427,20.3491,1.498,0.7894,-5.4912,4.11,32.06,-26.93,342.17,-25.65,-1.64,65,2020-06-14 00:28:06:919
-29.6446,-16.77,27.6642,-1.3981,2.545,9.3669,-24.1654,-20.8427,20.3491,1.498,0.7894,-5.4912,-7.45,29.54,-27.51,17.12,-15.04,8.49,75,2020-06-14 00:28:06:929
-29.6446,-16.77,27.6642,-2.1452,2.5234,9.2304,-24.1654,-20.8427,20.3491,1.498,0.7894,-5.4912,-7.45,29.54,-27.51,17.12,-15.04,8.49,85,2020-06-14 00:28:06:939
-29.6446,-16.77,27.6642,-2.1452,2.5234,9.2304,-24.3508,-15.047,10.033,1.498,0.7894,-5.4912,-7.45,29.54,-27.51,17.12,-15.04,8.49,95,2020-06-14 00:28:06:949
