ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
5.5275,3.8441,14.7032,0.0496,3.0906,9.3068,5.96,0.9338,5.2687,0.9451,-1.2133,-2.5798,11.71,25.98,-32.38,340.69,-18.37,-0.31,9,2020-06-14 00:29:38:314
5.5275,3.8441,14.7032,0.0496,3.0906,9.3068,5.96,0.9338,5.2687,0.9451,-1.2133,-2.5798,11.71,25.98,-32.38,340.69,-18.37,-0.31,19,2020-06-14 00:29:38:324
5.5275,3.8441,14.7032,0.1076,3.4408,9.1826,5.96,0.9338,5.2687,1.5331,-0.997,-3.3607,11.71,25.98,-32.38,340.69,-18.37,-0.31,29,2020-06-14 00:29:38:334
0.6912,0.655,13.6737,0.1076,3.4408,9.1826,0.8701,-2.8537,4.3547,1.5331,-0.997,-3.3607,11.71,25.98,-32.38,340.69,-18.37,-0.31,39,2020-06-14 00:29:38:344
0.6912,0.655,13.6737,0.1076,3.4408,9.1826,0.8701,-2.8537,4.3547,1.5331,-0.997,-3.3607,5.12,26.02,-33.04,340.69,-18.37,-0.31,49,2020-06-14 00:29:38:354
-4.7437,-1.6997,13.0847,-0.0158,3.7813,9.0483,0.8701,-2.8537,4.3547,1.662,-0.589,-3.1008,5.12,26.02,-33.04,340.69,-18.37,-0.31,59,2020-06-14 00:29:38:364
-4.7437,-1.6997,13.0847,-0.0158,3.7813,9.0483,0.8701,-2.8537,4.3547,1.662,-0.589,-3.1008,5.12,26.02,-33.04,340.69,-18.37,-0.31,69,2020-06-14 00:29:38:374
-4.7437,-1.6997,13.0847,-0.2551,4.1847,8.8653,-4.8491,-5.8843,3.8475,1.662,-0.589,-3.1008,5.12,26.02,-33.04,340.69,-18.37,-0.31,79,2020-06-14 00:29:38:384
-7.8298,-2.3222,11.6338,-0.2551,4.1847,8.8653,-4.8491,-5.8843,3.8475,1.825,-0.3153,-2.1442,3.32,25.55,-34.5,356.96,-25.26,1.65,89,2020-06-14 00:29:38:394
-7.8298,-2.3222,11.6338,-0.2551,4.1847,8.8653,-8.3075,-7.0974,1.1444,1.825,-0.3153,-2.1442,3.32,25.55,-34.5,356.96,-25.26,1.65,99,2020-06-14 00:29:38:404
-7.8298,-2.3222,11.6338,-0.5137,4.5976,8.6469,-8.3075,-7.0974,1.1444,1.825,-0.3153,-2.1442,3.32,25.55,-34.5,356.96,-25.26,1.65,109,2020-06-14 00:29:38:414
-9.2926,-2.4072,7.936,-0.5137,4.5976,8.6469,-8.3075,-7.0974,1.1444,1.7185,0.1215,-1.0682,3.32,25.55,-34.5,356.96,-25.26,1.65,119,2020-06-14 00:29:38:424
-9.2926,-2.4072,7.936,-0.5137,4.5976,8.6469,-8.672,-7.1581,-2.6396,1.7185,0.1215,-1.0682,1.81,21.68,-34.61,356.96,-25.26,1.65,129,2020-06-14 00:29:38:434
-9.0879,-1.7727,4.4141,-0.7382,4.9697,8.4219,-8.672,-7.1581,-2.6396,1.7185,0.1215,-1.0682,1.81,21.68,-34.61,356.96,-25.26,1.65,139,2020-06-14 00:29:38:444
-9.0879,-1.7727,4.4141,-0.7382,4.9697,8.4219,-8.672,-7.1581,-2.6396,1.2913,0.0757,0.0673,1.81,21.68,-34.61,356.96,-25.26,1.65,149,2020-06-14 00:29:38:454
-9.0879,-1.7727,4.4141,-0.7382,4.9697,8.4219,-8.672,-7.1581,-2.6396,1.2913,0.0757,0.0673,1.81,21.68,-34.61,356.96,-25.26,1.65,159,2020-06-14 00:29:38:464
-6.6997,-0.5768,1.5255,-0.7778,5.2428,8.251,-7.0673,-6.4382,-6.0313,1.2913,0.0757,0.0673,-2.24,19.74,-38.2,8.31,-30.45,5.01,169,2020-06-14 00:29:38:474
-6.6997,-0.5768,1.5255,-0.7778,5.2428,8.251,-7.0673,-6.4382,-6.0313,0.5967,0.0895,0.7161,-2.24,19.74,-38.2,8.31,-30.45,5.01,179,2020-06-14 00:29:38:484
-6.6997,-0.5768,1.5255,-0.7778,5.2428,8.251,-7.0673,-6.4382,-6.0313,0.5967,0.0895,0.7161,-2.24,19.74,-38.2,8.31,-30.45,5.01,189,2020-06-14 00:29:38:494
-4.0051,0.1259,0.1955,-0.7212,5.3778,8.1688,-3.5206,-5.3545,-7.9346,0.5967,0.0895,0.7161,-2.24,19.74,-38.2,8.31,-30.45,5.01,199,2020-06-14 00:29:38:504
