ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-2.0215,1.6103,0.4816,-0.81,7.0793,6.7378,-0.8382,-5.2489,-6.1843,0.8002,-0.1725,-0.7732,8.88,11.23,-42.14,350.47,-41.18,2.49,11,2020-06-14 00:31:37:218
-2.5314,0.6059,-0.1014,-0.9548,7.2212,6.5661,-1.448,-6.3462,-6.5148,0.8002,-0.1725,-0.7732,8.88,11.23,-42.14,350.47,-41.18,2.49,21,2020-06-14 00:31:37:228
-2.5314,0.6059,-0.1014,-0.9548,7.2212,6.5661,-1.448,-6.3462,-6.5148,0.5541,-0.2141,-0.4461,7.26,10.61,-39.3,357.94,-47.42,8.27,31,2020-06-14 00:31:37:238
-2.5314,0.6059,-0.1014,-1.0188,7.3025,6.4658,-1.448,-6.3462,-6.5148,0.5541,-0.2141,-0.4461,7.26,10.61,-39.3,357.94,-47.42,8.27,41,2020-06-14 00:31:37:248
-2.4177,-0.2332,-1.4146,-1.0188,7.3025,6.4658,-1.4971,-7.4051,-7.6157,0.5541,-0.2141,-0.4461,7.26,10.61,-39.3,357.94,-47.42,8.27,51,2020-06-14 00:31:37:258
-2.4177,-0.2332,-1.4146,-1.0188,7.3025,6.4658,-1.4971,-7.4051,-7.6157,0.0194,-0.1629,0.0641,7.26,10.61,-39.3,357.94,-47.42,8.27,61,2020-06-14 00:31:37:268
-2.4177,-0.2332,-1.4146,-1.0044,7.3236,6.4441,-1.4971,-7.4051,-7.6157,0.0194,-0.1629,0.0641,6.29,8.39,-38.52,357.94,-47.42,8.27,71,2020-06-14 00:31:37:278
-1.7617,-1.1107,-2.4657,-1.0044,7.3236,6.4441,-0.8635,-8.3322,-8.7912,0.0194,-0.1629,0.0641,6.29,8.39,-38.52,357.94,-47.42,8.27,81,2020-06-14 00:31:37:288
-1.7617,-1.1107,-2.4657,-1.0044,7.3236,6.4441,-0.8635,-8.3322,-8.7912,-0.7785,-0.0543,0.4647,6.29,8.39,-38.52,357.94,-47.42,8.27,91,2020-06-14 00:31:37:298
-1.7617,-1.1107,-2.4657,-0.9126,7.2085,6.586,-0.8635,-8.3322,-8.7912,-0.7785,-0.0543,0.4647,6.29,8.39,-38.52,357.94,-47.42,8.27,101,2020-06-14 00:31:37:308
-1.0123,-1.58,-3.1073,-0.9126,7.2085,6.586,-0.1366,-8.6527,-9.7267,-0.7785,-0.0543,0.4647,8.71,9.66,-39.92,354.69,-47.31,7.89,111,2020-06-14 00:31:37:318
-1.0123,-1.58,-3.1073,-0.9126,7.2085,6.586,-0.1366,-8.6527,-9.7267,-1.7575,-0.0181,0.6575,8.71,9.66,-39.92,354.69,-47.31,7.89,121,2020-06-14 00:31:37:328
-0.4066,-2.0863,-2.7362,-0.7809,6.8965,6.9281,-0.1366,-8.6527,-9.7267,-1.7575,-0.0181,0.6575,8.71,9.66,-39.92,354.69,-47.31,7.89,131,2020-06-14 00:31:37:338
-0.4066,-2.0863,-2.7362,-0.7809,6.8965,6.9281,-0.1366,-8.6527,-9.7267,-1.7575,-0.0181,0.6575,8.71,9.66,-39.92,354.69,-47.31,7.89,141,2020-06-14 00:31:37:348
-0.4066,-2.0863,-2.7362,-0.7809,6.8965,6.9281,0.4041,-8.7986,-9.5299,-2.7354,-0.4612,0.5893,9.41,12.88,-39.82,354.69,-47.31,7.89,151,2020-06-14 00:31:37:358
-0.4066,-2.0863,-2.7362,-0.5788,6.3406,7.4587,0.4041,-8.7986,-9.5299,-2.7354,-0.4612,0.5893,9.41,12.88,-39.82,354.69,-47.31,7.89,161,2020-06-14 00:31:37:368
0.2722,-3.4726,-1.2338,-0.5788,6.3406,7.4587,0.4041,-8.7986,-9.5299,-2.7354,-0.4612,0.5893,9.41,12.88,-39.82,354.69,-47.31,7.89,172,2020-06-14 00:31:37:379
0.2722,-3.4726,-1.2338,-0.5788,6.3406,7.4587,0.9278,-10.0196,-7.9919,-3.5823,-1.0183,0.4743,9.41,12.88,-39.82,354.69,-47.31,7.89,181,2020-06-14 00:31:37:388
0.2722,-3.4726,-1.2338,-0.2675,5.5108,8.1074,0.9278,-10.0196,-7.9919,-3.5823,-1.0183,0.4743,6.78,17.44,-36.81,353.68,-40.28,4.44,191,2020-06-14 00:31:37:398
0.4194,-5.3209,0.5427,-0.2675,5.5108,8.1074,0.9278,-10.0196,-7.9919,-3.5823,-1.0183,0.4743,6.78,17.44,-36.81,353.68,-40.28,4.44,202,2020-06-14 00:31:37:409
0.4194,-5.3209,0.5427,-0.2675,5.5108,8.1074,0.2889,-10.405,-7.1984,-4.4132,-1.0407,0.5414,6.78,17.44,-36.81,353.68,-40.28,4.44,211,2020-06-14 00:31:37:418
-0.0486,-6.7179,1.7218,0.0803,4.3788,8.7744,0.2889,-10.405,-7.1984,-4.4132,-1.0407,0.5414,6.78,17.44,-36.81,353.68,-40.28,4.44,221,2020-06-14 00:31:37:428
-0.0486,-6.7179,1.7218,0.0803,4.3788,8.7744,0.2889,-10.405,-7.1984,-4.4132,-1.0407,0.5414,6.54,23.91,-35.88,353.68,-40.28,4.44,231,2020-06-14 00:31:37:438
-0.0486,-6.7179,1.7218,0.0803,4.3788,8.7744,-0.1397,-10.8645,-5.0813,-5.6308,-1.6042,1.0538,6.54,23.91,-35.88,353.68,-40.28,4.44,241,2020-06-14 00:31:37:448
0.7319,-7.9557,5.4831,0.6023,2.8087,9.3765,-0.1397,-10.8645,-5.0813,-5.6308,-1.6042,1.0538,6.54,23.91,-35.88,353.68,-40.28,4.44,251,2020-06-14 00:31:37:458
