ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.2914,-1.1394,-0.6353,-0.2051,1.1781,9.7335,0.393,-2.1175,-9.6229,-0.7008,0.2078,-0.0179,3.43,32.01,-25.36,355.42,-7.15,0.65,2,2020-06-14 00:34:14:528
0.2914,-1.1394,-0.6353,-0.2373,1.0057,9.7521,0.3228,-2.3541,-10.8142,-0.7008,0.2078,-0.0179,3.43,32.01,-25.36,355.42,-7.15,0.65,13,2020-06-14 00:34:14:539
-0.2342,-1.2795,-1.5152,-0.2373,1.0057,9.7521,0.3228,-2.3541,-10.8142,-0.7008,0.2078,-0.0179,3.43,32.01,-25.36,355.42,-7.15,0.65,22,2020-06-14 00:34:14:548
-0.2342,-1.2795,-1.5152,-0.2373,1.0057,9.7521,0.3228,-2.3541,-10.8142,-1.2845,0.3729,0.2367,4.26,32.01,-23.95,354.31,-5.89,1.39,32,2020-06-14 00:34:14:558
-0.2342,-1.2795,-1.5152,-0.3403,0.6663,9.7781,-0.0259,-1.8839,-10.2756,-1.2845,0.3729,0.2367,4.26,32.01,-23.95,354.31,-5.89,1.39,42,2020-06-14 00:34:14:568
-0.3036,-1.2268,0.1416,-0.3403,0.6663,9.7781,-0.0259,-1.8839,-10.2756,-1.2845,0.3729,0.2367,4.26,32.01,-23.95,354.31,-5.89,1.39,52,2020-06-14 00:34:14:578
-0.3036,-1.2268,0.1416,-0.3403,0.6663,9.7781,-0.0259,-1.8839,-10.2756,-1.2845,0.3729,0.2367,4.26,32.01,-23.95,354.31,-5.89,1.39,62,2020-06-14 00:34:14:588
-0.3036,-1.2268,0.1416,-0.2467,0.2915,9.7992,0.252,-1.3624,-7.0597,-1.1929,-0.5624,0.3251,3.34,34.61,-21.72,354.31,-5.89,1.39,72,2020-06-14 00:34:14:598
0.2303,-1.2065,2.7334,-0.2467,0.2915,9.7992,0.252,-1.3624,-7.0597,-1.1929,-0.5624,0.3251,3.34,34.61,-21.72,354.31,-5.89,1.39,82,2020-06-14 00:34:14:608
0.2303,-1.2065,2.7334,-0.2467,0.2915,9.7992,0.252,-1.3624,-7.0597,-1.1929,-0.5624,0.3251,3.34,34.61,-21.72,354.31,-5.89,1.39,94,2020-06-14 00:34:14:620
0.6469,-0.4738,3.9736,0.0182,0.1324,9.8057,0.5038,-0.5575,-5.5718,-0.3546,-0.9821,0.3528,3.34,34.61,-21.72,354.31,-5.89,1.39,102,2020-06-14 00:34:14:628
0.6469,-0.4738,3.9736,0.0182,0.1324,9.8057,0.5038,-0.5575,-5.5718,-0.3546,-0.9821,0.3528,4.14,35.26,-21.71,353.47,-0.77,-0.11,112,2020-06-14 00:34:14:638
0.6469,-0.4738,3.9736,0.0182,0.1324,9.8057,0.5038,-0.5575,-5.5718,-0.3546,-0.9821,0.3528,4.14,35.26,-21.71,353.47,-0.77,-0.11,122,2020-06-14 00:34:14:648
1.5232,-1.3429,6.6443,0.2484,-0.0241,9.8035,0.5038,-0.5575,-5.5718,-0.8137,-0.5102,0.4466,4.14,35.26,-21.71,353.47,-0.77,-0.11,132,2020-06-14 00:34:14:658
1.5232,-1.3429,6.6443,0.2484,-0.0241,9.8035,1.2478,-1.4136,-2.2333,-0.8137,-0.5102,0.4466,4.14,35.26,-21.71,353.47,-0.77,-0.11,142,2020-06-14 00:34:14:668
0.7403,-2.163,12.5747,0.2484,-0.0241,9.8035,1.2478,-1.4136,-2.2333,-0.8137,-0.5102,0.4466,4.11,35.91,-20.26,353.47,-0.77,-0.11,152,2020-06-14 00:34:14:678
0.7403,-2.163,12.5747,0.4133,-0.4485,9.7877,0.3189,-1.8586,4.5739,-1.9056,-0.605,0.2271,4.11,35.91,-20.26,353.47,-0.77,-0.11,162,2020-06-14 00:34:14:688
0.7403,-2.163,12.5747,0.4133,-0.4485,9.7877,0.3189,-1.8586,4.5739,-1.9056,-0.605,0.2271,4.11,35.91,-20.26,353.47,-0.77,-0.11,172,2020-06-14 00:34:14:698
-0.294,-3.6761,18.1939,0.4133,-0.4485,9.7877,0.3189,-1.8586,4.5739,-1.9056,-0.605,0.2271,4.11,35.91,-20.26,353.47,-0.77,-0.11,182,2020-06-14 00:34:14:708
-0.294,-3.6761,18.1939,0.5362,-1.0848,9.7317,0.3189,-1.8586,4.5739,-1.9056,-0.605,0.2271,7.52,33.92,-18.78,344.11,6.35,-3.15,192,2020-06-14 00:34:14:718
-0.294,-3.6761,18.1939,0.5362,-1.0848,9.7317,-0.62,-3.0476,11.2511,-2.0025,-0.1864,0.6064,7.52,33.92,-18.78,344.11,6.35,-3.15,202,2020-06-14 00:34:14:728
1.9888,-4.21,23.1128,0.5362,-1.0848,9.7317,-0.62,-3.0476,11.2511,-2.0025,-0.1864,0.6064,7.52,33.92,-18.78,344.11,6.35,-3.15,212,2020-06-14 00:34:14:738
1.9888,-4.21,23.1128,0.5518,-1.5833,9.6623,-0.62,-3.0476,11.2511,-2.0025,-0.1864,0.6064,7.52,33.92,-18.78,344.11,6.35,-3.15,222,2020-06-14 00:34:14:748
1.9888,-4.21,23.1128,0.5518,-1.5833,9.6623,1.1042,-1.2209,14.2826,-1.1578,-0.3238,0.1217,6.65,35.24,-15.89,344.11,6.35,-3.15,232,2020-06-14 00:34:14:758
1.261,-1.7595,24.1435,0.5518,-1.5833,9.6623,1.1042,-1.2209,14.2826,-1.1578,-0.3238,0.1217,6.65,35.24,-15.89,344.11,6.35,-3.15,242,2020-06-14 00:34:14:768
1.261,-1.7595,24.1435,0.618,-1.7881,9.6224,0.4138,0.165,14.2567,-1.1578,-0.3238,0.1217,6.65,35.24,-15.89,344.11,6.35,-3.15,252,2020-06-14 00:34:14:778
1.0635,-1.7224,22.8734,0.618,-1.7881,9.6224,0.4138,0.165,14.2567,-0.8105,-0.4527,0.0631,6.65,35.24,-15.89,344.11,6.35,-3.15,263,2020-06-14 00:34:14:789
1.0635,-1.7224,22.8734,0.618,-1.7881,9.6224,0.4138,0.165,14.2567,-0.8105,-0.4527,0.0631,7.52,33.93,-16.65,343.4,10.51,-3.67,272,2020-06-14 00:34:14:798
1.0635,-1.7224,22.8734,0.746,-2.0389,9.5633,0.4138,0.165,14.2567,-0.8105,-0.4527,0.0631,7.52,33.93,-16.65,343.4,10.51,-3.67,282,2020-06-14 00:34:14:808
1.5303,-0.8114,20.7928,0.746,-2.0389,9.5633,0.5994,0.8488,12.0073,-0.6667,-0.1054,0.2601,7.52,33.93,-16.65,343.4,10.51,-3.67,293,2020-06-14 00:34:14:819
1.5303,-0.8114,20.7928,0.746,-2.0389,9.5633,0.5994,0.8488,12.0073,-0.6667,-0.1054,0.2601,7.52,33.93,-16.65,343.4,10.51,-3.67,302,2020-06-14 00:34:14:828
1.5303,-0.8114,20.7928,0.7379,-2.206,9.5268,0.5994,0.8488,12.0073,-0.6667,-0.1054,0.2601,8.27,35.88,-15.17,343.4,10.51,-3.67,312,2020-06-14 00:34:14:838
2.0379,-0.3541,18.5507,0.7379,-2.206,9.5268,1.2837,1.8466,9.3287,-0.4845,0.4464,0.3123,8.27,35.88,-15.17,343.4,10.51,-3.67,323,2020-06-14 00:34:14:849
2.0379,-0.3541,18.5507,0.6174,-2.2986,9.5134,1.2837,1.8466,9.3287,-0.4845,0.4464,0.3123,8.27,35.88,-15.17,343.4,10.51,-3.67,332,2020-06-14 00:34:14:858
1.419,-0.4691,15.4178,0.6174,-2.2986,9.5134,1.2837,1.8466,9.3287,-0.4845,0.4464,0.3123,8.27,35.88,-15.17,343.4,10.51,-3.67,343,2020-06-14 00:34:14:869
1.419,-0.4691,15.4178,0.6174,-2.2986,9.5134,0.9476,1.9355,5.9133,-0.0648,0.6158,0.1462,7.43,36.53,-15.14,346.27,13.56,-3.71,352,2020-06-14 00:34:14:878
1.419,-0.4691,15.4178,0.4393,-2.3028,9.5223,0.9476,1.9355,5.9133,-0.0648,0.6158,0.1462,7.43,36.53,-15.14,346.27,13.56,-3.71,362,2020-06-14 00:34:14:888
0.5619,-0.8162,13.0404,0.4393,-2.3028,9.5223,0.9476,1.9355,5.9133,-0.0648,0.6158,0.1462,7.43,36.53,-15.14,346.27,13.56,-3.71,372,2020-06-14 00:34:14:898
0.5619,-0.8162,13.0404,0.4393,-2.3028,9.5223,0.1506,1.4494,2.9925,0.4359,0.4091,-0.1479,7.43,36.53,-15.14,346.27,13.56,-3.71,382,2020-06-14 00:34:14:908
0.5619,-0.8162,13.0404,0.3244,-2.1775,9.5563,0.1506,1.4494,2.9925,0.4359,0.4091,-0.1479,9.1,35.86,-16.6,346.27,13.56,-3.71,393,2020-06-14 00:34:14:919
0.7989,-1.0449,11.3082,0.3244,-2.1775,9.5563,0.1506,1.4494,2.9925,0.4359,0.4091,-0.1479,9.1,35.86,-16.6,346.27,13.56,-3.71,402,2020-06-14 00:34:14:928
0.7989,-1.0449,11.3082,0.3244,-2.1775,9.5563,0.7567,0.8992,1.1045,0.6926,0.2376,-0.1585,9.1,35.86,-16.6,346.27,13.56,-3.71,416,2020-06-14 00:34:14:942
0.7989,-1.0449,11.3082,0.2676,-1.9767,9.6016,0.7567,0.8992,1.1045,0.6926,0.2376,-0.1585,9.1,35.86,-16.6,346.27,13.56,-3.71,422,2020-06-14 00:34:14:948
1.4801,-1.6243,10.0524,0.2676,-1.9767,9.6016,0.7567,0.8992,1.1045,0.6926,0.2376,-0.1585,8.32,34.57,-17.35,344.67,11.63,-1.6,432,2020-06-14 00:34:14:958
1.4801,-1.6243,10.0524,0.2676,-1.9767,9.6016,1.283,0.0294,-0.1899,0.6926,0.2376,-0.1585,8.32,34.57,-17.35,344.67,11.63,-1.6,442,2020-06-14 00:34:14:968
1.4801,-1.6243,10.0524,0.1651,-1.7738,9.6435,1.283,0.0294,-0.1899,0.6564,0.5316,-0.1851,8.32,34.57,-17.35,344.67,11.63,-1.6,452,2020-06-14 00:34:14:978
1.2442,-2.4048,8.7584,0.1651,-1.7738,9.6435,1.283,0.0294,-0.1899,0.6564,0.5316,-0.1851,8.32,34.57,-17.35,344.67,11.63,-1.6,462,2020-06-14 00:34:14:988
1.2442,-2.4048,8.7584,0.1651,-1.7738,9.6435,1.0529,-1.0223,-1.3618,0.6564,0.5316,-0.1851,8.3,35.22,-15.9,344.67,11.63,-1.6,473,2020-06-14 00:34:14:999
1.0347,-2.9842,8.5201,-0.0152,-1.6584,9.6654,1.0529,-1.0223,-1.3618,0.2963,0.6957,-0.265,8.3,35.22,-15.9,344.67,11.63,-1.6,482,2020-06-14 00:34:15:008
1.0347,-2.9842,8.5201,-0.0152,-1.6584,9.6654,1.0529,-1.0223,-1.3618,0.2963,0.6957,-0.265,8.3,35.22,-15.9,344.67,11.63,-1.6,492,2020-06-14 00:34:15:018
1.0347,-2.9842,8.5201,-0.0152,-1.6584,9.6654,1.4216,-1.4462,-1.0544,0.2963,0.6957,-0.265,8.3,35.22,-15.9,344.67,11.63,-1.6,502,2020-06-14 00:34:15:028
1.6429,-3.1518,8.9942,-0.1406,-1.6045,9.6735,1.4216,-1.4462,-1.0544,0.2495,0.3473,-0.3151,8.3,35.22,-15.9,344.67,11.63,-1.6,512,2020-06-14 00:34:15:038
1.6429,-3.1518,8.9942,-0.1406,-1.6045,9.6735,1.4216,-1.4462,-1.0544,0.2495,0.3473,-0.3151,7.41,36.5,-14.14,348.43,9.42,0.83,522,2020-06-14 00:34:15:048
1.6429,-3.1518,8.9942,-0.1406,-1.6045,9.6735,2.3383,-1.4996,-0.7858,0.2495,0.3473,-0.3151,7.41,36.5,-14.14,348.43,9.42,0.83,532,2020-06-14 00:34:15:058
2.421,-3.1254,8.9846,-0.162,-1.5343,9.6845,2.3383,-1.4996,-0.7858,0.2548,0.0448,-0.3545,7.41,36.5,-14.14,348.43,9.42,0.83,542,2020-06-14 00:34:15:068
2.421,-3.1254,8.9846,-0.162,-1.5343,9.6845,2.3383,-1.4996,-0.7858,0.2548,0.0448,-0.3545,5.79,35.85,-16.28,348.43,9.42,0.83,552,2020-06-14 00:34:15:078
2.9908,-2.953,9.1606,-0.162,-1.5343,9.6845,3.0189,-1.4823,-0.822,0.2548,0.0448,-0.3545,5.79,35.85,-16.28,348.43,9.42,0.83,562,2020-06-14 00:34:15:088
2.9908,-2.953,9.1606,-0.102,-1.5251,9.6868,3.0189,-1.4823,-0.822,-0.0776,-0.1523,-0.4014,5.79,35.85,-16.28,348.43,9.42,0.83,572,2020-06-14 00:34:15:098
2.9908,-2.953,9.1606,-0.102,-1.5251,9.6868,3.0189,-1.4823,-0.822,-0.0776,-0.1523,-0.4014,5.79,35.85,-16.28,348.43,9.42,0.83,582,2020-06-14 00:34:15:108
3.5439,-2.6586,10.2212,-0.102,-1.5251,9.6868,3.5266,-1.1325,0.1845,-0.0776,-0.1523,-0.4014,5.81,35.2,-16.3,349.7,8.95,0.6,593,2020-06-14 00:34:15:119
3.5439,-2.6586,10.2212,-0.0038,-1.5708,9.68,3.5266,-1.1325,0.1845,-0.1852,-0.3973,-0.4632,5.81,35.2,-16.3,349.7,8.95,0.6,601,2020-06-14 00:34:15:127
3.5439,-2.6586,10.2212,-0.0038,-1.5708,9.68,3.5266,-1.1325,0.1845,-0.1852,-0.3973,-0.4632,5.81,35.2,-16.3,349.7,8.95,0.6,612,2020-06-14 00:34:15:138
3.6552,-2.382,10.8234,-0.0038,-1.5708,9.68,3.5322,-0.7888,1.0717,-0.1852,-0.3973,-0.4632,5.81,35.2,-16.3,349.7,8.95,0.6,622,2020-06-14 00:34:15:148
