ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.7406,-5.4694,15.164,-0.1505,3.2961,9.2349,-0.5249,-7.6025,6.5299,4.5144,0.0429,0.0844,13.1,27.13,-33.8,341.38,-19.64,0.93,9,2020-06-14 00:39:37:925
-0.7406,-5.4694,15.164,-0.1505,3.2961,9.2349,-0.6317,-10.3411,1.894,4.3205,-0.1265,-0.0519,13.1,27.13,-33.8,341.38,-19.64,0.93,19,2020-06-14 00:39:37:935
-0.6208,-6.4821,10.6187,-0.1505,3.2961,9.2349,-0.6317,-10.3411,1.894,4.3205,-0.1265,-0.0519,13.1,27.13,-33.8,341.38,-19.64,0.93,28,2020-06-14 00:39:37:944
-0.6208,-6.4821,10.6187,-0.0717,4.3805,8.7736,-0.6317,-10.3411,1.894,4.3205,-0.1265,-0.0519,13.1,27.13,-33.8,341.38,-19.64,0.93,39,2020-06-14 00:39:37:955
-0.6208,-6.4821,10.6187,-0.0717,4.3805,8.7736,-0.1712,-11.895,-2.5858,4.0872,-0.6091,-0.3406,13.1,27.13,-33.8,341.38,-19.64,0.93,49,2020-06-14 00:39:37:965
-0.1659,-6.8149,5.8901,-0.0717,4.3805,8.7736,-0.1712,-11.895,-2.5858,4.0872,-0.6091,-0.3406,10.87,20.65,-38.97,341.38,-19.64,0.93,59,2020-06-14 00:39:37:975
-0.1659,-6.8149,5.8901,-0.0387,5.3289,8.2324,-0.1712,-11.895,-2.5858,4.0872,-0.6091,-0.3406,10.87,20.65,-38.97,341.38,-19.64,0.93,69,2020-06-14 00:39:37:985
-0.1659,-6.8149,5.8901,-0.0387,5.3289,8.2324,-0.3055,-12.3703,-6.9446,3.4694,0.0386,-0.6037,10.87,20.65,-38.97,341.38,-19.64,0.93,79,2020-06-14 00:39:37:995
-0.4808,-6.1086,0.7366,-0.0387,5.3289,8.2324,-0.3055,-12.3703,-6.9446,3.4694,0.0386,-0.6037,10.26,14.83,-39.15,343.81,-32.92,0.27,89,2020-06-14 00:39:38:005
-0.4808,-6.1086,0.7366,-0.201,6.0487,7.7164,-0.3055,-12.3703,-6.9446,3.4694,0.0386,-0.6037,10.26,14.83,-39.15,343.81,-32.92,0.27,99,2020-06-14 00:39:38:015
-0.7956,-4.72,-1.891,-0.201,6.0487,7.7164,-0.4989,-11.3544,-9.7368,2.5564,0.5606,-0.3023,10.26,14.83,-39.15,343.81,-32.92,0.27,109,2020-06-14 00:39:38:025
-0.7956,-4.72,-1.891,-0.201,6.0487,7.7164,-0.4989,-11.3544,-9.7368,2.5564,0.5606,-0.3023,10.26,14.83,-39.15,343.81,-32.92,0.27,119,2020-06-14 00:39:38:035
-0.7956,-4.72,-1.891,-0.3521,6.5498,7.2902,-0.4989,-11.3544,-9.7368,2.5564,0.5606,-0.3023,10.4,10.93,-43.55,343.81,-32.92,0.27,129,2020-06-14 00:39:38:045
-0.1133,-3.2092,-3.822,-0.3521,6.5498,7.2902,0.3369,-10.1316,-11.4155,1.8736,0.5404,0.2165,10.4,10.93,-43.55,343.81,-32.92,0.27,139,2020-06-14 00:39:38:055
-0.1133,-3.2092,-3.822,-0.3521,6.5498,7.2902,0.3369,-10.1316,-11.4155,1.8736,0.5404,0.2165,10.4,10.93,-43.55,343.81,-32.92,0.27,149,2020-06-14 00:39:38:065
-0.1133,-3.2092,-3.822,-0.4379,6.9273,6.9276,0.3369,-10.1316,-11.4155,1.8736,0.5404,0.2165,10.4,10.93,-43.55,343.81,-32.92,0.27,159,2020-06-14 00:39:38:075
1.1509,-2.6238,-6.9225,-0.4379,6.9273,6.9276,1.8674,-9.7662,-14.9957,1.4912,0.9175,0.2847,10.4,10.93,-43.55,343.81,-32.92,0.27,169,2020-06-14 00:39:38:085
1.1509,-2.6238,-6.9225,-0.4379,6.9273,6.9276,1.8674,-9.7662,-14.9957,1.4912,0.9175,0.2847,11.37,7.04,-44.39,347.32,-44.94,3.62,179,2020-06-14 00:39:38:095
