ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-6.7237,-1.7416,0.5295,-2.1856,3.754,8.7921,-6.4573,-5.6705,-6.9046,1.1322,0.7769,0.7918,5.7,25.8,-30.89,1.3,-20.35,12.41,2,2020-06-14 00:42:11:715
-6.7237,-1.7416,0.5295,-2.2443,4.0061,8.6651,-3.6807,-5.772,-8.5778,0.4195,0.7353,1.857,7.37,25.16,-29.5,1.3,-20.35,12.41,12,2020-06-14 00:42:11:725
-6.7237,-1.7416,0.5295,-2.2443,4.0061,8.6651,-3.6807,-5.772,-8.5778,0.4195,0.7353,1.857,7.37,25.16,-29.5,1.3,-20.35,12.41,22,2020-06-14 00:42:11:735
-3.1192,-1.5381,-0.7263,-2.2443,4.0061,8.6651,-3.6807,-5.772,-8.5778,0.4195,0.7353,1.857,7.37,25.16,-29.5,1.3,-20.35,12.41,32,2020-06-14 00:42:11:745
-3.1192,-1.5381,-0.7263,-2.1684,4.1272,8.6276,0.0318,-5.6798,-9.788,-0.241,0.5489,2.2309,7.37,25.16,-29.5,1.3,-20.35,12.41,42,2020-06-14 00:42:11:755
-3.1192,-1.5381,-0.7263,-2.1684,4.1272,8.6276,0.0318,-5.6798,-9.788,-0.241,0.5489,2.2309,11.51,24.47,-31.69,353.93,-24.89,14.11,52,2020-06-14 00:42:11:765
-0.3347,-1.495,-1.6313,-2.1684,4.1272,8.6276,0.0318,-5.6798,-9.788,-0.241,0.5489,2.2309,11.51,24.47,-31.69,353.93,-24.89,14.11,62,2020-06-14 00:42:11:775
-0.3347,-1.495,-1.6313,-1.9917,4.0697,8.6972,2.3323,-5.5395,-10.7089,-0.9259,0.2357,2.0797,11.51,24.47,-31.69,353.93,-24.89,14.11,72,2020-06-14 00:42:11:785
-0.3347,-1.495,-1.6313,-1.9917,4.0697,8.6972,2.3323,-5.5395,-10.7089,-0.9259,0.2357,2.0797,11.51,24.47,-31.69,353.93,-24.89,14.11,81,2020-06-14 00:42:11:794
0.9198,-1.4639,-2.2753,-1.9917,4.0697,8.6972,2.3323,-5.5395,-10.7089,-0.9259,0.2357,2.0797,11.51,24.47,-31.69,353.93,-24.89,14.11,92,2020-06-14 00:42:11:805
0.9198,-1.4639,-2.2753,-1.8472,3.7673,8.8638,3.1981,-5.3182,-11.0641,-1.8122,0.3731,1.8517,14.9,21.87,-30.38,353.93,-24.89,14.11,102,2020-06-14 00:42:11:815
