ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
1.7398,-2.1534,22.3826,0.778,-2.4739,9.4575,0.8961,0.54,13.9163,2.6768,0.2986,0.3582,-3.46,38.53,-13.64,3.37,19.47,-6.03,10,2020-06-14 00:52:05:816
1.7398,-2.1534,22.3826,0.778,-2.4739,9.4575,0.8961,0.54,13.9163,2.6768,0.2986,0.3582,-3.46,38.53,-13.64,3.37,19.47,-6.03,20,2020-06-14 00:52:05:826
2.8029,-2.5903,19.2031,0.6888,-1.716,9.6307,1.8836,-0.7369,10.0416,3.2883,0.3262,0.4306,-3.46,38.53,-13.64,3.37,19.47,-6.03,31,2020-06-14 00:52:05:837
2.8029,-2.5903,19.2031,0.6888,-1.716,9.6307,1.8836,-0.7369,10.0416,3.2883,0.3262,0.4306,-3.46,38.53,-13.64,3.37,19.47,-6.03,40,2020-06-14 00:52:05:846
2.8029,-2.5903,19.2031,0.6888,-1.716,9.6307,1.8836,-0.7369,10.0416,3.2883,0.3262,0.4306,-1.76,37.19,-18.67,1.11,10.08,-4.09,51,2020-06-14 00:52:05:857
2.84,-3.0548,17.0088,0.5269,-0.7608,9.7629,2.3371,-2.3944,6.7644,3.2435,0.7907,-0.004,-1.76,37.19,-18.67,1.11,10.08,-4.09,60,2020-06-14 00:52:05:866
2.84,-3.0548,17.0088,0.5269,-0.7608,9.7629,2.3371,-2.3944,6.7644,3.2435,0.7907,-0.004,-1.76,37.19,-18.67,1.11,10.08,-4.09,71,2020-06-14 00:52:05:877
2.84,-3.0548,17.0088,0.5269,-0.7608,9.7629,2.3371,-2.3944,6.7644,3.2435,0.7907,-0.004,-1.76,37.19,-18.67,1.11,10.08,-4.09,80,2020-06-14 00:52:05:886
2.0152,-3.6893,15.5771,0.2606,0.1738,9.8016,1.7014,-4.1852,4.875,3.2904,0.9452,-0.4163,-0.8,33.28,-23.78,1.11,10.08,-4.09,90,2020-06-14 00:52:05:896
2.0152,-3.6893,15.5771,0.2606,0.1738,9.8016,1.7014,-4.1852,4.875,3.2904,0.9452,-0.4163,-0.8,33.28,-23.78,1.11,10.08,-4.09,100,2020-06-14 00:52:05:906
1.6536,-4.2351,14.5092,0.2606,0.1738,9.8016,1.7014,-4.1852,4.875,3.2904,0.9452,-0.4163,-0.8,33.28,-23.78,1.11,10.08,-4.09,111,2020-06-14 00:52:05:917
1.6536,-4.2351,14.5092,0.0416,1.1836,9.7349,0.968,-6.2319,1.6039,3.8188,0.5649,-0.6101,-0.8,33.28,-23.78,1.11,10.08,-4.09,120,2020-06-14 00:52:05:926
1.6536,-4.2351,14.5092,0.0416,1.1836,9.7349,0.968,-6.2319,1.6039,3.8188,0.5649,-0.6101,-3.97,30.03,-28.84,6.64,-6.93,-0.25,130,2020-06-14 00:52:05:936
0.2782,-5.0025,9.2516,0.0416,1.1836,9.7349,0.968,-6.2319,1.6039,3.8188,0.5649,-0.6101,-3.97,30.03,-28.84,6.64,-6.93,-0.25,140,2020-06-14 00:52:05:946
0.2782,-5.0025,9.2516,-0.1499,2.2651,9.5403,0.122,-7.7509,-2.4216,3.8827,0.6394,-0.673,-3.97,30.03,-28.84,6.64,-6.93,-0.25,150,2020-06-14 00:52:05:956
0.2782,-5.0025,9.2516,-0.1499,2.2651,9.5403,0.122,-7.7509,-2.4216,3.8827,0.6394,-0.673,-3.97,30.03,-28.84,6.64,-6.93,-0.25,160,2020-06-14 00:52:05:966
-0.3683,-5.3329,5.9847,-0.1499,2.2651,9.5403,0.122,-7.7509,-2.4216,3.8827,0.6394,-0.673,-2.89,22.89,-32.64,6.64,-6.93,-0.25,170,2020-06-14 00:52:05:976
-0.3683,-5.3329,5.9847,-0.4525,3.2825,9.2299,-0.2675,-8.5979,-6.9338,3.5407,1.2264,-0.5899,-2.89,22.89,-32.64,6.64,-6.93,-0.25,180,2020-06-14 00:52:05:986
-1.2637,-4.5416,1.0443,-0.4525,3.2825,9.2299,-0.2675,-8.5979,-6.9338,3.5407,1.2264,-0.5899,-2.89,22.89,-32.64,6.64,-6.93,-0.25,189,2020-06-14 00:52:05:995
-1.2637,-4.5416,1.0443,-0.4525,3.2825,9.2299,-0.2675,-8.5979,-6.9338,3.5407,1.2264,-0.5899,-2.89,22.89,-32.64,6.64,-6.93,-0.25,200,2020-06-14 00:52:06:006
-1.2637,-4.5416,1.0443,-0.8779,4.1106,8.8601,-0.9475,-7.5486,-10.256,2.6022,1.1177,-0.2139,1.46,19.95,-38.52,1.64,-19.56,2.81,210,2020-06-14 00:52:06:016
-2.0598,-2.5664,-1.4637,-0.8779,4.1106,8.8601,-0.9475,-7.5486,-10.256,2.6022,1.1177,-0.2139,1.46,19.95,-38.52,1.64,-19.56,2.81,220,2020-06-14 00:52:06:026
-2.0598,-2.5664,-1.4637,-0.8779,4.1106,8.8601,-0.9475,-7.5486,-10.256,2.6022,1.1177,-0.2139,1.46,19.95,-38.52,1.64,-19.56,2.81,230,2020-06-14 00:52:06:036
-2.0598,-2.5664,-1.4637,-1.076,4.6976,8.5408,-0.5752,-5.9842,-11.1576,2.6022,1.1177,-0.2139,1.46,19.95,-38.52,1.64,-19.56,2.81,240,2020-06-14 00:52:06:046
-1.5725,-0.924,-2.4848,-1.076,4.6976,8.5408,-0.5752,-5.9842,-11.1576,1.7372,-0.1936,0.1462,2.45,15.39,-42.94,1.64,-19.56,2.81,251,2020-06-14 00:52:06:057
-1.5725,-0.924,-2.4848,-1.076,4.6976,8.5408,-0.5752,-5.9842,-11.1576,1.7372,-0.1936,0.1462,2.45,15.39,-42.94,1.64,-19.56,2.81,260,2020-06-14 00:52:06:066
