ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
10.2261,3.3449,7.7133,-0.7668,-0.1907,9.7748,13.1953,1.5415,-1.5547,-1.4074,-0.9521,-1.9162,16.49,36.18,-19.52,337.98,1.11,4.49,11,2020-06-14 00:55:07:298
12.4934,0.5054,8.9523,-0.7668,-0.1907,9.7748,13.1953,1.5415,-1.5547,-1.4074,-0.9521,-1.9162,16.49,36.18,-19.52,337.98,1.11,4.49,21,2020-06-14 00:55:07:308
12.4934,0.5054,8.9523,-0.7668,-0.1907,9.7748,13.1953,1.5415,-1.5547,-1.4074,-0.9521,-1.9162,16.49,36.18,-19.52,337.98,1.11,4.49,31,2020-06-14 00:55:07:318
10.4464,-2.2743,13.4055,-0.4451,-0.7737,9.7659,11.3152,-0.982,2.8087,-2.0583,-0.3843,-3.4277,16.49,36.18,-19.52,337.98,1.11,4.49,41,2020-06-14 00:55:07:328
10.4464,-2.2743,13.4055,-0.4451,-0.7737,9.7659,11.3152,-0.982,2.8087,-2.0583,-0.3843,-3.4277,12.33,37.52,-16.6,337.98,1.11,4.49,51,2020-06-14 00:55:07:338
10.4464,-2.2743,13.4055,-0.4451,-0.7737,9.7659,11.3152,-0.982,2.8087,-2.0583,-0.3843,-3.4277,12.33,37.52,-16.6,337.98,1.11,4.49,61,2020-06-14 00:55:07:348
6.9568,-4.4398,19.0774,-0.1999,-1.3883,9.7058,7.2878,-3.0035,9.1041,-2.0583,-0.3843,-3.4277,12.33,37.52,-16.6,337.98,1.11,4.49,71,2020-06-14 00:55:07:358
6.9568,-4.4398,19.0774,-0.1999,-1.3883,9.7058,7.2878,-3.0035,9.1041,-1.5629,-0.0125,-3.8304,12.33,37.52,-16.6,337.98,1.11,4.49,81,2020-06-14 00:55:07:368
6.9568,-4.4398,19.0774,-0.1999,-1.3883,9.7058,7.2878,-3.0035,9.1041,-1.5629,-0.0125,-3.8304,2.3,39.64,-15.01,357.42,8.14,1.18,91,2020-06-14 00:55:07:378
4.7517,-4.2651,22.3802,-0.0308,-1.7167,9.6552,4.7387,-2.48,12.6529,-1.5629,-0.0125,-3.8304,2.3,39.64,-15.01,357.42,8.14,1.18,101,2020-06-14 00:55:07:388
4.7517,-4.2651,22.3802,-0.0308,-1.7167,9.6552,4.7387,-2.48,12.6529,-0.3485,0.5531,-3.4799,2.3,39.64,-15.01,357.42,8.14,1.18,111,2020-06-14 00:55:07:398
4.3184,-3.3289,23.0266,-0.0308,-1.7167,9.6552,4.7387,-2.48,12.6529,-0.3485,0.5531,-3.4799,2.3,39.64,-15.01,357.42,8.14,1.18,121,2020-06-14 00:55:07:408
4.3184,-3.3289,23.0266,-0.0473,-1.7114,9.656,4.3131,-1.3601,13.0636,-0.3485,0.5531,-3.4799,-1.79,39.02,-15.71,357.42,8.14,1.18,131,2020-06-14 00:55:07:418
4.3184,-3.3289,23.0266,-0.0473,-1.7114,9.656,4.3131,-1.3601,13.0636,0.4408,1.1753,-3.4714,-1.79,39.02,-15.71,357.42,8.14,1.18,141,2020-06-14 00:55:07:428
4.1472,-3.1027,23.0182,-0.0473,-1.7114,9.656,4.3131,-1.3601,13.0636,0.4408,1.1753,-3.4714,-1.79,39.02,-15.71,357.42,8.14,1.18,151,2020-06-14 00:55:07:438
4.1472,-3.1027,23.0182,-0.0473,-1.7114,9.656,4.3131,-1.3601,13.0636,0.4408,1.1753,-3.4714,-1.79,39.02,-15.71,357.42,8.14,1.18,162,2020-06-14 00:55:07:449
4.1472,-3.1027,23.0182,-0.0473,-1.7114,9.656,4.3131,-1.3601,13.0636,0.4408,1.1753,-3.4714,-1.79,39.02,-15.71,357.42,8.14,1.18,171,2020-06-14 00:55:07:458
3.7653,-4.0448,23.7928,-0.2199,-1.5904,9.6743,4.1962,-1.5852,13.3509,0.6741,1.8261,-3.7974,-9.16,37.77,-17.12,15.1,9.33,1.3,181,2020-06-14 00:55:07:468
3.7653,-4.0448,23.7928,-0.2199,-1.5904,9.6743,4.1962,-1.5852,13.3509,0.6741,1.8261,-3.7974,-9.16,37.77,-17.12,15.1,9.33,1.3,191,2020-06-14 00:55:07:478
-1.3666,-10.7809,21.6727,-0.9636,-1.0055,9.7073,0.5481,-9.1311,11.8804,0.6741,1.8261,-3.7974,-9.16,37.77,-17.12,15.1,9.33,1.3,201,2020-06-14 00:55:07:488
-1.3666,-10.7809,21.6727,-0.9636,-1.0055,9.7073,0.5481,-9.1311,11.8804,2.9538,2.5015,-5.3143,-9.16,37.77,-17.12,15.1,9.33,1.3,211,2020-06-14 00:55:07:498
-1.3666,-10.7809,21.6727,-0.9636,-1.0055,9.7073,0.5481,-9.1311,11.8804,2.9538,2.5015,-5.3143,-14.01,35.19,-20.01,15.1,9.33,1.3,221,2020-06-14 00:55:07:508
-6.404,-13.1942,19.1073,-1.4169,-0.3928,9.6958,-4.1985,-12.1552,9.4671,3.6941,2.0339,-5.3314,-14.01,35.19,-20.01,15.1,9.33,1.3,231,2020-06-14 00:55:07:518
-6.404,-13.1942,19.1073,-1.4169,-0.3928,9.6958,-4.1985,-12.1552,9.4671,3.6941,2.0339,-5.3314,-14.01,35.19,-20.01,15.1,9.33,1.3,240,2020-06-14 00:55:07:527
-6.404,-13.1942,19.1073,-1.4169,-0.3928,9.6958,-4.1985,-12.1552,9.4671,3.6941,2.0339,-5.3314,-19.47,26.79,-25.93,40.88,2.3,8.31,251,2020-06-14 00:55:07:538
-6.404,-13.1942,19.1073,-1.4169,-0.3928,9.6958,-4.1985,-12.1552,9.4671,3.6941,2.0339,-5.3314,-19.47,26.79,-25.93,40.88,2.3,8.31,261,2020-06-14 00:55:07:548
-12.6984,-15.7249,13.9837,-1.9892,0.4311,9.5931,-9.8323,-16.4382,4.2524,3.9583,1.9412,-4.02,-19.47,26.79,-25.93,40.88,2.3,8.31,271,2020-06-14 00:55:07:558
-12.6984,-15.7249,13.9837,-1.9892,0.4311,9.5931,-9.8323,-16.4382,4.2524,3.9583,1.9412,-4.02,-19.47,26.79,-25.93,40.88,2.3,8.31,281,2020-06-14 00:55:07:568
-12.6984,-15.7249,13.9837,-1.9892,0.4311,9.5931,-9.8323,-16.4382,4.2524,3.9583,1.9412,-4.02,-19.47,26.79,-25.93,40.88,2.3,8.31,291,2020-06-14 00:55:07:578
-15.6373,-13.7425,11.4578,-2.9837,1.2605,9.2563,-11.7082,-15.1029,1.6255,3.0358,3.1929,-0.4333,-19.19,19.0,-30.46,40.88,2.3,8.31,301,2020-06-14 00:55:07:588
-15.6373,-13.7425,11.4578,-2.9837,1.2605,9.2563,-11.7082,-15.1029,1.6255,3.0358,3.1929,-0.4333,-19.19,19.0,-30.46,40.88,2.3,8.31,311,2020-06-14 00:55:07:598
