ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
4.6165,-4.872,13.5156,1.3282,0.8089,9.6826,2.7001,-5.2835,5.2143,3.2755,1.0219,-0.0381,6.51,27.09,-27.13,339.94,-4.73,-7.81,11,2020-06-14 00:57:19:727
4.6165,-4.872,13.5156,0.9479,1.7286,9.6065,3.9639,-7.2448,1.9957,3.4928,1.7441,-0.4578,6.51,27.09,-27.13,339.94,-4.73,-7.81,21,2020-06-14 00:57:19:737
5.0115,-5.4394,9.8274,0.9479,1.7286,9.6065,3.9639,-7.2448,1.9957,3.4928,1.7441,-0.4578,6.51,27.09,-27.13,339.94,-4.73,-7.81,30,2020-06-14 00:57:19:746
5.0115,-5.4394,9.8274,0.455,2.7363,9.4062,4.6887,-8.1432,-1.7489,3.4928,1.7441,-0.4578,6.51,27.09,-27.13,339.94,-4.73,-7.81,41,2020-06-14 00:57:19:757
5.0115,-5.4394,9.8274,0.455,2.7363,9.4062,4.6887,-8.1432,-1.7489,3.856,1.3223,-0.7997,7.31,23.94,-33.4,339.94,-4.73,-7.81,51,2020-06-14 00:57:19:767
5.6448,-5.0037,6.94,0.455,2.7363,9.4062,4.6887,-8.1432,-1.7489,3.856,1.3223,-0.7997,7.31,23.94,-33.4,339.94,-4.73,-7.81,61,2020-06-14 00:57:19:777
5.6448,-5.0037,6.94,0.1322,3.6028,9.1199,6.4679,-8.4152,-4.6611,3.856,1.3223,-0.7997,7.31,23.94,-33.4,339.94,-4.73,-7.81,71,2020-06-14 00:57:19:787
5.6448,-5.0037,6.94,0.1322,3.6028,9.1199,6.4679,-8.4152,-4.6611,3.856,1.3223,-0.7997,7.31,23.94,-33.4,339.94,-4.73,-7.81,81,2020-06-14 00:57:19:797
7.1316,-3.6917,2.968,0.1322,3.6028,9.1199,6.4679,-8.4152,-4.6611,3.7549,1.253,-1.2951,6.68,18.75,-36.41,346.3,-21.55,-0.83,91,2020-06-14 00:57:19:807
7.1316,-3.6917,2.968,-0.3205,4.5738,8.6688,7.7171,-7.9539,-7.1496,3.7549,1.253,-1.2951,6.68,18.75,-36.41,346.3,-21.55,-0.83,101,2020-06-14 00:57:19:817
7.1316,-3.6917,2.968,-0.3205,4.5738,8.6688,7.7171,-7.9539,-7.1496,3.7549,1.253,-1.2951,6.68,18.75,-36.41,346.3,-21.55,-0.83,111,2020-06-14 00:57:19:827
6.8802,-2.6131,1.1125,-0.3205,4.5738,8.6688,7.7171,-7.9539,-7.1496,3.8507,1.4618,-1.8096,6.68,18.75,-36.41,346.3,-21.55,-0.83,121,2020-06-14 00:57:19:837
6.8802,-2.6131,1.1125,-0.9038,5.488,8.0768,7.7171,-7.9539,-7.1496,3.8507,1.4618,-1.8096,8.52,13.56,-38.01,346.3,-21.55,-0.83,131,2020-06-14 00:57:19:847
5.6077,-1.7835,-1.1213,-0.9038,5.488,8.0768,6.7243,-7.7485,-9.2758,3.8507,1.4618,-1.8096,8.52,13.56,-38.01,346.3,-21.55,-0.83,141,2020-06-14 00:57:19:857
5.6077,-1.7835,-1.1213,-0.9038,5.488,8.0768,6.7243,-7.7485,-9.2758,4.0521,0.8376,-1.8853,8.52,13.56,-38.01,346.3,-21.55,-0.83,151,2020-06-14 00:57:19:867
5.6077,-1.7835,-1.1213,-1.4359,6.3668,7.3193,6.7243,-7.7485,-9.2758,4.0521,0.8376,-1.8853,8.52,13.56,-38.01,346.3,-21.55,-0.83,161,2020-06-14 00:57:19:877
4.7781,-0.2332,-6.0893,-1.4359,6.3668,7.3193,6.4156,-7.1461,-12.9858,4.0521,0.8376,-1.8853,8.68,9.01,-41.72,358.77,-40.48,11.1,171,2020-06-14 00:57:19:887
4.7781,-0.2332,-6.0893,-1.4359,6.3668,7.3193,6.4156,-7.1461,-12.9858,4.0521,0.8376,-1.8853,8.68,9.01,-41.72,358.77,-40.48,11.1,181,2020-06-14 00:57:19:897
4.7781,-0.2332,-6.0893,-1.8125,6.9242,6.7038,6.4156,-7.1461,-12.9858,3.006,0.2794,-1.9087,8.68,9.01,-41.72,358.77,-40.48,11.1,191,2020-06-14 00:57:19:907
4.3256,1.2643,-7.776,-1.8125,6.9242,6.7038,6.1677,-5.6221,-14.3193,3.006,0.2794,-1.9087,8.68,9.01,-41.72,358.77,-40.48,11.1,202,2020-06-14 00:57:19:918
4.3256,1.2643,-7.776,-2.1708,7.2906,6.1891,6.1677,-5.6221,-14.3193,3.006,0.2794,-1.9087,7.15,5.78,-43.24,358.77,-40.48,11.1,211,2020-06-14 00:57:19:927
4.3256,1.2643,-7.776,-2.1708,7.2906,6.1891,6.1677,-5.6221,-14.3193,1.6797,-1.0256,-2.2986,7.15,5.78,-43.24,358.77,-40.48,11.1,221,2020-06-14 00:57:19:937
3.7905,1.9946,-7.1523,-2.1708,7.2906,6.1891,6.0473,-5.4655,-13.2,1.6797,-1.0256,-2.2986,7.15,5.78,-43.24,358.77,-40.48,11.1,231,2020-06-14 00:57:19:947
3.7905,1.9946,-7.1523,-2.1708,7.2906,6.1891,6.0473,-5.4655,-13.2,1.6797,-1.0256,-2.2986,7.15,5.78,-43.24,358.77,-40.48,11.1,241,2020-06-14 00:57:19:957
1.3137,1.7444,-5.8594,-2.4709,7.3974,5.9451,6.0473,-5.4655,-13.2,0.9937,-2.3731,-3.4075,6.38,4.48,-44.69,18.19,-48.97,22.57,251,2020-06-14 00:57:19:967
1.3137,1.7444,-5.8594,-2.4709,7.3974,5.9451,2.9504,-5.8491,-11.3108,0.9937,-2.3731,-3.4075,6.38,4.48,-44.69,18.19,-48.97,22.57,261,2020-06-14 00:57:19:977
1.3137,1.7444,-5.8594,-2.8371,7.2703,5.9383,2.9504,-5.8491,-11.3108,0.9937,-2.3731,-3.4075,6.38,4.48,-44.69,18.19,-48.97,22.57,271,2020-06-14 00:57:19:987
-3.8207,0.3605,-4.8682,-2.8371,7.2703,5.9383,2.9504,-5.8491,-11.3108,0.9937,-2.3731,-3.4075,6.38,4.48,-44.69,18.19,-48.97,22.57,281,2020-06-14 00:57:19:997
-3.8207,0.3605,-4.8682,-2.8371,7.2703,5.9383,-2.0192,-6.9141,-10.554,0.2352,-2.8813,-4.4781,2.86,4.58,-43.49,18.19,-48.97,22.57,292,2020-06-14 00:57:20:008
-3.8207,0.3605,-4.8682,-2.8371,7.2703,5.9383,-2.0192,-6.9141,-10.554,0.2352,-2.8813,-4.4781,2.86,4.58,-43.49,18.19,-48.97,22.57,301,2020-06-14 00:57:20:017
-8.1877,-0.906,-3.0522,-3.3227,6.85,6.1812,-2.0192,-6.9141,-10.554,0.2352,-2.8813,-4.4781,2.86,4.58,-43.49,18.19,-48.97,22.57,311,2020-06-14 00:57:20:027
-8.1877,-0.906,-3.0522,-3.3227,6.85,6.1812,-5.3934,-8.2622,-8.6856,-1.1859,-3.0464,-4.6528,2.86,4.58,-43.49,18.19,-48.97,22.57,321,2020-06-14 00:57:20:037
-8.1877,-0.906,-3.0522,-3.3227,6.85,6.1812,-5.3934,-8.2622,-8.6856,-1.1859,-3.0464,-4.6528,-4.53,3.98,-43.45,41.83,-44.31,28.26,331,2020-06-14 00:57:20:047
-10.1246,-3.9957,-1.0543,-3.6508,6.2252,6.6399,-5.3934,-8.2622,-8.6856,-1.1859,-3.0464,-4.6528,-4.53,3.98,-43.45,41.83,-44.31,28.26,341,2020-06-14 00:57:20:057
-10.1246,-3.9957,-1.0543,-3.6508,6.2252,6.6399,-7.9679,-10.899,-6.7499,-3.1619,-3.2562,-4.1116,-4.53,3.98,-43.45,41.83,-44.31,28.26,352,2020-06-14 00:57:20:068
-10.1246,-3.9957,-1.0543,-3.6508,6.2252,6.6399,-7.9679,-10.899,-6.7499,-3.1619,-3.2562,-4.1116,-4.53,3.98,-43.45,41.83,-44.31,28.26,362,2020-06-14 00:57:20:078
-14.1972,-7.9043,3.0733,-3.7528,4.7972,7.686,-7.9679,-10.899,-6.7499,-3.1619,-3.2562,-4.1116,-11.65,21.06,-32.89,41.83,-44.31,28.26,371,2020-06-14 00:57:20:087
-14.1972,-7.9043,3.0733,-3.7528,4.7972,7.686,-12.4572,-13.3958,-2.4846,-5.7665,-2.2858,-2.4605,-11.65,21.06,-32.89,41.83,-44.31,28.26,381,2020-06-14 00:57:20:097
-20.367,-11.8547,12.0492,-3.7528,4.7972,7.686,-12.4572,-13.3958,-2.4846,-5.7665,-2.2858,-2.4605,-11.65,21.06,-32.89,41.83,-44.31,28.26,391,2020-06-14 00:57:20:107
-20.367,-11.8547,12.0492,-3.6062,2.9732,8.6212,-12.4572,-13.3958,-2.4846,-5.7665,-2.2858,-2.4605,-11.65,21.06,-32.89,41.83,-44.31,28.26,401,2020-06-14 00:57:20:117
-20.367,-11.8547,12.0492,-3.6062,2.9732,8.6212,-18.3347,-15.1886,8.2773,-7.1428,-0.9585,2.2608,-17.65,27.59,-29.08,40.38,-17.65,22.7,411,2020-06-14 00:57:20:127
