ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-12.0508,-7.2195,6.7688,-5.4832,3.2468,7.4541,-8.8431,-9.7953,-4.7033,5.1525,0.0759,-0.0796,-8.82,19.89,-32.25,45.29,-13.49,32.67,6,2020-06-14 00:59:00:379
-14.8448,-5.7782,2.2246,-5.4832,3.2468,7.4541,-8.8431,-9.7953,-4.7033,5.1525,0.0759,-0.0796,-7.73,12.74,-38.18,45.29,-13.49,32.67,16,2020-06-14 00:59:00:389
-14.8448,-5.7782,2.2246,-5.4832,3.2468,7.4541,-8.8431,-9.7953,-4.7033,5.1525,0.0759,-0.0796,-7.73,12.74,-38.18,45.29,-13.49,32.67,26,2020-06-14 00:59:00:399
-13.6273,-4.7307,-1.4026,-5.5143,4.3242,6.8603,-8.1338,-9.5732,-8.2493,3.2936,0.4115,3.0011,-7.73,12.74,-38.18,45.29,-13.49,32.67,36,2020-06-14 00:59:00:409
-13.6273,-4.7307,-1.4026,-5.5143,4.3242,6.8603,-8.1338,-9.5732,-8.2493,3.2936,0.4115,3.0011,-7.73,12.74,-38.18,45.29,-13.49,32.67,48,2020-06-14 00:59:00:421
-13.6273,-4.7307,-1.4026,-5.1608,5.4161,6.3405,-8.1338,-9.5732,-8.2493,3.2936,0.4115,3.0011,-6.63,4.97,-39.86,61.89,-26.16,38.79,56,2020-06-14 00:59:00:429
-13.6273,-4.7307,-1.4026,-5.1608,5.4161,6.3405,-8.1338,-9.5732,-8.2493,3.2936,0.4115,3.0011,-6.63,4.97,-39.86,61.89,-26.16,38.79,66,2020-06-14 00:59:00:439
-10.3676,-4.7307,-0.6496,-5.1608,5.4161,6.3405,-5.3024,-10.5394,-7.1834,1.6328,0.7715,5.2137,-6.63,4.97,-39.86,61.89,-26.16,38.79,76,2020-06-14 00:59:00:449
-10.3676,-4.7307,-0.6496,-4.2679,6.4767,6.0006,-5.3024,-10.5394,-7.1834,1.6328,0.7715,5.2137,-6.63,4.97,-39.86,61.89,-26.16,38.79,86,2020-06-14 00:59:00:459
-4.4528,-5.4622,0.575,-4.2679,6.4767,6.0006,-5.3024,-10.5394,-7.1834,1.6328,0.7715,5.2137,-5.78,4.33,-38.47,61.89,-26.16,38.79,96,2020-06-14 00:59:00:469
