ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
14.8253,4.6031,6.0888,0.8997,2.9689,9.3031,13.794,1.2862,-3.2371,-0.111,-0.5206,-2.0962,4.03,24.07,-26.31,348.03,-17.62,-5.52,1,2020-06-14 01:01:26:911
14.8253,4.6031,6.0888,0.9383,2.9983,9.2898,13.794,1.2862,-3.2371,-0.111,-0.5206,-2.0962,4.03,24.07,-26.31,348.03,-17.62,-5.52,11,2020-06-14 01:01:26:921
14.8253,4.6031,6.0888,0.9383,2.9983,9.2898,13.794,1.2862,-3.2371,-0.111,-0.5206,-2.0962,4.03,24.07,-26.31,348.03,-17.62,-5.52,21,2020-06-14 01:01:26:931
11.7967,1.5636,6.7137,0.9383,2.9983,9.2898,10.7685,-1.5841,-2.656,-0.3656,-0.6868,-3.9923,0.76,23.44,-27.02,348.03,-17.62,-5.52,32,2020-06-14 01:01:26:942
11.7967,1.5636,6.7137,0.9383,2.9983,9.2898,10.7685,-1.5841,-2.656,-0.3656,-0.6868,-3.9923,0.76,23.44,-27.02,348.03,-17.62,-5.52,41,2020-06-14 01:01:26:951
11.7967,1.5636,6.7137,0.8593,2.9981,9.2975,10.7685,-1.5841,-2.656,-0.3656,-0.6868,-3.9923,0.76,23.44,-27.02,348.03,-17.62,-5.52,51,2020-06-14 01:01:26:961
8.8578,-2.0947,5.9643,0.8593,2.9981,9.2975,10.7685,-1.5841,-2.656,-0.3656,-0.6868,-3.9923,0.76,23.44,-27.02,348.03,-17.62,-5.52,61,2020-06-14 01:01:26:971
8.8578,-2.0947,5.9643,0.8593,2.9981,9.2975,7.5139,-5.489,-3.4261,-0.732,-0.3289,-4.9713,-2.56,24.11,-26.97,0.92,-17.8,-5.28,71,2020-06-14 01:01:26:981
8.8578,-2.0947,5.9643,0.6002,2.889,9.3522,7.5139,-5.489,-3.4261,-0.732,-0.3289,-4.9713,-2.56,24.11,-26.97,0.92,-17.8,-5.28,81,2020-06-14 01:01:26:991
2.8807,-4.8936,6.8406,0.6002,2.889,9.3522,7.5139,-5.489,-3.4261,-0.732,-0.3289,-4.9713,-2.56,24.11,-26.97,0.92,-17.8,-5.28,91,2020-06-14 01:01:27:001
