ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.0462,0.4587,1.5291,-0.3173,3.2435,9.2493,0.2718,-3.4461,-8.4101,0.6017,0.4456,0.1835,14.45,27.02,-28.29,339.52,-19.31,1.96,11,2020-06-14 01:02:31:951
-0.0067,-0.6618,0.3308,-0.3173,3.2435,9.2493,0.2718,-3.4461,-8.4101,0.281,0.6767,0.4168,14.45,27.02,-28.29,339.52,-19.31,1.96,23,2020-06-14 01:02:31:963
-0.0067,-0.6618,0.3308,-0.4526,3.3315,9.2123,0.2718,-3.4461,-8.4101,0.281,0.6767,0.4168,14.45,27.02,-28.29,339.52,-19.31,1.96,31,2020-06-14 01:02:31:971
0.5356,-1.2041,-1.0986,-0.4526,3.3315,9.2123,0.9392,-4.3864,-9.7936,0.281,0.6767,0.4168,14.45,27.02,-28.29,339.52,-19.31,1.96,41,2020-06-14 01:02:31:981
0.5356,-1.2041,-1.0986,-0.4526,3.3315,9.2123,0.9392,-4.3864,-9.7936,0.281,0.6767,0.4168,16.1,27.01,-27.6,339.52,-19.31,1.96,51,2020-06-14 01:02:31:991
0.5356,-1.2041,-1.0986,-0.5242,3.1352,9.2772,0.9392,-4.3864,-9.7936,-1.0218,0.4573,0.6661,16.1,27.01,-27.6,339.52,-19.31,1.96,61,2020-06-14 01:02:32:001
2.4809,-2.8764,-0.9226,-0.5242,3.1352,9.2772,1.4428,-5.2752,-10.3972,-1.0218,0.4573,0.6661,16.1,27.01,-27.6,339.52,-19.31,1.96,72,2020-06-14 01:02:32:012
2.4809,-2.8764,-0.9226,-0.5242,3.1352,9.2772,1.4428,-5.2752,-10.3972,-1.0218,0.4573,0.6661,16.1,27.01,-27.6,339.52,-19.31,1.96,81,2020-06-14 01:02:32:021
2.4809,-2.8764,-0.9226,-0.6499,2.5016,9.4599,1.4428,-5.2752,-10.3972,-2.4993,0.7651,0.4338,16.31,26.36,-28.33,336.97,-18.65,3.23,91,2020-06-14 01:02:32:031
2.9405,-3.3325,0.2326,-0.6499,2.5016,9.4599,3.6736,-5.5513,-9.3239,-2.4993,0.7651,0.4338,16.31,26.36,-28.33,336.97,-18.65,3.23,100,2020-06-14 01:02:32:040
