ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.2617,-0.9982,-2.7685,-0.6454,3.7683,9.0307,0.2705,-4.6411,-11.3619,-0.5222,0.9452,-0.1297,14.49,27.47,-27.28,341.34,-22.6,4.09,3,2020-06-14 01:04:30:539
-0.2617,-0.9982,-2.7685,-0.9514,3.5556,9.0897,0.51,-5.3265,-12.7912,-0.5222,0.9452,-0.1297,14.49,27.47,-27.28,341.34,-22.6,4.09,13,2020-06-14 01:04:30:549
-0.4461,-2.1989,-4.3319,-0.9514,3.5556,9.0897,0.51,-5.3265,-12.7912,-0.5222,0.9452,-0.1297,14.49,27.47,-27.28,341.34,-22.6,4.09,23,2020-06-14 01:04:30:559
-0.4461,-2.1989,-4.3319,-0.9514,3.5556,9.0897,0.51,-5.3265,-12.7912,-1.2103,0.845,-0.0711,14.49,27.47,-27.28,341.34,-22.6,4.09,33,2020-06-14 01:04:30:569
-0.4461,-2.1989,-4.3319,-1.1759,3.2101,9.1914,0.8873,-6.2731,-14.0802,-1.2103,0.845,-0.0711,14.44,28.79,-23.68,341.34,-22.6,4.09,43,2020-06-14 01:04:30:579
-0.1552,-3.4391,-5.2633,-1.1759,3.2101,9.1914,0.8873,-6.2731,-14.0802,-1.2103,0.845,-0.0711,14.44,28.79,-23.68,341.34,-22.6,4.09,53,2020-06-14 01:04:30:589
-0.1552,-3.4391,-5.2633,-1.1759,3.2101,9.1914,0.8873,-6.2731,-14.0802,-1.7483,-0.3981,-0.1318,14.44,28.79,-23.68,341.34,-22.6,4.09,63,2020-06-14 01:04:30:599
-0.5849,-4.6853,-5.5159,-1.0996,2.7043,9.3621,0.6097,-7.0672,-14.5639,-1.7483,-0.3981,-0.1318,14.44,28.79,-23.68,341.34,-22.6,4.09,73,2020-06-14 01:04:30:609
-0.5849,-4.6853,-5.5159,-1.0996,2.7043,9.3621,0.6097,-7.0672,-14.5639,-1.7483,-0.3981,-0.1318,15.22,30.08,-22.94,341.07,-16.01,6.7,83,2020-06-14 01:04:30:619
-0.5849,-4.6853,-5.5159,-1.0996,2.7043,9.3621,0.6097,-7.0672,-14.5639,-2.8082,-1.3654,-0.0658,15.22,30.08,-22.94,341.07,-16.01,6.7,93,2020-06-14 01:04:30:629
0.0112,-6.287,-4.4469,-0.738,1.8803,9.5964,0.5635,-7.7735,-13.7196,-2.8082,-1.3654,-0.0658,15.22,30.08,-22.94,341.07,-16.01,6.7,104,2020-06-14 01:04:30:640
0.0112,-6.287,-4.4469,-0.738,1.8803,9.5964,0.5635,-7.7735,-13.7196,-2.8082,-1.3654,-0.0658,15.22,30.08,-22.94,341.07,-16.01,6.7,113,2020-06-14 01:04:30:649
0.0112,-6.287,-4.4469,-0.738,1.8803,9.5964,0.5635,-7.7735,-13.7196,-4.3475,-1.6083,0.0876,13.43,33.99,-19.24,341.07,-16.01,6.7,123,2020-06-14 01:04:30:659
1.6285,-8.68,-1.5211,-0.2604,0.5713,9.7865,1.8051,-9.1045,-11.0128,-4.3475,-1.6083,0.0876,13.43,33.99,-19.24,341.07,-16.01,6.7,133,2020-06-14 01:04:30:669
1.6285,-8.68,-1.5211,-0.2604,0.5713,9.7865,1.8051,-9.1045,-11.0128,-4.3475,-1.6083,0.0876,13.43,33.99,-19.24,341.07,-16.01,6.7,143,2020-06-14 01:04:30:679
1.6285,-8.68,-1.5211,-0.2604,0.5713,9.7865,1.8051,-9.1045,-11.0128,-6.1819,-1.898,0.0887,13.43,33.99,-19.24,341.07,-16.01,6.7,153,2020-06-14 01:04:30:689
4.8691,-12.6352,6.6108,0.316,-1.273,9.7185,4.6236,-11.5508,-1.9494,-6.1819,-1.898,0.0887,13.66,39.19,-15.51,338.4,7.46,-1.86,163,2020-06-14 01:04:30:699
