ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
1.2718,-2.6418,-11.5337,-1.8809,5.0346,8.2027,3.0272,-7.9354,-20.0114,-0.4252,0.7609,0.2282,25.07,20.14,-30.76,333.87,-30.89,12.92,6,2020-06-14 01:06:17:113
0.83,-3.8162,-11.5588,-1.8809,5.0346,8.2027,3.0272,-7.9354,-20.0114,-2.1851,-0.2351,0.0237,25.07,20.14,-30.76,333.87,-30.89,12.92,16,2020-06-14 01:06:17:123
0.83,-3.8162,-11.5588,-1.8752,4.5995,8.4557,2.4668,-8.7855,-18.8146,-2.1851,-0.2351,0.0237,25.07,20.14,-30.76,333.87,-30.89,12.92,26,2020-06-14 01:06:17:133
0.83,-3.8162,-11.5588,-1.8752,4.5995,8.4557,2.4668,-8.7855,-18.8146,-2.1851,-0.2351,0.0237,24.15,22.74,-29.96,333.87,-30.89,12.92,36,2020-06-14 01:06:17:143
0.9354,-5.3556,-9.8566,-1.8752,4.5995,8.4557,2.4668,-8.7855,-18.8146,-3.4314,-0.8732,0.1366,24.15,22.74,-29.96,333.87,-30.89,12.92,46,2020-06-14 01:06:17:153
0.9354,-5.3556,-9.8566,-1.6596,3.7415,8.9117,3.4165,-9.8584,-17.6459,-3.4314,-0.8732,0.1366,24.15,22.74,-29.96,333.87,-30.89,12.92,56,2020-06-14 01:06:17:163
0.9354,-5.3556,-9.8566,-1.6596,3.7415,8.9117,3.4165,-9.8584,-17.6459,-3.4314,-0.8732,0.1366,24.15,22.74,-29.96,333.87,-30.89,12.92,66,2020-06-14 01:06:17:173
3.2374,-7.5751,-8.4512,-1.6596,3.7415,8.9117,3.4165,-9.8584,-17.6459,-3.4314,-0.8732,0.1366,23.89,26.66,-22.95,331.2,-22.43,10.55,75,2020-06-14 01:06:17:182
3.2374,-7.5751,-8.4512,-1.232,2.3653,9.4371,6.0983,-11.5367,-15.6247,-5.2157,-1.5667,0.0855,23.89,26.66,-22.95,331.2,-22.43,10.55,86,2020-06-14 01:06:17:193
3.2374,-7.5751,-8.4512,-1.232,2.3653,9.4371,6.0983,-11.5367,-15.6247,-5.2157,-1.5667,0.0855,23.89,26.66,-22.95,331.2,-22.43,10.55,96,2020-06-14 01:06:17:203
6.2757,-10.7821,-5.2154,-1.232,2.3653,9.4371,6.0983,-11.5367,-15.6247,-5.2157,-1.5667,0.0855,23.89,26.66,-22.95,331.2,-22.43,10.55,106,2020-06-14 01:06:17:213
6.2757,-10.7821,-5.2154,-0.6961,0.7274,9.7548,9.0648,-13.9841,-11.3807,-7.0384,-2.4402,-0.8583,17.37,40.44,-17.21,331.2,-22.43,10.55,117,2020-06-14 01:06:17:224
6.2757,-10.7821,-5.2154,-0.6961,0.7274,9.7548,9.0648,-13.9841,-11.3807,-7.0384,-2.4402,-0.8583,17.37,40.44,-17.21,331.2,-22.43,10.55,126,2020-06-14 01:06:17:233
10.2955,-17.9575,4.0394,-0.6961,0.7274,9.7548,9.0648,-13.9841,-11.3807,-7.0384,-2.4402,-0.8583,17.37,40.44,-17.21,331.2,-22.43,10.55,135,2020-06-14 01:06:17:242
10.2955,-17.9575,4.0394,0.3491,-1.7652,9.6402,9.2766,-17.7896,1.5537,-8.7727,-3.8347,-2.142,17.37,40.44,-17.21,331.2,-22.43,10.55,146,2020-06-14 01:06:17:253
7.9336,-19.8118,22.2593,0.3491,-1.7652,9.6402,9.2766,-17.7896,1.5537,-8.7727,-3.8347,-2.142,11.46,44.44,-4.95,345.25,10.37,-2.07,155,2020-06-14 01:06:17:262
7.9336,-19.8118,22.2593,0.3491,-1.7652,9.6402,9.2766,-17.7896,1.5537,-8.7727,-3.8347,-2.142,11.46,44.44,-4.95,345.25,10.37,-2.07,166,2020-06-14 01:06:17:273
7.9336,-19.8118,22.2593,1.6238,-4.2694,8.6779,4.5595,-14.5205,26.6631,-8.3657,-3.22,-1.2791,11.46,44.44,-4.95,345.25,10.37,-2.07,176,2020-06-14 01:06:17:283
5.5885,-16.8179,39.0654,1.6238,-4.2694,8.6779,4.5595,-14.5205,26.6631,-8.3657,-3.22,-1.2791,11.46,44.44,-4.95,345.25,10.37,-2.07,186,2020-06-14 01:06:17:293
5.5885,-16.8179,39.0654,2.1534,-5.6386,7.7291,5.477,-10.2052,31.7692,-8.3657,-3.22,-1.2791,8.9,47.12,5.82,345.25,10.37,-2.07,196,2020-06-14 01:06:17:303
9.1331,-14.9492,39.0917,2.1534,-5.6386,7.7291,5.477,-10.2052,31.7692,-4.6266,-1.1513,0.0684,8.9,47.12,5.82,345.25,10.37,-2.07,206,2020-06-14 01:06:17:313
9.1331,-14.9492,39.0917,2.1534,-5.6386,7.7291,5.477,-10.2052,31.7692,-4.6266,-1.1513,0.0684,8.9,47.12,5.82,345.25,10.37,-2.07,216,2020-06-14 01:06:17:323
