ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-3.7632,-1.252,-1.6337,-1.1384,6.5449,7.2138,-2.928,-7.7216,-8.3813,0.412,1.318,-0.8306,-12.54,7.45,-42.02,19.82,-37.95,3.87,5,2020-06-14 01:08:10:046
-3.7632,-1.252,-1.6337,-1.6061,6.6099,7.064,-2.928,-7.7216,-8.3813,0.412,1.318,-0.8306,-12.54,7.45,-42.02,19.82,-37.95,3.87,15,2020-06-14 01:08:10:056
-3.7632,-1.252,-1.6337,-1.6061,6.6099,7.064,-1.5169,-7.9544,-9.5108,0.412,1.318,-0.8306,-12.54,7.45,-42.02,19.82,-37.95,3.87,25,2020-06-14 01:08:10:066
-3.0258,-1.5357,-3.0199,-1.6061,6.6099,7.064,-1.5169,-7.9544,-9.5108,0.412,1.318,-0.8306,-10.8,4.86,-40.69,34.35,-42.38,12.81,35,2020-06-14 01:08:10:076
-3.0258,-1.5357,-3.0199,-2.187,6.5155,6.9954,-1.5169,-7.9544,-9.5108,-0.4327,2.0733,-0.7497,-10.8,4.86,-40.69,34.35,-42.38,12.81,45,2020-06-14 01:08:10:086
-3.0258,-1.5357,-3.0199,-2.187,6.5155,6.9954,-0.9561,-8.48,-10.3661,-0.4327,2.0733,-0.7497,-10.8,4.86,-40.69,34.35,-42.38,12.81,56,2020-06-14 01:08:10:097
-3.9943,-2.3928,-3.5418,-2.187,6.5155,6.9954,-0.9561,-8.48,-10.3661,-0.4327,2.0733,-0.7497,-10.8,4.86,-40.69,34.35,-42.38,12.81,65,2020-06-14 01:08:10:106
-3.9943,-2.3928,-3.5418,-2.9817,6.2186,6.972,-0.9561,-8.48,-10.3661,-1.2008,2.9489,-0.9595,-10.8,4.86,-40.69,34.35,-42.38,12.81,75,2020-06-14 01:08:10:116
-6.0282,-3.7635,-3.8387,-2.9817,6.2186,6.972,-2.6964,-9.6532,-10.6252,-1.2008,2.9489,-0.9595,0.24,16.73,-32.88,34.35,-42.38,12.81,85,2020-06-14 01:08:10:126
-6.0282,-3.7635,-3.8387,-2.9817,6.2186,6.972,-2.6964,-9.6532,-10.6252,-1.2008,2.9489,-0.9595,0.24,16.73,-32.88,34.35,-42.38,12.81,95,2020-06-14 01:08:10:136
-6.0282,-3.7635,-3.8387,-3.6823,5.906,6.9087,-2.6964,-9.6532,-10.6252,-1.2242,2.5654,-0.8828,0.24,16.73,-32.88,34.35,-42.38,12.81,106,2020-06-14 01:08:10:147
-8.3194,-6.19,-6.1515,-3.6823,5.906,6.9087,-2.6964,-9.6532,-10.6252,-1.2242,2.5654,-0.8828,0.24,16.73,-32.88,34.35,-42.38,12.81,115,2020-06-14 01:08:10:156
-8.3194,-6.19,-6.1515,-3.6823,5.906,6.9087,-4.3792,-11.6216,-12.7228,-1.2242,2.5654,-0.8828,5.09,19.29,-31.41,17.1,-37.03,28.06,125,2020-06-14 01:08:10:166
-8.3194,-6.19,-6.1515,-4.1691,5.5337,6.9403,-4.3792,-11.6216,-12.7228,-1.6748,0.3476,-0.0935,5.09,19.29,-31.41,17.1,-37.03,28.06,135,2020-06-14 01:08:10:176
-9.3238,-8.1449,-8.5409,-4.1691,5.5337,6.9403,-5.2878,-13.3386,-15.4363,-1.6748,0.3476,-0.0935,5.09,19.29,-31.41,17.1,-37.03,28.06,144,2020-06-14 01:08:10:185
-9.3238,-8.1449,-8.5409,-4.1691,5.5337,6.9403,-5.2878,-13.3386,-15.4363,-1.6748,0.3476,-0.0935,7.56,19.26,-33.56,17.1,-37.03,28.06,155,2020-06-14 01:08:10:196
-7.5652,-10.4218,-9.4759,-4.1213,5.046,7.3296,-5.2878,-13.3386,-15.4363,-3.5465,-0.6932,1.3286,7.56,19.26,-33.56,17.1,-37.03,28.06,165,2020-06-14 01:08:10:206
-7.5652,-10.4218,-9.4759,-4.1213,5.046,7.3296,-2.8865,-15.6003,-16.4389,-3.5465,-0.6932,1.3286,7.56,19.26,-33.56,17.1,-37.03,28.06,175,2020-06-14 01:08:10:216
-7.5652,-10.4218,-9.4759,-4.1213,5.046,7.3296,-2.8865,-15.6003,-16.4389,-3.5465,-0.6932,1.3286,7.56,19.26,-33.56,17.1,-37.03,28.06,185,2020-06-14 01:08:10:226
-2.0179,-13.6851,-5.9241,-3.7327,4.1203,8.0784,-2.8865,-15.6003,-16.4389,-6.2086,-1.147,2.4887,8.97,25.73,-30.52,7.44,-24.84,24.8,195,2020-06-14 01:08:10:236
-2.0179,-13.6851,-5.9241,-3.7327,4.1203,8.0784,2.3729,-17.6689,-12.9255,-6.2086,-1.147,2.4887,8.97,25.73,-30.52,7.44,-24.84,24.8,205,2020-06-14 01:08:10:246
-2.0179,-13.6851,-5.9241,-3.7327,4.1203,8.0784,2.3729,-17.6689,-12.9255,-6.2086,-1.147,2.4887,8.97,25.73,-30.52,7.44,-24.84,24.8,216,2020-06-14 01:08:10:257
4.4513,-16.4528,-0.8148,-3.2496,2.8454,8.8042,2.3729,-17.6689,-12.9255,-7.5881,-1.9843,1.971,8.97,25.73,-30.52,7.44,-24.84,24.8,225,2020-06-14 01:08:10:266
4.4513,-16.4528,-0.8148,-3.2496,2.8454,8.8042,9.8234,-19.8431,-5.9192,-7.5881,-1.9843,1.971,8.57,36.75,-25.18,7.44,-24.84,24.8,235,2020-06-14 01:08:10:276
7.5099,-18.8757,8.2484,-3.2496,2.8454,8.8042,9.8234,-19.8431,-5.9192,-7.5881,-1.9843,1.971,8.57,36.75,-25.18,7.44,-24.84,24.8,245,2020-06-14 01:08:10:286
7.5099,-18.8757,8.2484,-2.3037,0.2065,9.53,9.8234,-19.8431,-5.9192,-7.5881,-1.9843,1.971,8.57,36.75,-25.18,7.44,-24.84,24.8,255,2020-06-14 01:08:10:296
7.5099,-18.8757,8.2484,-2.3037,0.2065,9.53,9.8234,-19.8431,-5.9192,-9.6153,-3.2243,1.5928,8.57,36.75,-25.18,7.44,-24.84,24.8,265,2020-06-14 01:08:10:306
10.8294,-17.5242,26.679,-2.3037,0.2065,9.53,11.1689,-16.8601,10.5516,-9.6153,-3.2243,1.5928,8.22,46.53,-13.48,354.3,-1.21,13.59,275,2020-06-14 01:08:10:316
10.8294,-17.5242,26.679,-1.3903,-2.5759,9.3596,11.1689,-16.8601,10.5516,-9.6153,-3.2243,1.5928,8.22,46.53,-13.48,354.3,-1.21,13.59,285,2020-06-14 01:08:10:326
10.8294,-17.5242,26.679,-1.3903,-2.5759,9.3596,11.1689,-16.8601,10.5516,-8.6651,-2.208,1.3777,8.22,46.53,-13.48,354.3,-1.21,13.59,295,2020-06-14 01:08:10:336
11.6183,-13.3271,39.0917,-1.3903,-2.5759,9.3596,12.6587,-10.6453,30.6414,-8.6651,-2.208,1.3777,8.22,46.53,-13.48,354.3,-1.21,13.59,306,2020-06-14 01:08:10:347
11.6183,-13.3271,39.0917,-0.8809,-4.5601,8.6371,12.6587,-10.6453,30.6414,-8.6651,-2.208,1.3777,8.22,46.53,-13.48,354.3,-1.21,13.59,315,2020-06-14 01:08:10:356
6.0554,-10.4218,39.0917,-0.8809,-4.5601,8.6371,12.6587,-10.6453,30.6414,-4.747,-1.3878,0.4242,9.7,51.16,3.72,354.3,-1.21,13.59,325,2020-06-14 01:08:10:366
6.0554,-10.4218,39.0917,-0.8809,-4.5601,8.6371,7.1521,-5.6892,31.052,-4.747,-1.3878,0.4242,9.7,51.16,3.72,354.3,-1.21,13.59,335,2020-06-14 01:08:10:376
6.0554,-10.4218,39.0917,-0.5199,-5.322,8.2205,7.1521,-5.6892,31.052,-4.747,-1.3878,0.4242,9.7,51.16,3.72,354.3,-1.21,13.59,345,2020-06-14 01:08:10:386
-1.3642,-7.1836,39.0917,-0.5199,-5.322,8.2205,7.1521,-5.6892,31.052,-1.1581,-0.836,0.6479,9.7,51.16,3.72,354.3,-1.21,13.59,355,2020-06-14 01:08:10:396
-1.3642,-7.1836,39.0917,-0.5199,-5.322,8.2205,-1.0385,-1.8117,31.0829,-1.1581,-0.836,0.6479,8.06,51.21,8.71,349.78,32.87,3.62,365,2020-06-14 01:08:10:406
-1.3642,-7.1836,39.0917,-0.4895,-5.4289,8.1522,-1.0385,-1.8117,31.0829,-1.1581,-0.836,0.6479,8.06,51.21,8.71,349.78,32.87,3.62,375,2020-06-14 01:08:10:416
-2.7397,-6.129,37.0291,-0.4895,-5.4289,8.1522,-2.2496,-0.6147,27.8696,0.3726,0.3326,1.5108,8.06,51.21,8.71,349.78,32.87,3.62,385,2020-06-14 01:08:10:426
-2.7397,-6.129,37.0291,-0.8028,-5.193,8.28,-2.2496,-0.6147,27.8696,0.3726,0.3326,1.5108,1.36,21.64,-4.53,349.78,32.87,3.62,395,2020-06-14 01:08:10:436
-2.1807,-5.9207,32.1665,-0.8028,-5.193,8.28,-2.2496,-0.6147,27.8696,0.3726,0.3326,1.5108,1.36,21.64,-4.53,349.78,32.87,3.62,405,2020-06-14 01:08:10:446
