ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-12.1597,-4.8588,13.6988,-1.492,1.2575,9.6106,-13.9322,-6.8121,4.9392,1.1017,-0.1821,1.0687,0.03,29.97,-23.63,6.29,-6.03,8.53,3,2020-06-14 00:19:13:015
-12.1597,-4.8588,13.6988,-1.492,1.2575,9.6106,-13.9322,-6.8121,4.9392,0.7469,0.88,3.1896,0.07,28.79,-24.49,6.29,-6.03,8.53,12,2020-06-14 00:19:13:024
-12.1597,-4.8588,13.6988,-1.6192,1.5961,9.5394,-6.9897,-5.6222,4.2876,0.7469,0.88,3.1896,0.07,28.79,-24.49,6.29,-6.03,8.53,22,2020-06-14 00:19:13:034
-12.1597,-4.8588,13.6988,-1.6192,1.5961,9.5394,-6.9897,-5.6222,4.2876,0.7469,0.88,3.1896,0.07,28.79,-24.49,6.29,-6.03,8.53,32,2020-06-14 00:19:13:044
-5.5014,-2.9973,15.0827,-1.6192,1.5961,9.5394,-6.9897,-5.6222,4.2876,0.5445,1.7801,4.0695,0.07,28.79,-24.49,6.29,-6.03,8.53,42,2020-06-14 00:19:13:054
-5.5014,-2.9973,15.0827,-1.9026,1.9019,9.4304,-0.2584,-3.7836,5.7126,0.5445,1.7801,4.0695,8.59,27.96,-22.51,352.44,-11.18,11.41,52,2020-06-14 00:19:13:064
-0.0295,-1.2639,14.9809,-1.9026,1.9019,9.4304,-0.2584,-3.7836,5.7126,0.5445,1.7801,4.0695,8.59,27.96,-22.51,352.44,-11.18,11.41,62,2020-06-14 00:19:13:074
-0.0295,-1.2639,14.9809,-1.9026,1.9019,9.4304,-0.2584,-3.7836,5.7126,0.5445,1.7801,4.0695,8.59,27.96,-22.51,352.44,-11.18,11.41,72,2020-06-14 00:19:13:084
-0.0295,-1.2639,14.9809,-2.0582,2.447,9.2707,5.7361,-2.7298,3.4071,1.564,1.3593,3.8373,8.59,27.96,-22.51,352.44,-11.18,11.41,82,2020-06-14 00:19:13:094
5.0821,0.5664,11.2292,-2.0582,2.447,9.2707,5.7361,-2.7298,3.4071,1.564,1.3593,3.8373,16.97,24.03,-21.99,352.44,-11.18,11.41,92,2020-06-14 00:19:13:104
5.0821,0.5664,11.2292,-2.0582,2.447,9.2707,5.7361,-2.7298,3.4071,1.564,1.3593,3.8373,16.97,24.03,-21.99,352.44,-11.18,11.41,102,2020-06-14 00:19:13:114
5.0821,0.5664,11.2292,-2.0239,3.1919,9.0491,8.6696,-1.8868,-1.3398,2.1776,0.8587,2.9404,16.97,24.03,-21.99,352.44,-11.18,11.41,112,2020-06-14 00:19:13:124
7.1483,1.8497,6.4444,-2.0239,3.1919,9.0491,8.6696,-1.8868,-1.3398,2.1776,0.8587,2.9404,16.97,24.03,-21.99,352.44,-11.18,11.41,122,2020-06-14 00:19:13:134
7.1483,1.8497,6.4444,-2.0239,3.1919,9.0491,8.6696,-1.8868,-1.3398,2.0082,0.5551,1.9017,17.09,20.78,-25.66,339.58,-18.99,12.61,133,2020-06-14 00:19:13:145
7.1483,1.8497,6.4444,-1.8944,3.9004,8.796,8.6696,-1.8868,-1.3398,2.0082,0.5551,1.9017,17.09,20.78,-25.66,339.58,-18.99,12.61,142,2020-06-14 00:19:13:154
7.4584,2.58,2.3192,-1.8944,3.9004,8.796,9.5365,-1.6803,-5.8107,2.0082,0.5551,1.9017,17.09,20.78,-25.66,339.58,-18.99,12.61,153,2020-06-14 00:19:13:165
7.4584,2.58,2.3192,-1.816,4.3524,8.5982,9.5365,-1.6803,-5.8107,1.5374,0.5092,1.1688,17.09,20.78,-25.66,339.58,-18.99,12.61,165,2020-06-14 00:19:13:177
7.4584,2.58,2.3192,-1.816,4.3524,8.5982,9.5365,-1.6803,-5.8107,1.5374,0.5092,1.1688,21.33,17.52,-25.08,339.58,-18.99,12.61,172,2020-06-14 00:19:13:184
6.1823,2.38,-1.1704,-1.816,4.3524,8.5982,8.0748,-2.2546,-9.7636,1.5374,0.5092,1.1688,21.33,17.52,-25.08,339.58,-18.99,12.61,182,2020-06-14 00:19:13:194
6.1823,2.38,-1.1704,-1.816,4.3524,8.5982,8.0748,-2.2546,-9.7636,1.5374,0.5092,1.1688,21.33,17.52,-25.08,339.58,-18.99,12.61,192,2020-06-14 00:19:13:204
5.4317,0.977,-3.0379,-1.7945,4.6746,8.432,8.0748,-2.2546,-9.7636,0.5733,0.5061,0.5297,21.33,17.52,-25.08,339.58,-18.99,12.61,203,2020-06-14 00:19:13:215
5.4317,0.977,-3.0379,-1.7945,4.6746,8.432,7.1739,-3.8555,-11.5825,0.5733,0.5061,0.5297,23.85,16.2,-26.57,328.41,-28.47,12.01,212,2020-06-14 00:19:13:224
5.4317,0.977,-3.0379,-1.8394,4.7068,8.4043,7.1739,-3.8555,-11.5825,0.5733,0.5061,0.5297,23.85,16.2,-26.57,328.41,-28.47,12.01,222,2020-06-14 00:19:13:234
3.5211,-0.4188,-3.0067,-1.8394,4.7068,8.4043,7.1739,-3.8555,-11.5825,-0.4952,0.2291,-0.1074,23.85,16.2,-26.57,328.41,-28.47,12.01,232,2020-06-14 00:19:13:244
3.5211,-0.4188,-3.0067,-1.8394,4.7068,8.4043,4.7388,-5.1959,-11.4086,-0.4952,0.2291,-0.1074,23.85,16.2,-26.57,328.41,-28.47,12.01,242,2020-06-14 00:19:13:254
3.5211,-0.4188,-3.0067,-1.8897,4.4802,8.5163,4.7388,-5.1959,-11.4086,-0.4952,0.2291,-0.1074,23.85,16.2,-26.57,328.41,-28.47,12.01,252,2020-06-14 00:19:13:264
1.182,-1.7212,-2.6548,-1.8897,4.4802,8.5163,4.7388,-5.1959,-11.4086,-1.4337,0.1066,-0.248,23.85,16.2,-26.57,328.41,-28.47,12.01,263,2020-06-14 00:19:13:275
1.182,-1.7212,-2.6548,-1.8897,4.4802,8.5163,2.7442,-6.2905,-10.933,-1.4337,0.1066,-0.248,23.85,16.2,-26.57,328.41,-28.47,12.01,272,2020-06-14 00:19:13:284
1.182,-1.7212,-2.6548,-1.9263,4.1217,8.6874,2.7442,-6.2905,-10.933,-1.4337,0.1066,-0.248,23.85,16.2,-26.57,328.41,-28.47,12.01,282,2020-06-14 00:19:13:294
0.01,-3.1937,-1.7713,-1.9263,4.1217,8.6874,2.7442,-6.2905,-10.933,-1.4337,0.1066,-0.248,23.85,16.2,-26.57,328.41,-28.47,12.01,292,2020-06-14 00:19:13:304
0.01,-3.1937,-1.7713,-1.9263,4.1217,8.6874,1.4371,-7.4301,-10.1347,-2.0963,-0.1363,-0.2352,22.15,17.53,-23.67,329.98,-24.85,12.5,302,2020-06-14 00:19:13:314
-1.4756,-4.2519,-0.7514,-1.9084,3.4947,8.9619,1.4371,-7.4301,-10.1347,-2.0963,-0.1363,-0.2352,22.15,17.53,-23.67,329.98,-24.85,12.5,313,2020-06-14 00:19:13:325
-1.4756,-4.2519,-0.7514,-1.9084,3.4947,8.9619,1.4371,-7.4301,-10.1347,-2.0963,-0.1363,-0.2352,22.15,17.53,-23.67,329.98,-24.85,12.5,322,2020-06-14 00:19:13:334
-1.4756,-4.2519,-0.7514,-1.8136,2.817,9.2166,-1.0696,-6.9444,-8.6746,-2.9091,-0.7052,-0.2341,22.9,19.47,-22.19,329.98,-24.85,12.5,332,2020-06-14 00:19:13:344
-4.126,-3.8808,1.328,-1.8136,2.817,9.2166,-1.0696,-6.9444,-8.6746,-2.9091,-0.7052,-0.2341,22.9,19.47,-22.19,329.98,-24.85,12.5,342,2020-06-14 00:19:13:354
-4.126,-3.8808,1.328,-1.8136,2.817,9.2166,-1.0696,-6.9444,-8.6746,-2.9091,-0.7052,-0.2341,22.9,19.47,-22.19,329.98,-24.85,12.5,352,2020-06-14 00:19:13:364
-4.126,-3.8808,1.328,-1.8136,2.817,9.2166,-3.1967,-5.8672,-6.2045,-2.9091,-0.7052,-0.2341,22.9,19.47,-22.19,329.98,-24.85,12.5,363,2020-06-14 00:19:13:375
-4.6012,-3.9742,3.3786,-1.3823,1.8212,9.5364,-3.1967,-5.8672,-6.2045,-3.5993,-1.9611,0.2079,15.29,28.61,-19.3,339.48,-10.7,8.25,372,2020-06-14 00:19:13:384
