ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.0151,-5.4191,5.3371,-0.5726,3.0673,9.297,0.3419,-8.6565,-5.4273,3.3579,0.5252,-0.0403,13.92,25.6,-33.57,340.94,-6.32,-0.57,2,2020-06-14 00:20:46:851
-0.9453,-5.2994,2.0211,-0.7097,3.9069,8.9668,-0.4105,-9.1276,-8.8176,3.3579,0.5252,-0.0403,13.92,25.6,-33.57,340.94,-6.32,-0.57,12,2020-06-14 00:20:46:861
-0.9453,-5.2994,2.0211,-0.7097,3.9069,8.9668,-0.4105,-9.1276,-8.8176,2.8253,0.5103,0.0769,13.28,20.43,-33.02,341.99,-23.48,4.53,22,2020-06-14 00:20:46:871
-0.9453,-5.2994,2.0211,-0.7097,3.9069,8.9668,-0.4105,-9.1276,-8.8176,2.8253,0.5103,0.0769,13.28,20.43,-33.02,341.99,-23.48,4.53,32,2020-06-14 00:20:46:881
-1.4492,-4.1681,-1.2602,-0.8722,4.5115,8.6635,-0.3738,-7.7757,-11.3713,2.8253,0.5103,0.0769,13.28,20.43,-33.02,341.99,-23.48,4.53,42,2020-06-14 00:20:46:891
-1.4492,-4.1681,-1.2602,-0.8722,4.5115,8.6635,-0.3738,-7.7757,-11.3713,1.5597,0.8214,0.5158,13.28,20.43,-33.02,341.99,-23.48,4.53,52,2020-06-14 00:20:46:901
-1.4492,-4.1681,-1.2602,-0.8722,4.5115,8.6635,-0.3738,-7.7757,-11.3713,1.5597,0.8214,0.5158,11.77,20.81,-25.09,341.99,-23.48,4.53,63,2020-06-14 00:20:46:912
-0.1061,-1.7069,-2.0969,-0.9642,4.8405,8.4741,1.4017,-6.3925,-10.5649,1.5597,0.8214,0.5158,11.77,20.81,-25.09,341.99,-23.48,4.53,73,2020-06-14 00:20:46:922
-0.1061,-1.7069,-2.0969,-0.9642,4.8405,8.4741,1.4017,-6.3925,-10.5649,0.7736,0.4965,0.9046,11.77,20.81,-25.09,341.99,-23.48,4.53,82,2020-06-14 00:20:46:931
2.603,-0.2596,-2.0167,-0.9642,4.8405,8.4741,1.4017,-6.3925,-10.5649,0.7736,0.4965,0.9046,11.77,20.81,-25.09,341.99,-23.48,4.53,92,2020-06-14 00:20:46:941
2.603,-0.2596,-2.0167,-0.9642,4.8405,8.4741,1.4017,-6.3925,-10.5649,0.7736,0.4965,0.9046,11.89,17.57,-26.62,343.3,-29.58,6.49,102,2020-06-14 00:20:46:951
2.603,-0.2596,-2.0167,-0.9434,5.0057,8.3799,3.639,-5.3093,-10.6202,0.7736,0.4965,0.9046,11.89,17.57,-26.62,343.3,-29.58,6.49,112,2020-06-14 00:20:46:961
4.4142,1.2117,-0.7251,-0.9434,5.0057,8.3799,3.639,-5.3093,-10.6202,0.2111,0.2664,0.9366,11.89,17.57,-26.62,343.3,-29.58,6.49,122,2020-06-14 00:20:46:971
4.4142,1.2117,-0.7251,-0.9434,5.0057,8.3799,3.639,-5.3093,-10.6202,0.2111,0.2664,0.9366,11.89,17.57,-26.62,343.3,-29.58,6.49,132,2020-06-14 00:20:46:981
4.4142,1.2117,-0.7251,-0.7694,5.0713,8.3583,6.4225,-3.5218,-8.3096,0.2111,0.2664,0.9366,16.01,17.55,-25.94,343.3,-29.58,6.49,142,2020-06-14 00:20:46:991
7.6942,2.5632,1.1221,-0.7694,5.0713,8.3583,6.4225,-3.5218,-8.3096,-0.1074,-0.2545,0.8918,16.01,17.55,-25.94,343.3,-29.58,6.49,152,2020-06-14 00:20:47:001
7.6942,2.5632,1.1221,-0.5151,5.0666,8.3806,9.32,-1.8438,-7.0984,-0.1074,-0.2545,0.8918,16.01,17.55,-25.94,343.3,-29.58,6.49,162,2020-06-14 00:20:47:011
7.6942,2.5632,1.1221,-0.5151,5.0666,8.3806,9.32,-1.8438,-7.0984,-0.1074,-0.2545,0.8918,16.01,17.55,-25.94,343.3,-29.58,6.49,172,2020-06-14 00:20:47:021
10.0753,4.1481,1.9959,-0.5151,5.0666,8.3806,9.32,-1.8438,-7.0984,-0.4003,-0.5166,0.3954,13.49,18.85,-26.59,339.7,-31.11,3.52,182,2020-06-14 00:20:47:031
10.0753,4.1481,1.9959,-0.2522,4.9758,8.4468,11.2751,-0.2619,-5.3712,-0.4003,-0.5166,0.3954,13.49,18.85,-26.59,339.7,-31.11,3.52,192,2020-06-14 00:20:47:041
11.8949,5.0915,3.8945,-0.2522,4.9758,8.4468,11.2751,-0.2619,-5.3712,-0.4003,-0.5166,0.3954,13.49,18.85,-26.59,339.7,-31.11,3.52,201,2020-06-14 00:20:47:050
11.8949,5.0915,3.8945,-0.2522,4.9758,8.4468,11.2751,-0.2619,-5.3712,-0.6454,-0.7542,-0.2096,13.49,18.85,-26.59,339.7,-31.11,3.52,212,2020-06-14 00:20:47:061
11.8949,5.0915,3.8945,0.0087,4.8266,8.5366,14.4072,0.4228,-3.1333,-0.6454,-0.7542,-0.2096,14.41,16.26,-25.97,339.7,-31.11,3.52,221,2020-06-14 00:20:47:070
15.5855,5.5356,5.8518,0.0087,4.8266,8.5366,14.4072,0.4228,-3.1333,-0.6454,-0.7542,-0.2096,14.41,16.26,-25.97,339.7,-31.11,3.52,232,2020-06-14 00:20:47:081
15.5855,5.5356,5.8518,0.0087,4.8266,8.5366,14.4072,0.4228,-3.1333,-0.6464,-1.2442,-1.228,14.41,16.26,-25.97,339.7,-31.11,3.52,242,2020-06-14 00:20:47:091
15.5855,5.5356,5.8518,0.2514,4.6815,8.6134,17.5675,1.2559,-1.3635,-0.6464,-1.2442,-1.228,14.41,16.26,-25.97,339.7,-31.11,3.52,252,2020-06-14 00:20:47:101
