ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
2.73,1.1,4.514,3.29,-1.481,-4.894,-0.205,0.018,0.432,-2.6,-41.9,-21.7,6,2020-06-14 10:05:12:289
2.73,1.1,4.514,3.29,-1.481,-4.894,-0.205,0.018,0.432,-2.6,-41.9,-21.7,16,2020-06-14 10:05:12:299
2.328,0.959,4.289,2.611,-1.642,-4.918,-0.205,0.018,0.432,-2.6,-41.9,-21.7,26,2020-06-14 10:05:12:309
2.328,0.959,4.289,2.611,-1.642,-4.918,-0.205,0.018,0.432,-2.9,-41.5,-21.7,36,2020-06-14 10:05:12:319
1.062,0.167,5.581,2.611,-1.642,-4.918,-0.42,0.102,0.343,-2.9,-41.5,-21.7,46,2020-06-14 10:05:12:329
1.062,0.167,5.581,1.4,-2.616,-3.929,-0.42,0.102,0.343,-2.9,-41.5,-21.7,55,2020-06-14 10:05:12:338
1.062,0.167,5.581,1.4,-2.616,-3.929,-0.42,0.102,0.343,-2.6,-41.4,-22.6,65,2020-06-14 10:05:12:348
0.914,-0.809,4.746,1.4,-2.616,-3.929,0.076,0.188,0.342,-2.6,-41.4,-22.6,75,2020-06-14 10:05:12:358
0.914,-0.809,4.746,1.901,-3.453,-4.934,0.076,0.188,0.342,-2.6,-41.4,-22.6,85,2020-06-14 10:05:12:368
0.914,-0.809,4.746,1.901,-3.453,-4.934,0.076,0.188,0.342,-3.5,-41.2,-22.9,95,2020-06-14 10:05:12:378
2.615,-1.723,3.703,1.901,-3.453,-4.934,0.238,0.043,0.184,-3.5,-41.2,-22.9,105,2020-06-14 10:05:12:388
2.615,-1.723,3.703,2.91,-4.48,-5.85,0.238,0.043,0.184,-3.5,-41.2,-22.9,116,2020-06-14 10:05:12:399
2.615,-1.723,3.703,2.91,-4.48,-5.85,0.238,0.043,0.184,-3.5,-41.5,-22.3,126,2020-06-14 10:05:12:409
1.16,-2.482,2.808,2.91,-4.48,-5.85,0.029,0.056,-0.185,-3.5,-41.5,-22.3,136,2020-06-14 10:05:12:419
1.16,-2.482,2.808,1.275,-4.77,-6.274,0.029,0.056,-0.185,-3.5,-41.5,-22.3,145,2020-06-14 10:05:12:428
1.16,-2.482,2.808,1.275,-4.77,-6.274,0.029,0.056,-0.185,-3.5,-41.5,-22.3,156,2020-06-14 10:05:12:439
0.914,-2.307,4.277,1.275,-4.77,-6.274,0.029,0.056,-0.185,-2.6,-41.5,-21.7,166,2020-06-14 10:05:12:449
0.914,-2.307,4.277,1.094,-4.067,-3.491,0.344,1.042,-0.454,-2.6,-41.5,-21.7,175,2020-06-14 10:05:12:458
0.914,-2.307,4.277,1.094,-4.067,-3.491,0.344,1.042,-0.454,-2.6,-41.5,-21.7,186,2020-06-14 10:05:12:469
-0.378,0.366,6.634,1.094,-4.067,-3.491,0.344,1.042,-0.454,-2.6,-41.5,-21.7,195,2020-06-14 10:05:12:478
-0.378,0.366,6.634,-0.209,-2.289,-6.047,-0.665,0.079,-0.493,-0.8,-42.1,-23.2,205,2020-06-14 10:05:12:488
-0.438,0.442,5.086,-0.209,-2.289,-6.047,-0.665,0.079,-0.493,-0.8,-42.1,-23.2,215,2020-06-14 10:05:12:498
-0.438,0.442,5.086,-0.209,-2.289,-6.047,-0.665,0.079,-0.493,-0.8,-42.1,-23.2,225,2020-06-14 10:05:12:508
-0.438,0.442,5.086,0.507,-1.519,-0.858,-2.572,-0.1,0.058,-1.7,-40.3,-25.0,235,2020-06-14 10:05:12:518
-0.24,-0.141,10.577,0.507,-1.519,-0.858,-2.572,-0.1,0.058,-1.7,-40.3,-25.0,246,2020-06-14 10:05:12:529
-0.24,-0.141,10.577,0.507,-1.519,-0.858,-2.572,-0.1,0.058,-1.7,-40.3,-25.0,255,2020-06-14 10:05:12:538
-0.24,-0.141,10.577,0.09,-1.123,5.157,-2.572,-0.1,0.058,-1.4,-38.9,-26.8,266,2020-06-14 10:05:12:549
-1.029,0.619,16.27,0.09,-1.123,5.157,-2.479,0.142,0.274,-1.4,-38.9,-26.8,277,2020-06-14 10:05:12:560
-1.029,0.619,16.27,0.09,-1.123,5.157,-2.479,0.142,0.274,-1.4,-38.9,-26.8,285,2020-06-14 10:05:12:568
-0.833,1.727,20.335,0.131,1.329,10.145,-2.479,0.142,0.274,-2.0,-37.4,-28.9,295,2020-06-14 10:05:12:578
-0.833,1.727,20.335,0.131,1.329,10.145,-2.123,0.278,0.331,-2.0,-37.4,-28.9,305,2020-06-14 10:05:12:588
-0.833,1.727,20.335,0.131,1.329,10.145,-2.123,0.278,0.331,-2.0,-37.4,-28.9,315,2020-06-14 10:05:12:598
-2.494,2.388,24.016,-1.176,2.192,14.046,-2.123,0.278,0.331,-1.7,-35.3,-31.3,326,2020-06-14 10:05:12:609
-2.494,2.388,24.016,-1.176,2.192,14.046,-0.969,0.183,0.19,-1.7,-35.3,-31.3,335,2020-06-14 10:05:12:618
-2.494,2.388,24.016,-1.176,2.192,14.046,-0.969,0.183,0.19,-1.7,-35.3,-31.3,345,2020-06-14 10:05:12:628
-3.3,3.264,23.202,-2.354,3.485,14.003,-0.969,0.183,0.19,-1.7,-35.3,-31.3,355,2020-06-14 10:05:12:638
