ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-7.1103,-8.8943,2.6208,-3.945,5.6618,6.9678,-1.787,-14.3249,-5.9935,2.0487,2.7357,3.6306,7.07,15.38,-35.78,25.35,-24.2,24.3,8,2020-06-14 00:22:54:395
-4.2157,-8.4729,-0.4832,-3.945,5.6618,6.9678,-1.787,-14.3249,-5.9935,1.5693,2.236,4.5446,7.07,15.38,-35.78,25.35,-24.2,24.3,19,2020-06-14 00:22:54:406
-4.2157,-8.4729,-0.4832,-3.945,5.6618,6.9678,0.6048,-14.8221,-8.2519,1.5693,2.236,4.5446,7.07,15.38,-35.78,25.35,-24.2,24.3,28,2020-06-14 00:22:54:415
-4.2157,-8.4729,-0.4832,-3.4777,6.4192,6.5475,0.6048,-14.8221,-8.2519,1.5693,2.236,4.5446,7.07,15.38,-35.78,25.35,-24.2,24.3,38,2020-06-14 00:22:54:425
-1.6312,-8.0994,-2.6105,-3.4777,6.4192,6.5475,0.6048,-14.8221,-8.2519,0.829,1.4307,5.056,12.47,13.37,-33.46,8.52,-40.89,27.98,48,2020-06-14 00:22:54:435
-1.6312,-8.0994,-2.6105,-3.4777,6.4192,6.5475,2.7173,-15.0498,-9.6037,0.829,1.4307,5.056,12.47,13.37,-33.46,8.52,-40.89,27.98,58,2020-06-14 00:22:54:445
0.5475,-7.9414,-3.4652,-2.7139,6.9593,6.354,2.7173,-15.0498,-9.6037,0.829,1.4307,5.056,12.47,13.37,-33.46,8.52,-40.89,27.98,68,2020-06-14 00:22:54:455
0.5475,-7.9414,-3.4652,-2.7139,6.9593,6.354,2.7173,-15.0498,-9.6037,-0.0531,1.1708,5.1295,12.47,13.37,-33.46,8.52,-40.89,27.98,78,2020-06-14 00:22:54:465
0.5475,-7.9414,-3.4652,-2.7139,6.9593,6.354,4.4913,-15.4592,-10.6901,-0.0531,1.1708,5.1295,15.98,7.54,-32.25,8.52,-40.89,27.98,88,2020-06-14 00:22:54:475
3.3655,-8.3364,-4.8874,-1.8318,7.2089,6.3911,4.4913,-15.4592,-10.6901,-0.0531,1.1708,5.1295,15.98,7.54,-32.25,8.52,-40.89,27.98,99,2020-06-14 00:22:54:486
3.3655,-8.3364,-4.8874,-1.8318,7.2089,6.3911,4.4913,-15.4592,-10.6901,-0.8861,0.9023,4.9707,15.98,7.54,-32.25,8.52,-40.89,27.98,108,2020-06-14 00:22:54:495
3.3655,-8.3364,-4.8874,-1.8318,7.2089,6.3911,6.4127,-15.2776,-12.1319,-0.8861,0.9023,4.9707,15.98,7.54,-32.25,8.52,-40.89,27.98,118,2020-06-14 00:22:54:505
6.1476,-8.0611,-5.5901,-0.8825,7.0926,6.7147,6.4127,-15.2776,-12.1319,-0.8861,0.9023,4.9707,20.1,7.51,-33.71,343.6,-47.32,15.99,128,2020-06-14 00:22:54:515
6.1476,-8.0611,-5.5901,-0.8825,7.0926,6.7147,6.4127,-15.2776,-12.1319,-2.4851,0.3218,4.6757,20.1,7.51,-33.71,343.6,-47.32,15.99,138,2020-06-14 00:22:54:525
6.1476,-8.0611,-5.5901,-0.8825,7.0926,6.7147,8.8498,-13.8942,-11.5699,-2.4851,0.3218,4.6757,20.1,7.51,-33.71,343.6,-47.32,15.99,148,2020-06-14 00:22:54:535
9.6192,-6.9873,-4.0374,0.0912,6.482,7.3584,8.8498,-13.8942,-11.5699,-2.4851,0.3218,4.6757,20.1,7.51,-33.71,343.6,-47.32,15.99,158,2020-06-14 00:22:54:545
9.6192,-6.9873,-4.0374,0.0912,6.482,7.3584,8.8498,-13.8942,-11.5699,-4.2683,-0.1075,4.2858,19.27,7.52,-32.99,343.6,-47.32,15.99,168,2020-06-14 00:22:54:555
14.7044,-4.2375,-0.014,0.0912,6.482,7.3584,13.3258,-10.2441,-8.3313,-4.2683,-0.1075,4.2858,19.27,7.52,-32.99,343.6,-47.32,15.99,178,2020-06-14 00:22:54:565
14.7044,-4.2375,-0.014,0.8141,5.5273,8.0596,13.3258,-10.2441,-8.3313,-4.2683,-0.1075,4.2858,19.27,7.52,-32.99,343.6,-47.32,15.99,188,2020-06-14 00:22:54:575
14.7044,-4.2375,-0.014,0.8141,5.5273,8.0596,13.3258,-10.2441,-8.3313,-5.6745,0.4517,3.1704,19.27,7.52,-32.99,343.6,-47.32,15.99,198,2020-06-14 00:22:54:585
18.9338,-0.2739,5.6315,0.8141,5.5273,8.0596,13.3258,-10.2441,-8.3313,-5.6745,0.4517,3.1704,24.12,10.09,-30.1,311.42,-34.31,-5.77,208,2020-06-14 00:22:54:595
18.9338,-0.2739,5.6315,1.2395,4.2354,8.7576,17.6063,-4.4564,-3.1035,-5.6745,0.4517,3.1704,24.12,10.09,-30.1,311.42,-34.31,-5.77,218,2020-06-14 00:22:54:605
18.9338,-0.2739,5.6315,1.2395,4.2354,8.7576,17.6063,-4.4564,-3.1035,-5.6745,0.4517,3.1704,24.12,10.09,-30.1,311.42,-34.31,-5.77,228,2020-06-14 00:22:54:615
24.2226,3.0025,12.449,1.2395,4.2354,8.7576,22.9599,0.7234,3.7119,-5.602,0.2376,1.2732,24.12,10.09,-30.1,311.42,-34.31,-5.77,238,2020-06-14 00:22:54:625
24.2226,3.0025,12.449,1.5009,2.3475,9.4025,22.9599,0.7234,3.7119,-5.602,0.2376,1.2732,33.58,27.15,-11.28,311.42,-34.31,-5.77,247,2020-06-14 00:22:54:634
24.2226,3.0025,12.449,1.5009,2.3475,9.4025,22.9599,0.7234,3.7119,-5.602,0.2376,1.2732,33.58,27.15,-11.28,311.42,-34.31,-5.77,258,2020-06-14 00:22:54:645
24.1867,5.4949,15.2467,1.5009,2.3475,9.4025,22.9599,0.7234,3.7119,-4.2204,-0.6849,-1.7479,33.58,27.15,-11.28,311.42,-34.31,-5.77,268,2020-06-14 00:22:54:655
24.1867,5.4949,15.2467,1.7941,1.2013,9.566,21.9495,4.1433,6.4077,-4.2204,-0.6849,-1.7479,33.58,27.15,-11.28,311.42,-34.31,-5.77,277,2020-06-14 00:22:54:664
19.4881,2.5548,19.7717,1.7941,1.2013,9.566,21.9495,4.1433,6.4077,-4.2204,-0.6849,-1.7479,34.99,33.61,-9.65,313.3,-7.04,-10.62,288,2020-06-14 00:22:54:675
19.4881,2.5548,19.7717,1.7941,1.2013,9.566,21.9495,4.1433,6.4077,-3.9253,-3.5462,-4.3482,34.99,33.61,-9.65,313.3,-7.04,-10.62,298,2020-06-14 00:22:54:685
19.4881,2.5548,19.7717,2.7267,0.357,9.4132,15.3854,1.2229,12.4832,-3.9253,-3.5462,-4.3482,34.99,33.61,-9.65,313.3,-7.04,-10.62,308,2020-06-14 00:22:54:695
11.0844,-1.3681,29.467,2.7267,0.357,9.4132,15.3854,1.2229,12.4832,-3.9253,-3.5462,-4.3482,34.99,33.61,-9.65,313.3,-7.04,-10.62,318,2020-06-14 00:22:54:705
11.0844,-1.3681,29.467,2.7267,0.357,9.4132,4.3417,-2.0001,23.6419,-3.3533,-3.7795,-5.1354,23.2,40.82,-6.49,313.3,-7.04,-10.62,328,2020-06-14 00:22:54:715
11.0844,-1.3681,29.467,3.7789,-0.1069,9.0487,4.3417,-2.0001,23.6419,-3.3533,-3.7795,-5.1354,23.2,40.82,-6.49,313.3,-7.04,-10.62,338,2020-06-14 00:22:54:725
2.2797,-2.8633,36.1433,3.7789,-0.1069,9.0487,4.3417,-2.0001,23.6419,-3.3533,-3.7795,-5.1354,23.2,40.82,-6.49,313.3,-7.04,-10.62,348,2020-06-14 00:22:54:735
