ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
1.2131,-0.8749,-6.9368,-1.7735,7.6565,5.8654,2.5593,-8.5131,-12.0261,0.9195,0.7415,0.3273,15.68,3.67,-37.52,352.87,-51.33,16.82,6,2020-06-14 00:24:06:915
1.2131,-0.8749,-6.9368,-1.7735,7.6565,5.8654,2.5593,-8.5131,-12.0261,0.9195,0.7415,0.3273,15.68,3.67,-37.52,352.87,-51.33,16.82,17,2020-06-14 00:24:06:926
1.2131,-0.8749,-6.9368,-1.8203,7.8211,5.6291,2.5593,-8.5131,-12.0261,0.2111,0.521,0.1781,15.68,3.67,-37.52,352.87,-51.33,16.82,26,2020-06-14 00:24:06:935
2.5431,-2.2085,-8.9108,-1.8203,7.8211,5.6291,3.8347,-9.3796,-13.8054,0.2111,0.521,0.1781,17.0,4.65,-38.96,352.87,-51.33,16.82,37,2020-06-14 00:24:06:946
2.5431,-2.2085,-8.9108,-1.8203,7.8211,5.6291,3.8347,-9.3796,-13.8054,0.2111,0.521,0.1781,17.0,4.65,-38.96,352.87,-51.33,16.82,46,2020-06-14 00:24:06:955
2.5431,-2.2085,-8.9108,-1.8653,7.8339,5.5965,3.8347,-9.3796,-13.8054,-1.0086,0.1737,-0.2224,17.0,4.65,-38.96,352.87,-51.33,16.82,56,2020-06-14 00:24:06:965
2.9848,-4.0245,-9.7345,-1.8653,7.8339,5.5965,4.8787,-11.0923,-15.3075,-1.0086,0.1737,-0.2224,17.0,4.65,-38.96,352.87,-51.33,16.82,65,2020-06-14 00:24:06:974
2.9848,-4.0245,-9.7345,-1.9293,7.6511,5.8231,4.8787,-11.0923,-15.3075,-1.0086,0.1737,-0.2224,18.62,5.29,-38.24,350.39,-51.28,18.33,76,2020-06-14 00:24:06:985
2.9848,-4.0245,-9.7345,-1.9293,7.6511,5.8231,4.8787,-11.0923,-15.3075,-1.0086,0.1737,-0.2224,18.62,5.29,-38.24,350.39,-51.28,18.33,86,2020-06-14 00:24:06:995
2.5539,-5.6405,-8.6702,-1.9293,7.6511,5.8231,4.5754,-12.5941,-14.7132,-2.6449,-0.229,-0.5633,18.62,5.29,-38.24,350.39,-51.28,18.33,96,2020-06-14 00:24:07:005
2.5539,-5.6405,-8.6702,-2.0029,7.1409,6.4161,4.5754,-12.5941,-14.7132,-2.6449,-0.229,-0.5633,18.62,5.29,-38.24,350.39,-51.28,18.33,106,2020-06-14 00:24:07:015
2.5539,-5.6405,-8.6702,-2.0029,7.1409,6.4161,4.5754,-12.5941,-14.7132,-2.6449,-0.229,-0.5633,17.66,9.17,-38.82,350.39,-51.28,18.33,116,2020-06-14 00:24:07:025
2.2594,-7.0232,-7.2469,-2.0029,7.1409,6.4161,4.156,-13.3301,-13.7345,-4.1256,-0.784,-0.4291,17.66,9.17,-38.82,350.39,-51.28,18.33,126,2020-06-14 00:24:07:035
2.2594,-7.0232,-7.2469,-1.9456,6.2962,7.2624,4.156,-13.3301,-13.7345,-4.1256,-0.784,-0.4291,17.66,9.17,-38.82,350.39,-51.28,18.33,136,2020-06-14 00:24:07:045
3.8826,-8.8332,-5.213,-1.9456,6.2962,7.2624,4.156,-13.3301,-13.7345,-4.1256,-0.784,-0.4291,17.66,9.17,-38.82,350.39,-51.28,18.33,146,2020-06-14 00:24:07:055
3.8826,-8.8332,-5.213,-1.9456,6.2962,7.2624,4.156,-13.3301,-13.7345,-5.7331,-1.8897,-0.3897,16.57,16.3,-35.73,349.25,-39.94,15.0,156,2020-06-14 00:24:07:065
3.8826,-8.8332,-5.213,-1.5964,4.9795,8.2962,6.3299,-14.5124,-11.6804,-5.7331,-1.8897,-0.3897,16.57,16.3,-35.73,349.25,-39.94,15.0,166,2020-06-14 00:24:07:075
5.9512,-10.5463,-1.7043,-1.5964,4.9795,8.2962,6.3299,-14.5124,-11.6804,-5.7331,-1.8897,-0.3897,16.57,16.3,-35.73,349.25,-39.94,15.0,176,2020-06-14 00:24:07:085
5.9512,-10.5463,-1.7043,-1.5964,4.9795,8.2962,6.3299,-14.5124,-11.6804,-7.0604,-3.1574,-0.7923,16.57,16.3,-35.73,349.25,-39.94,15.0,187,2020-06-14 00:24:07:096
5.9512,-10.5463,-1.7043,-1.0262,3.435,9.1279,8.0339,-14.6645,-7.2412,-7.0604,-3.1574,-0.7923,7.24,32.98,-29.59,349.25,-39.94,15.0,196,2020-06-14 00:24:07:105
7.96,-13.0111,4.2788,-1.0262,3.435,9.1279,8.0339,-14.6645,-7.2412,-7.0604,-3.1574,-0.7923,7.24,32.98,-29.59,349.25,-39.94,15.0,206,2020-06-14 00:24:07:115
7.96,-13.0111,4.2788,-1.0262,3.435,9.1279,8.0339,-14.6645,-7.2412,-8.9885,-4.5721,-1.4453,7.24,32.98,-29.59,349.25,-39.94,15.0,216,2020-06-14 00:24:07:125
4.3028,-11.4082,19.4042,0.1494,0.938,9.7605,5.998,-13.2899,3.0312,-8.9885,-4.5721,-1.4453,7.24,32.98,-29.59,349.25,-39.94,15.0,226,2020-06-14 00:24:07:135
4.3028,-11.4082,19.4042,0.1494,0.938,9.7605,5.998,-13.2899,3.0312,-8.9885,-4.5721,-1.4453,1.97,42.13,-20.01,356.98,-5.49,-0.88,236,2020-06-14 00:24:07:145
4.3028,-11.4082,19.4042,0.1494,0.938,9.7605,5.998,-13.2899,3.0312,-9.3038,-2.6738,-0.7934,1.97,42.13,-20.01,356.98,-5.49,-0.88,246,2020-06-14 00:24:07:155
1.3651,-10.8479,39.0905,1.2908,-1.9469,9.5244,-0.3108,-8.3938,30.2893,-9.3038,-2.6738,-0.7934,1.97,42.13,-20.01,356.98,-5.49,-0.88,256,2020-06-14 00:24:07:165
1.3651,-10.8479,39.0905,1.2908,-1.9469,9.5244,-0.3108,-8.3938,30.2893,-9.3038,-2.6738,-0.7934,1.97,42.13,-20.01,356.98,-5.49,-0.88,266,2020-06-14 00:24:07:175
1.3651,-10.8479,39.0905,1.2908,-1.9469,9.5244,-0.3108,-8.3938,30.2893,-4.7669,1.4765,0.8929,1.73,48.68,-7.0,356.98,-5.49,-0.88,276,2020-06-14 00:24:07:185
4.1795,-9.4365,39.0917,1.1568,-3.7672,8.98,2.4974,-6.3169,30.578,-4.7669,1.4765,0.8929,1.73,48.68,-7.0,356.98,-5.49,-0.88,286,2020-06-14 00:24:07:195
4.1795,-9.4365,39.0917,1.1568,-3.7672,8.98,2.4974,-6.3169,30.578,-4.7669,1.4765,0.8929,1.73,48.68,-7.0,356.98,-5.49,-0.88,296,2020-06-14 00:24:07:205
