ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
1.143,0.512,13.669,1.424,0.316,2.57,1.21,-0.069,-0.538,-3.5,-36.0,-28.9,6,2020-06-14 10:20:18:661
1.143,0.512,13.669,1.424,0.316,2.57,1.21,-0.069,-0.538,-4.1,-37.2,-29.8,15,2020-06-14 10:20:18:670
0.792,1.084,11.262,1.424,0.316,2.57,1.21,-0.069,-0.538,-4.1,-37.2,-29.8,25,2020-06-14 10:20:18:680
0.792,1.084,11.262,0.506,0.613,0.458,1.21,-0.069,-0.538,-4.1,-37.2,-29.8,35,2020-06-14 10:20:18:690
0.792,1.084,11.262,0.506,0.613,0.458,0.732,-0.455,-0.826,-3.5,-38.2,-27.4,45,2020-06-14 10:20:18:700
-1.431,1.641,11.061,0.506,0.613,0.458,0.732,-0.455,-0.826,-3.5,-38.2,-27.4,55,2020-06-14 10:20:18:710
-1.431,1.641,11.061,-1.239,1.066,2.333,0.732,-0.455,-0.826,-3.5,-38.2,-27.4,65,2020-06-14 10:20:18:720
-1.431,1.641,11.061,-1.239,1.066,2.333,0.586,-1.169,-0.815,-3.5,-38.2,-27.4,75,2020-06-14 10:20:18:730
-0.412,1.672,13.317,-1.239,1.066,2.333,0.586,-1.169,-0.815,-2.6,-37.7,-28.9,85,2020-06-14 10:20:18:740
-0.412,1.672,13.317,-0.815,0.619,1.296,0.586,-1.169,-0.815,-2.6,-37.7,-28.9,95,2020-06-14 10:20:18:750
-0.563,2.048,9.285,-0.815,0.619,1.296,1.643,-0.878,-0.849,-2.6,-37.7,-28.9,105,2020-06-14 10:20:18:760
-0.563,2.048,9.285,-0.815,0.619,1.296,1.643,-0.878,-0.849,-2.0,-38.9,-24.4,115,2020-06-14 10:20:18:770
-0.563,2.048,9.285,-1.028,1.141,-2.417,1.643,-0.878,-0.849,-2.0,-38.9,-24.4,125,2020-06-14 10:20:18:780
-0.563,2.048,9.285,-1.028,1.141,-2.417,1.643,-0.878,-0.849,-2.0,-38.9,-24.4,135,2020-06-14 10:20:18:790
-0.328,2.433,7.132,-1.028,1.141,-2.417,1.806,-0.147,-0.478,-1.4,-40.3,-22.6,145,2020-06-14 10:20:18:800
-0.328,2.433,7.132,-1.028,1.141,-2.417,1.806,-0.147,-0.478,-1.4,-40.3,-22.6,155,2020-06-14 10:20:18:810
-0.328,2.433,7.132,-1.028,1.141,-2.417,1.806,-0.147,-0.478,-1.4,-40.3,-22.6,165,2020-06-14 10:20:18:820
-0.328,2.433,7.132,-1.028,1.141,-2.417,1.806,-0.147,-0.478,-1.4,-40.3,-22.6,175,2020-06-14 10:20:18:830
0.392,1.407,6.859,0.029,-0.713,-3.062,1.546,0.069,-0.373,-2.0,-41.5,-20.5,185,2020-06-14 10:20:18:840
0.392,1.407,6.859,0.029,-0.713,-3.062,1.546,0.069,-0.373,-2.0,-41.5,-20.5,195,2020-06-14 10:20:18:850
0.392,1.407,6.859,0.029,-0.713,-3.062,1.546,0.069,-0.373,-2.0,-41.5,-20.5,205,2020-06-14 10:20:18:860
0.734,0.919,5.088,0.201,-1.751,-4.637,0.626,-1.013,-0.52,-0.8,-41.9,-21.1,215,2020-06-14 10:20:18:870
0.734,0.919,5.088,0.201,-1.751,-4.637,0.626,-1.013,-0.52,-0.8,-41.9,-21.1,225,2020-06-14 10:20:18:880
0.548,0.328,4.287,0.201,-1.751,-4.637,0.626,-1.013,-0.52,-0.8,-41.9,-21.1,237,2020-06-14 10:20:18:892
0.548,0.328,4.287,0.201,-1.751,-4.637,0.626,-1.013,-0.52,-0.8,-41.9,-21.1,246,2020-06-14 10:20:18:901
0.548,0.328,4.287,-0.363,-2.578,-5.391,0.477,-0.723,-0.676,-0.5,-41.9,-19.9,255,2020-06-14 10:20:18:910
-0.46,0.036,3.21,-0.363,-2.578,-5.391,0.477,-0.723,-0.676,-0.5,-41.9,-19.9,265,2020-06-14 10:20:18:920
-0.46,0.036,3.21,-0.363,-2.578,-5.391,0.477,-0.723,-0.676,-0.5,-41.9,-19.9,275,2020-06-14 10:20:18:930
-0.46,0.036,3.21,-1.909,-3.749,-6.98,0.801,0.084,-0.447,0.1,-43.4,-18.4,285,2020-06-14 10:20:18:940
-1.216,-0.9,2.399,-1.909,-3.749,-6.98,0.801,0.084,-0.447,0.1,-43.4,-18.4,295,2020-06-14 10:20:18:950
-1.216,-0.9,2.399,-1.909,-3.749,-6.98,0.801,0.084,-0.447,0.1,-43.4,-18.4,305,2020-06-14 10:20:18:960
-1.216,-0.9,2.399,-2.179,-4.28,-7.477,0.996,0.271,-0.116,1.0,-44.3,-17.5,316,2020-06-14 10:20:18:971
-1.292,-1.211,1.303,-2.179,-4.28,-7.477,0.996,0.271,-0.116,1.0,-44.3,-17.5,326,2020-06-14 10:20:18:981
-1.292,-1.211,1.303,-2.179,-4.28,-7.477,0.996,0.271,-0.116,1.0,-44.3,-17.5,335,2020-06-14 10:20:18:990
-1.204,-1.278,-0.437,-1.895,-4.856,-9.336,0.924,0.277,0.085,1.0,-44.1,-16.0,345,2020-06-14 10:20:19:000
-1.204,-1.278,-0.437,-1.895,-4.856,-9.336,0.924,0.277,0.085,1.0,-44.1,-16.0,355,2020-06-14 10:20:19:010
-1.204,-1.278,-0.437,-1.895,-4.856,-9.336,0.924,0.277,0.085,1.0,-44.1,-16.0,366,2020-06-14 10:20:19:021
-0.802,-1.156,-1.796,-1.328,-4.862,-10.782,0.924,0.277,0.085,1.0,-44.1,-16.0,375,2020-06-14 10:20:19:030
-0.802,-1.156,-1.796,-1.328,-4.862,-10.782,0.531,0.299,0.106,1.3,-43.8,-16.0,385,2020-06-14 10:20:19:040
-0.802,-1.156,-1.796,-1.328,-4.862,-10.782,0.531,0.299,0.106,1.3,-43.8,-16.0,395,2020-06-14 10:20:19:050
-0.792,-1.369,-1.927,-1.183,-5.184,-10.677,0.531,0.299,0.106,1.3,-43.8,-16.0,406,2020-06-14 10:20:19:061
-0.792,-1.369,-1.927,-1.183,-5.184,-10.677,-0.157,0.365,0.045,0.1,-44.7,-14.5,416,2020-06-14 10:20:19:071
-2.197,-1.711,-0.736,-1.183,-5.184,-10.677,-0.157,0.365,0.045,0.1,-44.7,-14.5,426,2020-06-14 10:20:19:081
-2.197,-1.711,-0.736,-2.447,-5.395,-9.496,-0.157,0.365,0.045,0.1,-44.7,-14.5,435,2020-06-14 10:20:19:090
-2.197,-1.711,-0.736,-2.447,-5.395,-9.496,-0.917,0.371,0.239,0.1,-44.7,-14.5,445,2020-06-14 10:20:19:100
-0.658,-2.57,1.597,-2.447,-5.395,-9.496,-0.917,0.371,0.239,-0.5,-43.4,-16.0,456,2020-06-14 10:20:19:111
-0.658,-2.57,1.597,-0.605,-5.929,-6.689,-0.917,0.371,0.239,-0.5,-43.4,-16.0,465,2020-06-14 10:20:19:120
-0.658,-2.57,1.597,-0.605,-5.929,-6.689,-0.917,0.371,0.239,-0.5,-43.4,-16.0,475,2020-06-14 10:20:19:130
-0.355,-2.266,5.821,-0.605,-5.929,-6.689,-1.18,0.924,0.003,1.0,-44.0,-17.5,485,2020-06-14 10:20:19:140
-0.355,-2.266,5.821,-0.747,-4.786,-1.473,-1.18,0.924,0.003,1.0,-44.0,-17.5,495,2020-06-14 10:20:19:150
-1.118,-0.986,7.345,-0.747,-4.786,-1.473,-1.18,0.924,0.003,1.0,-44.0,-17.5,505,2020-06-14 10:20:19:160
-1.118,-0.986,7.345,-0.747,-4.786,-1.473,-0.516,0.878,-0.413,1.3,-43.3,-19.3,515,2020-06-14 10:20:19:170
-1.118,-0.986,7.345,-0.417,-3.602,-2.927,-0.516,0.878,-0.413,1.3,-43.3,-19.3,525,2020-06-14 10:20:19:180
-0.682,-0.587,6.416,-0.417,-3.602,-2.927,-0.516,0.878,-0.413,1.3,-43.3,-19.3,536,2020-06-14 10:20:19:191
-0.682,-0.587,6.416,-0.417,-3.602,-2.927,-1.497,0.092,-0.903,1.3,-43.3,-19.3,545,2020-06-14 10:20:19:200
-0.682,-0.587,6.416,-0.604,-2.88,-3.14,-1.497,0.092,-0.903,1.9,-42.4,-20.8,556,2020-06-14 10:20:19:211
-2.999,-0.491,8.166,-0.604,-2.88,-3.14,-1.497,0.092,-0.903,1.9,-42.4,-20.8,565,2020-06-14 10:20:19:220
-2.999,-0.491,8.166,-0.604,-2.88,-3.14,-2.703,0.12,-0.738,3.7,-41.5,-23.5,576,2020-06-14 10:20:19:231
-2.999,-0.491,8.166,-2.307,-0.354,1.502,-2.703,0.12,-0.738,3.7,-41.5,-23.5,586,2020-06-14 10:20:19:241
-2.893,2.189,12.444,-2.307,-0.354,1.502,-2.703,0.12,-0.738,3.7,-41.5,-23.5,595,2020-06-14 10:20:19:250
-2.893,2.189,12.444,-2.307,-0.354,1.502,-2.703,0.12,-0.738,4.9,-39.8,-26.5,605,2020-06-14 10:20:19:260
-1.663,2.366,13.99,-1.713,1.252,4.496,-2.169,0.188,0.045,4.9,-39.8,-26.5,615,2020-06-14 10:20:19:270
-1.663,2.366,13.99,-1.713,1.252,4.496,-2.169,0.188,0.045,4.9,-39.8,-26.5,625,2020-06-14 10:20:19:280
-1.663,2.366,13.99,-1.713,1.252,4.496,-2.169,0.188,0.045,4.9,-39.8,-26.5,635,2020-06-14 10:20:19:290
-3.657,2.323,15.964,-2.626,2.097,6.328,-2.033,0.009,0.056,6.4,-39.5,-27.1,645,2020-06-14 10:20:19:300
-3.657,2.323,15.964,-2.626,2.097,6.328,-2.033,0.009,0.056,6.4,-39.5,-27.1,656,2020-06-14 10:20:19:311
-3.657,2.323,15.964,-2.626,2.097,6.328,-2.033,0.009,0.056,6.4,-39.5,-27.1,665,2020-06-14 10:20:19:320
-3.838,1.148,18.172,-3.271,1.437,8.661,-2.632,-0.732,-0.099,4.6,-37.4,-30.1,675,2020-06-14 10:20:19:330
-3.838,1.148,18.172,-3.271,1.437,8.661,-2.632,-0.732,-0.099,4.6,-37.4,-30.1,685,2020-06-14 10:20:19:340
-3.838,1.148,18.172,-3.271,1.437,8.661,-2.632,-0.732,-0.099,4.6,-37.4,-30.1,695,2020-06-14 10:20:19:350
-2.692,-0.275,21.522,-2.654,0.607,12.854,-2.383,-0.993,0.012,4.6,-37.4,-30.1,705,2020-06-14 10:20:19:360
-2.692,-0.275,21.522,-2.654,0.607,12.854,-2.383,-0.993,0.012,4.0,-33.9,-33.7,715,2020-06-14 10:20:19:370
-2.692,-0.275,21.522,-2.654,0.607,12.854,-2.383,-0.993,0.012,4.0,-33.9,-33.7,725,2020-06-14 10:20:19:380
-3.75,-0.723,24.59,-4.037,1.124,14.681,-2.383,-0.993,0.012,4.0,-33.9,-33.7,735,2020-06-14 10:20:19:390
-3.75,-0.723,24.59,-4.037,1.124,14.681,-0.752,-0.538,0.047,3.7,-33.0,-34.6,745,2020-06-14 10:20:19:400
-3.75,-0.723,24.59,-4.037,1.124,14.681,-0.752,-0.538,0.047,3.7,-33.0,-34.6,756,2020-06-14 10:20:19:411
-4.879,-0.165,21.771,-4.757,1.313,11.944,-0.752,-0.538,0.047,3.7,-33.0,-34.6,765,2020-06-14 10:20:19:420
-4.879,-0.165,21.771,-4.757,1.313,11.944,0.031,0.36,0.479,2.5,-32.2,-34.3,776,2020-06-14 10:20:19:431
-4.879,-0.165,21.771,-4.757,1.313,11.944,0.031,0.36,0.479,2.5,-32.2,-34.3,785,2020-06-14 10:20:19:440
-5.064,-0.357,21.931,-4.825,1.2,12.139,0.031,0.36,0.479,2.5,-32.2,-34.3,796,2020-06-14 10:20:19:451
-5.064,-0.357,21.931,-4.825,1.2,12.139,0.812,0.405,0.938,1.9,-32.5,-34.3,805,2020-06-14 10:20:19:460
-5.064,-0.357,21.931,-4.825,1.2,12.139,0.812,0.405,0.938,1.9,-32.5,-34.3,816,2020-06-14 10:20:19:471
-3.977,-1.056,18.44,-3.542,0.167,8.51,0.812,0.405,0.938,1.9,-32.5,-34.3,825,2020-06-14 10:20:19:480
-3.977,-1.056,18.44,-3.542,0.167,8.51,0.812,0.405,0.938,1.9,-34.8,-34.0,835,2020-06-14 10:20:19:490
-3.977,-1.056,18.44,-3.542,0.167,8.51,1.451,-0.152,0.959,1.9,-34.8,-34.0,845,2020-06-14 10:20:19:500
-3.977,-1.056,18.44,-3.336,0.617,0.114,1.451,-0.152,0.959,1.9,-34.8,-34.0,855,2020-06-14 10:20:19:510
-3.8,-0.17,10.113,-3.336,0.617,0.114,1.451,-0.152,0.959,0.7,-34.3,-33.1,865,2020-06-14 10:20:19:520
-3.8,-0.17,10.113,-3.336,0.617,0.114,0.728,0.431,1.023,0.7,-34.3,-33.1,876,2020-06-14 10:20:19:531
-3.8,-0.17,10.113,-0.954,-0.945,3.504,0.728,0.431,1.023,0.7,-34.3,-33.1,885,2020-06-14 10:20:19:540
-1.295,-1.453,12.872,-0.954,-0.945,3.504,0.728,0.431,1.023,0.7,-34.3,-33.1,895,2020-06-14 10:20:19:550
-1.295,-1.453,12.872,-0.954,-0.945,3.504,1.369,-0.045,0.993,0.1,-34.8,-31.0,905,2020-06-14 10:20:19:560
-1.295,-1.453,12.872,-1.059,-0.403,-2.383,1.369,-0.045,0.993,0.1,-34.8,-31.0,915,2020-06-14 10:20:19:570
-1.819,-0.476,7.697,-1.059,-0.403,-2.383,1.369,-0.045,0.993,0.1,-34.8,-31.0,925,2020-06-14 10:20:19:580
-1.819,-0.476,7.697,-1.059,-0.403,-2.383,0.985,0.278,0.979,-2.0,-36.2,-31.6,935,2020-06-14 10:20:19:590
-1.819,-0.476,7.697,-0.148,-0.839,-0.167,0.985,0.278,0.979,-2.0,-36.2,-31.6,945,2020-06-14 10:20:19:600
-0.84,-0.766,9.474,-0.148,-0.839,-0.167,0.985,0.278,0.979,-2.0,-36.2,-31.6,956,2020-06-14 10:20:19:611
