ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.8211,1.2966,6.4092,-0.8612,-0.5398,-3.3046,0.3596,-0.2301,-0.8199,4.56,-40.16,-21.66,5,2020-06-13 12:08:44:434
-0.8211,1.2966,6.4092,-0.8612,-0.5398,-3.3046,0.1691,-0.2814,-0.804,4.56,-40.16,-21.66,15,2020-06-13 12:08:44:444
-1.0891,0.7678,6.7992,-1.055,-1.1695,-2.7697,0.1691,-0.2814,-0.804,4.56,-40.16,-21.66,25,2020-06-13 12:08:44:454
-1.0891,0.7678,6.7992,-1.055,-1.1695,-2.7697,0.1691,-0.2814,-0.804,4.86,-39.12,-24.66,34,2020-06-13 12:08:44:463
-1.0891,0.7678,6.7992,-1.055,-1.1695,-2.7697,-0.1461,-0.4402,-0.716,4.86,-39.12,-24.66,44,2020-06-13 12:08:44:473
-2.8813,0.9592,6.4858,-1.055,-1.1695,-2.7697,-0.1461,-0.4402,-0.716,4.86,-39.12,-24.66,54,2020-06-13 12:08:44:483
-2.8813,0.9592,6.4858,-3.0296,-0.9246,-3.1297,-0.1461,-0.4402,-0.716,6.66,-39.64,-23.16,64,2020-06-13 12:08:44:493
-2.8813,0.9592,6.4858,-3.0296,-0.9246,-3.1297,-0.647,-0.3425,-0.396,6.66,-39.64,-23.16,74,2020-06-13 12:08:44:503
-2.6444,0.7128,6.2273,-3.0296,-0.9246,-3.1297,-0.647,-0.3425,-0.396,6.66,-39.64,-23.16,84,2020-06-13 12:08:44:513
-2.6444,0.7128,6.2273,-2.489,-1.0627,-3.6624,-0.647,-0.3425,-0.396,6.06,-39.81,-23.46,94,2020-06-13 12:08:44:523
-2.6444,0.7128,6.2273,-2.489,-1.0627,-3.6624,-0.647,-0.3425,-0.396,6.06,-39.81,-23.46,104,2020-06-13 12:08:44:533
-2.1635,0.1672,5.9881,-2.489,-1.0627,-3.6624,-1.1369,0.002,-0.3227,6.06,-39.81,-23.46,115,2020-06-13 12:08:44:544
-2.1635,0.1672,5.9881,-1.7777,-1.7462,-1.5951,-1.1369,0.002,-0.3227,6.06,-39.81,-23.46,126,2020-06-13 12:08:44:555
-2.1635,0.1672,5.9881,-1.7777,-1.7462,-1.5951,-1.1369,0.002,-0.3227,7.26,-38.25,-24.96,135,2020-06-13 12:08:44:564
-2.3071,-0.7469,10.2808,-1.7777,-1.7462,-1.5951,-1.3544,-0.0517,-0.6513,7.26,-38.25,-24.96,144,2020-06-13 12:08:44:573
-2.3071,-0.7469,10.2808,-1.7777,-1.7462,-1.5951,-1.3544,-0.0517,-0.6513,7.26,-38.25,-24.96,154,2020-06-13 12:08:44:583
-2.3071,-0.7469,10.2808,-3.0914,-1.5598,1.5497,-1.3544,-0.0517,-0.6513,7.56,-37.56,-27.96,164,2020-06-13 12:08:44:593
-3.1422,-0.8378,11.1374,-3.0914,-1.5598,1.5497,-1.3544,-0.0517,-0.6513,7.56,-37.56,-27.96,174,2020-06-13 12:08:44:603
-3.1422,-0.8378,11.1374,-3.0914,-1.5598,1.5497,-0.8535,-0.4976,-0.7332,7.56,-37.56,-27.96,184,2020-06-13 12:08:44:613
-3.1422,-0.8378,11.1374,-3.0665,-1.4473,0.5467,-0.8535,-0.4976,-0.7332,9.36,-36.35,-27.66,194,2020-06-13 12:08:44:623
-2.9651,-0.8521,10.1133,-3.0665,-1.4473,0.5467,-0.8535,-0.4976,-0.7332,9.36,-36.35,-27.66,204,2020-06-13 12:08:44:633
-2.9651,-0.8521,10.1133,-3.0665,-1.4473,0.5467,-0.961,-0.3474,-0.6354,9.36,-36.35,-27.66,214,2020-06-13 12:08:44:643
-2.4291,-1.0603,11.6686,-2.6293,-1.2794,1.9767,-0.961,-0.3474,-0.6354,8.76,-35.48,-29.16,224,2020-06-13 12:08:44:653
-2.4291,-1.0603,11.6686,-2.6293,-1.2794,1.9767,-0.961,-0.3474,-0.6354,8.76,-35.48,-29.16,234,2020-06-13 12:08:44:663
-2.4291,-1.0603,11.6686,-2.6293,-1.2794,1.9767,-0.7973,-0.56,-0.545,8.76,-35.48,-29.16,244,2020-06-13 12:08:44:673
-2.4291,-1.0603,11.6686,-2.6293,-1.2794,1.9767,-0.7973,-0.56,-0.545,8.76,-35.48,-29.16,254,2020-06-13 12:08:44:683
-1.8692,-1.0531,14.0519,-2.2332,-1.0278,4.3272,-0.7973,-0.56,-0.545,7.86,-34.96,-30.66,264,2020-06-13 12:08:44:693
-1.8692,-1.0531,14.0519,-2.2332,-1.0278,4.3272,0.1947,-1.0865,-0.5572,7.86,-34.96,-30.66,275,2020-06-13 12:08:44:704
-1.8692,-1.0531,14.0519,-2.2332,-1.0278,4.3272,0.1947,-1.0865,-0.5572,7.86,-34.96,-30.66,284,2020-06-13 12:08:44:713
-2.2472,-0.8354,8.3498,-2.9049,-0.849,-1.3696,0.1947,-1.0865,-0.5572,9.06,-35.31,-30.06,300,2020-06-13 12:08:44:729
-2.2472,-0.8354,8.3498,-2.9049,-0.849,-1.3696,0.1947,-1.0865,-0.5572,9.06,-35.31,-30.06,305,2020-06-13 12:08:44:734
-2.2472,-0.8354,8.3498,-2.9049,-0.849,-1.3696,-0.2757,0.0155,-0.231,9.06,-35.31,-30.06,314,2020-06-13 12:08:44:743
-2.2472,-0.8354,8.3498,-2.9049,-0.849,-1.3696,-0.2757,0.0155,-0.231,9.06,-35.31,-30.06,325,2020-06-13 12:08:44:754
-3.7978,0.2821,9.1825,-4.4511,0.3179,-0.5238,-0.2757,0.0155,-0.231,9.06,-35.48,-30.36,334,2020-06-13 12:08:44:763
