ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.765,1.227,2.877,0.587,-1.776,-6.175,1.091,0.159,0.376,-6.1,-40.6,-13.0,4,2020-06-14 20:51:20:531
0.631,1.507,3.758,0.587,-1.776,-6.175,0.509,0.248,0.296,-6.1,-40.6,-13.0,14,2020-06-14 20:51:20:541
0.631,1.507,3.758,0.587,-1.776,-6.175,0.509,0.248,0.296,-6.1,-40.6,-13.0,23,2020-06-14 20:51:20:550
0.708,1.029,5.734,0.63,-2.273,-3.919,0.509,0.248,0.296,-7.0,-41.2,-12.7,34,2020-06-14 20:51:20:561
0.708,1.029,5.734,0.63,-2.273,-3.919,0.202,-0.058,0.199,-7.0,-41.2,-12.7,43,2020-06-14 20:51:20:570
0.708,1.029,5.734,0.63,-2.273,-3.919,0.202,-0.058,0.199,-7.0,-41.2,-12.7,53,2020-06-14 20:51:20:580
0.902,0.911,6.589,0.754,-2.682,-2.839,0.202,-0.058,0.199,-7.3,-40.6,-11.8,64,2020-06-14 20:51:20:591
0.902,0.911,6.589,0.754,-2.682,-2.839,0.392,-0.187,0.149,-7.3,-40.6,-11.8,74,2020-06-14 20:51:20:601
0.902,0.911,6.589,0.754,-2.682,-2.839,0.392,-0.187,0.149,-7.3,-40.6,-11.8,84,2020-06-14 20:51:20:611
1.258,1.691,7.333,0.916,-2.049,-2.057,0.392,-0.187,0.149,-8.2,-40.6,-11.8,94,2020-06-14 20:51:20:621
1.258,1.691,7.333,0.916,-2.049,-2.057,0.651,-0.274,0.146,-8.2,-40.6,-11.8,105,2020-06-14 20:51:20:632
1.258,1.691,7.333,0.916,-2.049,-2.057,0.651,-0.274,0.146,-8.2,-40.6,-11.8,114,2020-06-14 20:51:20:641
2.474,2.893,7.378,2.155,-0.897,-1.761,0.651,-0.274,0.146,-8.8,-41.2,-10.9,124,2020-06-14 20:51:20:651
2.474,2.893,7.378,2.155,-0.897,-1.761,0.651,-0.274,0.146,-8.8,-41.2,-10.9,134,2020-06-14 20:51:20:661
2.474,2.893,7.378,2.155,-0.897,-1.761,0.547,-0.512,0.095,-8.8,-41.2,-10.9,144,2020-06-14 20:51:20:671
4.091,3.668,6.704,3.866,-0.239,-2.403,0.547,-0.512,0.095,-8.8,-41.2,-10.3,154,2020-06-14 20:51:20:681
4.091,3.668,6.704,3.866,-0.239,-2.403,0.547,-0.512,0.095,-8.8,-41.2,-10.3,164,2020-06-14 20:51:20:691
4.091,3.668,6.704,3.866,-0.239,-2.403,-0.059,-0.485,-0.054,-8.8,-41.2,-10.3,174,2020-06-14 20:51:20:701
5.173,3.725,7.979,4.717,-0.286,-0.695,-0.059,-0.485,-0.054,-9.1,-41.7,-8.8,184,2020-06-14 20:51:20:711
5.173,3.725,7.979,4.717,-0.286,-0.695,-0.059,-0.485,-0.054,-9.1,-41.7,-8.8,193,2020-06-14 20:51:20:720
5.692,3.603,9.508,4.717,-0.286,-0.695,-0.04,-0.35,-0.343,-9.1,-41.7,-8.8,204,2020-06-14 20:51:20:731
5.692,3.603,9.508,4.922,-0.313,0.575,-0.04,-0.35,-0.343,-9.4,-41.5,-9.7,214,2020-06-14 20:51:20:741
5.692,3.603,9.508,4.922,-0.313,0.575,-0.04,-0.35,-0.343,-9.4,-41.5,-9.7,224,2020-06-14 20:51:20:751
5.278,3.216,8.9,4.922,-0.313,0.575,-0.04,-0.35,-0.343,-9.4,-41.5,-9.7,234,2020-06-14 20:51:20:761
5.278,3.216,8.9,4.348,-0.835,-0.249,0.267,-0.407,-0.636,-8.8,-41.7,-8.2,243,2020-06-14 20:51:20:770
5.278,3.216,8.9,4.348,-0.835,-0.249,0.267,-0.407,-0.636,-8.8,-41.7,-8.2,254,2020-06-14 20:51:20:781
4.678,2.866,8.18,4.348,-0.835,-0.249,0.267,-0.407,-0.636,-8.8,-41.7,-8.2,264,2020-06-14 20:51:20:791
4.678,2.866,8.18,3.608,-1.306,-0.785,0.247,-0.446,-0.862,-7.0,-42.4,-7.6,274,2020-06-14 20:51:20:801
4.678,2.866,8.18,3.608,-1.306,-0.785,0.247,-0.446,-0.862,-7.0,-42.4,-7.6,284,2020-06-14 20:51:20:811
4.089,2.555,7.948,3.608,-1.306,-0.785,0.247,-0.446,-0.862,-7.0,-42.4,-7.6,294,2020-06-14 20:51:20:821
4.089,2.555,7.948,2.892,-1.798,-0.992,0.285,-0.69,-1.059,-7.0,-42.4,-7.6,303,2020-06-14 20:51:20:830
4.089,2.555,7.948,2.892,-1.798,-0.992,0.285,-0.69,-1.059,-5.8,-42.4,-8.2,313,2020-06-14 20:51:20:840
3.096,1.993,7.503,1.74,-2.287,-1.778,0.285,-0.69,-1.059,-5.8,-42.4,-8.2,324,2020-06-14 20:51:20:851
3.096,1.993,7.503,1.74,-2.287,-1.778,0.285,-0.69,-1.059,-5.8,-42.4,-8.2,334,2020-06-14 20:51:20:861
2.646,2.151,6.823,1.74,-2.287,-1.778,0.482,-0.642,-1.25,-4.0,-42.9,-6.7,344,2020-06-14 20:51:20:871
2.646,2.151,6.823,1.74,-2.287,-1.778,0.482,-0.642,-1.25,-4.0,-42.9,-6.7,353,2020-06-14 20:51:20:880
2.646,2.151,6.823,1.982,-2.237,-2.334,0.482,-0.642,-1.25,-4.0,-42.9,-6.7,364,2020-06-14 20:51:20:891
2.986,2.237,4.572,1.982,-2.237,-2.334,0.676,-0.644,-1.506,-4.0,-42.9,-6.7,373,2020-06-14 20:51:20:900
2.986,2.237,4.572,1.982,-2.237,-2.334,0.676,-0.644,-1.506,-1.9,-43.6,-6.1,383,2020-06-14 20:51:20:910
2.986,2.237,4.572,0.351,-2.849,-5.464,0.676,-0.644,-1.506,-1.9,-43.6,-6.1,393,2020-06-14 20:51:20:920
0.088,1.263,2.906,0.351,-2.849,-5.464,0.043,-0.375,-1.523,-1.9,-43.6,-6.1,404,2020-06-14 20:51:20:931
