ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.003,-0.295,6.553,1.946,-2.808,-1.705,-0.694,0.442,0.921,-8.4,-35.6,-17.9,6,2020-06-14 20:56:21:695
0.6,-0.984,7.933,1.946,-2.808,-1.705,-0.694,0.442,0.921,-8.4,-35.6,-17.9,16,2020-06-14 20:56:21:705
0.6,-0.984,7.933,1.946,-2.808,-1.705,-0.694,0.442,0.921,-8.4,-35.6,-17.9,25,2020-06-14 20:56:21:714
0.6,-0.984,7.933,1.946,-2.808,-1.705,-0.694,0.442,0.921,-10.8,-33.8,-20.9,35,2020-06-14 20:56:21:724
0.526,-0.771,7.326,1.879,-2.581,-2.046,-0.436,-0.263,0.904,-10.8,-33.8,-20.9,45,2020-06-14 20:56:21:734
0.526,-0.771,7.326,1.879,-2.581,-2.046,-0.436,-0.263,0.904,-10.8,-33.8,-20.9,57,2020-06-14 20:56:21:746
0.526,-0.771,7.326,1.879,-2.581,-2.046,-0.436,-0.263,0.904,-10.2,-34.2,-19.7,66,2020-06-14 20:56:21:755
2.019,-0.797,6.251,3.199,-2.445,-3.142,-0.78,-0.253,0.86,-10.2,-34.2,-19.7,76,2020-06-14 20:56:21:765
2.019,-0.797,6.251,3.199,-2.445,-3.142,-0.78,-0.253,0.86,-10.2,-34.2,-19.7,86,2020-06-14 20:56:21:775
2.019,-0.797,6.251,3.199,-2.445,-3.142,-0.78,-0.253,0.86,-10.2,-34.2,-19.7,96,2020-06-14 20:56:21:785
2.127,-0.924,7.979,3.193,-2.286,-1.451,-1.357,-0.237,0.843,-12.6,-32.1,-21.5,105,2020-06-14 20:56:21:794
2.127,-0.924,7.979,3.193,-2.286,-1.451,-1.357,-0.237,0.843,-12.6,-32.1,-21.5,116,2020-06-14 20:56:21:805
2.127,-0.924,7.979,3.193,-2.286,-1.451,-1.357,-0.237,0.843,-12.6,-32.1,-21.5,125,2020-06-14 20:56:21:814
1.945,-1.07,10.4,2.877,-2.073,0.915,-1.357,-0.237,0.843,-13.2,-31.4,-21.5,135,2020-06-14 20:56:21:824
1.945,-1.07,10.4,2.877,-2.073,0.915,-1.271,-0.484,0.975,-13.2,-31.4,-21.5,146,2020-06-14 20:56:21:835
1.945,-1.07,10.4,2.877,-2.073,0.915,-1.271,-0.484,0.975,-13.2,-31.4,-21.5,156,2020-06-14 20:56:21:845
3.161,-1.417,10.448,3.911,-2.093,0.915,-1.271,-0.484,0.975,-15.9,-29.3,-23.9,166,2020-06-14 20:56:21:855
3.161,-1.417,10.448,3.911,-2.093,0.915,-1.203,-0.256,0.642,-15.9,-29.3,-23.9,176,2020-06-14 20:56:21:865
3.34,-2.135,12.485,3.911,-2.093,0.915,-1.203,-0.256,0.642,-15.9,-29.3,-23.9,186,2020-06-14 20:56:21:875
3.34,-2.135,12.485,4.127,-2.609,3.354,-1.203,-0.256,0.642,-16.2,-28.6,-22.7,196,2020-06-14 20:56:21:885
3.34,-2.135,12.485,4.127,-2.609,3.354,-1.068,-0.044,0.356,-16.2,-28.6,-22.7,206,2020-06-14 20:56:21:895
4.197,-2.386,14.255,4.127,-2.609,3.354,-1.068,-0.044,0.356,-16.2,-28.6,-22.7,216,2020-06-14 20:56:21:905
