ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.603,-0.031,7.862,0.751,-1.059,-1.85,-0.71,0.018,0.02,-7.0,-33.9,-23.1,5,2020-06-14 21:07:23:796
0.603,-0.031,7.862,0.751,-1.059,-1.85,-0.71,0.018,0.02,-7.0,-33.9,-23.1,14,2020-06-14 21:07:23:805
0.938,-1.233,11.506,1.316,-1.97,1.247,-0.71,0.018,0.02,-6.1,-33.7,-22.8,25,2020-06-14 21:07:23:816
0.938,-1.233,11.506,1.316,-1.97,1.247,-0.463,1.024,0.021,-6.1,-33.7,-22.8,35,2020-06-14 21:07:23:826
0.938,-1.233,11.506,1.316,-1.97,1.247,-0.463,1.024,0.021,-6.1,-33.7,-22.8,45,2020-06-14 21:07:23:836
-0.35,-1.259,15.971,0.297,-2.015,6.447,-0.463,1.024,0.021,-6.1,-33.7,-22.8,55,2020-06-14 21:07:23:846
-0.35,-1.259,15.971,0.297,-2.015,6.447,-0.463,1.024,0.021,-6.1,-33.4,-22.8,65,2020-06-14 21:07:23:856
-0.35,-1.259,15.971,0.297,-2.015,6.447,-0.104,0.613,-0.001,-6.1,-33.4,-22.8,75,2020-06-14 21:07:23:866
-0.065,-0.177,15.062,0.727,-0.9,5.497,-0.104,0.613,-0.001,-6.1,-33.4,-22.8,85,2020-06-14 21:07:23:876
-0.065,-0.177,15.062,0.727,-0.9,5.497,-0.104,0.613,-0.001,-4.6,-33.9,-24.3,95,2020-06-14 21:07:23:886
-0.065,-0.177,15.062,0.727,-0.9,5.497,-0.246,-0.11,0.137,-4.6,-33.9,-24.3,104,2020-06-14 21:07:23:895
1.565,0.713,12.559,2.321,0.052,2.959,-0.246,-0.11,0.137,-4.6,-33.9,-24.3,114,2020-06-14 21:07:23:905
1.565,0.713,12.559,2.321,0.052,2.959,-0.246,-0.11,0.137,-4.6,-33.0,-24.0,125,2020-06-14 21:07:23:916
1.565,0.713,12.559,2.321,0.052,2.959,-1.387,-0.071,0.224,-4.6,-33.0,-24.0,135,2020-06-14 21:07:23:926
1.242,1.277,12.777,1.941,0.899,3.14,-1.387,-0.071,0.224,-4.6,-33.0,-24.0,145,2020-06-14 21:07:23:936
1.242,1.277,12.777,1.941,0.899,3.14,-1.387,-0.071,0.224,-4.6,-33.0,-24.0,155,2020-06-14 21:07:23:946
1.242,1.277,12.777,1.941,0.899,3.14,-1.387,-0.071,0.224,-5.5,-31.6,-24.6,165,2020-06-14 21:07:23:956
1.591,-0.711,16.902,2.29,-0.803,7.654,-1.811,0.075,0.128,-5.5,-31.6,-24.6,175,2020-06-14 21:07:23:966
1.591,-0.711,16.902,2.29,-0.803,7.654,-1.811,0.075,0.128,-5.5,-31.6,-24.6,185,2020-06-14 21:07:23:976
1.074,-1.546,18.316,2.29,-0.803,7.654,-1.811,0.075,0.128,-4.6,-30.4,-26.7,195,2020-06-14 21:07:23:986
1.074,-1.546,18.316,2.29,-0.803,7.654,-0.58,0.248,-0.446,-4.6,-30.4,-26.7,205,2020-06-14 21:07:23:996
1.074,-1.546,18.316,1.788,-0.942,8.424,-0.58,0.248,-0.446,-4.6,-30.4,-26.7,215,2020-06-14 21:07:24:006
