ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.0818,-6.518,16.694,-0.3882,3.1116,9.2918,-3.2586,-11.5412,10.7841,-1.1599,-1.4764,-7.1062,-5.09,26.48,-26.89,10.46,-18.5,2.39,14,2020-06-14 00:28:21:106
-9.5596,-11.5782,22.3586,-0.6131,2.5324,9.4542,-3.2586,-11.5412,10.7841,-1.1599,-1.4764,-7.1062,-5.09,26.48,-26.89,10.46,-18.5,2.39,24,2020-06-14 00:28:21:116
-9.5596,-11.5782,22.3586,-0.6131,2.5324,9.4542,-3.2586,-11.5412,10.7841,-1.1599,-1.4764,-7.1062,-5.09,26.48,-26.89,10.46,-18.5,2.39,34,2020-06-14 00:28:21:126
-17.992,-13.1368,20.9676,-0.6131,2.5324,9.4542,-13.1574,-15.5596,12.5531,0.405,-0.7755,-5.6233,-5.09,26.48,-26.89,10.46,-18.5,2.39,44,2020-06-14 00:28:21:136
-17.992,-13.1368,20.9676,-0.8808,2.3418,9.4821,-13.1574,-15.5596,12.5531,0.405,-0.7755,-5.6233,-13.26,24.61,-24.76,10.46,-18.5,2.39,54,2020-06-14 00:28:21:146
-17.992,-13.1368,20.9676,-0.8808,2.3418,9.4821,-13.1574,-15.5596,12.5531,0.405,-0.7755,-5.6233,-13.26,24.61,-24.76,10.46,-18.5,2.39,64,2020-06-14 00:28:21:156
-17.992,-13.1368,20.9676,-0.8808,2.3418,9.4821,-20.5346,-13.216,10.7206,0.3624,1.8728,-2.3924,-13.26,24.61,-24.76,10.46,-18.5,2.39,74,2020-06-14 00:28:21:166
-22.7421,-8.8895,19.5083,-1.6425,2.241,9.4048,-20.5346,-13.216,10.7206,0.3624,1.8728,-2.3924,-13.26,24.61,-24.76,10.46,-18.5,2.39,84,2020-06-14 00:28:21:176
-22.7421,-8.8895,19.5083,-1.6425,2.241,9.4048,-20.5346,-13.216,10.7206,0.3624,1.8728,-2.3924,-16.43,21.38,-27.69,38.23,-13.21,9.91,94,2020-06-14 00:28:21:186
-22.7421,-8.8895,19.5083,-1.6425,2.241,9.4048,-18.0584,-8.6535,7.308,0.5488,3.3503,1.1741,-16.43,21.38,-27.69,38.23,-13.21,9.91,103,2020-06-14 00:28:21:195
-16.8739,-4.8145,14.6912,-2.6087,2.3573,9.1547,-18.0584,-8.6535,7.308,0.5488,3.3503,1.1741,-16.43,21.38,-27.69,38.23,-13.21,9.91,114,2020-06-14 00:28:21:206
-16.8739,-4.8145,14.6912,-2.6087,2.3573,9.1547,-18.0584,-8.6535,7.308,0.5488,3.3503,1.1741,-16.43,21.38,-27.69,38.23,-13.21,9.91,125,2020-06-14 00:28:21:217
-16.8739,-4.8145,14.6912,-2.6087,2.3573,9.1547,-9.0604,-5.8953,3.7197,0.6543,2.9966,2.8136,-9.09,23.27,-27.68,38.23,-13.21,9.91,134,2020-06-14 00:28:21:226
-9.0915,-2.0564,12.1749,-3.3565,2.8048,8.7771,-9.0604,-5.8953,3.7197,0.6543,2.9966,2.8136,-9.09,23.27,-27.68,38.23,-13.21,9.91,144,2020-06-14 00:28:21:236
-9.0915,-2.0564,12.1749,-3.3565,2.8048,8.7771,-9.0604,-5.8953,3.7197,0.6543,2.9966,2.8136,-9.09,23.27,-27.68,38.23,-13.21,9.91,154,2020-06-14 00:28:21:246
-4.3271,0.102,10.5648,-3.3565,2.8048,8.7771,-2.4229,-3.9692,2.1607,0.9973,2.1178,3.0842,-9.09,23.27,-27.68,38.23,-13.21,9.91,164,2020-06-14 00:28:21:256
-4.3271,0.102,10.5648,-3.6301,3.3614,8.4672,-2.4229,-3.9692,2.1607,0.9973,2.1178,3.0842,-2.48,22.56,-30.6,23.25,-16.62,20.93,174,2020-06-14 00:28:21:266
-4.3271,0.102,10.5648,-3.6301,3.3614,8.4672,-2.4229,-3.9692,2.1607,0.9973,2.1178,3.0842,-2.48,22.56,-30.6,23.25,-16.62,20.93,184,2020-06-14 00:28:21:276
-1.1751,1.5361,8.398,-3.6301,3.3614,8.4672,1.6982,-2.6545,0.6517,1.5001,1.4978,2.7294,-2.48,22.56,-30.6,23.25,-16.62,20.93,194,2020-06-14 00:28:21:286
-1.1751,1.5361,8.398,-3.6989,4.0172,8.1456,1.6982,-2.6545,0.6517,1.5001,1.4978,2.7294,-2.48,22.56,-30.6,23.25,-16.62,20.93,204,2020-06-14 00:28:21:296
-1.1751,1.5361,8.398,-3.6989,4.0172,8.1456,1.6982,-2.6545,0.6517,1.5001,1.4978,2.7294,0.96,18.66,-31.46,23.25,-16.62,20.93,214,2020-06-14 00:28:21:306
1.3113,2.5811,4.7804,-3.6989,4.0172,8.1456,4.5198,-2.0826,-2.6147,1.6247,1.4712,2.4258,0.96,18.66,-31.46,23.25,-16.62,20.93,224,2020-06-14 00:28:21:316
