ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.273311,-1.322466,9.756109,1.485741,-0.531262,-0.024291,-0.418898,0.154505,0.809367,-10.429,-27.556,-24.9298,12,2020-06-13 12:14:51:346
0.273311,-1.322466,9.756109,1.485741,-0.531262,-0.024291,-0.418898,0.154505,0.809367,-10.429,-27.556,-24.9298,22,2020-06-13 12:14:51:356
1.48783,-1.00626,10.26156,2.595324,-0.058539,0.276045,-0.418898,0.154505,0.809367,-11.9691,-26.7795,-25.3617,34,2020-06-13 12:14:51:368
1.48783,-1.00626,10.26156,2.595324,-0.058539,0.276045,-0.413573,0.186455,0.645357,-11.9691,-26.7795,-25.3617,41,2020-06-13 12:14:51:375
1.48783,-1.00626,10.26156,2.595324,-0.058539,0.276045,-0.413573,0.186455,0.645357,-11.9691,-26.7795,-25.3617,52,2020-06-13 12:14:51:386
2.251994,-1.142803,9.391994,2.595324,-0.058539,0.276045,-0.413573,0.186455,0.645357,-11.9691,-26.7795,-25.3617,62,2020-06-13 12:14:51:396
2.251994,-1.142803,9.391994,3.420731,-0.06727,-0.614616,-0.577583,-0.2044,0.372717,-12.6394,-26.3424,-25.781,72,2020-06-13 12:14:51:406
2.251994,-1.142803,9.391994,3.420731,-0.06727,-0.614616,-0.577583,-0.2044,0.372717,-12.6394,-26.3424,-25.781,81,2020-06-13 12:14:51:415
2.795773,-1.734492,10.017219,3.420731,-0.06727,-0.614616,-0.577583,-0.2044,0.372717,-12.6394,-26.3424,-25.781,92,2020-06-13 12:14:51:426
2.795773,-1.734492,10.017219,3.851763,-0.567846,0.028714,-0.577583,-0.2044,0.372717,-12.6394,-26.3424,-25.781,101,2020-06-13 12:14:51:435
2.795773,-1.734492,10.017219,3.851763,-0.567846,0.028714,-0.577583,-0.2044,0.372717,-12.6394,-26.3424,-25.781,114,2020-06-13 12:14:51:448
2.80775,-1.935714,9.969309,3.851763,-0.567846,0.028714,-0.548828,-0.333265,0.231072,-12.9317,-25.6024,-26.2992,122,2020-06-13 12:14:51:456
2.80775,-1.935714,9.969309,3.664456,-1.00194,0.0125,-0.548828,-0.333265,0.231072,-12.9317,-25.6024,-26.2992,131,2020-06-13 12:14:51:465
2.80775,-1.935714,9.969309,3.664456,-1.00194,0.0125,-0.548828,-0.333265,0.231072,-12.9317,-25.6024,-26.2992,142,2020-06-13 12:14:51:476
2.915548,-2.831631,9.667476,3.664456,-1.00194,0.0125,-0.132413,-0.01483,0.408927,-13.6137,-24.359,-27.3713,152,2020-06-13 12:14:51:486
2.915548,-2.831631,9.667476,3.775721,-1.750056,-1.081457,-0.132413,-0.01483,0.408927,-13.6137,-24.359,-27.3713,165,2020-06-13 12:14:51:499
2.915548,-2.831631,9.667476,3.775721,-1.750056,-1.081457,-0.132413,-0.01483,0.408927,-13.6137,-24.359,-27.3713,172,2020-06-13 12:14:51:506
2.949085,-3.267612,7.501944,3.775721,-1.750056,-1.081457,0.016687,0.29402,0.602757,-13.997,-24.2802,-27.3369,182,2020-06-13 12:14:51:516
2.949085,-3.267612,7.501944,3.741594,-1.825798,-2.763509,0.016687,0.29402,0.602757,-13.997,-24.2802,-27.3369,193,2020-06-13 12:14:51:527
2.949085,-3.267612,7.501944,3.741594,-1.825798,-2.763509,0.016687,0.29402,0.602757,-13.997,-24.2802,-27.3369,202,2020-06-13 12:14:51:536
