ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.496093,-2.754975,9.437508,1.100253,-0.098766,-0.358533,-0.220107,-0.010304,0.61391,-6.4189,-21.0398,-31.3212,11,2020-06-13 21:27:30:942
0.366736,-2.762161,10.652026,1.008901,-0.06486,0.846162,-0.220107,-0.010304,0.61391,-6.4189,-21.0398,-31.3212,21,2020-06-13 21:27:30:952
0.366736,-2.762161,10.652026,1.008901,-0.06486,0.846162,-0.381987,0.115366,0.522319,-6.4189,-21.0398,-31.3212,32,2020-06-13 21:27:30:963
0.117604,-2.719042,10.920322,1.008901,-0.06486,0.846162,-0.381987,0.115366,0.522319,-6.7483,-20.4875,-31.2943,41,2020-06-13 21:27:30:972
0.117604,-2.719042,10.920322,0.737768,0.065387,0.933912,-0.381987,0.115366,0.522319,-6.7483,-20.4875,-31.2943,51,2020-06-13 21:27:30:982
0.117604,-2.719042,10.920322,0.737768,0.065387,0.933912,-0.039057,-0.233954,0.530839,-6.7483,-20.4875,-31.2943,63,2020-06-13 21:27:30:994
0.910514,-2.707065,10.877204,0.737768,0.065387,0.933912,-0.039057,-0.233954,0.530839,-7.2007,-19.794,-31.5419,71,2020-06-13 21:27:31:002
0.910514,-2.707065,10.877204,1.565533,0.08662,1.175935,-0.039057,-0.233954,0.530839,-7.2007,-19.794,-31.5419,82,2020-06-13 21:27:31:013
0.910514,-2.707065,10.877204,1.565533,0.08662,1.175935,0.791643,-0.731309,0.387064,-7.2007,-19.794,-31.5419,91,2020-06-13 21:27:31:022
0.491302,-2.127354,10.52267,1.565533,0.08662,1.175935,0.791643,-0.731309,0.387064,-8.0708,-19.4345,-31.4773,101,2020-06-13 21:27:31:032
0.491302,-2.127354,10.52267,0.980954,0.359463,0.771338,0.791643,-0.731309,0.387064,-8.0708,-19.4345,-31.4773,111,2020-06-13 21:27:31:042
0.445787,-2.393254,10.134599,0.980954,0.359463,0.771338,0.917313,-0.520439,0.274174,-8.0708,-19.4345,-31.4773,121,2020-06-13 21:27:31:052
0.445787,-2.393254,10.134599,0.610416,-0.626234,-0.070632,0.917313,-0.520439,0.274174,-8.8087,-19.8926,-31.1849,133,2020-06-13 21:27:31:064
0.445787,-2.393254,10.134599,0.610416,-0.626234,-0.070632,0.917313,-0.520439,0.274174,-8.8087,-19.8926,-31.1849,141,2020-06-13 21:27:31:072
0.306848,-3.207724,8.833842,0.610416,-0.626234,-0.070632,0.917313,-0.520439,0.274174,-8.8087,-19.8926,-31.1849,151,2020-06-13 21:27:31:082
0.306848,-3.207724,8.833842,0.710703,-1.082775,-1.114515,0.635088,0.299611,0.350854,-9.8585,-21.0953,-30.9212,162,2020-06-13 21:27:31:093
0.306848,-3.207724,8.833842,0.710703,-1.082775,-1.114515,0.635088,0.299611,0.350854,-9.8585,-21.0953,-30.9212,171,2020-06-13 21:27:31:102
0.81709,-2.27827,9.533328,0.710703,-1.082775,-1.114515,0.635088,0.299611,0.350854,-9.8585,-21.0953,-30.9212,181,2020-06-13 21:27:31:112
0.81709,-2.27827,9.533328,1.55524,-0.116997,-0.792788,0.937548,-0.553454,0.343399,-9.8585,-21.0953,-30.9212,192,2020-06-13 21:27:31:123
0.81709,-2.27827,9.533328,1.55524,-0.116997,-0.792788,0.937548,-0.553454,0.343399,-10.551,-21.8829,-29.8483,201,2020-06-13 21:27:31:132
1.262653,-2.304621,7.753472,1.55524,-0.116997,-0.792788,0.937548,-0.553454,0.343399,-10.551,-21.8829,-29.8483,211,2020-06-13 21:27:31:142
1.262653,-2.304621,7.753472,1.447403,-0.909875,-2.27506,0.937548,-0.553454,0.343399,-10.551,-21.8829,-29.8483,222,2020-06-13 21:27:31:153
1.262653,-2.304621,7.753472,1.447403,-0.909875,-2.27506,0.918378,-0.306374,-0.103901,-11.2666,-22.4521,-28.8179,231,2020-06-13 21:27:31:162
1.217138,-2.690296,7.712748,1.447403,-0.909875,-2.27506,0.918378,-0.306374,-0.103901,-11.2666,-22.4521,-28.8179,241,2020-06-13 21:27:31:172
