ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-2.313829,0.272937,8.546382,-1.470481,-1.13025,-1.194604,0.143058,0.077026,0.950449,-3.5322,-31.23,-18.9072,3,2020-06-13 21:32:42:819
-2.313829,0.272937,8.546382,-1.3214,-1.235242,-1.110045,0.143058,0.077026,0.950449,-3.5322,-31.23,-18.9072,13,2020-06-13 21:32:42:829
-1.940131,0.107648,8.790723,-1.3214,-1.235242,-1.110045,0.242103,0.266596,1.175165,-3.5322,-31.23,-18.9072,23,2020-06-13 21:32:42:839
-1.940131,0.107648,8.790723,-1.3214,-1.235242,-1.110045,0.242103,0.266596,1.175165,-3.5322,-31.23,-18.9072,35,2020-06-13 21:32:42:851
-1.940131,0.107648,8.790723,-0.982664,-1.37499,-1.18599,0.242103,0.266596,1.175165,-4.4939,-31.525,-18.7936,43,2020-06-13 21:32:42:859
-1.420307,0.320847,8.12717,-0.982664,-1.37499,-1.18599,0.351798,0.397591,1.29125,-4.4939,-31.525,-18.7936,53,2020-06-13 21:32:42:869
-1.420307,0.320847,8.12717,-0.982664,-1.37499,-1.18599,0.351798,0.397591,1.29125,-4.4939,-31.525,-18.7936,64,2020-06-13 21:32:42:880
-0.840596,0.586748,7.245626,-0.287323,-1.154745,-2.050602,0.351798,0.397591,1.29125,-5.8224,-31.4094,-17.6827,73,2020-06-13 21:32:42:889
-0.840596,0.586748,7.245626,-0.287323,-1.154745,-2.050602,0.265533,0.369901,1.35515,-5.8224,-31.4094,-17.6827,83,2020-06-13 21:32:42:899
-0.840596,0.586748,7.245626,-0.287323,-1.154745,-2.050602,0.265533,0.369901,1.35515,-5.8224,-31.4094,-17.6827,94,2020-06-13 21:32:42:910
-0.42857,0.495719,6.744966,0.451702,-1.208385,-2.986851,0.265533,0.369901,1.35515,-5.8224,-31.4094,-17.6827,105,2020-06-13 21:32:42:921
-0.42857,0.495719,6.744966,0.451702,-1.208385,-2.986851,0.265533,0.369901,1.35515,-7.8396,-30.9801,-16.8148,116,2020-06-13 21:32:42:932
-0.42857,0.495719,6.744966,0.451702,-1.208385,-2.986851,0.141993,0.242101,1.4084,-7.8396,-30.9801,-16.8148,124,2020-06-13 21:32:42:940
-0.25849,0.50051,7.173761,0.681968,-1.375651,-2.536362,0.141993,0.242101,1.4084,-7.8396,-30.9801,-16.8148,135,2020-06-13 21:32:42:951
-0.25849,0.50051,7.173761,0.681968,-1.375651,-2.536362,0.141993,0.242101,1.4084,-9.5981,-30.4179,-17.1673,143,2020-06-13 21:32:42:959
-0.25849,0.50051,7.173761,0.681968,-1.375651,-2.536362,0.003543,0.335821,1.426505,-9.5981,-30.4179,-17.1673,153,2020-06-13 21:32:42:969
0.055321,0.938886,6.68987,0.681968,-1.375651,-2.536362,0.003543,0.335821,1.426505,-9.5981,-30.4179,-17.1673,163,2020-06-13 21:32:42:979
0.055321,0.938886,6.68987,1.036192,-0.955187,-2.893035,0.003543,0.335821,1.426505,-10.9873,-30.3409,-16.9859,174,2020-06-13 21:32:42:990
0.055321,0.938886,6.68987,1.036192,-0.955187,-2.893035,0.003543,0.335821,1.426505,-10.9873,-30.3409,-16.9859,183,2020-06-13 21:32:42:999
0.397877,1.355703,6.443133,1.036192,-0.955187,-2.893035,-0.294657,0.237841,1.230545,-10.9873,-30.3409,-16.9859,193,2020-06-13 21:32:43:009
0.397877,1.355703,6.443133,1.509579,-0.303307,-3.113457,-0.294657,0.237841,1.230545,-10.9873,-30.3409,-16.9859,203,2020-06-13 21:32:43:019
0.397877,1.355703,6.443133,1.509579,-0.303307,-3.113457,-0.294657,0.237841,1.230545,-11.9253,-29.4671,-17.6083,213,2020-06-13 21:32:43:029
0.613472,1.391636,6.725802,1.509579,-0.303307,-3.113457,-0.598182,0.048271,0.908914,-11.9253,-29.4671,-17.6083,223,2020-06-13 21:32:43:039
0.613472,1.391636,6.725802,1.509579,-0.303307,-3.113457,-0.598182,0.048271,0.908914,-11.9253,-29.4671,-17.6083,233,2020-06-13 21:32:43:049
