ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
2.144197,-1.126035,8.759582,1.089493,-1.403324,-1.294571,0.613788,-0.276554,-1.008085,5.2484,38.0401,-31.039,4,2020-06-13 21:35:43:257
2.144197,-1.126035,8.759582,1.089493,-1.403324,-1.294571,0.613788,-0.276554,-1.008085,5.2484,38.0401,-31.039,14,2020-06-13 21:35:43:267
1.65791,-1.303302,8.122379,0.412285,-1.805546,-1.96878,0.660648,-0.250994,-1.14121,4.5851,37.9664,-31.4497,24,2020-06-13 21:35:43:277
1.65791,-1.303302,8.122379,0.412285,-1.805546,-1.96878,0.660648,-0.250994,-1.14121,4.5851,37.9664,-31.4497,34,2020-06-13 21:35:43:287
1.65791,-1.303302,8.122379,0.412285,-1.805546,-1.96878,0.660648,-0.250994,-1.14121,4.5851,37.9664,-31.4497,44,2020-06-13 21:35:43:297
1.27463,-1.303302,7.497153,-0.13407,-1.873017,-2.894152,0.712833,-0.233954,-1.10926,3.1602,37.6361,-32.3462,54,2020-06-13 21:35:43:307
1.27463,-1.303302,7.497153,-0.13407,-1.873017,-2.894152,0.712833,-0.233954,-1.10926,3.1602,37.6361,-32.3462,64,2020-06-13 21:35:43:317
0.93926,-0.737964,6.016734,-0.13407,-1.873017,-2.894152,0.712833,-0.233954,-1.10926,3.1602,37.6361,-32.3462,75,2020-06-13 21:35:43:328
0.93926,-0.737964,6.016734,-0.13407,-1.873017,-2.894152,0.712833,-0.233954,-1.10926,3.1602,37.6361,-32.3462,84,2020-06-13 21:35:43:337
0.93926,-0.737964,6.016734,-0.374816,-1.64928,-3.924674,0.592488,-0.247799,-0.949511,2.0879,36.5339,-33.2852,94,2020-06-13 21:35:43:347
1.231511,-0.354684,5.647827,-0.374816,-1.64928,-3.924674,0.592488,-0.247799,-0.949511,2.0879,36.5339,-33.2852,104,2020-06-13 21:35:43:357
1.231511,-0.354684,5.647827,-0.374816,-1.64928,-3.924674,0.592488,-0.247799,-0.949511,2.0879,36.5339,-33.2852,114,2020-06-13 21:35:43:367
1.231511,-0.354684,5.647827,0.257867,-1.176838,-4.401383,0.278313,-0.285074,-0.800411,0.8952,35.4176,-34.1086,124,2020-06-13 21:35:43:377
1.231511,-0.354684,5.647827,0.257867,-1.176838,-4.401383,0.278313,-0.285074,-0.800411,0.8952,35.4176,-34.1086,135,2020-06-13 21:35:43:388
2.06275,0.294497,5.590335,0.257867,-1.176838,-4.401383,0.278313,-0.285074,-0.800411,0.8952,35.4176,-34.1086,145,2020-06-13 21:35:43:398
2.06275,0.294497,5.590335,0.765956,-0.767507,-4.227602,0.123888,-0.412874,-0.920756,0.8952,35.4176,-34.1086,154,2020-06-13 21:35:43:407
2.096287,0.704127,5.552007,0.765956,-0.767507,-4.227602,0.123888,-0.412874,-0.920756,-0.8314,35.1245,-34.3497,164,2020-06-13 21:35:43:417
2.096287,0.704127,5.552007,0.765956,-0.767507,-4.227602,0.123888,-0.412874,-0.920756,-0.8314,35.1245,-34.3497,174,2020-06-13 21:35:43:427
2.096287,0.704127,5.552007,0.481298,-0.632821,-4.395951,-0.027342,-0.502334,-1.04962,-0.8314,35.1245,-34.3497,185,2020-06-13 21:35:43:438
1.8232,0.459786,5.599917,0.481298,-0.632821,-4.395951,-0.027342,-0.502334,-1.04962,-1.8755,34.9502,-34.5874,194,2020-06-13 21:35:43:447
1.8232,0.459786,5.599917,0.481298,-0.632821,-4.395951,-0.027342,-0.502334,-1.04962,-1.8755,34.9502,-34.5874,204,2020-06-13 21:35:43:457
1.8232,0.459786,5.599917,0.481298,-0.632821,-4.395951,-0.027342,-0.502334,-1.04962,-1.8755,34.9502,-34.5874,215,2020-06-13 21:35:43:468
1.552508,-0.079201,6.016734,0.03497,-1.142456,-3.790525,-0.286137,-0.571559,-1.224281,-2.2544,34.6997,-34.5861,224,2020-06-13 21:35:43:477
1.552508,-0.079201,6.016734,0.03497,-1.142456,-3.790525,-0.286137,-0.571559,-1.224281,-2.2544,34.6997,-34.5861,233,2020-06-13 21:35:43:486
