ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.73759,-0.565488,9.607589,0.209963,-0.438402,-0.329144,0.049338,0.198436,0.514864,-34.3068,7.3112,-26.5931,16,2020-06-13 21:50:41:715
-0.73759,-0.565488,9.607589,0.209963,-0.438402,-0.329144,0.049338,0.198436,0.514864,-34.3068,7.3112,-26.5931,16,2020-06-13 21:50:41:715
-0.088409,-0.687658,9.650707,0.859244,-0.529982,-0.333693,0.046143,0.157966,0.534034,-34.3612,8.3288,-26.8042,25,2020-06-13 21:50:41:724
-0.088409,-0.687658,9.650707,0.859244,-0.529982,-0.333693,0.046143,0.157966,0.534034,-34.3612,8.3288,-26.8042,36,2020-06-13 21:50:41:735
-0.088409,-0.687658,9.650707,0.859244,-0.529982,-0.333693,0.046143,0.157966,0.534034,-34.3612,8.3288,-26.8042,47,2020-06-13 21:50:41:746
0.924887,-0.896067,8.987154,1.985662,-0.722931,-0.798152,0.162228,0.358186,0.793895,-34.3612,8.3288,-26.8042,55,2020-06-13 21:50:41:754
0.924887,-0.896067,8.987154,1.985662,-0.722931,-0.798152,0.162228,0.358186,0.793895,-34.5309,8.9126,-27.7063,65,2020-06-13 21:50:41:764
0.924887,-0.896067,8.987154,1.985662,-0.722931,-0.798152,0.162228,0.358186,0.793895,-34.5309,8.9126,-27.7063,75,2020-06-13 21:50:41:774
1.169228,-0.716404,8.579919,2.337942,-0.7062,-1.51017,0.087678,0.526456,1.034584,-34.5309,8.9126,-27.7063,85,2020-06-13 21:50:41:784
1.169228,-0.716404,8.579919,2.337942,-0.7062,-1.51017,0.087678,0.526456,1.034584,-34.5309,8.9126,-27.7063,97,2020-06-13 21:50:41:796
1.169228,-0.716404,8.579919,2.337942,-0.7062,-1.51017,0.087678,0.526456,1.034584,-33.8485,9.0004,-28.264,105,2020-06-13 21:50:41:804
1.262653,-0.316356,8.060096,2.562511,-0.391266,-1.918853,-0.130647,0.477466,1.00157,-33.8485,9.0004,-28.264,115,2020-06-13 21:50:41:814
1.262653,-0.316356,8.060096,2.562511,-0.391266,-1.918853,-0.130647,0.477466,1.00157,-33.8485,9.0004,-28.264,125,2020-06-13 21:50:41:824
1.880692,0.076506,8.177475,3.228413,0.060981,-1.772909,-0.130647,0.477466,1.00157,-32.9366,9.9905,-28.3316,135,2020-06-13 21:50:41:834
1.880692,0.076506,8.177475,3.228413,0.060981,-1.772909,-0.163662,0.278311,0.699109,-32.9366,9.9905,-28.3316,145,2020-06-13 21:50:41:844
1.880692,0.076506,8.177475,3.228413,0.060981,-1.772909,-0.163662,0.278311,0.699109,-32.9366,9.9905,-28.3316,156,2020-06-13 21:50:41:855
1.933393,-1.5E-4,8.263713,3.418653,-0.006583,-1.55291,-0.163662,0.278311,0.699109,-32.5513,11.2147,-28.8332,165,2020-06-13 21:50:41:864
1.933393,-1.5E-4,8.263713,3.418653,-0.006583,-1.55291,-0.163662,0.278311,0.699109,-32.5513,11.2147,-28.8332,175,2020-06-13 21:50:41:874
1.933393,-1.5E-4,8.263713,3.418653,-0.006583,-1.55291,-0.029472,0.117496,0.413689,-32.5513,11.2147,-28.8332,185,2020-06-13 21:50:41:884
2.017235,-0.385825,8.167894,3.418653,-0.006583,-1.55291,-0.029472,0.117496,0.413689,-32.5438,12.1213,-29.0808,195,2020-06-13 21:50:41:894
2.017235,-0.385825,8.167894,3.510695,-0.477341,-1.65359,-0.029472,0.117496,0.413689,-32.5438,12.1213,-29.0808,206,2020-06-13 21:50:41:905
2.017235,-0.385825,8.167894,3.510695,-0.477341,-1.65359,0.176073,0.028036,0.285889,-32.5438,12.1213,-29.0808,215,2020-06-13 21:50:41:914
1.638746,-0.752337,8.002604,3.510695,-0.477341,-1.65359,0.176073,0.028036,0.285889,-32.5438,12.1213,-29.0808,225,2020-06-13 21:50:41:924
1.638746,-0.752337,8.002604,3.128063,-0.792518,-1.780567,0.176073,0.028036,0.285889,-32.6187,13.1779,-29.1959,236,2020-06-13 21:50:41:935
1.43992,-0.709218,7.894806,3.128063,-0.792518,-1.780567,0.233583,0.039751,0.275239,-32.6187,13.1779,-29.1959,246,2020-06-13 21:50:41:945
1.43992,-0.709218,7.894806,3.128063,-0.792518,-1.780567,0.233583,0.039751,0.275239,-32.6187,13.1779,-29.1959,256,2020-06-13 21:50:41:955
1.43992,-0.709218,7.894806,2.730587,-0.820363,-2.104698,0.233583,0.039751,0.275239,-32.6187,13.1779,-29.1959,265,2020-06-13 21:50:41:964
1.408778,-0.311565,7.444452,2.730587,-0.820363,-2.104698,0.233583,0.039751,0.275239,-31.8359,13.3111,-29.3082,276,2020-06-13 21:50:41:975
1.408778,-0.311565,7.444452,2.730587,-0.820363,-2.104698,0.188853,0.002476,0.235834,-31.8359,13.3111,-29.3082,285,2020-06-13 21:50:41:984
1.408778,-0.311565,7.444452,2.865474,-0.527343,-1.98054,0.188853,0.002476,0.235834,-31.8359,13.3111,-29.3082,296,2020-06-13 21:50:41:995
1.061431,-0.237304,7.492362,2.865474,-0.527343,-1.98054,0.188853,0.002476,0.235834,-31.1321,13.3372,-29.3612,305,2020-06-13 21:50:42:004
1.061431,-0.237304,7.492362,2.865474,-0.527343,-1.98054,0.188853,0.002476,0.235834,-31.1321,13.3372,-29.3612,315,2020-06-13 21:50:42:014
1.061431,-0.237304,7.492362,2.093781,-0.678852,-3.199569,0.170748,-0.053969,0.044134,-31.1321,13.3372,-29.3612,325,2020-06-13 21:50:42:024
0.24217,-0.517578,6.761735,2.093781,-0.678852,-3.199569,0.170748,-0.053969,0.044134,-31.1321,13.3372,-29.3612,335,2020-06-13 21:50:42:034
0.24217,-0.517578,6.761735,2.093781,-0.678852,-3.199569,0.114303,-0.336194,0.037744,-31.6959,13.388,-29.0566,345,2020-06-13 21:50:42:044
0.24217,-0.517578,6.761735,2.093781,-0.678852,-3.199569,0.114303,-0.336194,0.037744,-31.6959,13.388,-29.0566,356,2020-06-13 21:50:42:055
-0.160274,-0.481645,7.271976,1.243311,-0.756639,-2.539463,0.114303,-0.336194,0.037744,-31.6959,13.388,-29.0566,366,2020-06-13 21:50:42:065
-0.160274,-0.481645,7.271976,1.243311,-0.756639,-2.539463,0.220803,-0.094439,0.279499,-31.8334,13.1562,-28.8989,376,2020-06-13 21:50:42:075
-0.160274,-0.481645,7.271976,1.243311,-0.756639,-2.539463,0.220803,-0.094439,0.279499,-31.8334,13.1562,-28.8989,385,2020-06-13 21:50:42:084
-0.023731,-0.615793,6.778503,1.136554,-0.94112,-2.666978,0.220803,-0.094439,0.279499,-31.8334,13.1562,-28.8989,396,2020-06-13 21:50:42:095
-0.023731,-0.615793,6.778503,1.136554,-0.94112,-2.666978,0.220803,-0.094439,0.279499,-31.8334,13.1562,-28.8989,406,2020-06-13 21:50:42:105
