ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-3.295984,-2.735811,8.060096,-2.048737,-2.462498,-1.760283,0.942873,-0.147689,0.99305,5.9234,43.5156,-25.7798,3,2020-06-13 21:59:22:874
-3.295984,-2.735811,8.060096,-2.048737,-2.462498,-1.760283,0.885363,0.115366,1.27421,5.9234,43.5156,-25.7798,14,2020-06-13 21:59:22:885
-3.149858,-2.362113,7.384565,-2.048737,-2.462498,-1.760283,0.885363,0.115366,1.27421,7.0297,41.9704,-27.2946,23,2020-06-13 21:59:22:894
-3.149858,-2.362113,7.384565,-1.713342,-2.237332,-2.676899,0.885363,0.115366,1.27421,7.0297,41.9704,-27.2946,33,2020-06-13 21:59:22:904
-2.589311,-1.794379,6.682683,-1.713342,-2.237332,-2.676899,0.822528,0.311326,1.43396,7.0297,41.9704,-27.2946,43,2020-06-13 21:59:22:914
-2.589311,-1.794379,6.682683,-1.713342,-2.237332,-2.676899,0.822528,0.311326,1.43396,7.8036,41.2302,-28.1089,53,2020-06-13 21:59:22:924
-2.589311,-1.794379,6.682683,-1.026552,-1.802776,-3.369315,0.822528,0.311326,1.43396,7.8036,41.2302,-28.1089,63,2020-06-13 21:59:22:934
-2.263523,-1.097289,6.04548,-1.026552,-1.802776,-3.369315,0.549888,0.530716,1.574539,7.8036,41.2302,-28.1089,73,2020-06-13 21:59:22:944
-2.263523,-1.097289,6.04548,-1.026552,-1.802776,-3.369315,0.549888,0.530716,1.574539,7.8036,41.2302,-28.1089,84,2020-06-13 21:59:22:955
-2.263523,-1.097289,6.04548,-0.308757,-1.332547,-3.295181,0.549888,0.530716,1.574539,10.1149,39.8537,-29.5395,95,2020-06-13 21:59:22:966
-1.580806,-0.282819,6.843182,-0.308757,-1.332547,-3.295181,0.235713,0.527521,1.55963,10.1149,39.8537,-29.5395,103,2020-06-13 21:59:22:974
-1.580806,-0.282819,6.843182,-0.308757,-1.332547,-3.295181,0.235713,0.527521,1.55963,10.1149,39.8537,-29.5395,113,2020-06-13 21:59:22:984
-1.580806,-0.282819,6.843182,0.510554,-0.556224,-3.167785,0.235713,0.527521,1.55963,12.1445,38.5975,-29.0571,123,2020-06-13 21:59:22:994
-1.044214,0.184304,6.438342,0.510554,-0.556224,-3.167785,0.268728,0.193111,1.417985,12.1445,38.5975,-29.0571,133,2020-06-13 21:59:23:004
-1.044214,0.184304,6.438342,0.510554,-0.556224,-3.167785,0.268728,0.193111,1.417985,12.1445,38.5975,-29.0571,146,2020-06-13 21:59:23:017
-1.044214,0.184304,6.438342,0.905273,-0.938092,-3.023571,0.268728,0.193111,1.417985,12.1445,38.5975,-29.0571,153,2020-06-13 21:59:23:024
-0.759149,-0.541533,6.366477,0.905273,-0.938092,-3.023571,0.268728,0.193111,1.417985,14.123,38.0904,-29.3622,163,2020-06-13 21:59:23:034
-0.759149,-0.541533,6.366477,0.905273,-0.938092,-3.023571,0.282573,0.145186,1.437154,14.123,38.0904,-29.3622,173,2020-06-13 21:59:23:044
-0.241721,-0.91044,5.94966,1.187126,-1.823585,-3.668489,0.282573,0.145186,1.437154,14.123,38.0904,-29.3622,183,2020-06-13 21:59:23:054
-0.241721,-0.91044,5.94966,1.187126,-1.823585,-3.668489,0.282573,0.145186,1.437154,16.0161,36.4429,-30.1138,193,2020-06-13 21:59:23:064
-0.241721,-0.91044,5.94966,1.187126,-1.823585,-3.668489,-0.102957,0.205891,1.501054,16.0161,36.4429,-30.1138,203,2020-06-13 21:59:23:074
-0.241721,-0.91044,5.94966,1.187126,-1.823585,-3.668489,-0.102957,0.205891,1.501054,16.0161,36.4429,-30.1138,213,2020-06-13 21:59:23:084
0.694919,-0.570279,6.002361,2.370295,-1.666033,-3.539331,-0.102957,0.205891,1.501054,17.117,35.3617,-30.4937,223,2020-06-13 21:59:23:094
0.694919,-0.570279,6.002361,2.370295,-1.666033,-3.539331,-0.373467,0.156901,1.348759,17.117,35.3617,-30.4937,233,2020-06-13 21:59:23:104
0.948842,-0.366661,5.690946,2.66168,-1.279519,-3.744973,-0.373467,0.156901,1.348759,17.117,35.3617,-30.4937,243,2020-06-13 21:59:23:114
0.948842,-0.366661,5.690946,2.66168,-1.279519,-3.744973,-0.373467,0.156901,1.348759,18.5875,35.2294,-30.6543,254,2020-06-13 21:59:23:125
0.948842,-0.366661,5.690946,2.66168,-1.279519,-3.744973,-0.373467,0.156901,1.348759,18.5875,35.2294,-30.6543,263,2020-06-13 21:59:23:134
1.121318,-0.323542,6.263471,2.66168,-1.279519,-3.744973,-0.608832,0.055726,1.04204,18.5875,35.2294,-30.6543,273,2020-06-13 21:59:23:144
1.121318,-0.323542,6.263471,2.66168,-1.279519,-3.744973,-0.608832,0.055726,1.04204,18.5875,35.2294,-30.6543,283,2020-06-13 21:59:23:154
1.121318,-0.323542,6.263471,2.843205,-1.109073,-3.311132,-0.608832,0.055726,1.04204,19.7807,34.7998,-30.4053,293,2020-06-13 21:59:23:164
0.972797,-0.565488,7.545063,2.843205,-1.109073,-3.311132,-0.668472,-0.039059,0.823714,19.7807,34.7998,-30.4053,303,2020-06-13 21:59:23:174
0.972797,-0.565488,7.545063,2.843205,-1.109073,-3.311132,-0.668472,-0.039059,0.823714,19.7807,34.7998,-30.4053,313,2020-06-13 21:59:23:184
1.08299,-0.884089,8.670948,2.745203,-1.275027,-0.983258,-0.668472,-0.039059,0.823714,19.7807,34.7998,-30.4053,323,2020-06-13 21:59:23:194
1.08299,-0.884089,8.670948,2.745203,-1.275027,-0.983258,-0.440562,0.166486,0.780049,21.0591,34.103,-29.0278,333,2020-06-13 21:59:23:204
1.08299,-0.884089,8.670948,2.745203,-1.275027,-0.983258,-0.440562,0.166486,0.780049,21.0591,34.103,-29.0278,344,2020-06-13 21:59:23:215
0.972797,-1.305697,9.140466,2.73231,-1.546839,-0.627729,-0.440562,0.166486,0.780049,21.0591,34.103,-29.0278,353,2020-06-13 21:59:23:224
0.972797,-1.305697,9.140466,2.73231,-1.546839,-0.627729,-0.313827,0.426346,0.821584,21.6365,34.5822,-28.4891,363,2020-06-13 21:59:23:234
0.972797,-1.305697,9.140466,2.73231,-1.546839,-0.627729,-0.313827,0.426346,0.821584,21.6365,34.5822,-28.4891,373,2020-06-13 21:59:23:244
1.24828,-1.274556,8.508054,2.941941,-1.735118,-0.816193,-0.313827,0.426346,0.821584,21.6365,34.5822,-28.4891,383,2020-06-13 21:59:23:254
1.24828,-1.274556,8.508054,2.941941,-1.735118,-0.816193,-0.273357,0.415696,0.793895,22.6012,34.6859,-28.1927,393,2020-06-13 21:59:23:264
1.24828,-1.274556,8.508054,2.941941,-1.735118,-0.816193,-0.273357,0.415696,0.793895,22.6012,34.6859,-28.1927,403,2020-06-13 21:59:23:274
1.363264,-1.303302,9.272219,3.078759,-1.732709,-0.211956,-0.273357,0.415696,0.793895,22.6012,34.6859,-28.1927,413,2020-06-13 21:59:23:284
1.363264,-1.303302,9.272219,3.078759,-1.732709,-0.211956,0.072768,0.433801,0.827974,22.6012,34.6859,-28.1927,423,2020-06-13 21:59:23:294
1.825595,-0.999073,9.162025,3.078759,-1.732709,-0.211956,0.072768,0.433801,0.827974,22.6012,34.6859,-28.1927,433,2020-06-13 21:59:23:304
1.825595,-0.999073,9.162025,4.099482,-1.185705,-0.908756,0.072768,0.433801,0.827974,24.0179,34.1413,-27.2622,443,2020-06-13 21:59:23:314
1.825595,-0.999073,9.162025,4.099482,-1.185705,-0.908756,-0.023082,0.577576,0.671419,24.0179,34.1413,-27.2622,453,2020-06-13 21:59:23:324
2.419679,0.189095,7.554645,4.099482,-1.185705,-0.908756,-0.023082,0.577576,0.671419,24.0179,34.1413,-27.2622,463,2020-06-13 21:59:23:334
2.419679,0.189095,7.554645,4.500653,0.021328,-1.823772,-0.023082,0.577576,0.671419,24.9591,33.0805,-26.0362,473,2020-06-13 21:59:23:344
2.419679,0.189095,7.554645,4.500653,0.021328,-1.823772,-0.739827,0.113236,0.072889,24.9591,33.0805,-26.0362,483,2020-06-13 21:59:23:354
2.565805,0.905349,8.484099,4.500653,0.021328,-1.823772,-0.739827,0.113236,0.072889,24.9591,33.0805,-26.0362,493,2020-06-13 21:59:23:364
2.565805,0.905349,8.484099,4.608195,0.398849,-0.700308,-0.739827,0.113236,0.072889,24.9591,33.0805,-26.0362,503,2020-06-13 21:59:23:374
2.44603,-0.194185,8.817074,4.608195,0.398849,-0.700308,-1.048677,-0.245669,-0.345656,25.6706,32.5966,-25.2478,513,2020-06-13 21:59:23:384
2.44603,-0.194185,8.817074,4.608195,0.398849,-0.700308,-1.048677,-0.245669,-0.345656,25.6706,32.5966,-25.2478,523,2020-06-13 21:59:23:394
2.44603,-0.194185,8.817074,4.361635,-0.337319,-0.444324,-1.048677,-0.245669,-0.345656,25.6706,32.5966,-25.2478,534,2020-06-13 21:59:23:405
2.467589,-1.51171,10.446013,4.361635,-0.337319,-0.444324,-0.995427,-0.422459,-0.448961,26.2888,33.0099,-25.1724,543,2020-06-13 21:59:23:414
2.467589,-1.51171,10.446013,4.361635,-0.337319,-0.444324,-0.995427,-0.422459,-0.448961,26.2888,33.0099,-25.1724,553,2020-06-13 21:59:23:424
2.467589,-1.51171,10.446013,4.336856,-1.243354,1.725099,-0.995427,-0.422459,-0.448961,26.2888,33.0099,-25.1724,563,2020-06-13 21:59:23:434
