ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.474533,0.361571,9.46865,0.532015,-1.092763,0.265778,-0.378792,-0.563039,0.116554,-32.8961,4.6317,-25.3857,5,2020-06-13 22:10:12:153
0.474533,0.361571,9.46865,0.532015,-1.092763,0.265778,-0.249927,-0.386249,0.158089,-32.8961,4.6317,-25.3857,17,2020-06-13 22:10:12:165
0.488906,1.099385,9.25545,0.532015,-1.092763,0.265778,-0.249927,-0.386249,0.158089,-32.8961,4.6317,-25.3857,24,2020-06-13 22:10:12:172
0.488906,1.099385,9.25545,0.435989,-0.203701,-0.187702,-0.249927,-0.386249,0.158089,-33.3388,4.6915,-24.6155,35,2020-06-13 22:10:12:183
0.488906,1.099385,9.25545,0.435989,-0.203701,-0.187702,-0.249927,-0.386249,0.158089,-33.3388,4.6915,-24.6155,44,2020-06-13 22:10:12:192
0.24217,0.890976,9.188376,0.435989,-0.203701,-0.187702,-0.381987,-0.528959,0.064369,-33.3388,4.6915,-24.6155,55,2020-06-13 22:10:12:203
0.24217,0.890976,9.188376,0.13234,-0.121666,-0.15198,-0.381987,-0.528959,0.064369,-33.3388,4.6915,-24.6155,64,2020-06-13 22:10:12:212
0.24217,0.890976,9.188376,0.13234,-0.121666,-0.15198,-0.381987,-0.528959,0.064369,-34.2754,5.5389,-23.9979,75,2020-06-13 22:10:12:223
0.452974,0.373548,9.492604,0.13234,-0.121666,-0.15198,-0.481032,-0.286139,0.168739,-34.2754,5.5389,-23.9979,85,2020-06-13 22:10:12:233
0.452974,0.373548,9.492604,0.080248,-0.540259,0.077682,-0.481032,-0.286139,0.168739,-34.2754,5.5389,-23.9979,94,2020-06-13 22:10:12:242
0.452974,0.373548,9.492604,0.080248,-0.540259,0.077682,-0.481032,-0.286139,0.168739,-34.2754,5.5389,-23.9979,104,2020-06-13 22:10:12:252
0.505675,0.28731,9.387202,0.080248,-0.540259,0.077682,-0.551322,0.009931,0.325294,-34.3847,6.2084,-23.5065,115,2020-06-13 22:10:12:263
0.505675,0.28731,9.387202,0.080248,-0.540259,0.077682,-0.551322,0.009931,0.325294,-34.3847,6.2084,-23.5065,125,2020-06-13 22:10:12:273
0.237379,0.536442,9.914212,0.152416,-0.202806,0.350298,-0.551322,0.009931,0.325294,-34.3847,6.2084,-23.5065,134,2020-06-13 22:10:12:282
