ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.301609,-2.330971,10.910741,1.818304,-1.276927,1.571005,0.394398,-0.389444,-1.143341,-23.9203,15.9251,-30.6758,5,2020-06-13 22:13:24:916
-0.301609,-2.330971,10.910741,1.422368,-1.512843,1.273023,0.394398,-0.389444,-1.143341,-24.6719,14.993,-30.3756,15,2020-06-13 22:13:24:926
-0.301609,-2.330971,10.910741,1.422368,-1.512843,1.273023,0.442323,-0.516179,-1.22002,-24.6719,14.993,-30.3756,24,2020-06-13 22:13:24:935
-0.179438,-2.13454,10.817316,1.422368,-1.512843,1.273023,0.442323,-0.516179,-1.22002,-24.6719,14.993,-30.3756,34,2020-06-13 22:13:24:945
-0.179438,-2.13454,10.817316,1.380034,-1.465662,1.172714,0.442323,-0.516179,-1.22002,-24.6719,14.993,-30.3756,45,2020-06-13 22:13:24:956
-0.004567,-2.271084,10.925114,1.380034,-1.465662,1.172714,0.403983,-0.669539,-1.387225,-25.8182,13.4748,-30.3979,55,2020-06-13 22:13:24:966
-0.004567,-2.271084,10.925114,1.380034,-1.465662,1.172714,0.403983,-0.669539,-1.387225,-25.8182,13.4748,-30.3979,65,2020-06-13 22:13:24:976
-0.004567,-2.271084,10.925114,1.380034,-1.465662,1.172714,0.403983,-0.669539,-1.387225,-25.8182,13.4748,-30.3979,74,2020-06-13 22:13:24:985
-0.399824,-2.422,10.71431,1.222073,-1.524478,1.068359,0.403983,-0.669539,-1.387225,-26.7854,12.0984,-30.4986,85,2020-06-13 22:13:24:996
-0.399824,-2.422,10.71431,1.222073,-1.524478,1.068359,0.370968,-0.812249,-1.560821,-26.7854,12.0984,-30.4986,96,2020-06-13 22:13:25:007
-0.399824,-2.422,10.71431,1.222073,-1.524478,1.068359,0.370968,-0.812249,-1.560821,-26.7854,12.0984,-30.4986,104,2020-06-13 22:13:25:015
-1.389166,-2.136936,10.400499,0.259999,-1.628745,0.843392,0.370968,-0.812249,-1.560821,-26.7854,12.0984,-30.4986,115,2020-06-13 22:13:25:026
-1.389166,-2.136936,10.400499,0.259999,-1.628745,0.843392,0.317718,-0.869759,-1.66945,-28.5731,10.4633,-29.6137,124,2020-06-13 22:13:25:035
-1.389166,-2.136936,10.400499,0.259999,-1.628745,0.843392,0.317718,-0.869759,-1.66945,-28.5731,10.4633,-29.6137,134,2020-06-13 22:13:25:045
-1.844311,-1.923736,10.201673,-1.120478,-1.328589,0.352223,0.317718,-0.869759,-1.66945,-28.5731,10.4633,-29.6137,145,2020-06-13 22:13:25:056
-1.844311,-1.923736,10.201673,-1.120478,-1.328589,0.352223,0.317718,-0.869759,-1.66945,-29.3907,8.531,-28.4063,155,2020-06-13 22:13:25:066
-1.844311,-1.923736,10.201673,-1.120478,-1.328589,0.352223,0.219738,-0.678059,-1.73974,-29.3907,8.531,-28.4063,164,2020-06-13 22:13:25:075
-3.137881,-1.899781,9.607589,-2.585338,-1.308322,-0.179044,0.219738,-0.678059,-1.73974,-29.3907,8.531,-28.4063,175,2020-06-13 22:13:25:086
-3.137881,-1.899781,9.607589,-2.585338,-1.308322,-0.179044,0.219738,-0.678059,-1.73974,-30.4664,6.3196,-27.5837,184,2020-06-13 22:13:25:095
-3.137881,-1.899781,9.607589,-2.585338,-1.308322,-0.179044,0.112173,-0.656759,-1.672646,-30.4664,6.3196,-27.5837,195,2020-06-13 22:13:25:106
-4.599136,-1.904572,9.832766,-4.205005,-1.302076,-0.110273,0.112173,-0.656759,-1.672646,-30.4664,6.3196,-27.5837,204,2020-06-13 22:13:25:115
-4.599136,-1.904572,9.832766,-4.205005,-1.302076,-0.110273,0.112173,-0.656759,-1.672646,-30.4664,6.3196,-27.5837,215,2020-06-13 22:13:25:126
-4.599136,-1.904572,9.832766,-4.205005,-1.302076,-0.110273,0.270858,-0.666344,-1.536326,-30.8072,4.7537,-27.6376,225,2020-06-13 22:13:25:136
-5.538172,-2.206405,9.827974,-5.38068,-1.566128,-0.002356,0.270858,-0.666344,-1.536326,-30.8072,4.7537,-27.6376,235,2020-06-13 22:13:25:146
-5.538172,-2.206405,9.827974,-5.38068,-1.566128,-0.002356,0.270858,-0.666344,-1.536326,-30.8072,4.7537,-27.6376,247,2020-06-13 22:13:25:158
-6.196934,-2.417209,9.082974,-5.38068,-1.566128,-0.002356,0.380553,-0.535349,-1.355275,-31.7265,2.8637,-27.0321,255,2020-06-13 22:13:25:166
-6.196934,-2.417209,9.082974,-6.300828,-1.988345,-0.772879,0.380553,-0.535349,-1.355275,-31.7265,2.8637,-27.0321,264,2020-06-13 22:13:25:175
-6.196934,-2.417209,9.082974,-6.300828,-1.988345,-0.772879,0.380553,-0.535349,-1.355275,-31.7265,2.8637,-27.0321,274,2020-06-13 22:13:25:185
-6.961098,-2.580103,8.764373,-6.300828,-1.988345,-0.772879,0.166488,-0.323414,-1.17103,-31.7265,2.8637,-27.0321,284,2020-06-13 22:13:25:195
-6.961098,-2.580103,8.764373,-7.128879,-2.206146,-1.133697,0.166488,-0.323414,-1.17103,-32.7589,0.46,-25.8185,294,2020-06-13 22:13:25:205
-6.961098,-2.580103,8.764373,-7.128879,-2.206146,-1.133697,0.166488,-0.323414,-1.17103,-32.7589,0.46,-25.8185,304,2020-06-13 22:13:25:215
-7.54081,-2.618431,8.903312,-7.128879,-2.206146,-1.133697,0.081288,-0.025214,-0.92608,-32.7589,0.46,-25.8185,314,2020-06-13 22:13:25:225
-7.54081,-2.618431,8.903312,-7.8384,-2.351069,-0.979552,0.081288,-0.025214,-0.92608,-33.1191,-1.1573,-25.7361,325,2020-06-13 22:13:25:236
-7.54081,-2.618431,8.903312,-7.8384,-2.351069,-0.979552,0.081288,-0.025214,-0.92608,-33.1191,-1.1573,-25.7361,334,2020-06-13 22:13:25:245
-7.677353,-2.616036,8.79791,-7.8384,-2.351069,-0.979552,0.061053,0.135601,-0.673676,-33.1191,-1.1573,-25.7361,346,2020-06-13 22:13:25:257
-7.677353,-2.616036,8.79791,-7.774291,-2.163862,-1.029397,0.061053,0.135601,-0.673676,-33.1191,-1.1573,-25.7361,354,2020-06-13 22:13:25:265
-7.677353,-2.616036,8.79791,-7.774291,-2.163862,-1.029397,0.061053,0.135601,-0.673676,-33.0167,-2.7392,-25.4376,365,2020-06-13 22:13:25:276
-7.416244,-2.496261,8.646993,-7.774291,-2.163862,-1.029397,0.061053,0.135601,-0.673676,-33.0167,-2.7392,-25.4376,374,2020-06-13 22:13:25:285
