ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.562718,-1.324861,10.113039,1.517888,-0.146187,0.375231,0.083434,0.131044,-0.530115,-27.8243,9.9857,-30.1229,4,2020-06-13 22:24:56:636
-0.562718,-1.324861,10.113039,1.517888,-0.146187,0.375231,0.083434,0.131044,-0.530115,-27.7615,9.798,-30.3129,15,2020-06-13 22:24:56:647
-0.562718,-1.324861,10.113039,1.517888,-0.146187,0.375231,0.083434,0.131044,-0.530115,-27.7615,9.798,-30.3129,25,2020-06-13 22:24:56:657
-0.76394,-1.504524,9.969309,1.517888,-0.146187,0.375231,0.083434,0.131044,-0.530115,-27.7615,9.798,-30.3129,35,2020-06-13 22:24:56:667
-0.76394,-1.504524,9.969309,1.314747,-0.257955,0.218345,0.087694,0.103354,-0.696255,-27.2899,9.0706,-31.5365,44,2020-06-13 22:24:56:676
-0.76394,-1.504524,9.969309,1.314747,-0.257955,0.218345,0.087694,0.103354,-0.696255,-27.2899,9.0706,-31.5365,54,2020-06-13 22:24:56:686
-0.819037,-1.480569,10.074711,1.314747,-0.257955,0.218345,0.087694,0.103354,-0.696255,-27.2899,9.0706,-31.5365,65,2020-06-13 22:24:56:697
-0.819037,-1.480569,10.074711,1.314747,-0.257955,0.218345,0.087694,0.103354,-0.696255,-27.2899,9.0706,-31.5365,74,2020-06-13 22:24:56:706
-0.819037,-1.480569,10.074711,1.314747,-0.257955,0.218345,0.087694,0.103354,-0.696255,-27.2899,9.0706,-31.5365,85,2020-06-13 22:24:56:717
-0.835805,-1.504524,10.072315,1.261259,-0.21658,0.350189,0.130294,0.018154,-0.76761,-27.1197,8.394,-31.5045,94,2020-06-13 22:24:56:726
