ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-2.062301,-1.648254,6.68987,0.848065,-2.063739,-2.425879,-0.852313,-0.329535,-0.19295,41.9402,-13.9111,-7.6566,5,2020-06-13 22:50:25:879
-2.062301,-1.648254,6.68987,0.848065,-2.063739,-2.425879,-0.852313,-0.329535,-0.19295,41.9402,-13.9111,-7.6566,14,2020-06-13 22:50:25:888
-2.062301,-1.648254,6.68987,1.113191,-2.382334,-2.039015,-0.860833,-0.3093,-0.125855,41.7925,-13.4505,-8.3433,24,2020-06-13 22:50:25:898
-1.597574,-1.554829,7.509131,1.113191,-2.382334,-2.039015,-0.860833,-0.3093,-0.125855,41.7925,-13.4505,-8.3433,34,2020-06-13 22:50:25:908
-1.597574,-1.554829,7.509131,1.113191,-2.382334,-2.039015,-0.860833,-0.3093,-0.125855,41.7925,-13.4505,-8.3433,45,2020-06-13 22:50:25:919
-2.459954,-1.691373,6.52458,0.875303,-1.844604,-1.646094,-0.828883,-0.084585,-0.08645,42.0465,-12.9652,-9.3178,55,2020-06-13 22:50:25:929
-2.459954,-1.691373,6.52458,0.875303,-1.844604,-1.646094,-0.828883,-0.084585,-0.08645,42.0465,-12.9652,-9.3178,64,2020-06-13 22:50:25:938
-2.459954,-1.691373,6.52458,0.875303,-1.844604,-1.646094,-0.828883,-0.084585,-0.08645,42.0465,-12.9652,-9.3178,75,2020-06-13 22:50:25:949
-2.665967,-2.474701,5.820303,0.333926,-2.463252,-2.873287,-1.119628,-0.029205,-0.125855,42.0465,-12.9652,-9.3178,84,2020-06-13 22:50:25:958
-2.665967,-2.474701,5.820303,0.333926,-2.463252,-2.873287,-1.119628,-0.029205,-0.125855,42.1971,-12.2531,-10.0064,94,2020-06-13 22:50:25:968
-2.665967,-2.474701,5.820303,0.333926,-2.463252,-2.873287,-1.119628,-0.029205,-0.125855,42.1971,-12.2531,-10.0064,105,2020-06-13 22:50:25:979
-3.518765,-3.938352,10.007637,-0.480424,-3.558066,1.397924,-1.299613,0.89202,0.21814,42.1971,-12.2531,-10.0064,114,2020-06-13 22:50:25:988
-3.518765,-3.938352,10.007637,-0.480424,-3.558066,1.397924,-1.299613,0.89202,0.21814,42.1971,-12.2531,-10.0064,125,2020-06-13 22:50:25:999
-3.530743,-2.915473,10.323843,-0.480424,-3.558066,1.397924,-1.299613,0.89202,0.21814,42.0842,-11.4156,-10.951,135,2020-06-13 22:50:26:009
-3.530743,-2.915473,10.323843,-0.219101,-1.83802,-0.236906,-1.299613,0.89202,0.21814,42.0842,-11.4156,-10.951,145,2020-06-13 22:50:26:019
-3.530743,-2.915473,10.323843,-0.219101,-1.83802,-0.236906,-1.281508,1.2243,0.389605,42.0842,-11.4156,-10.951,155,2020-06-13 22:50:26:029
-3.4469,-2.479492,7.655256,-0.219101,-1.83802,-0.236906,-1.281508,1.2243,0.389605,42.0842,-11.4156,-10.951,165,2020-06-13 22:50:26:039
-3.4469,-2.479492,7.655256,-0.219101,-1.83802,-0.236906,-1.281508,1.2243,0.389605,42.6268,-11.3949,-11.3344,174,2020-06-13 22:50:26:048
-3.4469,-2.479492,7.655256,0.597919,-1.189191,-1.032029,-1.916248,0.959115,0.001945,42.6268,-11.3949,-11.3344,185,2020-06-13 22:50:26:059
-2.685131,-3.006502,9.401575,0.597919,-1.189191,-1.032029,-1.916248,0.959115,0.001945,42.6268,-11.3949,-11.3344,194,2020-06-13 22:50:26:068
-2.685131,-3.006502,9.401575,0.597919,-1.189191,-1.032029,-1.916248,0.959115,0.001945,43.5917,-11.2527,-10.1478,204,2020-06-13 22:50:26:078
-2.685131,-3.006502,9.401575,0.624778,-1.787174,3.082074,-2.313493,0.92184,-0.46346,43.5917,-11.2527,-10.1478,215,2020-06-13 22:50:26:089
-4.194296,-4.371937,12.228266,0.624778,-1.787174,3.082074,-2.313493,0.92184,-0.46346,43.5917,-11.2527,-10.1478,224,2020-06-13 22:50:26:098
-4.194296,-4.371937,12.228266,0.624778,-1.787174,3.082074,-2.313493,0.92184,-0.46346,43.8301,-10.9881,-9.6081,235,2020-06-13 22:50:26:109
-4.194296,-4.371937,12.228266,-0.423467,-2.448985,4.564457,-2.130313,0.986805,-0.637055,43.8301,-10.9881,-9.6081,245,2020-06-13 22:50:26:119
-4.95367,-4.829478,13.442784,-0.423467,-2.448985,4.564457,-2.130313,0.986805,-0.637055,43.8301,-10.9881,-9.6081,255,2020-06-13 22:50:26:129
-4.95367,-4.829478,13.442784,-0.423467,-2.448985,4.564457,-2.130313,0.986805,-0.637055,43.8301,-10.9881,-9.6081,264,2020-06-13 22:50:26:138
-5.801677,-5.303787,13.811691,-1.114932,-2.048829,5.560112,-1.931158,0.597015,-0.864965,44.0415,-8.7795,-9.4498,275,2020-06-13 22:50:26:149
-5.801677,-5.303787,13.811691,-1.114932,-2.048829,5.560112,-1.931158,0.597015,-0.864965,44.0415,-8.7795,-9.4498,285,2020-06-13 22:50:26:159
-5.801677,-5.303787,13.811691,-1.114932,-2.048829,5.560112,-1.931158,0.597015,-0.864965,44.0415,-8.7795,-9.4498,294,2020-06-13 22:50:26:168
-7.322819,-5.87152,15.150776,-2.659795,-2.410223,7.146177,-1.832113,0.573585,-0.807455,44.0415,-8.7795,-9.4498,305,2020-06-13 22:50:26:179
-7.322819,-5.87152,15.150776,-2.659795,-2.410223,7.146177,-1.832113,0.573585,-0.807455,44.1636,-7.4145,-9.5298,314,2020-06-13 22:50:26:188
