ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-2.982173,-5.53615,14.880084,-0.522949,-2.474487,2.540283,0.733117,-0.366412,-0.014537,-24.746,16.0013,-30.1993,5,2020-06-14 09:49:09:657
-2.982173,-5.53615,14.880084,-0.958151,-3.335323,4.758309,0.733117,-0.366412,-0.014537,-24.746,16.0013,-30.1993,15,2020-06-14 09:49:09:667
-1.602365,-4.525249,9.140466,-0.958151,-3.335323,4.758309,1.663927,0.874313,0.476428,-24.901,15.5948,-29.7096,24,2020-06-14 09:49:09:676
-1.602365,-4.525249,9.140466,-0.958151,-3.335323,4.758309,1.663927,0.874313,0.476428,-24.901,15.5948,-29.7096,35,2020-06-14 09:49:09:687
-1.602365,-4.525249,9.140466,0.923669,-2.338932,-2.553235,1.663927,0.874313,0.476428,-24.901,15.5948,-29.7096,45,2020-06-14 09:49:09:697
-1.631111,-3.823368,8.424212,0.923669,-2.338932,-2.553235,1.660732,-0.072472,0.300703,-25.1537,14.8856,-30.5518,55,2020-06-14 09:49:09:707
-1.631111,-3.823368,8.424212,0.923669,-2.338932,-2.553235,1.660732,-0.072472,0.300703,-25.1537,14.8856,-30.5518,66,2020-06-14 09:49:09:718
-2.213218,-3.375409,8.905707,0.219697,-2.46089,-0.837425,1.660732,-0.072472,0.300703,-25.1537,14.8856,-30.5518,75,2020-06-14 09:49:09:727
-2.213218,-3.375409,8.905707,0.219697,-2.46089,-0.837425,1.938697,0.126683,0.368863,-25.1537,14.8856,-30.5518,85,2020-06-14 09:49:09:737
-2.213218,-3.375409,8.905707,0.219697,-2.46089,-0.837425,1.938697,0.126683,0.368863,-25.107,12.8172,-32.4148,94,2020-06-14 09:49:09:746
-1.712558,-2.568126,7.377378,0.219697,-2.46089,-0.837425,1.938697,0.126683,0.368863,-25.107,12.8172,-32.4148,105,2020-06-14 09:49:09:757
-1.712558,-2.568126,7.377378,0.622634,-2.223861,-2.915919,1.966387,0.103253,0.342238,-25.107,12.8172,-32.4148,116,2020-06-14 09:49:09:768
-1.712558,-2.568126,7.377378,0.622634,-2.223861,-2.915919,1.966387,0.103253,0.342238,-24.525,11.4321,-32.813,126,2020-06-14 09:49:09:778
-1.16878,-1.550038,5.001042,0.622634,-2.223861,-2.915919,1.966387,0.103253,0.342238,-24.525,11.4321,-32.813,135,2020-06-14 09:49:09:787
-1.16878,-1.550038,5.001042,1.117445,-1.824783,-5.224634,1.864147,-0.300382,0.152668,-24.525,11.4321,-32.813,145,2020-06-14 09:49:09:797
-1.16878,-1.550038,5.001042,1.117445,-1.824783,-5.224634,1.864147,-0.300382,0.152668,-24.525,11.4321,-32.813,155,2020-06-14 09:49:09:807
-1.441867,-1.32007,4.955528,1.117445,-1.824783,-5.224634,1.864147,-0.300382,0.152668,-23.8174,9.6526,-33.6298,165,2020-06-14 09:49:09:817
-1.441867,-1.32007,4.955528,0.713018,-2.199614,-5.593563,1.758712,-0.311032,0.070663,-23.8174,9.6526,-33.6298,175,2020-06-14 09:49:09:827
-1.441867,-1.32007,4.955528,0.713018,-2.199614,-5.593563,1.758712,-0.311032,0.070663,-23.8174,9.6526,-33.6298,185,2020-06-14 09:49:09:837
-1.391561,-1.17634,3.503855,0.713018,-2.199614,-5.593563,1.758712,-0.311032,0.070663,-23.8174,9.6526,-33.6298,196,2020-06-14 09:49:09:848
-1.391561,-1.17634,3.503855,0.476232,-2.340576,-6.680176,1.535062,-0.295057,0.163318,-24.983,6.6008,-33.704,205,2020-06-14 09:49:09:857
-1.391561,-1.17634,3.503855,0.476232,-2.340576,-6.680176,1.535062,-0.295057,0.163318,-24.983,6.6008,-33.704,215,2020-06-14 09:49:09:867
-1.573619,-0.929604,2.442648,0.476232,-2.340576,-6.680176,1.535062,-0.295057,0.163318,-25.2583,4.6759,-33.4608,229,2020-06-14 09:49:09:881
-1.573619,-0.929604,2.442648,0.440774,-2.390683,-7.228071,0.965287,-0.358957,0.411463,-25.2583,4.6759,-33.4608,235,2020-06-14 09:49:09:887
-1.573619,-0.929604,2.442648,0.440774,-2.390683,-7.228071,0.965287,-0.358957,0.411463,-25.2583,4.6759,-33.4608,245,2020-06-14 09:49:09:897
-1.461031,-0.012127,3.290655,0.440774,-2.390683,-7.228071,0.965287,-0.358957,0.411463,-25.2583,4.6759,-33.4608,255,2020-06-14 09:49:09:907
-1.461031,-0.012127,3.290655,0.476415,-1.905115,-6.487116,0.965287,-0.358957,0.411463,-25.2583,4.6759,-33.4608,265,2020-06-14 09:49:09:917
-1.461031,-0.012127,3.290655,0.476415,-1.905115,-6.487116,0.579757,-0.373867,0.525418,-25.0212,3.578,-32.6659,275,2020-06-14 09:49:09:927
-1.461031,-0.012127,3.290655,0.476415,-1.905115,-6.487116,0.579757,-0.373867,0.525418,-25.0212,3.578,-32.6659,286,2020-06-14 09:49:09:938
-0.670516,0.936491,4.260833,0.956485,-1.391617,-5.844676,0.579757,-0.373867,0.525418,-25.0212,3.578,-32.6659,295,2020-06-14 09:49:09:947
-0.670516,0.936491,4.260833,0.956485,-1.391617,-5.844676,0.379537,-0.442027,0.361408,-25.0212,3.578,-32.6659,304,2020-06-14 09:49:09:956
-0.670516,0.936491,4.260833,0.956485,-1.391617,-5.844676,0.379537,-0.442027,0.361408,-25.2341,2.9912,-32.1154,315,2020-06-14 09:49:09:967
-0.11476,1.135317,4.241669,1.356185,-1.169227,-5.638971,0.379537,-0.442027,0.361408,-25.2341,2.9912,-32.1154,325,2020-06-14 09:49:09:977
-0.11476,1.135317,4.241669,1.356185,-1.169227,-5.638971,0.168667,-0.378127,0.177163,-25.2341,2.9912,-32.1154,335,2020-06-14 09:49:09:987
-0.06685,0.857439,5.197473,1.356185,-1.169227,-5.638971,0.168667,-0.378127,0.177163,-25.6355,2.927,-31.9626,345,2020-06-14 09:49:09:997
-0.06685,0.857439,5.197473,1.218325,-1.519236,-4.56583,0.168667,-0.378127,0.177163,-25.6355,2.927,-31.9626,355,2020-06-14 09:49:10:007
-0.06685,0.857439,5.197473,1.218325,-1.519236,-4.56583,0.104767,-0.210922,0.111133,-25.6355,2.927,-31.9626,365,2020-06-14 09:49:10:017
-0.076432,1.061057,4.950737,1.218325,-1.519236,-4.56583,0.104767,-0.210922,0.111133,-25.6355,2.927,-31.9626,375,2020-06-14 09:49:10:027
-0.076432,1.061057,4.950737,1.23392,-1.30456,-4.8114,0.104767,-0.210922,0.111133,-26.6626,2.9953,-31.9524,385,2020-06-14 09:49:10:037
-0.076432,1.061057,4.950737,1.23392,-1.30456,-4.8114,0.006787,-0.296122,-0.045422,-26.6626,2.9953,-31.9524,395,2020-06-14 09:49:10:047
-0.18902,1.238324,5.214242,1.23392,-1.30456,-4.8114,0.006787,-0.296122,-0.045422,-26.6626,2.9953,-31.9524,406,2020-06-14 09:49:10:058
