ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.648956,-1.945296,5.681364,-0.005934,-3.457906,-4.234832,1.032382,-0.280147,0.400813,-30.523,4.4879,-28.6955,6,2020-06-14 09:58:54:504
-0.648956,-1.945296,5.681364,-0.005934,-3.457906,-4.234832,0.951442,-1.059727,0.496663,-30.523,4.4879,-28.6955,17,2020-06-14 09:58:54:515
-0.648956,-1.945296,5.681364,-0.005934,-3.457906,-4.234832,0.951442,-1.059727,0.496663,-30.8171,3.9529,-28.3209,26,2020-06-14 09:58:54:524
-0.06685,-1.899781,3.920672,0.402472,-3.446252,-6.561495,0.951442,-1.059727,0.496663,-30.8171,3.9529,-28.3209,37,2020-06-14 09:58:54:535
-0.06685,-1.899781,3.920672,0.402472,-3.446252,-6.561495,0.555262,-0.634792,0.471103,-30.8171,3.9529,-28.3209,46,2020-06-14 09:58:54:544
-0.06685,-1.899781,3.920672,0.402472,-3.446252,-6.561495,0.555262,-0.634792,0.471103,-30.8171,3.9529,-28.3209,56,2020-06-14 09:58:54:554
-0.514808,-1.614717,7.466012,-0.193813,-3.296189,-2.49392,0.555262,-0.634792,0.471103,-31.3377,3.7852,-27.9735,67,2020-06-14 09:58:54:565
-0.514808,-1.614717,7.466012,-0.193813,-3.296189,-2.49392,1.147402,0.180998,0.374188,-31.3377,3.7852,-27.9735,76,2020-06-14 09:58:54:574
-0.514808,-1.614717,7.466012,-0.193813,-3.296189,-2.49392,1.147402,0.180998,0.374188,-31.3377,3.7852,-27.9735,86,2020-06-14 09:58:54:584
2.13701,-0.776292,3.824852,-0.193813,-3.296189,-2.49392,1.147402,0.180998,0.374188,-31.8152,3.415,-27.6806,96,2020-06-14 09:58:54:594
2.13701,-0.776292,3.824852,2.240878,-2.583002,-6.246717,0.987652,-0.270562,-0.163637,-31.8152,3.415,-27.6806,106,2020-06-14 09:58:54:604
2.13701,-0.776292,3.824852,2.240878,-2.583002,-6.246717,0.987652,-0.270562,-0.163637,-31.8152,3.415,-27.6806,118,2020-06-14 09:58:54:616
0.55598,0.366362,3.324192,0.421506,-1.746656,-6.205121,0.987652,-0.270562,-0.163637,-31.8908,3.0751,-27.4237,127,2020-06-14 09:58:54:625
0.55598,0.366362,3.324192,0.421506,-1.746656,-6.205121,0.987652,-0.270562,-0.163637,-31.8908,3.0751,-27.4237,136,2020-06-14 09:58:54:634
0.55598,0.366362,3.324192,0.421506,-1.746656,-6.205121,0.666022,-0.352567,-0.334037,-31.8908,3.0751,-27.4237,146,2020-06-14 09:58:54:644
0.021784,0.977214,3.295446,0.421506,-1.746656,-6.205121,0.666022,-0.352567,-0.334037,-31.8908,3.0751,-27.4237,156,2020-06-14 09:58:54:654
0.021784,0.977214,3.295446,0.048368,-1.383986,-6.069601,0.666022,-0.352567,-0.334037,-32.3605,2.1194,-27.1983,166,2020-06-14 09:58:54:664
0.021784,0.977214,3.295446,0.048368,-1.383986,-6.069601,0.202747,-0.058627,-0.256292,-32.3605,2.1194,-27.1983,176,2020-06-14 09:58:54:674
0.167909,1.264674,2.90498,0.048368,-1.383986,-6.069601,0.202747,-0.058627,-0.256292,-32.3605,2.1194,-27.1983,186,2020-06-14 09:58:54:684
0.167909,1.264674,2.90498,0.418161,-1.131677,-7.172973,0.202747,-0.058627,-0.256292,-32.3605,2.1194,-27.1983,196,2020-06-14 09:58:54:694
0.167909,1.264674,2.90498,0.418161,-1.131677,-7.172973,-0.142313,-0.166192,-0.205172,-32.3605,2.1194,-27.1983,206,2020-06-14 09:58:54:704
0.484115,1.427568,2.064159,0.418161,-1.131677,-7.172973,-0.142313,-0.166192,-0.205172,-32.7877,1.0247,-26.6411,217,2020-06-14 09:58:54:715
0.484115,1.427568,2.064159,0.364196,-0.856553,-6.082468,-0.142313,-0.166192,-0.205172,-32.7877,1.0247,-26.6411,230,2020-06-14 09:58:54:728
0.793135,0.986796,4.289579,0.364196,-0.856553,-6.082468,-0.142313,-0.166192,-0.205172,-32.7877,1.0247,-26.6411,237,2020-06-14 09:58:54:735
0.793135,0.986796,4.289579,0.364196,-0.856553,-6.082468,-0.289283,-0.120397,-0.001757,-32.7265,1.0273,-25.6916,249,2020-06-14 09:58:54:747
0.793135,0.986796,4.289579,0.364196,-0.856553,-6.082468,-0.289283,-0.120397,-0.001757,-32.7265,1.0273,-25.6916,256,2020-06-14 09:58:54:754
