ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-1.487381,-3.710779,8.8027,-1.625181,0.754505,-1.329092,-1.052888,0.329033,-1.117877,35.0329,1.3878,-27.9736,7,2020-06-14 10:01:32:773
-1.487381,-3.710779,8.8027,-1.625181,0.754505,-1.329092,-1.052888,0.329033,-1.117877,35.0329,1.3878,-27.9736,17,2020-06-14 10:01:32:783
-1.954504,-3.90721,9.126093,-1.982923,0.819583,0.14368,-0.422408,0.647468,-1.344722,35.0329,1.3878,-27.9736,27,2020-06-14 10:01:32:793
-1.954504,-3.90721,9.126093,-1.982923,0.819583,0.14368,-0.422408,0.647468,-1.344722,35.2977,2.6264,-27.9149,36,2020-06-14 10:01:32:802
-1.954504,-3.90721,9.126093,-1.982923,0.819583,0.14368,-0.422408,0.647468,-1.344722,35.2977,2.6264,-27.9149,47,2020-06-14 10:01:32:813
-1.971272,-3.708384,8.098424,-2.172194,0.982022,-0.832892,-0.334013,0.358853,-1.247807,35.2977,2.6264,-27.9149,57,2020-06-14 10:01:32:823
-1.971272,-3.708384,8.098424,-2.172194,0.982022,-0.832892,-0.334013,0.358853,-1.247807,36.0622,4.1436,-27.3533,67,2020-06-14 10:01:32:833
-1.549664,-3.234075,7.573809,-2.172194,0.982022,-0.832892,-0.334013,0.358853,-1.247807,36.0622,4.1436,-27.3533,76,2020-06-14 10:01:32:842
-1.549664,-3.234075,7.573809,-1.855108,1.659496,-1.431636,-0.589613,0.214013,-1.191362,36.0622,4.1436,-27.3533,87,2020-06-14 10:01:32:853
-1.549664,-3.234075,7.573809,-1.855108,1.659496,-1.431636,-0.589613,0.214013,-1.191362,36.0622,4.1436,-27.3533,97,2020-06-14 10:01:32:863
-0.950789,-2.968174,6.92942,-1.855108,1.659496,-1.431636,-0.589613,0.214013,-1.191362,37.0403,6.2217,-26.8769,106,2020-06-14 10:01:32:872
-0.950789,-2.968174,6.92942,-1.261231,2.108266,-2.005517,-0.811133,0.564398,-1.314902,37.0403,6.2217,-26.8769,117,2020-06-14 10:01:32:883
-0.950789,-2.968174,6.92942,-1.261231,2.108266,-2.005517,-0.811133,0.564398,-1.314902,37.0403,6.2217,-26.8769,128,2020-06-14 10:01:32:894
-0.950789,-2.968174,6.92942,-1.261231,2.108266,-2.005517,-0.811133,0.564398,-1.314902,37.0403,6.2217,-26.8769,139,2020-06-14 10:01:32:905
-1.017863,-3.128673,6.404805,-1.330303,2.119567,-2.348325,-0.892073,0.835973,-1.354307,37.2352,8.1801,-26.5015,147,2020-06-14 10:01:32:913
-1.017863,-3.128673,6.404805,-1.330303,2.119567,-2.348325,-0.892073,0.835973,-1.354307,37.2352,8.1801,-26.5015,158,2020-06-14 10:01:32:924
-1.017863,-3.128673,6.404805,-1.330303,2.119567,-2.348325,-0.892073,0.835973,-1.354307,37.2352,8.1801,-26.5015,166,2020-06-14 10:01:32:932
-0.663329,-2.944219,5.777184,-0.915362,2.456845,-2.688173,-0.758948,0.880703,-1.311707,37.4558,11.223,-25.7567,177,2020-06-14 10:01:32:943
-0.663329,-2.944219,5.777184,-0.915362,2.456845,-2.688173,-0.758948,0.880703,-1.311707,37.4558,11.223,-25.7567,187,2020-06-14 10:01:32:953
-0.663329,-2.944219,5.777184,-0.915362,2.456845,-2.688173,-0.758948,0.880703,-1.311707,37.4558,11.223,-25.7567,196,2020-06-14 10:01:32:962
-0.632188,-2.747788,4.708791,-0.932362,2.868296,-3.893101,-0.758948,0.880703,-1.311707,37.4558,11.223,-25.7567,207,2020-06-14 10:01:32:973
-0.632188,-2.747788,4.708791,-0.932362,2.868296,-3.893101,-0.510803,0.572918,-1.245677,37.9825,14.0034,-24.3467,219,2020-06-14 10:01:32:985
0.00262,-2.87475,4.332698,-0.932362,2.868296,-3.893101,-0.510803,0.572918,-1.245677,37.9825,14.0034,-24.3467,227,2020-06-14 10:01:32:993
0.00262,-2.87475,4.332698,-0.426336,2.833904,-4.115785,-0.510803,0.572918,-1.245677,37.9825,14.0034,-24.3467,239,2020-06-14 10:01:33:005
0.00262,-2.87475,4.332698,-0.426336,2.833904,-4.115785,-0.258398,0.395063,-1.270172,37.9825,14.0034,-24.3467,247,2020-06-14 10:01:33:013
0.395482,-3.394573,5.722088,-0.426336,2.833904,-4.115785,-0.258398,0.395063,-1.270172,38.0309,16.4425,-22.9734,257,2020-06-14 10:01:33:023
0.395482,-3.394573,5.722088,-0.426336,2.833904,-4.115785,-0.258398,0.395063,-1.270172,38.0309,16.4425,-22.9734,267,2020-06-14 10:01:33:033
0.395482,-3.394573,5.722088,0.027334,2.142404,-1.857942,-0.258398,0.395063,-1.270172,38.0309,16.4425,-22.9734,277,2020-06-14 10:01:33:043
0.527234,-3.576631,6.778503,0.027334,2.142404,-1.857942,0.570172,0.739058,-1.260587,38.0309,16.4425,-22.9734,287,2020-06-14 10:01:33:053
0.527234,-3.576631,6.778503,0.027334,2.142404,-1.857942,0.570172,0.739058,-1.260587,37.8465,18.2445,-21.6687,297,2020-06-14 10:01:33:063
0.527234,-3.576631,6.778503,-0.324608,2.2935,-2.375369,0.570172,0.739058,-1.260587,37.8465,18.2445,-21.6687,307,2020-06-14 10:01:33:073
0.649405,-3.116695,5.870609,-0.324608,2.2935,-2.375369,1.333777,0.337553,-1.158347,37.8465,18.2445,-21.6687,317,2020-06-14 10:01:33:083
0.649405,-3.116695,5.870609,-0.324608,2.2935,-2.375369,1.333777,0.337553,-1.158347,37.4971,18.8032,-21.3709,327,2020-06-14 10:01:33:093
