ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
1.097363,0.184304,7.880433,-0.294256,-0.968788,-1.75466,0.559522,0.742253,0.622333,-33.0163,13.4891,-24.2763,12,2020-06-14 10:15:37:255
1.097363,0.184304,7.880433,1.823299,0.338797,-2.029135,0.559522,0.742253,0.622333,-33.0163,13.4891,-24.2763,23,2020-06-14 10:15:37:266
3.02095,1.305398,9.403971,1.823299,0.338797,-2.029135,0.799147,0.417428,0.278338,-31.9489,13.3696,-24.905,32,2020-06-14 10:15:37:275
3.02095,1.305398,9.403971,1.823299,0.338797,-2.029135,0.799147,0.417428,0.278338,-31.9489,13.3696,-24.905,43,2020-06-14 10:15:37:286
3.02095,1.305398,9.403971,3.329166,0.494799,-1.140297,0.799147,0.417428,0.278338,-31.9489,13.3696,-24.905,53,2020-06-14 10:15:37:296
2.786191,0.43104,8.836238,3.329166,0.494799,-1.140297,0.887542,0.550553,-0.289307,-31.9489,13.3696,-24.905,63,2020-06-14 10:15:37:306
2.786191,0.43104,8.836238,3.329166,0.494799,-1.140297,0.887542,0.550553,-0.289307,-31.262,13.0998,-25.9409,73,2020-06-14 10:15:37:316
1.825595,-0.706822,8.623038,2.395581,-1.346315,-1.513281,0.887542,0.550553,-0.289307,-31.262,13.0998,-25.9409,83,2020-06-14 10:15:37:326
1.825595,-0.706822,8.623038,2.395581,-1.346315,-1.513281,0.900322,0.519668,-0.376637,-31.262,13.0998,-25.9409,92,2020-06-14 10:15:37:335
1.825595,-0.706822,8.623038,2.395581,-1.346315,-1.513281,0.900322,0.519668,-0.376637,-30.8493,12.2921,-26.7182,103,2020-06-14 10:15:37:346
1.423151,-0.965536,7.331864,1.984066,-2.124251,-2.791411,0.900322,0.519668,-0.376637,-30.8493,12.2921,-26.7182,112,2020-06-14 10:15:37:355
1.423151,-0.965536,7.331864,1.984066,-2.124251,-2.791411,0.900322,0.519668,-0.376637,-30.8493,12.2921,-26.7182,123,2020-06-14 10:15:37:366
1.423151,-0.965536,7.331864,1.984066,-2.124251,-2.791411,0.900322,0.124553,-0.338297,-30.5424,11.8967,-27.0771,132,2020-06-14 10:15:37:375
