ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
3.62222,-1.758447,6.97733,1.435711,0.761269,-1.493416,-0.528908,-0.840337,-0.325517,34.1163,12.5192,-28.4389,3,2020-06-14 10:36:05:966
3.904889,-1.801566,6.773712,1.803796,0.974016,-3.244854,-1.336178,-0.649702,-0.029447,34.1163,12.5192,-28.4389,14,2020-06-14 10:36:05:977
3.904889,-1.801566,6.773712,1.803796,0.974016,-3.244854,-1.336178,-0.649702,-0.029447,33.0329,13.6974,-29.3968,24,2020-06-14 10:36:05:987
3.904889,-1.801566,6.773712,1.803796,0.974016,-3.244854,-1.336178,-0.649702,-0.029447,33.0329,13.6974,-29.3968,35,2020-06-14 10:36:05:998
4.0055,-1.377562,8.24934,1.875761,1.832842,-1.367078,-0.985793,-0.444157,0.142018,33.0329,13.6974,-29.3968,43,2020-06-14 10:36:06:006
4.0055,-1.377562,8.24934,1.875761,1.832842,-1.367078,-0.985793,-0.444157,0.142018,32.4016,14.2274,-29.7206,54,2020-06-14 10:36:06:017
4.0055,-1.377562,8.24934,1.875761,1.832842,-1.367078,-0.985793,-0.444157,0.142018,32.4016,14.2274,-29.7206,63,2020-06-14 10:36:06:026
4.094134,-1.298511,6.447924,1.742242,2.252832,-3.026914,-0.831368,-0.342982,0.504118,32.4016,14.2274,-29.7206,74,2020-06-14 10:36:06:037
4.094134,-1.298511,6.447924,1.742242,2.252832,-3.026914,-0.831368,-0.342982,0.504118,32.4016,14.2274,-29.7206,84,2020-06-14 10:36:06:047
4.103716,-1.636276,5.23101,1.742242,2.252832,-3.026914,-0.831368,-0.342982,0.504118,32.1239,15.4209,-29.5491,93,2020-06-14 10:36:06:056
4.103716,-1.636276,5.23101,1.790662,2.215232,-4.15715,-1.344698,-0.090577,0.979108,32.1239,15.4209,-29.5491,104,2020-06-14 10:36:06:067
4.103716,-1.636276,5.23101,1.790662,2.215232,-4.15715,-1.344698,-0.090577,0.979108,32.1239,15.4209,-29.5491,114,2020-06-14 10:36:06:077
4.221095,-1.547643,6.122136,1.790662,2.215232,-4.15715,-1.344698,-0.090577,0.979108,31.808,16.4991,-28.8531,126,2020-06-14 10:36:06:089
4.221095,-1.547643,6.122136,1.790662,2.215232,-4.15715,-1.344698,-0.090577,0.979108,31.808,16.4991,-28.8531,134,2020-06-14 10:36:06:097
4.221095,-1.547643,6.122136,1.942163,2.719822,-2.901374,-1.190273,-0.273757,1.222993,31.808,16.4991,-28.8531,143,2020-06-14 10:36:06:106
3.773137,-1.801566,6.062249,1.942163,2.719822,-2.901374,-1.190273,-0.273757,1.222993,31.808,16.4991,-28.8531,154,2020-06-14 10:36:06:117
3.773137,-1.801566,6.062249,1.942163,2.719822,-2.901374,-1.190273,-0.273757,1.222993,31.7955,15.957,-28.631,164,2020-06-14 10:36:06:127
3.468908,-2.32618,5.362763,1.375414,2.489581,-3.469996,-0.528908,-0.482497,1.499893,31.7955,15.957,-28.631,173,2020-06-14 10:36:06:136
3.468908,-2.32618,5.362763,1.375414,2.489581,-3.469996,-0.528908,-0.482497,1.499893,31.7955,15.957,-28.631,184,2020-06-14 10:36:06:147
3.468908,-2.32618,5.362763,1.375414,2.489581,-3.469996,-0.528908,-0.482497,1.499893,31.5386,15.6138,-28.6273,193,2020-06-14 10:36:06:156
3.135934,-1.878222,4.038051,1.089699,2.843461,-4.685347,-0.189173,-0.767917,1.660708,31.5386,15.6138,-28.6273,204,2020-06-14 10:36:06:167
3.135934,-1.878222,4.038051,1.089699,2.843461,-4.685347,-0.189173,-0.767917,1.660708,31.5386,15.6138,-28.6273,213,2020-06-14 10:36:06:176
3.135934,-1.878222,4.038051,1.089699,2.843461,-4.685347,-0.189173,-0.767917,1.660708,31.5386,15.6138,-28.6273,224,2020-06-14 10:36:06:187
3.135934,-1.878222,4.038051,1.089699,2.843461,-4.685347,-0.189173,-0.767917,1.660708,31.5386,15.6138,-28.6273,233,2020-06-14 10:36:06:196
3.135934,-1.878222,4.038051,1.089699,2.843461,-4.685347,-0.189173,-0.767917,1.660708,31.5386,15.6138,-28.6273,244,2020-06-14 10:36:06:207
3.135934,-1.878222,4.038051,1.089699,2.843461,-4.685347,-0.189173,-0.767917,1.660708,31.5386,15.6138,-28.6273,254,2020-06-14 10:36:06:217
