ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-1.782028,-3.373014,9.669871,0.587106,-0.025945,0.960011,1.225147,-0.682717,0.264493,-22.2608,24.1519,-28.9995,7,2020-06-14 10:47:32:643
-1.782028,-3.373014,9.669871,0.587106,-0.025945,0.960011,1.225147,-0.682717,0.264493,-23.1372,23.4826,-29.2469,16,2020-06-14 10:47:32:652
-1.782028,-3.373014,9.669871,0.587106,-0.025945,0.960011,1.225147,-0.682717,0.264493,-23.1372,23.4826,-29.2469,24,2020-06-14 10:47:32:660
-1.782028,-3.373014,9.669871,1.445634,-0.783642,-0.679576,0.995107,-0.197077,0.144148,-23.1372,23.4826,-29.2469,35,2020-06-14 10:47:32:671
-1.305323,-3.533512,8.994341,1.445634,-0.783642,-0.679576,0.995107,-0.197077,0.144148,-23.6287,22.6015,-29.7589,44,2020-06-14 10:47:32:680
-1.305323,-3.533512,8.994341,1.445634,-0.783642,-0.679576,0.995107,-0.197077,0.144148,-23.6287,22.6015,-29.7589,55,2020-06-14 10:47:32:691
-2.239568,-3.351454,9.09016,1.29649,-0.813498,-0.878741,0.888607,0.159698,0.004633,-23.6287,22.6015,-29.7589,65,2020-06-14 10:47:32:701
-2.239568,-3.351454,9.09016,1.29649,-0.813498,-0.878741,0.888607,0.159698,0.004633,-23.6287,22.6015,-29.7589,75,2020-06-14 10:47:32:711
-2.239568,-3.351454,9.09016,0.154873,-1.195937,-0.509332,0.888607,0.159698,0.004633,-23.6007,21.9856,-30.3487,84,2020-06-14 10:47:32:720
-3.034874,-4.022194,8.87217,0.154873,-1.195937,-0.509332,1.154857,0.231053,0.079183,-23.6007,21.9856,-30.3487,95,2020-06-14 10:47:32:731
-3.034874,-4.022194,8.87217,0.154873,-1.195937,-0.509332,1.154857,0.231053,0.079183,-23.6007,21.9856,-30.3487,105,2020-06-14 10:47:32:741
-2.589311,-3.837741,7.037217,0.164799,-1.988597,-2.448355,1.126102,0.476003,0.376318,-23.4257,20.9074,-31.1233,117,2020-06-14 10:47:32:753
-2.589311,-3.837741,7.037217,0.164799,-1.988597,-2.448355,1.126102,0.476003,0.376318,-23.4257,20.9074,-31.1233,124,2020-06-14 10:47:32:760
-2.589311,-3.837741,7.037217,0.164799,-1.988597,-2.448355,1.126102,0.476003,0.376318,-23.4257,20.9074,-31.1233,135,2020-06-14 10:47:32:771
-2.589311,-3.837741,7.037217,0.164799,-1.988597,-2.448355,1.126102,0.476003,0.376318,-23.4257,20.9074,-31.1233,144,2020-06-14 10:47:32:780
-0.481271,-2.711856,5.029788,2.216351,-1.094246,-4.739483,0.743767,0.322643,0.492403,-22.8309,20.0462,-31.7433,155,2020-06-14 10:47:32:791
-0.481271,-2.711856,5.029788,2.216351,-1.094246,-4.739483,0.743767,0.322643,0.492403,-22.8309,20.0462,-31.7433,164,2020-06-14 10:47:32:800
0.809903,-1.923736,8.124774,2.216351,-1.094246,-4.739483,0.743767,0.322643,0.492403,-22.8309,20.0462,-31.7433,174,2020-06-14 10:47:32:810
