ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
1.128505,-1.667418,8.400256,3.676308,-1.736248,-2.464645,-0.416018,-0.501667,1.139923,-22.9294,13.8725,-33.6934,6,2020-06-14 10:52:16:808
1.128505,-1.667418,8.400256,3.676308,-1.736248,-2.464645,-0.416018,-0.501667,1.139923,-22.627,15.3156,-33.4441,17,2020-06-14 10:52:16:819
1.128505,-1.667418,8.400256,4.39436,-1.15627,-0.880902,-0.416018,-0.501667,1.139923,-22.627,15.3156,-33.4441,27,2020-06-14 10:52:16:829
1.904647,-0.740359,7.976253,4.39436,-1.15627,-0.880902,-0.289283,0.006338,0.962068,-22.627,15.3156,-33.4441,37,2020-06-14 10:52:16:839
1.904647,-0.740359,7.976253,4.39436,-1.15627,-0.880902,-0.289283,0.006338,0.962068,-22.627,15.3156,-33.4441,47,2020-06-14 10:52:16:849
1.217138,-0.467272,6.170046,4.882834,-0.436811,-1.518358,-0.289283,0.006338,0.962068,-22.2396,16.4259,-33.3435,57,2020-06-14 10:52:16:859
1.217138,-0.467272,6.170046,4.882834,-0.436811,-1.518358,-0.442643,0.200168,0.544588,-22.2396,16.4259,-33.3435,66,2020-06-14 10:52:16:868
1.217138,-0.467272,6.170046,4.882834,-0.436811,-1.518358,-0.442643,0.200168,0.544588,-22.2396,16.4259,-33.3435,77,2020-06-14 10:52:16:879
0.457765,-1.250601,6.086204,3.696576,-0.482993,-3.523786,-0.442643,0.200168,0.544588,-21.6611,18.2854,-33.0796,87,2020-06-14 10:52:16:889
0.457765,-1.250601,6.086204,3.696576,-0.482993,-3.523786,-0.615173,-0.364282,0.395488,-21.6611,18.2854,-33.0796,96,2020-06-14 10:52:16:898
0.457765,-1.250601,6.086204,3.696576,-0.482993,-3.523786,-0.615173,-0.364282,0.395488,-21.6611,18.2854,-33.0796,107,2020-06-14 10:52:16:909
0.546398,-1.408704,6.910256,3.380558,-0.931747,-2.596583,-0.615173,-0.364282,0.395488,-21.5089,18.9187,-33.2246,117,2020-06-14 10:52:16:919
0.546398,-1.408704,6.910256,3.380558,-0.931747,-2.596583,-0.760013,-0.643312,0.379513,-21.5089,18.9187,-33.2246,127,2020-06-14 10:52:16:929
0.546398,-1.408704,6.910256,3.380558,-0.931747,-2.596583,-0.760013,-0.643312,0.379513,-21.5089,18.9187,-33.2246,137,2020-06-14 10:52:16:939
0.924887,-0.989491,8.491285,3.563744,-0.265026,-0.965993,-0.760013,-0.643312,0.379513,-21.5089,18.9187,-33.2246,147,2020-06-14 10:52:16:949
0.924887,-0.989491,8.491285,3.563744,-0.265026,-0.965993,-1.407533,0.133073,0.219763,-21.5423,19.9129,-32.8542,157,2020-06-14 10:52:16:959
0.994357,-1.638672,9.42553,3.563744,-0.265026,-0.965993,-1.407533,0.133073,0.219763,-21.5423,19.9129,-32.8542,167,2020-06-14 10:52:16:969
0.994357,-1.638672,9.42553,3.639823,-0.755708,0.360676,-1.407533,0.133073,0.219763,-21.5423,19.9129,-32.8542,176,2020-06-14 10:52:16:978
0.994357,-1.638672,9.42553,3.639823,-0.755708,0.360676,-1.584323,0.537773,0.193138,-21.8824,21.3347,-31.5056,187,2020-06-14 10:52:16:989
0.488906,-2.168077,10.390917,3.639823,-0.755708,0.360676,-1.584323,0.537773,0.193138,-21.8824,21.3347,-31.5056,199,2020-06-14 10:52:17:001
0.488906,-2.168077,10.390917,3.639823,-0.755708,0.360676,-1.584323,0.537773,0.193138,-21.8824,21.3347,-31.5056,206,2020-06-14 10:52:17:008
0.488906,-2.168077,10.390917,3.482788,-0.442505,1.322375,-1.400078,0.173543,0.185683,-21.7764,22.4645,-30.7103,217,2020-06-14 10:52:17:019
1.861528,-1.712932,11.351513,3.482788,-0.442505,1.322375,-1.400078,0.173543,0.185683,-21.7764,22.4645,-30.7103,226,2020-06-14 10:52:17:028
1.861528,-1.712932,11.351513,3.482788,-0.442505,1.322375,-1.400078,0.173543,0.185683,-21.7764,22.4645,-30.7103,237,2020-06-14 10:52:17:039
2.848474,-1.605135,11.718024,5.561274,0.377937,2.548892,-1.370258,0.242768,-0.187067,-21.7764,22.4645,-30.7103,247,2020-06-14 10:52:17:049
2.848474,-1.605135,11.718024,5.561274,0.377937,2.548892,-1.370258,0.242768,-0.187067,-21.4951,24.0088,-30.0368,256,2020-06-14 10:52:17:058
2.848474,-1.605135,11.718024,5.561274,0.377937,2.548892,-1.370258,0.242768,-0.187067,-21.4951,24.0088,-30.0368,269,2020-06-14 10:52:17:071
2.331046,-2.39565,12.899006,5.561274,0.377937,2.548892,-1.837793,0.827453,-0.803702,-21.4951,24.0088,-30.0368,277,2020-06-14 10:52:17:079
2.331046,-2.39565,12.899006,5.337293,0.371401,3.615811,-1.837793,0.827453,-0.803702,-21.0771,25.8375,-29.6187,287,2020-06-14 10:52:17:089
2.331046,-2.39565,12.899006,5.337293,0.371401,3.615811,-1.837793,0.827453,-0.803702,-21.0771,25.8375,-29.6187,296,2020-06-14 10:52:17:098
2.113055,-3.255634,15.411885,5.337293,0.371401,3.615811,-1.837793,0.827453,-0.803702,-21.0771,25.8375,-29.6187,307,2020-06-14 10:52:17:109
2.113055,-3.255634,15.411885,5.147702,-0.112346,6.719375,-1.243523,0.689003,-1.069952,-21.0771,25.8375,-29.6187,317,2020-06-14 10:52:17:119
2.113055,-3.255634,15.411885,5.147702,-0.112346,6.719375,-1.243523,0.689003,-1.069952,-21.3367,27.2299,-28.7145,327,2020-06-14 10:52:17:129
1.720193,-3.099927,15.57957,5.147702,-0.112346,6.719375,-1.243523,0.689003,-1.069952,-21.3367,27.2299,-28.7145,336,2020-06-14 10:52:17:138
1.720193,-3.099927,15.57957,5.147702,-0.112346,6.719375,-1.243523,0.689003,-1.069952,-21.3367,27.2299,-28.7145,347,2020-06-14 10:52:17:149
1.720193,-3.099927,15.57957,4.748034,0.453615,6.478962,-0.163613,0.589958,-1.391582,-21.2812,27.6268,-28.0815,357,2020-06-14 10:52:17:159
1.427942,-3.23647,13.30624,4.748034,0.453615,6.478962,-0.163613,0.589958,-1.391582,-21.2812,27.6268,-28.0815,366,2020-06-14 10:52:17:168
1.427942,-3.23647,13.30624,4.748034,0.453615,6.478962,-0.163613,0.589958,-1.391582,-21.2812,27.6268,-28.0815,377,2020-06-14 10:52:17:179
0.014597,-5.160057,12.853491,3.706932,-0.67258,4.063818,0.061102,0.418493,-2.110457,-21.1523,27.0224,-28.1091,387,2020-06-14 10:52:17:189
0.014597,-5.160057,12.853491,3.706932,-0.67258,4.063818,0.061102,0.418493,-2.110457,-21.1523,27.0224,-28.1091,397,2020-06-14 10:52:17:199
0.014597,-5.160057,12.853491,3.706932,-0.67258,4.063818,0.061102,0.418493,-2.110457,-21.1523,27.0224,-28.1091,407,2020-06-14 10:52:17:209
-1.57841,-6.137421,13.033154,1.711221,-2.178654,4.378219,0.375277,0.334358,-2.116847,-22.3872,26.0553,-28.8192,416,2020-06-14 10:52:17:218
-1.57841,-6.137421,13.033154,1.711221,-2.178654,4.378219,0.375277,0.334358,-2.116847,-22.3872,26.0553,-28.8192,427,2020-06-14 10:52:17:229
-1.57841,-6.137421,13.033154,0.433585,-2.448736,3.929112,0.375277,0.334358,-2.116847,-22.3872,26.0553,-28.8192,436,2020-06-14 10:52:17:238
-2.452768,-6.432067,12.458234,0.433585,-2.448736,3.929112,0.795952,0.188453,-1.920887,-22.3872,26.0553,-28.8192,447,2020-06-14 10:52:17:249
-2.452768,-6.432067,12.458234,0.433585,-2.448736,3.929112,0.795952,0.188453,-1.920887,-22.3872,26.0553,-28.8192,457,2020-06-14 10:52:17:259
-2.709086,-6.63808,11.634182,-0.217499,-2.78475,2.83843,0.795952,0.188453,-1.920887,-23.2702,24.4012,-29.0502,467,2020-06-14 10:52:17:269
-2.709086,-6.63808,11.634182,-0.217499,-2.78475,2.83843,0.853462,0.257678,-1.637597,-23.2702,24.4012,-29.0502,481,2020-06-14 10:52:17:283
-2.709086,-6.63808,11.634182,-0.217499,-2.78475,2.83843,0.853462,0.257678,-1.637597,-23.2702,24.4012,-29.0502,487,2020-06-14 10:52:17:289
-3.147463,-6.331456,10.462782,-0.709413,-2.715221,1.712139,0.853462,0.257678,-1.637597,-23.2702,24.4012,-29.0502,496,2020-06-14 10:52:17:298
-3.147463,-6.331456,10.462782,-0.709413,-2.715221,1.712139,0.853462,0.257678,-1.637597,-23.2702,24.4012,-29.0502,507,2020-06-14 10:52:17:309
-3.147463,-6.331456,10.462782,-0.709413,-2.715221,1.712139,0.762937,0.350333,-1.424597,-24.5946,21.1296,-30.0516,516,2020-06-14 10:52:17:318
-3.209746,-5.976922,10.14418,-0.709413,-2.715221,1.712139,0.762937,0.350333,-1.424597,-24.5946,21.1296,-30.0516,527,2020-06-14 10:52:17:329
-3.209746,-5.976922,10.14418,-0.810742,-2.211083,1.021789,0.762937,0.350333,-1.424597,-24.5946,21.1296,-30.0516,537,2020-06-14 10:52:17:339
-2.795324,-5.205571,9.025482,-0.810742,-2.211083,1.021789,0.762937,0.350333,-1.424597,-24.5946,21.1296,-30.0516,547,2020-06-14 10:52:17:349
-2.795324,-5.205571,9.025482,-0.810742,-2.211083,1.021789,0.688387,0.318383,-1.207337,-25.355,17.8174,-30.9123,557,2020-06-14 10:52:17:359
-2.795324,-5.205571,9.025482,-0.406445,-1.58329,-0.363388,0.688387,0.318383,-1.207337,-25.355,17.8174,-30.9123,567,2020-06-14 10:52:17:369
-2.795324,-5.205571,9.025482,-0.406445,-1.58329,-0.363388,0.688387,0.318383,-1.207337,-25.355,17.8174,-30.9123,577,2020-06-14 10:52:17:379
-2.795324,-5.205571,9.025482,-0.406445,-1.58329,-0.363388,0.688387,0.318383,-1.207337,-25.355,17.8174,-30.9123,586,2020-06-14 10:52:17:388
-2.546192,-5.042677,8.637411,-0.373937,-1.519349,-0.392409,0.586147,0.337553,-1.215857,-25.1558,16.5065,-30.6757,597,2020-06-14 10:52:17:399
-2.546192,-5.042677,8.637411,-0.373937,-1.519349,-0.392409,0.586147,0.337553,-1.215857,-25.1558,16.5065,-30.6757,606,2020-06-14 10:52:17:408
-1.281368,-3.92877,6.759339,-0.373937,-1.519349,-0.392409,0.586147,0.337553,-1.215857,-25.1558,16.5065,-30.6757,617,2020-06-14 10:52:17:419
-1.281368,-3.92877,6.759339,0.995854,-0.31338,-2.455922,-0.070958,0.624038,-1.593932,-25.7543,13.1122,-31.8436,626,2020-06-14 10:52:17:428
-1.281368,-3.92877,6.759339,0.995854,-0.31338,-2.455922,-0.070958,0.624038,-1.593932,-25.7543,13.1122,-31.8436,637,2020-06-14 10:52:17:439
-1.281368,-3.92877,6.759339,0.995854,-0.31338,-2.455922,-0.070958,0.624038,-1.593932,-25.7543,13.1122,-31.8436,646,2020-06-14 10:52:17:448
-2.172494,-4.122805,7.62651,0.409465,-0.315484,-1.888778,-0.247748,0.575048,-1.795217,-25.8976,11.7636,-32.6549,656,2020-06-14 10:52:17:458
-2.172494,-4.122805,7.62651,0.409465,-0.315484,-1.888778,-0.247748,0.575048,-1.795217,-25.8976,11.7636,-32.6549,667,2020-06-14 10:52:17:469
-2.172494,-4.122805,7.62651,0.409465,-0.315484,-1.888778,-0.247748,0.575048,-1.795217,-25.8976,11.7636,-32.6549,677,2020-06-14 10:52:17:479
-4.206274,-5.418771,8.007395,-1.973979,-1.541615,-0.839734,0.395512,0.227858,-1.801607,-25.8976,11.7636,-32.6549,687,2020-06-14 10:52:17:489
-4.206274,-5.418771,8.007395,-1.973979,-1.541615,-0.839734,0.395512,0.227858,-1.801607,-25.8974,10.2628,-32.8622,697,2020-06-14 10:52:17:499
-5.013557,-5.722999,6.579677,-1.973979,-1.541615,-0.839734,0.395512,0.227858,-1.801607,-25.8974,10.2628,-32.8622,707,2020-06-14 10:52:17:509
-5.013557,-5.722999,6.579677,-3.032143,-1.967254,-2.421651,0.669217,0.108578,-1.542812,-25.8974,10.2628,-32.8622,717,2020-06-14 10:52:17:519
-5.013557,-5.722999,6.579677,-3.032143,-1.967254,-2.421651,0.669217,0.108578,-1.542812,-25.8974,10.2628,-32.8622,727,2020-06-14 10:52:17:529
-5.624409,-6.190122,5.813117,-3.032143,-1.967254,-2.421651,0.669217,0.108578,-1.542812,-25.6934,8.5507,-33.4129,737,2020-06-14 10:52:17:539
-5.624409,-6.190122,5.813117,-3.032143,-1.967254,-2.421651,0.669217,0.108578,-1.542812,-25.6934,8.5507,-33.4129,747,2020-06-14 10:52:17:549
-5.624409,-6.190122,5.813117,-3.793458,-2.522158,-3.313888,0.369952,0.273653,-1.263782,-25.6934,8.5507,-33.4129,757,2020-06-14 10:52:17:559
-6.172979,-6.22845,5.458583,-3.793458,-2.522158,-3.313888,0.369952,0.273653,-1.263782,-25.6934,8.5507,-33.4129,767,2020-06-14 10:52:17:569
-6.172979,-6.22845,5.458583,-3.793458,-2.522158,-3.313888,0.369952,0.273653,-1.263782,-25.2635,6.5087,-33.8982,777,2020-06-14 10:52:17:579
-6.172979,-6.22845,5.458583,-4.361928,-2.192962,-3.503115,-0.249878,0.271523,-0.702527,-25.2635,6.5087,-33.8982,786,2020-06-14 10:52:17:588
-6.36941,-5.890684,5.822699,-4.361928,-2.192962,-3.503115,-0.249878,0.271523,-0.702527,-25.2635,6.5087,-33.8982,797,2020-06-14 10:52:17:599
-6.36941,-5.890684,5.822699,-4.361928,-2.192962,-3.503115,-0.249878,0.271523,-0.702527,-25.2635,6.5087,-33.8982,807,2020-06-14 10:52:17:609
-6.613751,-5.696649,7.794195,-4.646251,-1.901222,-2.086321,-0.532103,0.155438,-0.467162,-25.1809,4.8871,-33.7541,816,2020-06-14 10:52:17:618
-6.613751,-5.696649,7.794195,-4.646251,-1.901222,-2.086321,-0.532103,0.155438,-0.467162,-25.1809,4.8871,-33.7541,827,2020-06-14 10:52:17:629
-6.613751,-5.696649,7.794195,-4.646251,-1.901222,-2.086321,-0.532103,0.155438,-0.467162,-25.1809,4.8871,-33.7541,838,2020-06-14 10:52:17:640
-6.604169,-5.507404,8.94643,-4.661512,-1.478894,0.054856,-0.532103,0.155438,-0.467162,-25.1809,4.8871,-33.7541,846,2020-06-14 10:52:17:648
-6.604169,-5.507404,8.94643,-4.661512,-1.478894,0.054856,-0.356378,0.177803,-0.231797,-25.4738,4.2311,-33.881,856,2020-06-14 10:52:17:658
-6.604169,-5.507404,8.94643,-4.661512,-1.478894,0.054856,-0.356378,0.177803,-0.231797,-25.4738,4.2311,-33.881,867,2020-06-14 10:52:17:669
-6.817369,-5.36607,8.651784,-4.758634,-1.192889,-0.139436,-0.356378,0.177803,-0.231797,-25.4738,4.2311,-33.881,877,2020-06-14 10:52:17:679
-6.817369,-5.36607,8.651784,-4.758634,-1.192889,-0.139436,-0.113558,0.012728,-0.126362,-25.3952,4.3552,-33.9987,887,2020-06-14 10:52:17:689
-7.339587,-5.454703,8.29725,-4.758634,-1.192889,-0.139436,-0.113558,0.012728,-0.126362,-25.3952,4.3552,-33.9987,898,2020-06-14 10:52:17:700
-7.339587,-5.454703,8.29725,-4.758634,-1.192889,-0.139436,-0.113558,0.012728,-0.126362,-25.3952,4.3552,-33.9987,906,2020-06-14 10:52:17:708
-7.339587,-5.454703,8.29725,-5.439372,-1.291503,-0.384756,-0.105038,-0.275887,0.011023,-25.4336,4.2027,-34.3063,922,2020-06-14 10:52:17:724
-7.478527,-5.766118,9.274614,-5.439372,-1.291503,-0.384756,-0.105038,-0.275887,0.011023,-25.4336,4.2027,-34.3063,927,2020-06-14 10:52:17:729
-7.478527,-5.766118,9.274614,-5.439372,-1.291503,-0.384756,-0.105038,-0.275887,0.011023,-25.4336,4.2027,-34.3063,937,2020-06-14 10:52:17:739
-7.478527,-5.766118,9.274614,-5.439372,-1.291503,-0.384756,-0.105038,-0.275887,0.011023,-25.4336,4.2027,-34.3063,948,2020-06-14 10:52:17:750
-6.652079,-6.106279,11.562317,-5.115829,-1.798749,1.932472,0.121807,-0.613492,0.279403,-25.1227,5.0234,-34.1433,957,2020-06-14 10:52:17:759
-6.652079,-6.106279,11.562317,-5.115829,-1.798749,1.932472,0.121807,-0.613492,0.279403,-25.1227,5.0234,-34.1433,966,2020-06-14 10:52:17:768
-6.652079,-6.106279,11.562317,-5.115829,-1.798749,1.932472,0.121807,-0.613492,0.279403,-25.1227,5.0234,-34.1433,977,2020-06-14 10:52:17:779
-6.019667,-5.140893,7.798986,-4.071184,-1.269915,-0.630787,0.240022,0.296018,0.656413,-26.1656,4.8116,-33.625,986,2020-06-14 10:52:17:788
-6.019667,-5.140893,7.798986,-4.071184,-1.269915,-0.630787,0.240022,0.296018,0.656413,-26.1656,4.8116,-33.625,997,2020-06-14 10:52:17:799
-6.019667,-5.140893,7.798986,-4.071184,-1.269915,-0.630787,0.240022,0.296018,0.656413,-26.1656,4.8116,-33.625,1007,2020-06-14 10:52:17:809
-5.14531,-4.05094,7.947507,-3.31098,0.007337,-1.487842,-0.362768,0.236378,0.759718,-26.6451,4.5629,-33.6053,1017,2020-06-14 10:52:17:819
