ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.285289,1.655141,9.18119,-0.543136,0.217325,-0.610742,0.974479,-0.561405,0.513432,35.8453,-7.893,-26.4368,9,2020-06-14 11:19:09:444
0.285289,1.655141,9.18119,-0.543136,0.217325,-0.610742,0.974479,-0.561405,0.513432,35.8453,-7.893,-26.4368,20,2020-06-14 11:19:09:455
0.452974,1.767729,9.899839,-0.524202,0.223105,-0.073978,0.773194,-0.384615,0.827607,35.8453,-7.893,-26.4368,29,2020-06-14 11:19:09:464
0.452974,1.767729,9.899839,-0.524202,0.223105,-0.073978,0.773194,-0.384615,0.827607,35.2773,-9.0103,-26.1514,40,2020-06-14 11:19:09:475
0.452974,1.767729,9.899839,-0.524202,0.223105,-0.073978,0.773194,-0.384615,0.827607,35.2773,-9.0103,-26.1514,50,2020-06-14 11:19:09:485
1.202765,1.968951,10.216045,-0.114241,0.049307,0.70494,0.916969,-0.457035,0.663597,35.2773,-9.0103,-26.1514,60,2020-06-14 11:19:09:495
1.202765,1.968951,10.216045,-0.114241,0.049307,0.70494,0.916969,-0.457035,0.663597,35.2773,-9.0103,-26.1514,70,2020-06-14 11:19:09:505
1.202765,1.968951,10.216045,-0.114241,0.049307,0.70494,0.916969,-0.457035,0.663597,34.5453,-9.9075,-25.9097,79,2020-06-14 11:19:09:514
1.533344,2.781026,9.763296,0.44377,0.691767,0.493731,0.861589,-0.02784,0.140682,34.5453,-9.9075,-25.9097,90,2020-06-14 11:19:09:525
1.533344,2.781026,9.763296,0.44377,0.691767,0.493731,0.861589,-0.02784,0.140682,34.5453,-9.9075,-25.9097,100,2020-06-14 11:19:09:535
0.759598,2.718743,8.500868,-0.352316,0.518832,-0.785994,0.861589,-0.02784,0.140682,33.9468,-11.762,-25.9607,110,2020-06-14 11:19:09:545
0.759598,2.718743,8.500868,-0.352316,0.518832,-0.785994,0.373819,0.392835,-0.051018,33.9468,-11.762,-25.9607,120,2020-06-14 11:19:09:555
0.759598,2.718743,8.500868,-0.352316,0.518832,-0.785994,0.373819,0.392835,-0.051018,33.9468,-11.762,-25.9607,130,2020-06-14 11:19:09:565
0.690128,2.663646,9.73455,-0.373285,0.370285,-0.271274,0.373819,0.392835,-0.051018,34.0031,-12.9011,-25.4764,145,2020-06-14 11:19:09:580
0.690128,2.663646,9.73455,-0.373285,0.370285,-0.271274,0.334414,0.412005,-0.151128,34.0031,-12.9011,-25.4764,155,2020-06-14 11:19:09:590
0.690128,2.663646,9.73455,-0.373285,0.370285,-0.271274,0.334414,0.412005,-0.151128,34.0031,-12.9011,-25.4764,159,2020-06-14 11:19:09:594
-0.105178,2.383373,11.392236,-0.373285,0.370285,-0.271274,0.334414,0.412005,-0.151128,34.0031,-12.9011,-25.4764,170,2020-06-14 11:19:09:605
-0.105178,2.383373,11.392236,-1.056472,-0.061467,2.006043,0.857329,0.32574,-0.080838,33.7534,-13.7485,-25.1736,181,2020-06-14 11:19:09:616
-0.105178,2.383373,11.392236,-1.056472,-0.061467,2.006043,0.857329,0.32574,-0.080838,33.7534,-13.7485,-25.1736,191,2020-06-14 11:19:09:626
-0.351914,2.517521,10.26156,-1.056472,-0.061467,2.006043,0.857329,0.32574,-0.080838,33.7534,-13.7485,-25.1736,200,2020-06-14 11:19:09:635
-0.351914,2.517521,10.26156,-1.062705,5.1E-5,0.572844,0.946789,-0.261075,0.059742,34.2777,-13.8238,-24.9746,210,2020-06-14 11:19:09:645
-0.351914,2.517521,10.26156,-1.062705,5.1E-5,0.572844,0.946789,-0.261075,0.059742,34.2777,-13.8238,-24.9746,219,2020-06-14 11:19:09:654
-0.344728,2.740302,10.184904,-1.062705,5.1E-5,0.572844,0.946789,-0.261075,0.059742,34.2777,-13.8238,-24.9746,230,2020-06-14 11:19:09:665
-0.344728,2.740302,10.184904,-1.256632,-0.265364,1.230596,0.914839,-0.163095,0.159852,34.4636,-14.1421,-24.4255,240,2020-06-14 11:19:09:675
-0.603442,2.582199,10.352589,-1.256632,-0.265364,1.230596,0.914839,-0.163095,0.159852,34.4636,-14.1421,-24.4255,250,2020-06-14 11:19:09:685
-0.603442,2.582199,10.352589,-1.256632,-0.265364,1.230596,0.914839,-0.163095,0.159852,34.4636,-14.1421,-24.4255,260,2020-06-14 11:19:09:695
-0.603442,2.582199,10.352589,-1.523561,-0.517495,1.180636,0.910579,-0.420825,0.159852,33.9147,-15.1627,-23.8898,271,2020-06-14 11:19:09:706
0.390691,2.898405,10.328634,-1.523561,-0.517495,1.180636,0.910579,-0.420825,0.159852,33.9147,-15.1627,-23.8898,280,2020-06-14 11:19:09:715
0.390691,2.898405,10.328634,-1.523561,-0.517495,1.180636,0.910579,-0.420825,0.159852,33.9147,-15.1627,-23.8898,290,2020-06-14 11:19:09:725
0.639823,2.951106,9.411158,-0.616068,-0.546179,0.29555,0.582559,-0.946935,-0.079773,33.9147,-15.1627,-23.8898,301,2020-06-14 11:19:09:736
0.639823,2.951106,9.411158,-0.616068,-0.546179,0.29555,0.582559,-0.946935,-0.079773,33.9147,-15.1627,-23.8898,310,2020-06-14 11:19:09:745
0.639823,2.951106,9.411158,-0.616068,-0.546179,0.29555,0.582559,-0.946935,-0.079773,33.2984,-15.6713,-23.3438,319,2020-06-14 11:19:09:754
0.728456,3.487698,9.837557,-0.673233,-0.140975,0.94103,0.582559,-0.946935,-0.079773,33.2984,-15.6713,-23.3438,330,2020-06-14 11:19:09:765
0.728456,3.487698,9.837557,-0.673233,-0.140975,0.94103,0.182119,-0.70731,-0.180948,33.2984,-15.6713,-23.3438,340,2020-06-14 11:19:09:775
0.728456,3.487698,9.837557,-0.673233,-0.140975,0.94103,0.182119,-0.70731,-0.180948,32.4587,-16.0596,-23.2471,350,2020-06-14 11:19:09:785
1.387219,3.727248,9.7609,-0.191054,0.136149,0.789872,0.182119,-0.70731,-0.180948,32.4587,-16.0596,-23.2471,360,2020-06-14 11:19:09:795
1.387219,3.727248,9.7609,-0.191054,0.136149,0.789872,-0.187436,-0.20037,-0.405663,32.4587,-16.0596,-23.2471,370,2020-06-14 11:19:09:805
1.387219,3.727248,9.7609,-0.191054,0.136149,0.789872,-0.187436,-0.20037,-0.405663,32.3589,-16.1667,-24.0014,379,2020-06-14 11:19:09:814
1.734566,3.458952,10.390917,0.248049,-0.115888,1.473553,-0.187436,-0.20037,-0.405663,32.3589,-16.1667,-24.0014,391,2020-06-14 11:19:09:826
1.734566,3.458952,10.390917,0.248049,-0.115888,1.473553,-0.189566,0.045645,-0.813558,32.3589,-16.1667,-24.0014,400,2020-06-14 11:19:09:835
1.734566,3.458952,10.390917,0.248049,-0.115888,1.473553,-0.189566,0.045645,-0.813558,32.3589,-16.1667,-24.0014,410,2020-06-14 11:19:09:845
1.190788,3.370319,11.485661,-0.020774,-0.174232,2.088596,-0.189566,0.045645,-0.813558,32.3589,-16.1667,-24.0014,420,2020-06-14 11:19:09:855
1.190788,3.370319,11.485661,-0.020774,-0.174232,2.088596,0.267319,-0.096,-0.844443,32.418,-16.0741,-23.9056,430,2020-06-14 11:19:09:865
1.190788,3.370319,11.485661,-0.020774,-0.174232,2.088596,0.267319,-0.096,-0.844443,32.418,-16.0741,-23.9056,440,2020-06-14 11:19:09:875
0.347572,3.408647,10.846062,-1.089477,-0.338,2.247515,0.267319,-0.096,-0.844443,32.418,-16.0741,-23.9056,450,2020-06-14 11:19:09:885
0.347572,3.408647,10.846062,-1.089477,-0.338,2.247515,0.289684,0.022215,-0.683628,32.6256,-15.106,-24.54,462,2020-06-14 11:19:09:897
0.347572,3.408647,10.846062,-1.089477,-0.338,2.247515,0.289684,0.022215,-0.683628,32.6256,-15.106,-24.54,470,2020-06-14 11:19:09:905
0.347572,3.408647,10.846062,-1.089477,-0.338,2.247515,0.289684,0.022215,-0.683628,32.6256,-15.106,-24.54,479,2020-06-14 11:19:09:914
0.69971,3.64101,10.704727,-0.751705,-0.083825,1.391491,0.097984,-0.244035,-0.796518,32.6256,-15.106,-24.54,490,2020-06-14 11:19:09:925
0.69971,3.64101,10.704727,-0.751705,-0.083825,1.391491,0.097984,-0.244035,-0.796518,33.2185,-14.3608,-25.1288,500,2020-06-14 11:19:09:935
